"asset_size_code","description","year"
11,"All total asset sizes (universe totals)",2008
1,"Total assets under $5 million",2009
2,"Total assets $5 million to less than $10 million",2009
3,"Total assets $10 million to less than $25 million",2009
4,"Total assets under $25 million",2009
5,"Total assets $25 million and over",2009
6,"Total assets $25 million to less than $50 million",2009
7,"Total assets $50 million to less than $100 million",2009
8,"Total assets $100 million to less than $250 million",2009
9,"Total assets $250 million to less than $1 billion",2009
10,"Total assets $1 billion and over",2009
11,"All total asset sizes (universe totals)",2009
1,"Total assets under $5 million",2010
2,"Total assets $5 million to less than $10 million",2010
3,"Total assets $10 million to less than $25 million",2010
4,"Total assets under $25 million",2010
5,"Total assets $25 million and over",2010
6,"Total assets $25 million to less than $50 million",2010
7,"Total assets $50 million to less than $100 million",2010
