"columns","QFR_industry_code","QFR_industry_title","standard_industry_code","year","standard_code_type"
"BS","54","Retail Food Stores","5411 - 5499",1998,"SIC_1987"
"BT - CD","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1998,"SIC_1987"
"CE - CG","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","2311 - 2399, 3111 - 3199",1998,"SIC_1987"
"CH - CR","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1998,"SIC_1987"
"CS - CU","99.1","Other Durable Manufacturing Industries","2411 - 2599, 3911 - 3999",1998,"SIC_1987"
"CV","10.-14.","All Mining","1011 - 1499",1998,"SIC_1987"
"CW - DG","20.-39.","All Manufacturing","2011 - 3999",1998,"SIC_1987"
"DH - DJ","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1998,"SIC_1987"
"DK - DM","33.5-33.6","Nonferrous Metals","3331 - 3369",1998,"SIC_1987"
"DN","50.-51.","All Wholesale Trade","5012 - 5199",1998,"SIC_1987"
"DO","53.-59.","All Retail Trade","5311 - 5999",1998,"SIC_1987"
"DP","55.-59.","All Other Retail Trade","5511 - 5999",1998,"SIC_1987"
"B - D","20","Food and Kindred Products (includes Tobacco Manufactures)","2011 - 2141",1999,"SIC_1987"
"E - G","22","Textile Mill Products","2211 - 2299",1999,"SIC_1987"
"H - J","24","Lumber and Wood Products","2411 - 2499",1999,"SIC_1987"
"K - M","25","Furniture and Fixtures","2511 - 2599",1999,"SIC_1987"
"N - P","26","Paper and Allied Products","2611 - 2679",1999,"SIC_1987"
"Q - S","27","Printing and Publishing","2711 - 2796",1999,"SIC_1987"
"T - V","28","Chemicals and Allied Products","2812 - 2899",1999,"SIC_1987"
"W - Y","28.100000000000001","Industrial Chemicals and Synthetics","2812 - 2819, 2823 - 2824, 2861 - 2869",1999,"SIC_1987"
"Z - AB","28.300000000000001","Drugs","2833 - 2836",1999,"SIC_1987"
"AC - AE","28.399999999999999","Residual of Chemicals","2841 - 2851, 2873 - 2899",1999,"SIC_1987"
"AF - AH","29","Petroleum and Coal Products","2911 - 2999",1999,"SIC_1987"
"AI - AK","30","Rubber and Misc. Plastics Products","3011 - 3089",1999,"SIC_1987"
"AL - AN","32","Stone, Clay, and Glass Products","3211 - 3299",1999,"SIC_1987"
"AO - AQ","33","Primary Metal Industries","3312 - 3399",1999,"SIC_1987"
"AR - AT","34","Fabricated Metal Products","3411 - 3499",1999,"SIC_1987"
"AU - AW","35","Machinery, Except Electrical","3511 - 3599",1999,"SIC_1987"
"AX - AZ","36","Electrical and Electronic Equipment","3612 - 3699",1999,"SIC_1987"
"BA - BC","37","Transportation Equipment","3711 - 3799",1999,"SIC_1987"
"BD - BF","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1999,"SIC_1987"
"BG - BI","37.700000000000003","Aircraft, Guided Missiles, and Parts","3721 - 3728, 3761 - 3769",1999,"SIC_1987"
"BJ - BL","38","Instruments and Related Products","3812 - 3873",1999,"SIC_1987"
"BM - BO","39","Miscellaneous Manufacturing","3911 - 3999",1999,"SIC_1987"
"BP","50","Wholesale Trade, Durable Goods","5012 - 5099",1999,"SIC_1987"
"BQ","51","Wholesale Trade, Nondurable Goods","5111 - 5199",1999,"SIC_1987"
"BR","53","General Merchandise Stores","5311 - 5399",1999,"SIC_1987"
"BS","54","Retail Food Stores","5411 - 5499",1999,"SIC_1987"
"BT - CD","98","All Nondurable Manufacturing Industries","2011 - 2399, 2611 - 3199",1999,"SIC_1987"
"CE - CG","98.099999999999994","Apparel (Includes Leather Products) 
Formerly Named: Other Nondurable Manufacturing Industries","2311 - 2399, 3111 - 3199",1999,"SIC_1987"
"CH - CR","99","All Durable Manufacturing Industries","2411 - 2599, 3211 - 3999",1999,"SIC_1987"
"CS - CU","99.1","Other Durable Manufacturing Industries","2411 - 2599, 3911 - 3999",1999,"SIC_1987"
"CV","10.-14.","All Mining","1011 - 1499",1999,"SIC_1987"
"CW - DG","20.-39.","All Manufacturing","2011 - 3999",1999,"SIC_1987"
"DH - DJ","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1999,"SIC_1987"
"DK - DM","33.5-33.6","Nonferrous Metals","3331 - 3369",1999,"SIC_1987"
"DN","50.-51.","All Wholesale Trade","5012 - 5199",1999,"SIC_1987"
"DO","53.-59.","All Retail Trade","5311 - 5999",1999,"SIC_1987"
"DP","55.-59.","All Other Retail Trade","5511 - 5999",1999,"SIC_1987"
"B - D","311","Food","3110 - 3119",2000,"NAICS_2007"
"E - G","312","Beverage and Tobacco Products","3120 - 3129",2000,"NAICS_2007"
"H - J","313","Textile Mills and Textile Product Mills","3130 - 3149",2000,"NAICS_2007"
"K - M","315","Apparel and Leather Products","3150 - 3169",2000,"NAICS_2007"
"N - P","321","Wood Products","3210 - 3219",2000,"NAICS_2007"
"Q - S","322","Paper","3220 - 3229",2000,"NAICS_2007"
"T - V","323","Printing and Related Support Activities","3230 - 3239",2000,"NAICS_2007"
"W - Y","324","Petroleum and Coal Products","3240 - 3249",2000,"NAICS_2007"
"Z - AB","325","All Other Chemicals","3250, 3253, 3255 - 3259",2000,"NAICS_2007"
"AC - AE","326","Plastics and Rubber Products","3260 - 3269",2000,"NAICS_2007"
"AF - AH","327","Nonmetallic Mineral Products","3270 - 3279",2000,"NAICS_2007"
"AI - AK","331","Foundries","3310, 3315 - 3319",2000,"NAICS_2007"
"AL - AN","332","Fabricated Metal Products","3320 - 3329",2000,"NAICS_2007"
"AO - AQ","333","Machinery","3330 - 3339",2000,"NAICS_2007"
"AR - AT","334","All Other Electronic Products","3340, 3343 - 3349",2000,"NAICS_2007"
"AU - AW","335","Electrical Equipment, Appliances, and Components","3350 - 3359",2000,"NAICS_2007"
"AX - AZ","337","Furniture and Related Products","3370 - 3379",2000,"NAICS_2007"
"BA - BC","339","Miscellaneous Manufacturing","3390 - 3399",2000,"NAICS_2007"
"BD - BF","371","Iron, Steel, and Ferroalloys","3311, 3312",2000,"NAICS_2007"
"BG - BI","374","Computer and Peripheral Equipment","3341",2000,"NAICS_2007"
"BJ - BL","375","Basic Chemicals, Resins, and Synthetics","3251, 3252",2000,"NAICS_2007"
"BM - BO","376","Motor Vehicles and Parts","3361 - 3363",2000,"NAICS_2007"
"BP - BR","381","Nonferrous Metals","3313, 3314",2000,"NAICS_2007"
"BS - BU","384","Communications Equipment","3342",2000,"NAICS_2007"
"BV - BX","385","Pharmaceuticals and Medicines","3254",2000,"NAICS_2007"
"BY - CA","386","Aerospace Products and Parts","3364",2000,"NAICS_2007"
"CB","421","Wholesale Trade, Durable Goods","4230 - 4239",2000,"NAICS_2007"
"CC","422","Wholesale Trade, Nondurable Goods","4240 - 4259",2000,"NAICS_2007"
"CD","445","Food and Beverage Stores","4450 - 4459",2000,"NAICS_2007"
"CE","448","Clothing and General Merchandise Stores","4480 - 4489, 4520 - 4529",2000,"NAICS_2007"
"CF","450","All Other Retail Trade","4410 - 4449, 4460 - 4479,",2000,"NAICS_2007"
"CG - CI","CHEM(325,375,385)","Chemicals","3250 - 3259",2000,"NAICS_2007"
"CJ - CL","COMP(334,374,384)","Computer and Electronic Products","3340 - 3349",2000,"NAICS_2007"
"CM - CO","PRIM(331,371,381)","Primary Metals","3310 - 3319",2000,"NAICS_2007"
"CP - CZ","TDUR(321,327,331-335,337,339,","All Durable Manufacturing","3210 - 3219, 3270 - 3399",2000,"NAICS_2007"
NA,"371,374,376,381,384,386)",NA,NA,2000,"NAICS_2007"
"DA - DK","TMFG(311-386)","All Manufacturing","3110 - 3399",2000,"NAICS_2007"
"DL","TMIN","All Mining","2110 - 2139",2000,"NAICS_2007"
"DM - DW","TNDU(311-313,315,","All Nondurable Manufacturing","3110 - 3169, 3220 - 3269",2000,"NAICS_2007"
NA,"322-326,375,385)",NA,NA,2000,"NAICS_2007"
"DX - DZ","TRAN(376,386)","Transportation Equipment","3360 - 3369",2000,"NAICS_2007"
"n/a","n/a","(residual included in Transportation Equipment)","3360, 3365 - 3369",2000,"NAICS_2007"
"EA","TRET(445,448,450)","All Retail Trade","4410 - 4549",2000,"NAICS_2007"
"EB","TWHS(421,422)","All Wholesale Trade","4230 - 4259",2000,"NAICS_2007"
"B - D","311","Food","3110 - 3119",2001,"NAICS_2007"
"E - G","312","Beverage and Tobacco Products","3120 - 3129",2001,"NAICS_2007"
"H - J","313","Textile Mills and Textile Product Mills","3130 - 3149",2001,"NAICS_2007"
"K - M","315","Apparel and Leather Products","3150 - 3169",2001,"NAICS_2007"
"N - P","321","Wood Products","3210 - 3219",2001,"NAICS_2007"
"Q - S","322","Paper","3220 - 3229",2001,"NAICS_2007"
"T - V","323","Printing and Related Support Activities","3230 - 3239",2001,"NAICS_2007"
"W - Y","324","Petroleum and Coal Products","3240 - 3249",2001,"NAICS_2007"
"Z - AB","325","All Other Chemicals","3250, 3253, 3255 - 3259",2001,"NAICS_2007"
"AC - AE","326","Plastics and Rubber Products","3260 - 3269",2001,"NAICS_2007"
"AF - AH","327","Nonmetallic Mineral Products","3270 - 3279",2001,"NAICS_2007"
"AI - AK","331","Foundries","3310, 3315 - 3319",2001,"NAICS_2007"
"AL - AN","332","Fabricated Metal Products","3320 - 3329",2001,"NAICS_2007"
"AO - AQ","333","Machinery","3330 - 3339",2001,"NAICS_2007"
"AR - AT","334","All Other Electronic Products","3340, 3343 - 3349",2001,"NAICS_2007"
"AU - AW","335","Electrical Equipment, Appliances, and Components","3350 - 3359",2001,"NAICS_2007"
"AX - AZ","337","Furniture and Related Products","3370 - 3379",2001,"NAICS_2007"
"BA - BC","339","Miscellaneous Manufacturing","3390 - 3399",2001,"NAICS_2007"
"BD - BF","371","Iron, Steel, and Ferroalloys","3311, 3312",2001,"NAICS_2007"
"BG - BI","374","Computer and Peripheral Equipment","3341",2001,"NAICS_2007"
"BJ - BL","375","Basic Chemicals, Resins, and Synthetics","3251, 3252",2001,"NAICS_2007"
"BM - BO","376","Motor Vehicles and Parts","3361 - 3363",2001,"NAICS_2007"
"BP - BR","381","Nonferrous Metals","3313, 3314",2001,"NAICS_2007"
"BS - BU","384","Communications Equipment","3342",2001,"NAICS_2007"
"BV - BX","385","Pharmaceuticals and Medicines","3254",2001,"NAICS_2007"
"BY - CA","386","Aerospace Products and Parts","3364",2001,"NAICS_2007"
"CB","421","Wholesale Trade, Durable Goods","4230 - 4239",2001,"NAICS_2007"
"CC","422","Wholesale Trade, Nondurable Goods","4240 - 4259",2001,"NAICS_2007"
"CD","445","Food and Beverage Stores","4450 - 4459",2001,"NAICS_2007"
"CE","448","Clothing and General Merchandise Stores","4480 - 4489, 4520 - 4529",2001,"NAICS_2007"
"CF","450","All Other Retail Trade","4410 - 4449, 4460 - 4479,",2001,"NAICS_2007"
"CG - CI","CHEM(325,375,385)","Chemicals","3250 - 3259",2001,"NAICS_2007"
"CJ - CL","COMP(334,374,384)","Computer and Electronic Products","3340 - 3349",2001,"NAICS_2007"
"CM - CO","PRIM(331,371,381)","Primary Metals","3310 - 3319",2001,"NAICS_2007"
"CP - CZ","TDUR(321,327,331-335,337,339,","All Durable Manufacturing","3210 - 3219, 3270 - 3399",2001,"NAICS_2007"
NA,"371,374,376,381,384,386)",NA,NA,2001,"NAICS_2007"
"DA - DK","TMFG(311-386)","All Manufacturing","3110 - 3399",2001,"NAICS_2007"
"DL","TMIN","All Mining","2110 - 2139",2001,"NAICS_2007"
"DM - DW","TNDU(311-313,315,","All Nondurable Manufacturing","3110 - 3169, 3220 - 3269",2001,"NAICS_2007"
NA,"322-326,375,385)",NA,NA,2001,"NAICS_2007"
"DX - DZ","TRAN(376,386)","Transportation Equipment","3360 - 3369",2001,"NAICS_2007"
"n/a","n/a","(residual included in Transportation Equipment)","3360, 3365 - 3369",2001,"NAICS_2007"
"EA","TRET(445,448,450)","All Retail Trade","4410 - 4549",2001,"NAICS_2007"
"EB","TWHS(421,422)","All Wholesale Trade","4230 - 4259",2001,"NAICS_2007"
"B - D","311","Food","3110 - 3119",2002,"NAICS_2007"
"E - G","312","Beverage and Tobacco Products","3120 - 3129",2002,"NAICS_2007"
"H - J","313","Textile Mills and Textile Product Mills","3130 - 3149",2002,"NAICS_2007"
"K - M","315","Apparel and Leather Products","3150 - 3169",2002,"NAICS_2007"
"N - P","321","Wood Products","3210 - 3219",2002,"NAICS_2007"
"Q - S","322","Paper","3220 - 3229",2002,"NAICS_2007"
"T - V","323","Printing and Related Support Activities","3230 - 3239",2002,"NAICS_2007"
"W - Y","324","Petroleum and Coal Products","3240 - 3249",2002,"NAICS_2007"
"Z - AB","325","All Other Chemicals","3250, 3253, 3255 - 3259",2002,"NAICS_2007"
"AC - AE","326","Plastics and Rubber Products","3260 - 3269",2002,"NAICS_2007"
"AF - AH","327","Nonmetallic Mineral Products","3270 - 3279",2002,"NAICS_2007"
"AI - AK","331","Foundries","3310, 3315 - 3319",2002,"NAICS_2007"
"AL - AN","332","Fabricated Metal Products","3320 - 3329",2002,"NAICS_2007"
"AO - AQ","333","Machinery","3330 - 3339",2002,"NAICS_2007"
"AR - AT","334","All Other Electronic Products","3340, 3343 - 3349",2002,"NAICS_2007"
"AU - AW","335","Electrical Equipment, Appliances, and Components","3350 - 3359",2002,"NAICS_2007"
"AX - AZ","337","Furniture and Related Products","3370 - 3379",2002,"NAICS_2007"
"BA - BC","339","Miscellaneous Manufacturing","3390 - 3399",2002,"NAICS_2007"
"BD - BF","371","Iron, Steel, and Ferroalloys","3311, 3312",2002,"NAICS_2007"
"BG - BI","374","Computer and Peripheral Equipment","3341",2002,"NAICS_2007"
"BJ - BL","375","Basic Chemicals, Resins, and Synthetics","3251, 3252",2002,"NAICS_2007"
"BM - BO","376","Motor Vehicles and Parts","3361 - 3363",2002,"NAICS_2007"
"BP - BR","381","Nonferrous Metals","3313, 3314",2002,"NAICS_2007"
"BS - BU","384","Communications Equipment","3342",2002,"NAICS_2007"
"BV - BX","385","Pharmaceuticals and Medicines","3254",2002,"NAICS_2007"
"BY - CA","386","Aerospace Products and Parts","3364",2002,"NAICS_2007"
"CB","421","Wholesale Trade, Durable Goods","4230 - 4239",2002,"NAICS_2007"
"CC","422","Wholesale Trade, Nondurable Goods","4240 - 4259",2002,"NAICS_2007"
"CD","445","Food and Beverage Stores","4450 - 4459",2002,"NAICS_2007"
"CE","448","Clothing and General Merchandise Stores","4480 - 4489, 4520 - 4529",2002,"NAICS_2007"
"CF","450","All Other Retail Trade","4410 - 4449, 4460 - 4479,",2002,"NAICS_2007"
"CG - CI","CHEM(325,375,385)","Chemicals","3250 - 3259",2002,"NAICS_2007"
"CJ - CL","COMP(334,374,384)","Computer and Electronic Products","3340 - 3349",2002,"NAICS_2007"
"CM - CO","PRIM(331,371,381)","Primary Metals","3310 - 3319",2002,"NAICS_2007"
"CP - CZ","TDUR(321,327,331-335,337,339,","All Durable Manufacturing","3210 - 3219, 3270 - 3399",2002,"NAICS_2007"
NA,"371,374,376,381,384,386)",NA,NA,2002,"NAICS_2007"
"DA - DK","TMFG(311-386)","All Manufacturing","3110 - 3399",2002,"NAICS_2007"
"DL","TMIN","All Mining","2110 - 2139",2002,"NAICS_2007"
"DM - DW","TNDU(311-313,315,","All Nondurable Manufacturing","3110 - 3169, 3220 - 3269",2002,"NAICS_2007"
NA,"322-326,375,385)",NA,NA,2002,"NAICS_2007"
"DX - DZ","TRAN(376,386)","Transportation Equipment","3360 - 3369",2002,"NAICS_2007"
"n/a","n/a","(residual included in Transportation Equipment)","3360, 3365 - 3369",2002,"NAICS_2007"
"EA","TRET(445,448,450)","All Retail Trade","4410 - 4549",2002,"NAICS_2007"
"EB","TWHS(421,422)","All Wholesale Trade","4230 - 4259",2002,"NAICS_2007"
"B - D","311","Food","3110 - 3119",2003,"NAICS_2007"
"E - G","312","Beverage and Tobacco Products","3120 - 3129",2003,"NAICS_2007"
"H - J","313","Textile Mills and Textile Product Mills","3130 - 3149",2003,"NAICS_2007"
"K - M","315","Apparel and Leather Products","3150 - 3169",2003,"NAICS_2007"
"N - P","321","Wood Products","3210 - 3219",2003,"NAICS_2007"
"Q - S","322","Paper","3220 - 3229",2003,"NAICS_2007"
"T - V","323","Printing and Related Support Activities","3230 - 3239",2003,"NAICS_2007"
"W - Y","324","Petroleum and Coal Products","3240 - 3249",2003,"NAICS_2007"
"Z - AB","325","All Other Chemicals","3250, 3253, 3255 - 3259",2003,"NAICS_2007"
"AC - AE","326","Plastics and Rubber Products","3260 - 3269",2003,"NAICS_2007"
"AF - AH","327","Nonmetallic Mineral Products","3270 - 3279",2003,"NAICS_2007"
"AI - AK","331","Foundries","3310, 3315 - 3319",2003,"NAICS_2007"
"AL - AN","332","Fabricated Metal Products","3320 - 3329",2003,"NAICS_2007"
"AO - AQ","333","Machinery","3330 - 3339",2003,"NAICS_2007"
"AR - AT","334","All Other Electronic Products","3340, 3343 - 3349",2003,"NAICS_2007"
"AU - AW","335","Electrical Equipment, Appliances, and Components","3350 - 3359",2003,"NAICS_2007"
"AX - AZ","337","Furniture and Related Products","3370 - 3379",2003,"NAICS_2007"
"BA - BC","339","Miscellaneous Manufacturing","3390 - 3399",2003,"NAICS_2007"
"BD - BF","371","Iron, Steel, and Ferroalloys","3311, 3312",2003,"NAICS_2007"
"BG - BI","374","Computer and Peripheral Equipment","3341",2003,"NAICS_2007"
"BJ - BL","375","Basic Chemicals, Resins, and Synthetics","3251, 3252",2003,"NAICS_2007"
"BM - BO","376","Motor Vehicles and Parts","3361 - 3363",2003,"NAICS_2007"
"BP - BR","381","Nonferrous Metals","3313, 3314",2003,"NAICS_2007"
"BS - BU","384","Communications Equipment","3342",2003,"NAICS_2007"
"BV - BX","385","Pharmaceuticals and Medicines","3254",2003,"NAICS_2007"
"BY - CA","386","Aerospace Products and Parts","3364",2003,"NAICS_2007"
"CB","421","Wholesale Trade, Durable Goods","4230 - 4239",2003,"NAICS_2007"
"CC","422","Wholesale Trade, Nondurable Goods","4240 - 4259",2003,"NAICS_2007"
"CD","445","Food and Beverage Stores","4450 - 4459",2003,"NAICS_2007"
"CE","448","Clothing and General Merchandise Stores","4480 - 4489, 4520 - 4529",2003,"NAICS_2007"
"CF","450","All Other Retail Trade","4410 - 4449, 4460 - 4479,",2003,"NAICS_2007"
"CG - CI","CHEM(325,375,385)","Chemicals","3250 - 3259",2003,"NAICS_2007"
"CJ - CL","COMP(334,374,384)","Computer and Electronic Products","3340 - 3349",2003,"NAICS_2007"
"CM - CO","PRIM(331,371,381)","Primary Metals","3310 - 3319",2003,"NAICS_2007"
"CP - CZ","TDUR(321,327,331-335,337,339,","All Durable Manufacturing","3210 - 3219, 3270 - 3399",2003,"NAICS_2007"
NA,"371,374,376,381,384,386)",NA,NA,2003,"NAICS_2007"
"DA - DK","TMFG(311-386)","All Manufacturing","3110 - 3399",2003,"NAICS_2007"
"DL","TMIN","All Mining","2110 - 2139",2003,"NAICS_2007"
"DM - DW","TNDU(311-313,315,","All Nondurable Manufacturing","3110 - 3169, 3220 - 3269",2003,"NAICS_2007"
NA,"322-326,375,385)",NA,NA,2003,"NAICS_2007"
"DX - DZ","TRAN(376,386)","Transportation Equipment","3360 - 3369",2003,"NAICS_2007"
"n/a","n/a","(residual included in Transportation Equipment)","3360, 3365 - 3369",2003,"NAICS_2007"
"EA","TRET(445,448,450)","All Retail Trade","4410 - 4549",2003,"NAICS_2007"
"EB","TWHS(421,422)","All Wholesale Trade","4230 - 4259",2003,"NAICS_2007"
"B - D","311","Food","3110 - 3119",2004,"NAICS_2007"
"E - G","312","Beverage and Tobacco Products","3120 - 3129",2004,"NAICS_2007"
"H - J","313","Textile Mills and Textile Product Mills","3130 - 3149",2004,"NAICS_2007"
"K - M","315","Apparel and Leather Products","3150 - 3169",2004,"NAICS_2007"
"N - P","321","Wood Products","3210 - 3219",2004,"NAICS_2007"
"Q - S","322","Paper","3220 - 3229",2004,"NAICS_2007"
"T - V","323","Printing and Related Support Activities","3230 - 3239",2004,"NAICS_2007"
"W - Y","324","Petroleum and Coal Products","3240 - 3249",2004,"NAICS_2007"
"Z - AB","325","All Other Chemicals","3250, 3253, 3255 - 3259",2004,"NAICS_2007"
"AC - AE","326","Plastics and Rubber Products","3260 - 3269",2004,"NAICS_2007"
"AF - AH","327","Nonmetallic Mineral Products","3270 - 3279",2004,"NAICS_2007"
"AI - AK","331","Foundries","3310, 3315 - 3319",2004,"NAICS_2007"
"AL - AN","332","Fabricated Metal Products","3320 - 3329",2004,"NAICS_2007"
"AO - AQ","333","Machinery","3330 - 3339",2004,"NAICS_2007"
"AR - AT","334","All Other Electronic Products","3340, 3343 - 3349",2004,"NAICS_2007"
"AU - AW","335","Electrical Equipment, Appliances, and Components","3350 - 3359",2004,"NAICS_2007"
"AX - AZ","337","Furniture and Related Products","3370 - 3379",2004,"NAICS_2007"
"BA - BC","339","Miscellaneous Manufacturing","3390 - 3399",2004,"NAICS_2007"
"BD - BF","371","Iron, Steel, and Ferroalloys","3311, 3312",2004,"NAICS_2007"
"BG - BI","374","Computer and Peripheral Equipment","3341",2004,"NAICS_2007"
"BJ - BL","375","Basic Chemicals, Resins, and Synthetics","3251, 3252",2004,"NAICS_2007"
"BM - BO","376","Motor Vehicles and Parts","3361 - 3363",2004,"NAICS_2007"
"BP - BR","381","Nonferrous Metals","3313, 3314",2004,"NAICS_2007"
"BS - BU","384","Communications Equipment","3342",2004,"NAICS_2007"
"BV - BX","385","Pharmaceuticals and Medicines","3254",2004,"NAICS_2007"
"BY - CA","386","Aerospace Products and Parts","3364",2004,"NAICS_2007"
"CB","421","Wholesale Trade, Durable Goods","4230 - 4239",2004,"NAICS_2007"
"CC","422","Wholesale Trade, Nondurable Goods","4240 - 4259",2004,"NAICS_2007"
"CD","445","Food and Beverage Stores","4450 - 4459",2004,"NAICS_2007"
"CE","448","Clothing and General Merchandise Stores","4480 - 4489, 4520 - 4529",2004,"NAICS_2007"
"CF","450","All Other Retail Trade","4410 - 4449, 4460 - 4479,",2004,"NAICS_2007"
"CG - CI","CHEM(325,375,385)","Chemicals","3250 - 3259",2004,"NAICS_2007"
"CJ - CL","COMP(334,374,384)","Computer and Electronic Products","3340 - 3349",2004,"NAICS_2007"
"CM - CO","PRIM(331,371,381)","Primary Metals","3310 - 3319",2004,"NAICS_2007"
"CP - CZ","TDUR(321,327,331-335,337,339,","All Durable Manufacturing","3210 - 3219, 3270 - 3399",2004,"NAICS_2007"
NA,"371,374,376,381,384,386)",NA,NA,2004,"NAICS_2007"
"DA - DK","TMFG(311-386)","All Manufacturing","3110 - 3399",2004,"NAICS_2007"
"DL","TMIN","All Mining","2110 - 2139",2004,"NAICS_2007"
"DM - DW","TNDU(311-313,315,","All Nondurable Manufacturing","3110 - 3169, 3220 - 3269",2004,"NAICS_2007"
NA,"322-326,375,385)",NA,NA,2004,"NAICS_2007"
"DX - DZ","TRAN(376,386)","Transportation Equipment","3360 - 3369",2004,"NAICS_2007"
"n/a","n/a","(residual included in Transportation Equipment)","3360, 3365 - 3369",2004,"NAICS_2007"
"EA","TRET(445,448,450)","All Retail Trade","4410 - 4549",2004,"NAICS_2007"
"EB","TWHS(421,422)","All Wholesale Trade","4230 - 4259",2004,"NAICS_2007"
"B - D","311","Food","3110 - 3119",2005,"NAICS_2007"
"E - G","312","Beverage and Tobacco Products","3120 - 3129",2005,"NAICS_2007"
"H - J","313","Textile Mills and Textile Product Mills","3130 - 3149",2005,"NAICS_2007"
"K - M","315","Apparel and Leather Products","3150 - 3169",2005,"NAICS_2007"
"N - P","321","Wood Products","3210 - 3219",2005,"NAICS_2007"
"Q - S","322","Paper","3220 - 3229",2005,"NAICS_2007"
"T - V","323","Printing and Related Support Activities","3230 - 3239",2005,"NAICS_2007"
"W - Y","324","Petroleum and Coal Products","3240 - 3249",2005,"NAICS_2007"
"Z - AB","325","All Other Chemicals","3250, 3253, 3255 - 3259",2005,"NAICS_2007"
"AC - AE","326","Plastics and Rubber Products","3260 - 3269",2005,"NAICS_2007"
"AF - AH","327","Nonmetallic Mineral Products","3270 - 3279",2005,"NAICS_2007"
"AI - AK","331","Foundries","3310, 3315 - 3319",2005,"NAICS_2007"
"AL - AN","332","Fabricated Metal Products","3320 - 3329",2005,"NAICS_2007"
"AO - AQ","333","Machinery","3330 - 3339",2005,"NAICS_2007"
"AR - AT","334","All Other Electronic Products","3340, 3343 - 3349",2005,"NAICS_2007"
"AU - AW","335","Electrical Equipment, Appliances, and Components","3350 - 3359",2005,"NAICS_2007"
"AX - AZ","337","Furniture and Related Products","3370 - 3379",2005,"NAICS_2007"
"BA - BC","339","Miscellaneous Manufacturing","3390 - 3399",2005,"NAICS_2007"
"BD - BF","371","Iron, Steel, and Ferroalloys","3311, 3312",2005,"NAICS_2007"
"BG - BI","374","Computer and Peripheral Equipment","3341",2005,"NAICS_2007"
"BJ - BL","375","Basic Chemicals, Resins, and Synthetics","3251, 3252",2005,"NAICS_2007"
"BM - BO","376","Motor Vehicles and Parts","3361 - 3363",2005,"NAICS_2007"
"BP - BR","381","Nonferrous Metals","3313, 3314",2005,"NAICS_2007"
"BS - BU","384","Communications Equipment","3342",2005,"NAICS_2007"
"BV - BX","385","Pharmaceuticals and Medicines","3254",2005,"NAICS_2007"
"BY - CA","386","Aerospace Products and Parts","3364",2005,"NAICS_2007"
"CB","421","Wholesale Trade, Durable Goods","4230 - 4239",2005,"NAICS_2007"
"CC","422","Wholesale Trade, Nondurable Goods","4240 - 4259",2005,"NAICS_2007"
"CD","445","Food and Beverage Stores","4450 - 4459",2005,"NAICS_2007"
"CE","448","Clothing and General Merchandise Stores","4480 - 4489, 4520 - 4529",2005,"NAICS_2007"
"CF","450","All Other Retail Trade","4410 - 4449, 4460 - 4479,",2005,"NAICS_2007"
"CG - CI","CHEM(325,375,385)","Chemicals","3250 - 3259",2005,"NAICS_2007"
"CJ - CL","COMP(334,374,384)","Computer and Electronic Products","3340 - 3349",2005,"NAICS_2007"
"CM - CO","PRIM(331,371,381)","Primary Metals","3310 - 3319",2005,"NAICS_2007"
"CP - CZ","TDUR(321,327,331-335,337,339,","All Durable Manufacturing","3210 - 3219, 3270 - 3399",2005,"NAICS_2007"
NA,"371,374,376,381,384,386)",NA,NA,2005,"NAICS_2007"
"DA - DK","TMFG(311-386)","All Manufacturing","3110 - 3399",2005,"NAICS_2007"
"DL","TMIN","All Mining","2110 - 2139",2005,"NAICS_2007"
"DM - DW","TNDU(311-313,315,","All Nondurable Manufacturing","3110 - 3169, 3220 - 3269",2005,"NAICS_2007"
NA,"322-326,375,385)",NA,NA,2005,"NAICS_2007"
"DX - DZ","TRAN(376,386)","Transportation Equipment","3360 - 3369",2005,"NAICS_2007"
"n/a","n/a","(residual included in Transportation Equipment)","3360, 3365 - 3369",2005,"NAICS_2007"
"EA","TRET(445,448,450)","All Retail Trade","4410 - 4549",2005,"NAICS_2007"
"EB","TWHS(421,422)","All Wholesale Trade","4230 - 4259",2005,"NAICS_2007"
"B - D","311","Food","3110 - 3119",2006,"NAICS_2007"
"E - G","312","Beverage and Tobacco Products","3120 - 3129",2006,"NAICS_2007"
"H - J","313","Textile Mills and Textile Product Mills","3130 - 3149",2006,"NAICS_2007"
"K - M","315","Apparel and Leather Products","3150 - 3169",2006,"NAICS_2007"
"N - P","321","Wood Products","3210 - 3219",2006,"NAICS_2007"
"Q - S","322","Paper","3220 - 3229",2006,"NAICS_2007"
"T - V","323","Printing and Related Support Activities","3230 - 3239",2006,"NAICS_2007"
"W - Y","324","Petroleum and Coal Products","3240 - 3249",2006,"NAICS_2007"
"Z - AB","325","All Other Chemicals","3250, 3253, 3255 - 3259",2006,"NAICS_2007"
"AC - AE","326","Plastics and Rubber Products","3260 - 3269",2006,"NAICS_2007"
