Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2023:Q2,Other,16868770,6492440,5695992,796448,10376330,1398945,162703,455489,455489,0,125344,107168,18176,3820132,246189,261687,1139660,1317482,1282373,166327,2783964,2779147,2002630,672748,43381,60388,4817,14084806,16851101
2023:Q3,White,134722139,41134286,35127587,6006699,93587853,11417074,3418761,4371963,4371963,0,900407,845937,54470,33015698,1619929,2076156,7944134,13462124,14164942,1196665,13483412,13453034,9281808,3264581,271914,634730,30378,121238726,87592566
2023:Q3,Black,6483639,2833848,2266279,567570,3649791,345996,42474,45196,45196,0,32074,31773,300,258731,131021,278126,413778,1619819,343671,138905,1533625,1531138,771921,729848,15258,14111,2487,4950014,15220713
2023:Q3,Hispanic,4478983,2552534,2090510,462024,1926449,310398,26428,30195,30195,0,11,0,11,237845,46705,97275,249185,576679,275333,76396,1171908,1170976,850981,294655,10488,14852,932,3307075,12465961
2023:Q3,Other,16792242,6581944,5785456,796488,10210298,1390296,169796,464050,464050,0,120589,102398,18192,3684651,244835,285798,1112098,1287888,1282612,167686,2803454,2798564,2020749,673965,42909,60942,4889,13988788,16834215
2023:Q4,White,138701758,40862525,34843902,6018623,97839233,11467594,3601772,4694586,4694586,0,922314,868275,54039,36258235,1633635,1915265,8585581,13787165,13749941,1223146,13587292,13556409,9346697,3303957,273666,632089,30883,125114466,87585741
2023:Q4,Black,6553248,2815915,2243228,572688,3737333,345787,42805,47485,47485,0,33520,33226,295,278018,131921,254712,476355,1655797,328499,142434,1545254,1542701,772531,740727,15492,13950,2554,5007994,15186248
2023:Q4,Hispanic,4522968,2548052,2083498,464554,1974916,313521,27240,31279,31279,0,11,0,11,260937,47513,89908,271502,592213,262377,78414,1180240,1179280,857897,296001,10594,14787,960,3342728,12524427
2023:Q4,Other,17261555,6538980,5734406,804574,10722575,1397336,177002,504768,504768,0,122749,104571,18178,4037447,247406,263185,1200054,1356861,1244177,171590,2833032,2828057,2039705,683666,43616,61071,4975,14428523,16884096
2024:Q1,White,143948856,42371699,36300835,6070863,101577157,11646581,3667160,4620535,4620535,0,917866,864859,53008,39384306,1665382,1966455,9063915,13858826,13546293,1239839,13610596,13578581,9362122,3273240,276949,666270,32015,130338260,87624361
2024:Q1,Black,6713576,2898739,2317219,581519,3814837,347523,42972,46916,46916,0,33190,32906,284,296715,134496,261627,523503,1662459,320799,144635,1531114,1528404,763544,733364,15958,15538,2710,5182461,15174562
2024:Q1,Hispanic,4693230,2654537,2181296,473240,2038694,322534,27793,31430,31430,0,11,0,11,284956,49347,93336,290196,601181,257642,80268,1183860,1182837,858785,296599,10811,16643,1022,3509370,12657541
2024:Q1,Other,18297683,6998213,6170670,827543,11299470,1430400,182332,503428,503428,0,124295,106002,18293,4435802,255659,274932,1283102,1390432,1242582,176506,2874515,2869298,2072173,688767,45374,62983,5217,15423169,17159841
2024:Q2,White,146211114,43650160,37555906,6094254,102560954,11400215,3745474,4772611,4772611,0,906010,854105,51905,40095865,1675614,1993039,9186159,13889136,13642534,1254296,13686745,13654746,9414924,3282628,273846,683348,31999,132524369,87557201
2024:Q2,Black,6827712,2975204,2388470,586733,3852508,345972,43275,48137,48137,0,32501,32229,273,301786,135707,266029,537092,1670162,324768,147080,1542556,1539842,769019,738936,15507,16379,2714,5285156,15199639
2024:Q2,Hispanic,4824109,2753350,2272771,480579,2070759,317984,28420,32216,32216,0,10,0,10,293157,50358,95731,297658,609347,263764,82115,1200600,1199567,872798,298238,10833,17697,1033,3623509,12793432
2024:Q2,Other,18945852,7393118,6551934,841184,11552734,1433659,187380,528330,528330,0,124632,106323,18309,4563487,259987,282057,1314291,1411783,1266702,180427,2919053,2913779,2107174,697607,44820,64179,5274,16026799,17342683
