Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2014:Q4,pct60to80,12082016,15188591,4028983,1052154,1495725,4027057,1624304,721238,2239129,3106575,2182689,852396,71490
2014:Q4,pct40to60,6169588,7936096,2356002,690315,676333,1938814,563098,291917,1419617,1766509,1104581,629887,32041
2014:Q4,pct20to40,3522461,4543197,1624242,486934,291347,899236,152489,194127,894822,1020735,574947,419628,26160
2014:Q4,pct00to20,1972357,2624277,971349,281786,268655,201552,46074,348015,506846,651920,268131,276454,107335
2015:Q1,pct99to100,19764407,20694117,2894927,683861,8061197,255062,959073,3684842,4155156,929710,625955,94044,209711
2015:Q1,pct80to99,39599863,45491231,10004866,1665136,9586152,7673494,4979307,4065486,7516789,5891367,4576513,1031044,283810
2015:Q1,pct60to80,12217780,15306517,4073697,1055648,1498586,4057449,1641879,717518,2261741,3088737,2164251,849260,75226
2015:Q1,pct40to60,6268367,8029995,2403493,691895,668849,1942826,564935,293529,1464468,1761628,1095994,633480,32154
2015:Q1,pct20to40,3551239,4566667,1630323,489703,291872,896931,154742,200634,902462,1015428,570319,418187,26922
2015:Q1,pct00to20,1965974,2623599,965433,286096,271768,198392,46701,351190,504019,657625,267904,281088,108633
2015:Q2,pct99to100,20027980,20979094,2986294,701181,8121979,260218,971537,3802891,4134993,951114,635313,102388,213413
2015:Q2,pct80to99,39976175,45908817,10194776,1673962,9632163,7733823,4981354,4205816,7486923,5932642,4594240,1046452,291950
2015:Q2,pct60to80,12245507,15367332,4143945,1068383,1477412,4083726,1634033,721830,2238003,3121826,2168223,873962,79641
2015:Q2,pct40to60,6336322,8116230,2482304,700098,653162,1945154,556952,303523,1475037,1779908,1099509,647622,32777
2015:Q2,pct20to40,3555503,4582010,1641279,496946,289021,894228,154657,207872,898007,1026508,569072,429629,27807
2015:Q2,pct00to20,1970654,2627611,967403,294516,271810,194912,47556,356160,495254,656957,270254,277680,109023
2015:Q3,pct99to100,19633527,20606454,3071575,702958,7457477,263630,946761,3874022,4290031,972926,645500,110569,216857
2015:Q3,pct80to99,39529721,45481771,10357678,1680412,8911508,7775689,4787186,4296853,7672445,5952051,4613690,1065745,272616
2015:Q3,pct60to80,12113187,15270120,4218222,1076424,1331843,4100402,1545947,717286,2279996,3156933,2173160,900043,83730
2015:Q3,pct40to60,6338271,8140454,2551475,711080,593929,1943677,516299,303726,1520268,1802184,1104498,665108,32578
2015:Q3,pct20to40,3567614,4606780,1681307,497388,268396,890742,147112,214152,907683,1039166,568278,441760,29128
2015:Q3,pct00to20,1965667,2627879,974052,295434,255811,190696,48660,359148,504078,662212,273210,279839,109163
2015:Q4,pct99to100,20070579,21061512,3130454,709061,7794228,270005,981131,3895060,4281573,990933,658481,111542,220910
2015:Q4,pct80to99,40290876,46227178,10489548,1683013,9249567,7847475,4910469,4335071,7712034,5936301,4636649,1038120,261532
2015:Q4,pct60to80,12265006,15415271,4273064,1083164,1359827,4132559,1588970,703410,2274277,3150265,2179292,880642,90331
2015:Q4,pct40to60,6434065,8240090,2603959,719073,595885,1948119,529235,293722,1550096,1806025,1114016,657636,34373
2015:Q4,pct20to40,3619413,4653323,1711206,498717,272521,888287,151611,219336,911646,1033910,569055,432670,32185
2015:Q4,pct00to20,1957229,2625916,972618,297597,261987,187624,49351,359959,496780,668687,278314,279614,110759
2016:Q1,pct99to100,20418219,21423583,3191429,725253,7947459,275613,1004505,3870124,4409199,1005364,665232,114946,225186
2016:Q1,pct80to99,40879127,46808654,10623720,1686200,9393863,7911001,4968931,4324536,7900404,5929528,4638670,1034366,256492
2016:Q1,pct60to80,12368736,15519762,4313369,1092364,1356725,4160400,1604990,681157,2310756,3151025,2172771,882440,95814
2016:Q1,pct40to60,6511024,8319719,2653233,724733,587076,1950822,530744,274706,1598405,1808695,1110790,662968,34937
2016:Q1,pct20to40,3644570,4676432,1718753,504249,272210,885458,153551,223409,918802,1031862,565718,432761,33383
2016:Q1,pct00to20,1953057,2623654,963940,304443,264127,184212,50051,358693,498188,670596,278902,284754,106940
2016:Q2,pct99to100,20958034,21983731,3275616,748544,8214804,310563,1030286,3971833,4432085,1025698,674416,122178,229104
2016:Q2,pct80to99,41605465,47583713,10882345,1687384,9659592,7946358,5049318,4446737,7911979,5978248,4661760,1048537,267951
2016:Q2,pct60to80,12515091,15702631,4406853,1101906,1373651,4194979,1630714,683429,2311099,3187540,2181308,905154,101078
