Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2012:Q2,Hispanic,1247218,1994800,721993,276177,130626,315962,155428,177287,217326,747582,556622,182428,8532
2012:Q2,Other,4053276,5412667,1558783,369562,733972,821082,507917,484502,936849,1359391,1048405,280452,30534
2012:Q3,White,58817464,68824652,15097828,3748410,12817144,10425951,5686633,6468242,14580445,10007189,7356287,2029105,621797
2012:Q3,Black,2768188,3749833,939776,309268,201579,1328553,351288,173328,446040,981645,615120,353016,13509
2012:Q3,Hispanic,1244679,1990397,728915,272930,135434,305336,152192,183472,212118,745718,553388,183949,8381
2012:Q3,Other,4190039,5544794,1594997,369998,764991,838890,529641,505372,940904,1354754,1040836,284383,29535
2012:Q4,White,59560157,69578546,15235449,3773802,12951727,10502370,5741408,6561067,14812724,10018389,7337207,2084901,596281
2012:Q4,Black,2811278,3788614,934612,310500,211239,1343907,356693,180468,451194,977336,601810,364935,10591
2012:Q4,Hispanic,1262618,1978121,734760,270333,135851,294246,143997,185728,213206,715504,532571,176418,6515
2012:Q4,Other,4273174,5623120,1630302,372805,748252,855047,537603,517786,961326,1349946,1035406,286651,27889
2013:Q1,White,61926511,71875008,15560381,3792028,14501108,10787538,6015356,6645360,14573237,9948497,7243871,2088835,615791
2013:Q1,Black,2903860,3901564,937751,316299,231871,1389830,390194,187611,448008,997704,633573,353469,10662
2013:Q1,Hispanic,1256059,1996735,752231,266842,146270,292148,143113,187884,208248,740676,548491,185059,7126
2013:Q1,Other,4543634,5884322,1692815,377920,840017,903506,567282,530047,972735,1340688,1026962,286410,27316
2013:Q2,White,62691379,72663955,15946152,3801346,14712002,11034489,6066254,6946283,14157430,9972577,7208960,2131378,632239
2013:Q2,Black,2981954,3990159,952981,313361,243066,1430581,396505,203891,449775,1008205,638797,358721,10687
2013:Q2,Hispanic,1292589,2025377,785046,263890,147498,292283,134637,198244,203779,732788,543079,182233,7476
2013:Q2,Other,4711592,6050413,1755634,378223,829325,960754,575584,560389,990503,1338821,1023762,287860,27199
2013:Q3,White,64644780,74649752,16337135,3819175,15481268,11297090,6309155,7238503,14167426,10004972,7199665,2185028,620279
2013:Q3,Black,3080413,4107782,965263,307283,259027,1476510,429107,220599,449993,1027370,650033,368627,8710
2013:Q3,Hispanic,1346227,2079362,826535,262803,152848,293722,132818,208792,201845,733135,543086,183472,6577
2013:Q3,Other,4941976,6286857,1825399,377201,862247,1022042,603465,591005,1005497,1344881,1026422,293170,25289
2013:Q4,White,66329889,76448221,16579417,3823687,16400043,11557514,6594162,7388150,14105247,10118331,7170276,2212139,735916
2013:Q4,Black,3207052,4256625,999472,311099,263175,1517382,466486,220272,478740,1049573,650407,383431,15735
2013:Q4,Hispanic,1436432,2189341,838064,266093,176043,317199,157345,207419,227177,752908,547378,192246,13284
2013:Q4,Other,5140008,6503065,1871843,376455,918189,1073812,639044,591275,1032448,1363057,1026982,302652,33423
