Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2020:Q3,Bottom50,5.7,13.4,11.5,23.3,2.6,5.3,0.8,0.8,0.8,NA,0.2,0.2,0.9,0.7,7.8,1.7,5.5,2,1.4,20.6,31.8,31.8,22.1,56.8,43,27.5,8.6,2.1,64759021,
2020:Q4,TopPt1,11.7,4.4,3.9,6.8,14.5,9.8,11.7,16.3,16.3,NA,28.8,29,26.3,22.9,9.9,1,1.3,0.8,28.3,2.4,0.9,0.9,0.5,0.7,1.9,8.1,5.6,13.1,131668,
2020:Q4,RemainingTop1,16,9.5,10.2,5.6,18.5,13.7,20.7,22,22,NA,31.8,33.3,11.7,28.1,19.2,5.5,10,4.6,24.4,5.9,4.5,4.5,4.2,1.6,18.5,20,18.9,17.5,1164734,
2020:Q4,Next9,35.9,28.9,30.2,22.2,38.6,36.1,42.9,40.7,40.7,NA,27.7,27.6,29.4,36.8,29.8,57.9,44.1,45.2,32.2,22.9,18.6,18.5,23.1,7.6,9.1,17.6,30.9,38.2,11669284,
2020:Q4,Next40,30.8,43.8,44.1,42.2,25.8,35.1,23.9,20.3,20.3,NA,11.4,9.9,31.8,11.4,33.3,33.9,39.1,47.3,13.8,48.3,44.4,44.4,50.1,33.9,28.8,26,35.9,29,51888429,
2020:Q4,Bottom50,5.6,13.4,11.6,23.3,2.6,5.3,0.8,0.8,0.8,NA,0.3,0.2,0.8,0.8,7.8,1.7,5.5,2.1,1.4,20.6,31.6,31.6,22,56.2,41.8,28.3,8.7,2.2,64867929,
2021:Q1,TopPt1,11.9,4.4,4,7,14.8,10.1,12.4,16,16,NA,28.7,28.7,28,23.2,10.1,1.3,1.3,0.9,28.3,2.4,1,0.9,0.5,0.7,2.3,7.6,5.9,13.3,131799,
2021:Q1,RemainingTop1,16,9.4,10.1,5.5,18.6,13.8,20.2,21.9,21.9,NA,30.4,31.8,11.5,27.6,19,5.9,10.2,4.7,24.5,5.8,4.5,4.4,4,1.7,19.8,19.6,19.6,17.5,1166734,
2021:Q1,Next9,35.7,29.1,30.3,22.1,38.3,35.6,42.7,40.8,40.8,NA,28.8,28.8,28.9,36.8,29.9,56,44,44.2,32.1,22.7,18.8,18.8,23.2,7.8,9.3,18.5,31,37.8,11688493,
2021:Q1,Next40,30.8,43.8,44.1,42.2,25.7,35.2,23.9,20.5,20.5,NA,11.9,10.4,31,11.5,33.2,35,39.1,48,13.9,48.4,44.4,44.4,50.3,33.8,27.6,25.3,34.9,29,51975867,
2021:Q1,Bottom50,5.6,13.2,11.4,23.3,2.6,5.4,0.8,0.9,0.9,NA,0.3,0.2,0.7,0.9,7.8,1.8,5.4,2.2,1.3,20.7,31.4,31.4,22,56.1,41.1,29,8.6,2.3,64977526,
2021:Q2,TopPt1,12.2,4.5,4,7.3,15.2,10.1,12.6,16,16,17,28.5,28.4,29.5,23.5,10.2,1.4,1.3,1.1,28.4,2.4,1,1,0.5,0.8,2.6,7.4,5.8,13.6,131890,
2021:Q2,RemainingTop1,16,9.3,10,5.3,18.6,13.8,19.7,22,21.7,31.4,28.5,29.9,11.3,27.2,18.8,6.1,10.3,4.7,24.4,5.7,4.3,4.3,3.8,1.8,21,19.8,18.9,17.5,1168787,
2021:Q2,Next9,35.6,29.2,30.5,21.8,38.1,35.4,42.6,40.7,40.8,37.6,30.2,30.4,28.3,36.9,30.1,55,43.9,43.2,32,22.6,18.9,18.9,23.2,8.4,9.5,18.6,31.2,37.6,11707908,
2021:Q2,Next40,30.7,43.9,44.2,42.2,25.5,35.3,24.2,20.4,20.6,13.4,12.5,11.1,30.3,11.5,33.1,35.7,39.2,48.8,13.9,48.5,44.4,44.4,50.1,34.2,26.5,24.8,35.3,29,52064060,
2021:Q2,Bottom50,5.6,13.1,11.3,23.4,2.6,5.4,0.8,0.9,0.9,0.6,0.3,0.3,0.6,0.9,7.8,1.8,5.4,2.3,1.2,20.7,31.4,31.5,22.3,54.9,40.4,29.5,8.7,2.3,65088038,
2021:Q3,TopPt1,12.3,4.5,4,7.4,15.4,10.2,12.7,16.2,16.2,16.5,28.4,28.2,30.9,23.5,10.3,1.6,1.2,1.2,28.6,2.4,1,1,0.5,0.8,2.7,7.2,5.9,13.7,131939,
2021:Q3,RemainingTop1,15.9,9.2,9.9,5.2,18.6,13.7,19.2,22,21.5,31.3,26.2,27.3,11.1,26.9,18.6,6.4,10.4,4.8,24.4,5.7,4.3,4.3,3.7,1.9,22.5,20,18.6,17.3,1170900,
2021:Q3,Next9,35.4,29.2,30.5,21.7,37.8,35.2,42.7,40.6,40.8,37.4,32.1,32.4,27.8,37,30.2,53.5,44,42.1,31.9,22.5,18.9,18.9,23.1,8.7,9.9,18.5,31.4,37.4,11727577,
2021:Q3,Next40,30.9,44,44.3,42.3,25.6,35.4,24.6,20.3,20.7,14.1,13.1,11.9,29.6,11.6,33.1,36.5,39,49.5,13.9,48.7,44.3,44.3,50.1,34.2,25.8,24.3,35.4,29.2,52153192,
2021:Q3,Bottom50,5.6,13.1,11.2,23.4,2.6,5.4,0.8,0.9,0.9,0.6,0.3,0.3,0.6,1,7.8,1.9,5.4,2.4,1.2,20.7,31.4,31.5,22.6,54.5,39,30,8.7,2.4,65199690,
2021:Q4,TopPt1,12.5,4.6,4,7.5,15.6,10.3,13.3,16.2,16.2,NA,28.2,27.9,32.2,23.7,10.4,1.9,1.2,1.3,28.7,2.4,1,1,0.5,0.8,2.5,7.2,6,13.9,131942,
2021:Q4,RemainingTop1,15.8,9,9.8,5.1,18.6,13.8,18.8,21.3,21.3,NA,24.8,25.8,10.9,26.7,18.4,6.7,10.5,4.9,24.4,5.6,4.3,4.3,3.5,2,24.5,20.5,18.4,17.2,1173082,
2021:Q4,Next9,35.2,29.2,30.6,21.7,37.6,34.9,42.5,40.8,40.8,NA,33.2,33.6,27.4,37.1,30.4,51.8,44,41.2,31.9,22.4,19,18.9,23,9,10.4,18.1,31.5,37.2,11747547,
2021:Q4,Next40,30.9,44,44.3,42.3,25.6,35.5,24.6,20.8,20.8,NA,13.6,12.4,29,11.6,33,37.6,39.1,50.3,14,48.8,44.3,44.3,50.1,34.3,26,23.8,35.4,29.2,52243446,
2021:Q4,Bottom50,5.6,13.1,11.3,23.4,2.6,5.5,0.8,0.9,0.9,NA,0.3,0.3,0.5,1,7.8,1.9,5.3,2.4,1.1,20.8,31.4,31.5,22.8,53.8,36.5,30.4,8.7,2.4,65312706,
2022:Q1,TopPt1,12.3,4.6,4.1,7.6,15.7,10.4,13.5,16.4,16.4,NA,28.1,27.8,33.5,23.5,10.5,2.3,1.2,1.4,28.6,2.5,1,1,0.5,0.9,2.6,7.2,6.1,13.6,131898,
2022:Q1,RemainingTop1,15.5,9,9.6,5,18.4,13.7,18.3,21.1,21.1,NA,21.2,21.9,10.7,26.5,18.2,7.3,10.6,4.9,24.4,5.5,4.4,4.3,3.5,2,25.8,21,19,16.9,1175339,
2022:Q1,Next9,34.9,29.3,30.7,21.6,37.3,34.7,42.5,40.8,40.8,NA,36.1,36.7,26.8,37.2,30.4,48.7,44.3,39.8,31.8,22.3,18.9,18.9,22.8,9.2,10.7,17.6,31.6,36.8,11767864,
2022:Q1,Next40,31.6,44.4,44.8,42.3,26,35.6,24.8,20.8,20.8,NA,14.3,13.4,28.6,11.8,33,39.5,38.6,51.3,14.1,48.9,44.3,44.3,50.1,34.2,25.5,23.3,34.6,30.1,52335005,
2022:Q1,Bottom50,5.7,12.7,10.9,23.5,2.6,5.5,0.8,0.9,0.9,NA,0.3,0.3,0.4,1,7.9,2.1,5.3,2.6,1.1,20.8,31.5,31.6,23.1,53.7,35.3,30.9,8.7,2.5,65427312,
2022:Q2,TopPt1,11.7,4.6,4.1,7.5,15.3,10.3,13.9,16.7,16.7,NA,27.9,27.5,34.8,23,10.6,2.9,1.1,1.6,28.7,2.5,1,1,0.5,0.9,2.6,7.5,6.1,13.2,131804,
2022:Q2,RemainingTop1,15,8.8,9.5,5,18.1,13.7,18,20.8,20.8,NA,21.5,22.2,10.5,26.3,17.9,7.9,10.9,4.9,24.4,5.5,4.3,4.3,3.3,2.1,27.2,22.5,18.3,16.4,1177678,
2022:Q2,Next9,34.5,29.3,30.6,21.7,37.1,34.7,42.4,40.8,40.8,NA,35.8,36.5,26.1,37.5,30.5,44.9,45,38.8,31.7,22.2,18.9,18.8,22.8,9.6,11,15.7,31.8,36.5,11788576,
2022:Q2,Next40,32.7,44.6,44.9,42.3,26.9,35.7,24.9,20.8,20.8,NA,14.4,13.5,28.2,12.2,33.1,41.9,37.9,52.1,14.1,49.1,44.3,44.4,50,34.4,25.2,22.8,35,31.2,52428052,
2022:Q2,Bottom50,6,12.7,10.9,23.4,2.7,5.5,0.9,0.9,0.9,NA,0.3,0.3,0.4,1,7.9,2.3,5.2,2.6,1,20.8,31.5,31.5,23.3,53,33.9,31.5,8.7,2.7,65543732,
