Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2022:Q1,SomeCollege,26161740,9344901,7782043,1562858,16816839,2390674,262097,231146,231146,0,89641,82810,6832,3986113,253229,603712,1721436,4418181,2536415,324195,3608334,3603110,2399913,1102826,49224,51147,5224,22553405,36071953
2022:Q1,HS,16734127,6772919,5479766,1293153,9961208,1563335,157794,172780,172780,0,91685,77038,14647,2351383,206000,338208,832872,2282333,1688206,276611,2412804,2408531,1564948,757447,59863,26273,4273,14321322,31311876
2022:Q1,NoHS,2675118,1567676,1257159,310517,1107442,226649,11680,26455,26455,0,704,246,457,193335,20621,25635,65692,254130,213942,68601,456457,456013,277131,159759,14834,4288,445,2218660,12024351
2022:Q2,College,112570376,33909493,29683612,4225882,78660883,10645743,2250310,2223179,2223179,0,1080828,1023484,57344,29158339,1503837,1537891,6855111,10706083,11906812,792750,11610596,11580704,8023159,2634256,216800,706488,29893,100959780,52026909
2022:Q2,SomeCollege,25418147,9680243,8113790,1566453,15737904,2345060,261600,247325,247325,0,80036,74385,5651,3227118,241376,559940,1495207,4293660,2662867,323714,3647049,3642030,2444547,1110661,46283,40539,5019,21771098,35835513
2022:Q2,HS,16234195,7022288,5717341,1304947,9211907,1541757,161651,189296,189296,0,92268,77675,14594,1844379,197398,298297,702020,2144469,1759462,280910,2444041,2439965,1561530,784953,66510,26971,4076,13790154,31197935
2022:Q2,NoHS,2654961,1618519,1309230,309290,1036442,223944,11859,25950,25950,0,466,239,227,153829,18951,21085,58762,229461,222547,69588,458737,458335,276478,164257,14968,2632,402,2196224,12009485
2022:Q3,College,110947091,33517538,29156602,4360936,77429553,10520325,2326759,2684589,2684589,0,1027646,971244,56402,27866208,1519802,1516426,6610209,10663351,11881494,812745,11894449,11864218,8226049,2705747,226831,705591,30231,99052642,52652170
2022:Q3,SomeCollege,24557699,9288967,7714795,1574172,15268732,2285978,263557,288357,288357,0,70269,65639,4630,3016671,232532,531164,1414284,4197258,2645165,323497,3669281,3664432,2472154,1110923,45220,36135,4849,20888418,35560277
2022:Q3,HS,15586366,6726824,5407856,1318969,8859542,1511794,166294,223033,223033,0,93614,79100,14515,1694252,191409,268620,642295,2031504,1751124,285601,2443546,2439592,1538949,804784,68462,27396,3954,13142820,31058176
