Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2007:Q4,pct99to100,16059113,3054830,2545466,509364,13004283,1080369,462980,990391,773287,217103,669665,643748,25918,5580907,222404,41285,605820,444777,2839265,66419,801985,797975,597501,39892,6923,153660,4009,15257128,1161974,,
2007:Q4,pct80to99,34855148,11892806,10345902,1546904,22962342,2363175,937197,918513,604081,314432,321478,282938,38539,5416556,495733,802582,2457085,5127490,3825881,296652,6000907,5990275,4881805,820780,17772,269918,10632,28854241,22091245,,
2007:Q4,pct60to80,13619584,5672035,4655666,1016369,7947549,990166,275078,250727,153990,96738,91252,86142,5110,1396567,209144,340625,869381,2554612,778169,191826,3622494,3618026,2789423,769457,6634,52513,4467,9997090,23251960,,
2007:Q4,pct40to60,7712322,3428540,2722929,705611,4283782,625985,142739,142564,89583,52981,47852,34105,13747,519715,135360,185591,330235,1605112,415998,132633,1952135,1949286,1440731,489209,5872,13474,2849,5760186,23248971,,
2007:Q4,pct20to40,4455101,2219790,1771552,448238,2235312,513741,71070,83757,54415,29343,5419,0,5419,308424,101664,44388,94664,752029,168981,91174,898763,896658,567843,313030,6684,9101,2105,3556338,23258406,,
2007:Q4,pct00to20,2707740,1449604,1201301,248303,1258136,267870,18263,26850,14918,11932,9946,7845,2101,217500,41976,1247,10015,182628,427676,54165,489085,488219,299832,177109,6697,4582,866,2218654,23242966,,
2008:Q1,pct99to100,15356389,2990050,2486951,503099,12366339,1118833,530125,1002998,778349,224648,693536,669489,24047,5055142,215335,43092,571124,443264,2626335,66557,807561,802944,605764,39728,8126,149325,4617,14548828,1163025,,
2008:Q1,pct80to99,34243805,11592567,10022728,1569839,22651238,2487285,1049755,950133,625243,324890,385029,347075,37954,5032772,495088,780379,2351068,5206148,3612141,301440,6082093,6070833,4907804,822044,19897,321088,11260,28161713,22113908,,
2008:Q1,pct60to80,13265288,5491839,4468904,1022935,7773449,1001235,290010,255525,155408,100117,106646,100732,5914,1290402,208814,328057,783920,2577133,738184,193522,3604341,3599777,2783976,753051,7516,55235,4564,9660947,23276183,,
2008:Q1,pct40to60,7608091,3376786,2657963,718822,4231306,640099,150836,146759,91539,55220,50936,38440,12496,499071,136185,177806,301998,1609104,383327,135185,1974032,1971210,1459065,489216,6482,16448,2822,5634059,23273043,,
2008:Q1,pct20to40,4429775,2202981,1750345,452637,2226794,523760,78846,84043,53976,30067,5775,0,5775,294349,99982,41157,87068,744408,174189,93216,907282,905203,581550,307898,7633,8122,2080,3522493,23281428,,
2008:Q1,pct00to20,2709463,1426089,1170043,256046,1283374,270161,19572,28156,15066,13090,17284,14912,2371,221383,42793,1166,14186,181041,432139,55494,515521,514599,311964,190071,9116,3447,923,2193942,23267493,,
2008:Q2,pct99to100,14919379,2926835,2437949,488886,11992544,1077724,508208,1068657,846424,222233,663697,640405,23292,4776490,212773,45432,566336,442891,2563961,66375,819603,814848,618548,43780,6635,145885,4755,14099777,1163963,,
2008:Q2,pct80to99,33858872,11304007,9714857,1589150,22554865,2450403,1007514,990610,681600,309011,391216,352330,38887,4900632,503879,773252,2380647,5296949,3555094,304669,6003459,5991962,4890385,830624,14175,256778,11497,27855413,22132450,,
2008:Q2,pct60to80,13023610,5347520,4321722,1025798,7676090,975337,285343,269677,174214,95463,100976,93404,7572,1227555,210920,322407,755379,2606107,728205,194184,3552898,3548310,2737075,747891,5597,57747,4588,9470711,23296195,,
2008:Q2,pct40to60,7591558,3364127,2631765,732362,4227431,618781,147868,154012,101487,52525,67268,53594,13674,492753,138644,173574,295850,1615361,386548,136773,1988084,1985262,1470050,494181,4384,16647,2822,5603474,23292974,,
2008:Q2,pct20to40,4401756,2193728,1740691,453038,2208027,517887,76523,84858,56298,28560,8137,0,8137,286247,98415,38583,84746,737120,180923,94590,925470,923431,595619,312096,5277,10440,2039,3476286,23300045,,
2008:Q2,pct00to20,2729378,1410751,1151243,259509,1318627,271296,21072,34851,21483,13369,20008,16103,3905,230097,44530,1194,17711,179921,441475,56470,536851,535894,327606,191881,7480,8927,957,2192527,23287944,,
2008:Q3,pct99to100,14051076,2869233,2383777,485455,11181843,1105498,508638,1154854,915590,239263,639593,617061,22532,4047644,207363,47661,524788,441584,2437372,66848,815016,810410,614052,44007,10955,141396,4607,13236059,1164847,,
2008:Q3,pct80to99,33004918,11047235,9445290,1601945,21957683,2552461,1004176,1082904,738516,344388,401569,361667,39902,4295850,506675,758478,2239545,5376523,3428460,311043,6125347,6113851,4883227,842502,24908,363215,11496,26879571,22148277,,
2008:Q3,pct60to80,12666784,5202846,4175590,1027256,7463938,981310,285552,300643,194175,106468,97532,88104,9427,1083405,211458,313093,659999,2629272,704745,196930,3532533,3527964,2716018,741881,9583,60482,4569,9134252,23313438,,
2008:Q3,pct40to60,7520825,3329270,2589237,740032,4191555,628053,147667,171375,111870,59505,82341,67119,15222,457610,140056,167397,263323,1619469,373927,140335,1996815,1993978,1466533,498636,7931,20877,2837,5524010,23310198,,
2008:Q3,pct20to40,4363895,2173595,1717234,456361,2190300,525688,76719,89631,58274,31357,10911,0,10911,265886,96746,35560,76128,729449,186249,97331,930921,928931,601337,309724,10000,7871,1990,3432974,23315761,,
2008:Q3,pct00to20,2739108,1395595,1128912,266684,1343513,273395,22464,44328,28859,15468,23374,17664,5710,227648,45687,1168,21583,178399,447300,58169,558762,557784,330675,207064,15485,4559,978,2180346,23305733,,
2008:Q4,pct99to100,12813471,2806973,2323756,483217,10006498,1159042,582994,1295232,1048797,246436,495534,474375,21159,3004575,200187,49045,457846,438712,2256045,67287,813282,807917,610324,44368,11496,141729,5364,12000189,1165734,,
2008:Q4,pct80to99,31676560,10815319,9218079,1597240,20861240,2706773,1129708,1179923,826269,353654,299708,259637,40070,3353057,505751,710986,1979082,5437997,3241020,317237,5866514,5854270,4854778,846788,24420,128283,12244,25810046,22162793,,
2008:Q4,pct60to80,12160033,5050296,4031231,1019065,7109737,999043,302746,344525,235018,109507,50485,39749,10736,878648,211025,288431,522876,2642984,669417,199556,3485699,3481014,2676038,730597,9595,64783,4686,8674334,23329350,,
2008:Q4,pct40to60,7395901,3260357,2521261,739096,4135544,648700,157001,192736,131146,61590,117988,102737,15250,399285,140819,153250,213942,1620119,347914,143789,1985250,1982451,1457979,499182,7578,17711,2800,5410651,23326150,,
2008:Q4,pct20to40,4322337,2149666,1693280,456386,2172671,538565,85368,93736,61791,31945,19436,7042,12395,235021,95015,30925,63408,721176,190024,99996,940295,938329,606514,306343,9854,15617,1966,3382042,23330081,,
2008:Q4,pct00to20,2728484,1377871,1106629,271242,1350612,275827,23797,62560,45868,16692,15388,8692,6696,215047,46483,894,25181,176212,449393,59829,589953,588912,334432,216510,17092,20877,1042,2138530,23322275,,
2009:Q1,pct99to100,12088086,2738951,2262387,476564,9349136,1131724,574740,1364150,1086441,277709,439079,419138,19941,2572908,197104,52018,436513,434213,2080088,66598,803299,798239,608739,40222,9946,139332,5060,11284787,1166682,,
2009:Q1,pct80to99,31008306,10568862,8974163,1594699,20439444,2696672,1111505,1306782,867469,439313,280242,239726,40516,3037122,513420,712093,1926277,5480936,3056427,317968,5815680,5803566,4860258,829530,18601,95177,12114,25192626,22177400,,
2009:Q1,pct60to80,11839441,4907217,3896097,1011120,6932225,979565,301228,383037,247147,135891,36350,24046,12303,784058,212823,286223,468945,2646972,634464,198559,3440686,3436043,2663108,696565,7649,68721,4643,8398755,23345371,,
2009:Q1,pct40to60,7305315,3210527,2470188,740339,4094788,633481,155826,216504,137972,78533,135913,120038,15875,378329,143079,150650,197087,1617226,322869,143823,1977143,1974319,1460804,488893,5443,19179,2824,5328172,23342265,,
2009:Q1,pct20to40,4282284,2129051,1673944,455107,2153233,535372,84587,100636,61898,38738,26284,11837,14447,220274,93406,28461,58542,712291,193086,100294,931694,929782,614204,290898,7283,17397,1912,3350590,23344511,,
2009:Q1,pct00to20,2729836,1363346,1089119,274227,1366490,277144,25168,71727,50953,20774,15657,7610,8047,215742,48117,983,28209,173336,450170,60238,612269,611213,339474,232034,14418,25287,1055,2117567,23338983,,
2009:Q2,pct99to100,12188106,2679376,2215030,464347,9508730,1118594,538724,1170151,888879,281272,423849,405186,18664,3165026,196994,56391,476199,432613,1863963,66225,803585,799411,613255,40453,11746,133956,4174,11384521,1167749,,
2009:Q2,pct80to99,31561112,10342917,8742256,1600661,21218194,2715034,1044933,1220013,783242,436772,296507,255592,40916,3800832,527340,756540,2156431,5556003,2824338,320223,5805912,5794410,4840186,823829,21484,108911,11502,25755199,22193504,,
2009:Q2,pct60to80,11795030,4797727,3790943,1006784,6997303,966649,293036,321696,186341,135355,36708,22828,13880,882910,216250,304122,519419,2667873,590070,198570,3384212,3379700,2622948,676578,8884,71290,4513,8410817,23362942,,
