Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1992:Q4,RemainingTop1,3457055,3594400,591323,171212,859346,205351,129589,765517,872063,137345,93877,12315,31153
1992:Q4,Next9,8709943,9425269,2091787,474433,1196336,1927149,650800,1043057,2041707,715327,578849,71580,64898
1992:Q4,Next40,8723897,10457661,3595655,961636,606326,2255569,580596,573876,1884003,1733764,1371610,308282,53872
1992:Q4,Bottom50,952355,2201558,1093028,483574,50250,146553,74489,47350,306313,1249203,786539,431705,30959
1993:Q1,TopPt1,2320970,2342317,276381,133693,628544,34947,14148,611391,643213,21347,10471,409,10467
1993:Q1,RemainingTop1,3541413,3680328,608156,167024,917047,196544,137380,790819,863358,138915,96172,11343,31400
1993:Q1,Next9,8834106,9539156,2155013,449496,1230630,1981907,674254,1041038,2006818,705049,574477,65901,64671
1993:Q1,Next40,8777004,10503872,3589049,960576,615532,2282197,609997,576210,1870312,1726868,1372728,297698,56442
1993:Q1,Bottom50,903647,2173655,1041506,495825,52183,147019,82344,48402,306376,1270008,800856,431912,37240
1993:Q2,TopPt1,2373801,2395640,271971,135900,640150,32330,14774,621745,678770,21839,10986,251,10602
1993:Q2,RemainingTop1,3593341,3734840,608985,168785,957391,187703,142252,815979,853745,141499,99734,10982,30783
1993:Q2,Next9,8890670,9592743,2158792,457295,1240605,2036967,686737,1037446,1974900,702073,576106,64517,61450
1993:Q2,Next40,8879402,10624405,3658213,966718,617449,2308953,625277,578068,1869727,1745003,1388527,299596,56880
1993:Q2,Bottom50,920899,2238067,1082126,507747,53267,147491,88354,49481,309601,1317168,832993,443315,40860
1993:Q3,TopPt1,2456052,2478610,268404,134869,680509,29732,15396,637360,712340,22558,11317,220,11021
1993:Q3,RemainingTop1,3685450,3831907,606657,171178,1026592,178955,147696,844022,856807,146456,104453,10896,31107
1993:Q3,Next9,8983858,9683889,2152906,468154,1290783,2093396,704537,1037643,1936471,700032,573147,64953,61932
1993:Q3,Next40,9011079,10779531,3741244,972965,631316,2336643,643971,580869,1872523,1768452,1401761,306783,59908
1993:Q3,Bottom50,932992,2308443,1126810,518902,55756,148003,94601,50513,313859,1375452,867854,459816,47782
1993:Q4,TopPt1,2568158,2591802,265754,144368,721081,27179,16066,650110,767244,23644,11791,505,11348
