Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2020:Q3,TopPt1,14683154,1648606,1253279,395327,13034548,1159410,311189,522236,522236,0,307542,288822,18721,6646425,182449,22457,116057,126993,3607400,32391,142946,140786,54365,25118,4419,56884,2160,14540207,131499,
2020:Q3,RemainingTop1,20910505,3654563,3321961,332602,17255942,1666476,561621,725330,725330,0,365084,355784,9300,8589020,361175,132040,878233,789318,3106970,80675,719173,711662,471038,62143,44726,133755,7511,20191333,1162781,
2020:Q3,Next9,47481426,10952580,9650951,1301629,36528847,4451060,1132601,1324749,1324749,0,273122,249751,23370,10948595,551694,1467008,3917554,8023039,4126193,313233,2881879,2870201,2445316,301640,23300,99945,11677,44599548,11650236,
2020:Q3,Next40,41020699,16576394,14104690,2471704,24444305,4255271,620916,656312,656312,0,113505,88280,25225,3432728,624192,830768,3425107,8090917,1738857,655733,6991788,6978370,5326931,1400557,79360,171522,13417,34028911,51801563,
2020:Q3,Bottom50,7461423,5062099,3697448,1364652,2399324,640735,21820,25324,25324,0,2510,1840,670,223602,146478,43197,486596,344982,183127,280952,5000412,4997123,2353968,2353240,114634,175281,3289,2461011,64759021,
2020:Q4,TopPt1,16298789,1708422,1300560,407862,14590367,1261276,298621,533748,533748,0,315164,294993,20171,7964406,190981,26495,124627,147130,3694978,32941,148863,146783,56110,27617,5210,57845,2080,16149927,131668,
2020:Q4,RemainingTop1,22388835,3710554,3374630,335924,18678280,1770534,527982,722334,722334,0,347964,338950,9015,9748322,368928,142489,966715,811737,3190688,80585,723130,716156,455685,66808,50148,143515,6975,21665705,1164734,
2020:Q4,Next9,50222773,11290314,9953450,1336864,38932459,4649420,1096833,1336706,1336706,0,302822,280236,22587,12770091,572357,1492929,4240120,7948032,4208330,314818,2969469,2958047,2487955,319403,24676,126012,11423,47253304,11669284,
2020:Q4,Next40,43034991,17080024,14542205,2537818,25954967,4522361,611354,665204,665204,0,124553,100126,24427,3974554,639224,873652,3761829,8319452,1798231,664555,7103781,7090523,5406281,1419943,78210,186089,13259,35931210,51888429,
2020:Q4,Bottom50,7791713,5213153,3813436,1399718,2578560,686341,20833,25532,25532,0,2755,2166,589,290783,150261,44763,526490,365785,180706,284308,5048008,5044780,2377162,2351080,113443,203094,3228,2743705,64867929,
2021:Q1,TopPt1,17328798,1791384,1360558,430826,15537415,1383503,327411,419291,419291,0,316021,294013,22007,8750980,193907,33358,125910,167798,3785894,33342,153906,151612,57736,29096,6117,58663,2294,17174892,131799,
2021:Q1,RemainingTop1,23254544,3808477,3472131,336346,19446066,1897607,533416,576398,576398,0,334812,325764,9047,10394939,365910,150928,1006239,828124,3277445,80249,722495,714821,439929,69843,53071,151979,7675,22532048,1166734,
2021:Q1,Next9,51838670,11756017,10399259,1356757,40082653,4890515,1127658,1071263,1071263,0,317486,294766,22720,13871400,576714,1436982,4360471,7819986,4294844,315336,3031992,3019877,2525903,325502,24968,143503,12115,48806678,11688493,
2021:Q1,Next40,44625673,17716868,15121195,2595673,26908806,4841739,632613,537987,537987,0,131289,106897,24392,4316333,640896,899259,3868949,8509677,1859244,670820,7167028,7153394,5476549,1407000,74044,195802,13634,37458645,51975867,
2021:Q1,Bottom50,8058138,5349917,3918139,1431778,2708221,740881,21991,23187,23187,0,2928,2373,554,334285,151087,46589,537542,384938,178275,286519,5065952,5062580,2392284,2335768,110250,224278,3373,2992185,64977526,
2021:Q2,TopPt1,18595438,1931998,1458412,473586,16663440,1400136,332350,403318,393010,10308,320876,297270,23606,9596227,200212,37929,130402,188305,4020003,33681,162492,160255,60763,33540,6934,59017,2237,18432946,131890,
2021:Q2,RemainingTop1,24374756,3993691,3650174,343516,20381065,1907247,517778,552829,533813,19016,321143,312129,9014,11105938,369565,161034,1067487,846481,3451740,79822,731804,724566,432282,78216,55946,158123,7238,23642952,1168787,
2021:Q2,Next9,54148121,12538015,11122367,1415648,41610107,4909392,1121228,1024280,1001537,22743,339959,317304,22655,15060300,591196,1447166,4571262,7707574,4522294,315454,3188025,3176088,2634509,367971,25314,148294,11938,50960096,11707908,
2021:Q2,Next40,46739515,18849964,16109490,2740474,27889551,4894475,636201,513606,505514,8092,140300,116087,24213,4682683,650862,938965,4078053,8712668,1965598,676140,7470213,7456694,5689073,1499462,70416,197744,13519,39269301,52064060,
2021:Q2,Bottom50,8456391,5645502,4129298,1516204,2810889,750110,21941,22688,22304,384,3146,2634,512,380487,153751,48213,561501,404699,176048,288305,5288186,5284858,2536061,2405983,107405,235408,3329,3168204,65088038,
2021:Q3,TopPt1,19172560,2035034,1535176,499858,17137526,1427256,325708,421779,400672,21107,332058,306900,25158,9732287,204259,43681,127041,209170,4279822,34466,166629,164376,61853,35629,7571,59323,2253,19005931,131939,
2021:Q3,RemainingTop1,24754984,4122210,3773017,349193,20632774,1929201,492519,572753,532655,40098,306288,297276,9012,11134223,368969,170306,1074810,860849,3642648,80207,743123,736012,426259,83369,62302,164082,7111,24011861,1170900,
2021:Q3,Next9,55131508,13126745,11663386,1463359,42004763,4951426,1096637,1058517,1010592,47925,375226,352554,22672,15286032,599252,1422724,4560667,7559054,4776145,319084,3253199,3241200,2675266,386680,27218,152037,11999,51878309,11727577,
2021:Q3,Next40,48164209,19768877,16923269,2845608,28395333,4975219,630766,529971,511866,18105,153351,129236,24116,4780700,655563,971409,4037258,8890520,2080647,689928,7608752,7595213,5800448,1524333,71366,199066,13539,40555457,52153192,
2021:Q3,Bottom50,8719677,5862450,4286852,1575599,2857226,764102,21313,23224,22430,794,3459,2984,475,394841,155252,49949,554122,423414,173676,293874,5398970,5395634,2611904,2430168,107862,245699,3336,3320706,65199690,
2021:Q4,TopPt1,20004685,2097669,1573941,523728,17907016,1501860,353785,371423,371423,0,335819,309213,26606,10266315,208159,50075,130582,229481,4424526,34990,170839,168551,63114,38189,7900,59347,2288,19833846,131942,
2021:Q4,RemainingTop1,25403276,4152861,3796740,356121,21250415,2004964,499488,489373,489373,0,294666,285659,9007,11557979,368235,179127,1129646,880849,3765935,80153,761374,754306,419397,89368,76696,168844,7069,24641902,1173082,
2021:Q4,Next9,56474355,13424061,11907192,1516870,43050294,5094682,1129245,936164,936164,0,394559,371884,22675,16064771,607117,1378925,4746245,7458075,4919702,320809,3326838,3314714,2721891,410896,32508,149419,12125,53147516,11747547,
2021:Q4,Next40,49543646,20200788,17244290,2956498,29342859,5178195,652689,476314,476314,0,161322,137302,24020,5032829,660107,999828,4217250,9104334,2160849,699142,7771908,7758313,5918983,1561650,81279,196402,13595,41771738,52243446,
2021:Q4,Bottom50,8988366,6019481,4381589,1637892,2968885,798895,22488,21348,21348,0,3654,3215,439,427213,156719,51750,574566,443741,171116,297396,5507906,5504548,2691103,2448421,114076,250948,3358,3480459,65312706,
2022:Q1,TopPt1,19890694,2282313,1726361,555952,17608382,1544609,354237,398398,398398,0,363878,336872,27006,9730029,208904,59571,120819,252850,4539668,35420,172853,170389,63430,39121,8540,59298,2464,19717841,131898,
2022:Q1,RemainingTop1,25187274,4468067,4105316,362751,20719207,2045959,482360,512212,512212,0,273993,265383,8610,10943936,361500,185696,1090808,869554,3873229,79958,777141,769513,418645,93670,83808,173390,7627,24410133,1175339,
2022:Q1,Next9,56572980,14611314,13042379,1568934,41961667,5172240,1117753,991220,991220,0,466813,445266,21547,15376403,605911,1243586,4548497,7080779,5036547,321920,3362723,3350011,2747795,421996,34667,145554,12712,53210257,11767864,
2022:Q1,Next40,51344489,22128428,19050994,3077434,29216060,5302230,653117,505552,505552,0,185542,162536,23006,4873993,657218,1008869,3969092,9120706,2232848,706894,7884041,7870131,6029039,1565538,82600,192954,13910,43460447,52335005,
2022:Q1,Bottom50,9280496,6324396,4617198,1707197,2956100,820261,22262,22161,22161,0,4205,3844,361,411166,156543,53832,541253,455642,168513,300261,5615032,5611552,2785075,2456650,114602,255226,3479,3665464,65427312,
2022:Q2,TopPt1,18429546,2384207,1826658,557548,16045339,1526299,373409,447668,447668,0,350017,322900,27117,7902617,207523,69756,102801,275018,4754117,36115,177089,174682,65013,42175,9061,58434,2406,18252457,131804,
2022:Q2,RemainingTop1,23511794,4621166,4253509,367657,18890628,2019345,482624,559088,559088,0,269466,261288,8178,9058591,350751,191750,989359,847136,4042250,80268,785494,778294,409780,100265,93832,174418,7200,22726300,1177678,
2022:Q2,Next9,54118806,15325809,13717525,1608284,38792997,5122596,1137631,1095647,1095647,0,449023,428694,20329,12884068,598652,1086386,4096546,6744604,5252638,325208,3428320,3415775,2804873,450671,38012,122219,12544,50690486,11788576,
2022:Q2,Next40,51376397,23275320,20138949,3136371,28101077,5272769,668741,559737,559737,0,181003,159096,21907,4202104,649367,1013336,3448849,9048432,2336840,719899,8051865,8038064,6158550,1615371,86890,177253,13802,43324531,52428052,
2022:Q2,Bottom50,9441137,6624043,4887332,1736711,2817094,815494,23016,23610,23610,0,4090,3804,285,336285,155270,55984,473546,458483,165844,305472,5717656,5714218,2867498,2485645,116767,244307,3438,3723481,65543732,
