Table 6.3B. Wages and Salaries by Industry
Table 6.3B. Wages and Salaries by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
52,"        Finance, insurance, and real estate",4921,5147,5683,6241,6756,7365,7980,8662,9454,10091,10750,11624,12330,13221,13876,14722,15820,16915,18243,20031,22613,25063,27311,29747,32714,36115,39611,43116,47572,53133,61907,70582,80650,90450,99107,111498,123559,138639,158074,176726
53,"            Banking",1228,1298,1399,1556,1716,1873,1999,2140,2341,2526,2704,2866,3104,3305,3508,3735,4000,4258,4611,5093,5702,6531,7400,8006,8628,9584,10979,12045,13121,14323,16069,18321,21057,23993,27052,29178,31370,34205,36931,39269
54,"            Credit agencies other than banks",320,351,401,456,522,587,656,747,848,930,986,1086,1209,1317,1409,1562,1686,1809,1908,2015,2166,2355,2522,2744,3032,3424,3828,4143,4597,5212,6094,7043,7874,8705,9468,11212,13152,15269,18370,20629
55,"            Security and commodity brokers",248,244,314,342,342,353,447,547,562,571,660,834,848,1092,1021,989,1092,1228,1491,1887,2558,2808,2432,2841,3237,3036,2850,3259,3819,4205,4716,5480,7398,9018,10501,14373,15519,18005,23210,27919
56,"            Insurance carriers",1620,1755,1914,2102,2310,2568,2740,2892,3150,3458,3692,3913,4149,4346,4571,4854,5203,5480,5804,6322,6893,7355,8139,8548,9240,9971,11050,11982,12984,14291,16277,18119,20165,22005,24263,26004,28197,31032,34690,37996
57,"            Insurance agents, brokers, and service",344,373,411,469,511,565,615,655,728,786,851,906,977,1047,1120,1188,1283,1379,1482,1606,1740,1921,2150,2356,2572,2927,3278,3750,4170,4856,5742,6692,7563,8340,9071,9765,10836,12355,13979,15927
58,"            Real estate",1095,1059,1180,1247,1272,1334,1430,1579,1710,1695,1716,1861,1882,1936,2057,2200,2342,2520,2681,2823,3190,3641,4145,4669,5345,6330,6623,6761,7569,8712,10961,12591,13862,15168,14789,16514,19269,21721,23937,26334
59,"            Holding and other investment offices",66,67,64,69,83,85,93,102,115,125,141,158,161,178,190,194,214,241,266,285,364,452,523,583,660,843,1003,1176,1312,1534,2048,2336,2731,3221,3963,4452,5216,6052,6956,8651
60,"        Services",12878,13275,14102,15350,16434,17640,18309,20119,22109,23796,25173,27228,29523,31341,33783,36032,39113,42503,47001,51894,57756,65530,72051,78173,86942,97759,108975,120290,134083,149709,172819,197356,225673,256233,284007,311618,347221,380311,416457,468712
61,"            Hotels and other lodging places",918,922,932,996,1065,1125,1145,1196,1263,1353,1367,1455,1549,1576,1662,1780,1946,2121,2344,2587,2852,3199,3512,3759,4134,4641,5036,5386,5967,6522,7508,8651,9839,11247,12172,13234,14862,16228,17524,19103
