1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q2,2253093,326578,1926515,1840468,86047,1596,15533,53284,224383,7087,342690,310671,346045,216481,108493,22993,-1922,-35374,166875,-23118,61170,-2331,-3138,-58296,-122231,16737,34769,12429,7189,5784,1405,0,-33934,-4528,71414,26562,108983,225,16677,202249,3668,199001,160393,34525,-5646,7141,2588,-150,-270,32019
2001:Q3,2249279,283894,1965385,1847263,118122,-135,-1802,52415,227765,5554,394415,442433,349695,217519,111089,23087,-2000,92738,346577,-1501,61880,-71,65928,89079,68660,50310,-5433,-24458,93653,92203,1450,0,-109630,-6007,-32019,3454,160928,225,20657,253839,2138,251058,147534,30102,7641,63193,2588,-150,793,-48018
2001:Q4,2246923,308718,1938205,1874464,63741,239,-5553,67433,230500,8663,358803,467714,367009,234469,111007,23598,-2065,100705,230336,79371,4605,288,75060,-57713,-1793,-70668,7076,7672,-41106,-42322,1216,0,15062,-8276,40747,21896,92728,225,7449,129631,6866,123064,114233,77475,-13319,-57913,2588,-150,-149,-108911
2002:Q1,2258182,263069,1995113,1839172,155941,-218,3088,61024,232004,8626,437037,377386,365878,229007,114442,24467,-2038,11508,146025,-60665,161944,-905,-30735,-29590,-26990,-10208,16505,-8897,-6762,-8544,1782,0,-66289,-47991,59317,24643,134423,1185,7450,134517,2112,127742,137025,-8311,-2050,-1303,2381,4331,332,59651
2002:Q2,2282977,257627,2025350,1892104,133245,9,12767,59280,235080,8143,406705,333859,370376,229276,117920,25255,-2075,-36517,152903,-7105,14328,448,-51207,86782,-31740,-21736,43940,96318,-27094,-28399,1305,0,-32669,-8517,28317,24715,108413,1185,15307,189420,3185,182034,176230,34128,-10627,-20078,2381,4331,-130,72846
2002:Q3,2294167,257036,2037131,1914323,122808,-266,-11437,62457,238678,8419,426696,188810,377142,234982,118717,25544,-2101,-188331,34324,1171,116296,1562,-28375,-37384,-24635,-61702,-758,49711,1231,-581,1812,0,-127442,-5811,-39768,15847,123063,1185,12748,222655,1434,216170,194120,33964,-1255,-13040,2381,4331,720,237885
2002:Q4,2314726,274446,2040280,2000675,39604,-2852,-663,56116,242953,3875,332610,504635,377659,231319,122813,25641,-2114,126977,375001,42712,7255,156,73194,45835,-44861,-24858,26427,89127,-6081,-7844,1763,0,65950,-10074,17082,-28,130841,1185,6975,248025,5838,237874,197153,45399,-6550,-509,2381,4331,-18,-172025
2003:Q1,2326678,259633,2067045,1921482,145563,-1952,3144,52782,245442,3689,435002,235835,380016,228630,127733,25760,-2107,-144180,44707,-32085,132322,1691,-48041,-122419,17356,-115558,-6809,-17409,16025,15014,1011,0,-115128,-25273,22785,19313,181788,1085,12645,188888,4090,182471,174128,-7885,1060,13690,1478,1636,691,199166
2003:Q2,2352174,250865,2101309,1983412,117898,-65,13803,59044,248121,3088,408107,505707,390560,236439,129943,26289,-2111,115147,503169,8908,69412,2487,-30649,-86543,-25501,-62892,44955,-43104,100276,98704,1572,0,174119,25567,86436,20346,120998,1085,10726,388022,3770,382275,258139,32808,2983,86867,1478,1636,341,-97600
2003:Q3,2384413,228822,2155591,2019442,136149,-509,-11780,64836,251727,3018,460965,389717,407677,244405,138547,26843,-2118,-17959,237231,-39571,53602,-2969,-50282,2461,3716,89313,-10266,-80303,1208,1035,173,0,70666,24860,20359,21843,114935,1085,19034,255191,2766,250771,242553,37745,-6899,-24107,1478,1636,18,71247
2003:Q4,2418489,264220,2154269,2113986,40283,523,-1241,63505,256225,3708,358070,535520,416473,245648,145660,27294,-2129,119047,357593,30735,29397,1695,-37212,-13464,-24574,63756,7250,-59896,-3701,-4703,1002,0,121066,8321,53789,12158,133371,1085,20353,238546,3180,233826,194992,43257,33977,-39878,1478,1636,-96,-177451
2004:Q1,2442756,254053,2188703,2046678,142025,-1038,2897,64539,260796,3427,459998,548257,425085,249150,151041,27128,-2234,123172,305794,-14524,129136,2363,-40301,27547,17550,-40255,26557,23695,23002,20885,2117,0,-28253,-31431,76401,1819,150034,2408,7594,182623,2108,176494,173075,-6460,-1492,10182,1189,4095,-74,-88259
2004:Q2,2483684,249622,2234062,2105554,128508,-63,12903,61700,266211,3465,439988,238155,434372,249559,159433,27603,-2222,-196217,122386,-24001,103157,2685,-43208,-88132,-99467,-39474,55501,-4691,33502,31346,2156,0,-27434,32152,-40818,13780,150723,2408,7571,318603,5539,308195,272585,18067,-84,16438,1189,4095,774,201833
2004:Q3,2518471,256107,2262364,2136498,125866,115,-13931,63055,271699,-8766,483432,473172,443838,254024,164144,27846,-2176,29335,288074,-16123,52216,975,-42265,61699,-9294,32250,26404,12339,-4670,-6691,2021,0,-50558,27555,41551,12046,185683,2408,17557,258739,1284,253025,223371,50335,-20931,-939,1189,4095,335,10260
2004:Q4,2570963,288962,2282001,2261350,20651,15,2524,66292,275901,3335,357001,514118,454325,259175,169159,28087,-2096,59793,423727,53339,89207,2900,1753,116343,62136,159243,38234,-143270,63106,60516,2590,0,-175016,11554,64184,13737,158323,2408,21890,363935,4223,355147,261086,55244,-1340,38968,1189,4095,470,-157117
2005:Q1,2573141,290747,2282394,2168456,113938,-29,-42,63607,280603,3652,454509,416108,460282,259054,175549,28019,-2340,-44174,163766,-5621,129991,5638,-42871,-34790,-48011,-38213,22093,29341,-9932,-12729,2797,0,-48763,-58672,54268,4334,154200,2468,13515,207940,3120,200630,227982,-15145,-12207,-1985,1985,3926,264,38401
