1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q2,1941507,12525,138659,1685661,1513576,105207,9817,57061,7948,96714,1935987,1289354,166212,114025,52187,24095,77482,246466,5356,179712,111731,59423,1755,6803,2453,1212,30866,0,3323,10041,356,4521,0,1526,7100,0,132379,5520
1979:Q3,2017407,12825,142290,1745095,1558862,117491,10550,58192,8271,108926,2015067,1323380,170510,116198,54312,30441,76988,266947,3651,195919,122514,64903,2090,6412,2581,842,31856,0,3539,14394,370,4559,0,1936,7300,0,146801,2340
1979:Q4,2078701,13091,147657,1796471,1606554,121133,11325,57459,9254,112228,2063062,1336486,185946,129567,56379,21833,77862,292391,8774,209698,136332,65165,2441,5760,2852,2095,32949,0,4024,17096,506,4595,0,2205,7597,0,148545,15639
1980:Q1,2075780,13352,145414,1796968,1609182,120371,11615,55800,9684,110362,2067751,1351848,181993,124587,57406,14934,77462,288707,5782,204609,133111,63522,2531,5445,3105,1063,33749,0,4185,20456,482,4629,0,2647,8000,0,152807,8029
1980:Q2,2126126,13523,151698,1822304,1625674,127096,11734,57800,10126,128475,2116663,1375253,182297,123697,58600,20794,75124,313893,3888,226829,147281,68942,2621,7985,3026,1733,34420,0,4220,23437,466,4663,0,2711,8500,0,149302,9463
1980:Q3,2191274,13653,149508,1878992,1666730,139395,11867,61000,9498,139623,2196915,1425264,185242,125030,60212,29359,72756,332566,3303,240979,156218,73242,2711,8808,2985,1196,34967,0,4148,28021,366,4696,0,2905,9000,0,151728,-5641
1980:Q4,2301561,13832,154923,1966649,1736732,156017,12200,61700,10068,156089,2291950,1478236,195550,133378,62172,21688,75551,360882,6255,263164,170999,81095,2800,8270,2947,2643,35989,0,4287,27970,533,4728,0,2997,9369,0,160043,9611
1981:Q1,2303295,14004,150143,1970618,1739634,155229,12755,63000,9694,158836,2302517,1484310,196543,133444,63099,24690,74820,371185,4986,262348,172707,77723,2754,9164,2976,1765,36854,0,4891,40672,384,4759,0,2950,8600,0,150970,778
1981:Q2,2393515,14158,151412,2047670,1790267,179857,13546,64000,9793,170482,2387336,1513084,192717,128777,63940,23305,73137,419622,4528,303696,195030,97369,2775,8522,3003,1984,37467,0,4477,46154,384,4789,0,2720,10420,0,165472,6179
1981:Q3,2464058,14313,155917,2098485,1828339,192129,14317,63700,11801,183542,2476556,1548157,189086,124236,64850,30581,72434,455608,5799,322545,210507,101749,2833,7456,3019,2557,38531,0,5039,57510,450,4819,0,3139,12200,0,180690,-12498
1981:Q4,2537495,14482,161745,2137921,1875650,182864,14807,64600,11914,211433,2538802,1621645,190993,125031,65962,24447,76466,444702,3566,305043,198241,95193,2900,8709,2982,3161,39902,0,4437,63209,710,4847,0,2844,14001,0,180550,-1307
1982:Q1,2596346,14637,158199,2176344,1908453,185250,15041,67600,12590,234576,2601976,1663783,185155,118362,66793,26345,78990,469380,4881,324254,215937,92741,2999,12577,3097,794,42509,0,4624,64231,521,4872,0,3398,16200,0,178323,-5630
1982:Q2,2682505,14777,158844,2234897,1948501,201465,15031,69900,12200,261787,2688662,1706113,183499,115577,67922,25771,78886,506945,4424,350837,234703,100086,3145,12903,3057,1592,45852,0,5370,68668,491,4896,0,3275,18484,0,187449,-6157
1982:Q3,2775398,14912,166547,2309678,2004374,218736,14968,71600,13813,270449,2786267,1742195,190247,120520,69727,43419,79791,546605,2443,384129,256439,110330,3294,14066,2964,1651,48716,0,5919,73779,427,4920,0,4557,17100,0,184009,-10868
1982:Q4,2893780,15043,173507,2400478,2088015,222627,15036,74800,14732,290020,2893562,1817986,213763,141655,72108,34158,81275,561059,4080,401523,268651,113142,3400,16330,2774,3439,51675,0,6973,64860,560,4948,0,4504,15723,0,185321,218
1983:Q1,2953757,15213,168595,2453112,2133775,224108,15229,80000,13782,303055,2963979,1897446,211731,136822,74909,32138,80541,567550,3944,418334,277206,115704,3470,21954,2402,1305,55604,0,8552,49782,499,4976,0,3952,18200,0,174574,-10222
1983:Q2,3034552,15392,174339,2527214,2196789,230099,15526,84800,13083,304524,3041519,1949326,225794,147909,77885,44894,78835,569168,4989,415034,273174,116640,3503,21717,2204,1778,61295,0,8983,46016,356,5005,0,4013,19495,0,173502,-6967
1983:Q3,3107353,15568,185464,2589891,2244106,242783,15802,87200,12440,303989,3112184,2005192,234308,153289,81019,53592,75305,568722,1793,418776,275293,122014,3536,17933,1744,1344,61807,0,8466,44713,623,5035,0,3421,21000,0,175065,-4831
1983:Q4,3241136,15732,182234,2657043,2289002,262413,15928,89700,11841,374286,3171452,2050785,258133,173940,84193,29749,77547,559619,2977,401072,259252,119844,3600,18376,1183,2527,63602,0,10185,46200,765,5068,0,3641,22399,0,195619,69684
1984:Q1,3320210,15889,179711,2723170,2354987,256282,15901,96000,10901,390540,3247650,2099797,271443,185486,85957,32400,78359,575059,2251,418638,265170,130225,3699,19544,1087,1248,63244,0,11727,44674,764,4701,0,3726,23000,0,190592,72560
1984:Q2,3436473,16113,184541,2825325,2433069,275352,15704,101200,12351,398142,3360628,2176437,267301,179551,87750,32679,80906,595335,4624,430728,268285,138386,3825,20232,1898,1843,63499,0,12883,47639,663,4704,0,3525,23329,0,207970,75845
1984:Q3,3505627,16237,192080,2888596,2496476,274110,15510,102500,14942,393772,3429241,2226469,260215,170273,89942,48813,82423,605297,7379,437303,274180,140308,3958,18857,1649,1189,68341,0,14730,43626,952,4840,0,3488,21800,0,206024,76386
1984:Q4,3629363,16418,195448,2998102,2595468,284548,15486,102600,18852,400544,3543129,2309314,277745,185106,92639,36462,86581,623667,4635,453810,288420,143731,4075,17584,1713,3059,71322,0,13959,45323,1346,4647,0,3904,19949,0,209360,86234
1985:Q1,3667139,16588,193616,3039965,2622372,292478,15615,109500,15404,401566,3583606,2347103,272205,175984,96221,31652,90280,631086,3291,458348,284635,149843,4194,19676,2319,1519,76731,0,16424,42790,944,4733,0,3937,20050,0,211281,83533
1985:Q2,3738773,16783,200667,3103920,2680858,290097,15865,117100,20318,397085,3656246,2384073,275623,175209,100414,41696,92172,643347,1996,467487,295278,146640,4325,21244,2338,1622,83376,0,17500,38883,1147,5105,0,3751,20143,0,219335,82527
1985:Q3,3816575,16924,203018,3171840,2728383,304585,16172,122700,18136,406657,3730565,2425103,293464,188218,105246,35205,92064,657125,3169,478782,300475,152258,4438,21611,2949,2454,82645,0,16645,38169,2008,5955,0,4200,20150,0,227604,86010
1985:Q4,3929437,17052,219485,3255231,2805013,308249,16469,125500,23342,414327,3840613,2447984,323409,211038,112371,48567,96397,664131,4592,478922,297799,153367,4500,23256,6519,7546,79882,0,15678,36446,2129,5923,0,6275,20219,0,260126,88824
1986:Q1,3936902,17207,211530,3266621,2799915,316796,16810,133100,25662,415882,3858861,2483776,322376,207830,114546,29863,96429,662946,2029,480782,289424,160310,4529,26519,6872,6055,80865,0,16372,36911,2106,6424,0,5531,19000,0,263471,78041
1986:Q2,4028800,17330,218455,3342724,2854437,329347,17240,141700,23325,426967,3951689,2533275,327327,211668,115659,41814,99908,682505,1767,495141,289634,171953,4533,29021,7416,6957,81400,0,16383,39556,2450,6440,0,5225,19771,0,266860,77111
1986:Q3,4160129,17438,229037,3430742,2905518,359891,17633,147700,25041,457870,4080244,2586779,330461,214262,116199,47201,95178,736314,2410,541420,311525,194603,4498,30794,7915,7212,83808,0,14094,42528,2662,7913,0,6196,20156,0,284311,79885
1986:Q4,4387750,17567,251893,3595493,3009376,415553,17864,152700,26954,495842,4297893,2687904,345387,228729,116658,46182,98494,806657,3580,600439,337869,227157,4406,31007,8751,9535,88822,0,12973,42331,3657,7661,0,8450,20458,0,313270,89856
1987:Q1,4285733,17735,237174,3532392,2948651,404422,17919,161400,25191,473240,4201783,2664479,339492,222884,116608,23377,97343,775571,7587,567052,311622,217796,4248,33386,8802,7981,85475,0,11112,46953,3065,7966,0,6775,22803,0,301521,83950
1987:Q2,4410956,17889,248445,3628396,3015257,428152,17787,167200,21327,494899,4319675,2710000,342715,226744,115971,54137,99195,798659,4709,594347,309898,245144,4002,35303,9421,7682,85528,0,10054,48657,2366,7816,0,6312,21767,0,314969,91281
1987:Q3,4479535,18006,248312,3695579,3058849,452588,17642,166500,18127,499511,4383583,2754914,340158,224742,115416,50752,95882,804284,2227,600028,314535,250021,3751,31721,9906,8192,82796,0,9731,50200,2093,8679,0,5968,24465,0,337594,95951
1987:Q4,4641158,18177,260897,3797002,3127814,485532,17656,166000,20351,544731,4505871,2825409,351460,235856,115604,36126,101947,826398,3691,620303,316893,268431,3571,31408,10231,8796,77739,0,10060,56424,3587,9611,0,7448,18508,0,364532,135287
1988:Q1,4665537,18339,251478,3831621,3173467,468580,17774,171800,24544,539555,4549284,2882082,348556,229111,119445,33086,107896,823764,3410,614188,307566,268760,3405,34457,8910,6593,78331,0,10613,59580,3353,10081,0,9656,19050,0,353900,116252
1988:Q2,4782707,18501,263643,3920670,3237015,489185,17970,176500,20268,559625,4664716,2924236,358575,235670,122905,51031,108009,843366,3493,625830,304769,284912,3257,32892,8560,6514,85202,0,10960,57171,3140,11039,0,10951,20506,0,379501,117991
1988:Q3,4880412,18637,270084,3987522,3282137,509464,18221,177700,19706,584464,4765270,2967477,364080,239177,124903,55998,108032,880594,3808,659132,320518,305847,3123,29644,7825,5610,86185,0,11224,60457,3301,10836,0,10172,22045,0,389090,115142
1988:Q4,4977502,18799,278170,4063428,3332532,533991,18505,178400,19030,598075,4850217,3022972,375980,249232,126748,43607,109773,890978,3846,665059,329883,304028,2997,28151,6547,5491,91489,0,11526,63943,3556,11262,0,9390,18869,0,406908,127285
1989:Q1,4988533,19036,266893,4053492,3307244,545941,18807,181500,17674,631438,4850961,3030841,359299,231198,128101,24417,107679,919067,3276,677647,323163,323419,2888,28177,7503,5262,99639,0,11808,66116,3101,11629,0,8812,24274,0,409659,137572
1989:Q2,4999467,19253,280380,4073877,3344422,529241,19114,181100,21455,604502,4851415,3025638,365334,237718,127616,50389,108043,914847,4479,663837,321218,313294,2791,26534,8539,6039,106672,0,12011,66527,3400,12355,0,9731,21258,0,387165,148052
1989:Q3,5047279,19425,274875,4114343,3360228,550612,19503,184000,23333,615302,4898749,3050454,355644,228519,127125,40590,105285,956779,8382,686464,323100,334989,2708,25667,9700,6706,113388,0,12148,75007,3169,12744,0,8749,20322,0,389997,148529
1989:Q4,5189036,19627,287656,4202328,3418025,577253,20050,187000,25897,653527,5019367,3094682,378567,249240,129327,27466,108053,1004491,11068,723349,349522,345143,2637,26047,14413,10584,118547,0,12231,69980,2284,13336,0,9758,18941,0,406108,169668
1990:Q1,5080326,19841,279880,4137590,3377090,545044,20856,194600,24378,618637,4916742,3096358,361240,229752,131488,15746,105553,951290,13286,674497,312286,332267,2598,27346,13084,10862,119668,0,12269,63838,2055,13280,0,10145,18306,0,386555,163584
1990:Q2,5117359,20066,289884,4146784,3381052,544913,22019,198800,23935,636690,4936042,3100713,363211,230648,132563,31024,105006,939863,12231,674854,301835,342454,2599,27966,12063,9670,116545,0,12271,59153,2234,14019,0,8726,18097,0,396226,181317
1990:Q3,5155059,20221,294349,4159330,3384814,551550,23066,199900,26665,654495,4963533,3115284,360485,225668,134817,34717,102953,926966,12601,677996,304677,344037,2589,26693,10091,7851,114527,0,12518,56982,2112,14551,0,10879,6858,0,423128,191526
1990:Q4,5297943,20402,315292,4240687,3432588,583781,23518,200800,30667,690895,5086458,3158071,382665,248448,134217,30047,104180,968169,9425,737411,355256,353170,2509,26476,7470,5810,113534,0,12675,49386,2109,15199,0,10248,4902,0,443328,211485
1991:Q1,5262000,20574,302081,4218685,3405747,582177,23361,207400,31142,689518,5062169,3170937,353775,219701,134074,37366,103558,948066,9692,703034,318440,352346,2359,29889,6284,5163,110863,0,19024,62175,1955,15915,0,10168,3793,0,448467,199831
1991:Q2,5243452,20749,305822,4198587,3395372,566953,22562,213700,31035,687259,5038449,3125582,363716,227086,136630,45139,103036,948407,8646,705893,312305,360417,2126,31045,5914,5261,112937,0,16870,59729,1855,16699,0,10594,4009,0,452569,205003
1991:Q3,5269275,20886,309167,4219624,3379686,601440,21698,216800,33479,686118,5051137,3111435,379751,242997,136754,35234,100891,959315,5076,720943,328152,360072,1898,30821,5537,5542,117445,0,12940,59250,1753,18511,0,9071,3247,0,464512,218138
1991:Q4,5365888,21014,337099,4276016,3392781,640598,21337,221300,31691,700068,5172603,3124719,397066,258511,138555,59005,99534,1004605,6073,764464,345517,385110,1759,32078,5334,5560,118684,0,12635,57498,1205,20275,0,10191,2686,0,487674,193285
1992:Q1,5325363,21135,319669,4247534,3377535,616267,21432,232300,35309,701716,5147020,2986258,387732,243743,143989,31837,98437,1017117,5327,761272,344338,380260,1677,34997,5298,5532,113587,0,12366,56492,1269,20060,0,9976,25938,0,625639,178344
1992:Q2,5316082,21253,327058,4227947,3351289,619147,21911,235600,34861,704963,5126793,2960215,388446,241822,146624,60517,94690,1001860,3565,761790,342900,383338,1577,33975,5409,5415,109028,0,12793,51188,1009,19136,0,10313,22215,0,621065,189289
1992:Q3,5314934,21338,350128,4210436,3311321,638662,22453,238000,35858,697174,5127174,2955494,392437,242031,150406,71316,96659,982122,2454,737042,315905,386795,1464,32878,5544,5190,105893,0,14319,59295,927,20216,0,10651,20591,0,629146,187760
1992:Q4,5354585,21447,353817,4251750,3331286,654825,22739,242900,30773,696798,5164753,2988527,401351,250453,150898,44627,95386,997830,5792,760905,339036,387021,1297,33551,5576,4923,101527,0,13457,55725,1196,20927,0,10367,17436,0,637032,189831
1993:Q1,5223166,21573,353583,4153885,3256267,626895,22823,247900,28736,665389,5039649,2920410,401792,247803,153989,36724,97356,955648,2652,711381,316515,360260,1166,33440,5525,5022,102654,0,13427,56366,1011,22225,0,11086,24300,0,627719,183517
1993:Q2,5246905,21705,379432,4170118,3274115,621946,22757,251300,24871,650779,5054095,2916790,412292,257169,155123,75788,96070,932410,3393,695147,311765,349785,1016,32581,5405,5121,102387,0,14730,53004,851,23038,0,10872,18462,0,620744,192811
1993:Q3,5234670,21866,377974,4171112,3269539,626024,22649,252900,22755,640963,5066021,2925917,405886,250442,155444,68368,96748,922365,5679,696050,307076,356104,934,31936,5275,5221,98055,0,14014,40345,1303,24443,0,11007,20973,0,646738,168649
1993:Q4,5334930,22095,393994,4234434,3312886,643442,22606,255500,23745,660662,5127261,2918944,442042,284502,157540,65292,95200,934140,2847,708856,321575,354136,1000,32145,5189,5320,98309,0,12849,42358,2123,25585,0,12281,18423,0,671643,207669
1994:Q1,5307959,22318,389668,4225817,3294729,644405,22883,263800,21916,648240,5118150,2896556,440585,278121,162464,59673,98151,921773,2421,694660,312257,351907,912,29584,5145,5426,100159,0,11345,40275,1720,25864,0,14913,19845,0,701414,189808
1994:Q2,5330137,22528,403484,4216152,3291086,635187,23379,266500,18205,669768,5111893,2855381,447228,281492,165736,65707,96433,917073,2795,684536,308920,347462,942,27212,5101,5534,100763,0,11314,39032,1579,26548,0,14181,25691,0,730070,218244
1994:Q3,5331103,22779,400613,4211646,3265978,656597,23671,265400,15410,680655,5105119,2863272,451277,280420,170857,50214,95430,918739,2431,686697,299056,359463,1072,27106,5057,5639,99772,0,9773,44136,1649,27123,0,13459,23003,0,726189,225984
1994:Q4,5480923,22994,420162,4270432,3314791,667976,24265,263400,15994,751341,5184175,2865503,470996,297548,173448,41236,99888,935710,1153,694129,306519,362953,1449,23208,5013,5746,105705,0,9220,48121,1337,28181,0,12022,25083,0,770842,296748
1995:Q1,5488334,23226,413980,4263322,3306985,662811,24326,269200,14796,773010,5185125,2893099,440065,259907,180158,33030,102056,941524,445,684639,295483,364434,1231,23491,4973,5630,108656,0,7675,57584,1276,29879,0,13990,26777,0,775351,303209
1995:Q2,5665663,23490,433539,4366232,3365769,701126,25137,274200,17927,824476,5338589,2936427,448934,265704,183230,78964,102525,975400,-1701,719626,298078,396561,1487,23500,4932,5515,109935,0,7281,59162,1603,30566,0,13270,25211,0,796340,327074
1995:Q3,5617015,23760,418317,4355878,3351214,702879,25385,276400,16922,802138,5313119,2934500,462578,274452,188126,60340,103498,973373,-2707,687717,280406,381822,1173,24316,4892,5401,112540,0,9354,79779,1098,30808,0,14788,29703,0,778830,303896
1995:Q4,5674284,24003,437323,4378247,3377214,695358,26875,278800,19254,815457,5357342,2954752,496436,305170,191266,43569,109334,951244,-2879,671610,274442,371065,1599,24504,4851,5286,114672,0,8671,73389,1512,32618,0,13749,27765,0,802007,316943
1996:Q1,5671379,24269,424530,4377108,3379685,679099,27124,291200,17505,827967,5336180,3014964,471365,275235,196130,46413,110351,924903,-2891,635865,261752,345629,1405,27079,4811,5054,117009,0,9741,79208,1064,33148,0,12924,28969,0,768185,335198
1996:Q2,5709372,24520,433258,4402150,3402990,676866,27994,294300,14856,834588,5370209,3013478,492197,288400,203797,68109,111456,920503,-2582,637137,264440,345684,1495,25518,3756,4933,120381,0,9754,70062,711,33626,0,15327,27398,0,764465,339163
1996:Q3,5807602,24744,435150,4456978,3451100,686459,27619,291800,15357,875372,5458082,3035365,519815,311130,208685,68319,111408,955081,2850,643290,270265,347195,1429,24401,4089,4808,122991,0,9460,87129,605,35034,240,15300,29285,0,768094,349519
1996:Q4,6011702,24966,459163,4555988,3498214,734994,27680,295100,18025,953559,5627764,3044307,561168,347179,213989,58226,115474,1032202,4995,685092,295935,363860,1413,23884,3938,4381,124016,0,9759,107980,780,37906,290,15651,37414,0,816386,383938
1997:Q1,6146885,25157,448646,4622848,3527072,762719,27057,306000,15240,1034993,5711564,3057689,575002,353242,221760,56751,116121,1067059,5786,711351,293129,390471,1383,26368,4233,3496,126765,0,10374,123011,1170,37952,384,14760,27777,0,838943,435321
1997:Q2,6269206,25274,468625,4703271,3577461,788065,26745,311000,13037,1058999,5833597,3079104,595325,364349,230976,75584,117412,1105045,4257,729785,286185,416968,1435,25197,4062,4062,130055,0,11122,129280,3250,40288,372,18078,30435,0,861128,435609
1997:Q3,6282978,25402,463019,4700846,3572839,790062,27045,310900,15324,1078387,5851554,3108572,602292,363679,238613,66826,120347,1089085,2046,707677,273610,409931,1402,22734,4168,3678,130608,0,9328,140600,2190,38100,497,18951,31243,0,864433,431424
1997:Q4,6558567,25543,494554,4863432,3691457,828474,28101,315400,18025,1157013,6105507,3154664,613342,366291,247051,63568,123637,1182479,4763,784407,320380,437397,1361,25269,4235,8219,136360,0,7734,136985,8506,41231,428,21682,27930,0,967818,453059
1998:Q1,6498568,25664,479935,4855933,3717091,781669,28773,328400,22330,1114706,6060423,3146201,680909,423913,256996,59396,125697,1132231,3570,722998,284946,409607,1328,27117,3709,3490,143604,0,8319,140285,5781,43578,594,24927,31376,0,915989,438145
1998:Q2,6619313,25786,500418,4923529,3768889,791553,29487,333600,21615,1147965,6150416,3140935,683168,416221,266947,105525,129351,1144991,4465,732182,290338,411964,1516,28364,3594,4774,151630,0,9231,131336,7493,44702,629,22235,32720,0,946446,468897
1998:Q3,6726904,25991,499611,4965626,3771570,828075,30181,335800,22799,1212877,6236655,3141484,688999,409084,279915,72303,129470,1193546,2164,764103,273585,460646,1382,28490,3801,4336,158360,0,9466,149888,4476,41451,501,25934,29066,0,1010853,490249
1998:Q4,6869035,26270,525369,5088302,3882626,825432,31244,349000,24873,1204221,6428722,3250881,680230,386326,293904,52257,138771,1243255,3684,783169,296811,451508,1993,32857,4014,5347,165196,0,11956,157235,9670,43654,529,25378,33423,0,1063328,440314
1999:Q1,6816321,26638,519480,5046487,3867173,790343,29371,359600,21497,1202219,6354928,3235357,691545,386121,305424,58425,139017,1223362,-359,750703,280416,433185,1609,35493,3219,2512,155943,0,9769,184566,9344,47203,488,24459,35514,0,1007223,461393
1999:Q2,6935169,27004,534509,5121161,3926979,797437,30445,366300,17323,1235172,6457457,3208007,734894,416427,318467,88947,142906,1240696,741,761441,266484,457957,1260,35740,3661,3813,147948,0,11101,186654,13379,48567,480,27641,35270,0,1042007,477712
1999:Q3,6987252,27457,545380,5164934,3955096,812601,30837,366400,15885,1233596,6519840,3237353,761666,426895,334771,89809,146336,1241284,780,760777,256170,467795,1652,35160,3145,3693,136717,0,11490,194831,8834,48043,566,26734,45675,0,1043392,467412
1999:Q4,7330176,28013,654092,5374317,4088365,886377,32875,366700,17078,1256676,6882756,3320683,813194,461131,352063,113901,155624,1370803,128,861543,314117,501964,2248,43214,4652,5232,127396,0,10917,201304,22063,52880,655,28711,55322,0,1108552,447420
2000:Q1,7341095,29003,557123,5374960,4116233,845297,32730,380700,15054,1364955,6824227,3369207,827838,450634,377204,74187,156456,1347837,428,833686,265145,521216,1917,45408,3553,3804,124903,0,13500,228218,11137,53823,541,27117,46334,794,1048702,516868
2000:Q2,7495497,29979,566127,5507589,4240524,852588,33977,380500,12870,1378933,6958268,3374963,876234,475901,400333,83733,160322,1350231,1117,842517,285897,513767,2079,40774,3154,5465,116836,0,15647,218427,12088,54540,440,26968,52239,794,1112786,537229
2000:Q3,7538939,30811,564271,5559602,4287013,854042,35047,383500,13577,1370678,7026991,3381243,916033,500083,415950,78181,163429,1365134,1499,846093,282899,521246,1417,40531,3530,3444,110741,0,17294,225949,17487,57196,520,20781,59806,794,1122972,511948
2000:Q4,7828800,31643,588173,5726471,4420014,881762,35595,389100,17100,1465413,7267539,3476856,952631,524072,428559,48097,167007,1466428,1891,907755,322989,540633,1708,42425,4170,4801,107922,0,11541,242661,26596,59306,568,30329,67763,1125,1156521,561261
2001:Q1,8004675,32271,577744,5816608,4455296,910435,35277,415600,29883,1548169,7432784,3664976,871904,435593,436311,55396,165461,1562427,1306,947146,319086,572084,1865,54111,11089,18033,94696,0,9788,303432,21969,60641,631,30954,61617,1125,1112619,571892
2001:Q2,8059731,32670,590536,5899799,4516972,918693,37834,426300,26113,1510613,7530904,3700697,880146,437591,442555,76032,173881,1569995,823,950558,310746,578717,1721,59374,12333,24602,87753,0,15235,293599,24341,58174,675,37066,63711,1125,1130154,528827
2001:Q3,8133505,32957,614896,5965075,4602512,882197,39066,441300,29415,1491163,7598830,3761006,875982,434447,441535,83237,174110,1569803,634,925199,336620,536825,2520,49234,14239,30253,79520,0,15182,295244,28146,60368,597,53727,65570,1125,1134692,534676
2001:Q4,8508897,33017,635599,6250048,4776574,975472,47802,450200,25661,1564571,7986585,3845270,907690,471199,436491,97804,184720,1728798,1013,1013811,341771,611435,2771,57834,13733,37273,70665,0,13229,361079,36993,65811,690,47120,67269,112,1222304,522311
2002:Q1,8596488,33630,637103,6324940,4745816,1055802,48622,474700,28432,1572383,8072172,3945644,914830,474030,440800,60095,186861,1758063,600,1049490,344223,645568,1684,58015,17635,35384,69315,0,14676,359264,33271,64376,766,43054,70121,112,1206680,524315
2002:Q2,8701521,33995,654927,6365621,4791405,1038689,52327,483200,26257,1620721,8173031,3953314,923395,478303,445092,85720,191224,1784570,857,1072121,340721,664407,2727,64266,17910,34846,67649,0,12872,354573,39083,65924,629,45690,72304,112,1234807,528491
2002:Q3,8761167,34315,657442,6458289,4934043,983619,51127,489500,28644,1582476,8229635,4072343,908082,458704,449378,119634,191618,1725363,1540,1014374,327967,616444,2707,67256,26319,44076,66309,0,13198,333044,44733,69095,677,40460,71426,112,1212596,531532
2002:Q4,9051784,34597,681592,6584381,5065191,976690,42800,499700,27610,1723604,8429418,4118985,927147,473483,453664,110157,200125,1764357,11694,1042766,321930,655433,2484,62919,26671,35372,66981,0,15581,331708,40019,72002,871,44217,76215,260,1308648,622366
2003:Q1,9415909,34798,685392,6791835,5278641,950289,42898,520007,30492,1873392,8766546,4298160,964797,498434,466363,77648,204682,1895936,10117,1178821,452683,641108,3049,81981,30958,44209,62945,0,17294,307559,44174,74931,964,44176,79528,260,1325323,649363
2003:Q2,9657900,35065,694403,6947807,5387394,985341,44116,530956,30843,1949782,8978355,4378968,1025516,546467,479049,105959,207294,1928043,11358,1226910,455876,687615,2995,80424,37113,44901,66451,1,14346,275008,46479,80443,956,43579,80238,260,1332576,679545
2003:Q3,9601176,35273,699884,6969861,5419462,969752,44685,535962,28438,1867720,8957520,4390030,1074582,582842,491740,99573,211293,1866169,10773,1179780,427733,675010,2397,74640,36181,47391,64163,1,14338,264952,38867,86816,1550,43857,77240,260,1315874,643656
2003:Q4,9713325,35468,718594,7074737,5538998,950619,46852,538268,20505,1864021,9042691,4451841,1109800,605378,504422,94052,227371,1841338,12587,1149639,424718,653510,2468,68943,35553,47980,69834,37,19037,233304,45527,90231,1101,47162,89118,228,1318289,670634
2004:Q1,10067799,35761,711791,7302897,5678661,1022898,47632,553706,24894,1992456,9366854,4594247,1161390,633430,527960,61090,234778,1985817,12375,1263343,441529,739902,3184,78728,32101,46487,67668,72,24512,238575,50453,88564,1488,52962,106989,228,1329532,700945
2004:Q2,10341195,36039,733519,7489289,5847527,1032512,48894,560356,19064,2063284,9567843,4676088,1204489,653151,551338,83977,224622,2007952,13334,1270763,443925,755089,2730,69019,32091,51253,59140,108,21641,260730,53651,85153,2925,53428,103507,228,1370715,773352
2004:Q3,10443050,36279,733299,7583293,5911722,1058450,50778,562343,17869,2072310,9653203,4713156,1265222,690495,574727,72077,228185,2012133,14977,1280384,444156,766706,3083,66439,35356,51441,61058,144,22660,245232,39766,86581,1923,53080,119303,228,1362430,789847
2004:Q4,10807643,36434,749931,7817145,6079947,1118184,51561,567453,18384,2185749,9932513,4846242,1257803,659684,598119,57989,235199,2077686,13007,1315556,422162,822951,3505,66938,26825,52072,65290,212,19004,250659,62424,87592,3506,62881,118377,281,1457594,875130
2005:Q1,10927436,36545,748864,7912436,6168883,1107191,54522,581840,18186,2211405,9986539,4976249,1281711,658576,623135,52562,241611,2011765,10576,1259436,414126,771855,3620,69835,24940,46282,63761,281,18187,262888,54936,84920,3784,60832,120863,79,1422642,940897
2005:Q2,11189415,36615,756077,8106845,6301862,1162804,58315,583864,17819,2272059,10321090,5043472,1327564,679405,648159,64544,241286,2105278,11136,1343850,463555,813779,3798,62718,24147,52186,67458,349,18661,257223,53151,86404,3815,58952,127876,70,1538946,868325
2005:Q3,11564862,36429,756859,8376277,6462836,1265357,59673,588411,19142,2376155,10673936,5150182,1391809,718598,673211,64284,240216,2210099,12559,1439577,469515,905557,3278,61227,23919,53882,71081,417,16815,285305,48131,69866,4766,57728,125725,328,1617347,890926
2005:Q4,11714579,36540,783485,8527604,6576495,1300752,61207,589150,19164,2347786,10860710,5225114,1478380,780104,698276,57165,256909,2206341,9665,1457880,464854,929621,3044,60361,21894,48374,71566,445,19612,272500,49945,69635,4299,56460,123631,435,1636801,853869
2006:Q1,12091278,37879,777823,8766668,6707569,1388394,63454,607251,21526,2487382,11168112,5452820,1454865,732864,722001,28355,258618,2267842,8716,1517611,465153,981833,2697,67928,29542,50624,45101,473,19020,278509,50939,68592,5048,62521,129453,1693,1705612,923166
2006:Q2,12404968,37990,786146,8941571,6894055,1376350,63656,607510,18599,2620662,11375312,5517246,1433152,687408,745744,66657,259243,2345536,8619,1539696,508240,968923,2630,59903,37561,51335,45637,501,18633,285978,72288,64948,4122,74653,139968,1597,1753478,1029656
2006:Q3,12546525,38084,775706,9089069,6946407,1472601,62722,607339,18210,2625456,11466681,5605494,1445610,676126,769484,74075,266418,2319878,8650,1538350,446325,1031035,2459,58531,42328,52010,46172,528,18388,279142,51317,62779,5016,69778,144190,1230,1755207,1079844
2006:Q4,12911609,38206,806733,9333614,7092559,1561392,64359,615304,18972,2714084,11873413,5697567,1492163,698931,793232,51316,285351,2458008,9355,1652786,466050,1122157,2911,61668,30927,57301,46706,515,18447,291292,50246,63232,5044,80480,151089,588,1889008,1038196
