1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q2,499,161,6600,1156,-2377,2513,482,384,1513,0,134,1500,-268,1723,1723,0,0,0,45,1,284,3523,6486,0,1112,5188,0,0,186,225,220
1991:Q3,654,159,4600,-224,-2228,2234,-74,552,1623,0,133,2600,-270,2168,2168,0,0,0,702,2,252,1964,4064,0,-12,3112,0,0,964,-41,180
1991:Q4,915,158,4800,1257,1249,3539,-310,3948,-177,0,78,1100,-270,290,290,0,0,0,1080,2,377,-2724,4227,0,-3,4503,0,0,-273,184,232
1992:Q1,1055,211,10900,2919,623,5187,-6,2325,2770,0,98,-2600,-476,-1295,-1295,0,0,0,-829,2,576,4193,10523,0,1053,9947,0,0,-477,468,368
1992:Q2,1271,219,4700,-1022,-898,4732,593,2031,1972,0,136,1500,-477,3143,3143,0,0,0,-1166,2,524,-138,3782,0,1044,2256,0,0,482,134,363
1992:Q3,1413,223,4000,-1097,-1317,3781,80,1419,2166,0,116,1500,-481,-418,-418,0,0,0,2399,3,230,900,3018,0,1156,1244,0,11,607,208,437
1992:Q4,1463,230,5300,673,1944,1588,-301,88,1788,0,13,2000,-482,1494,1494,0,0,0,988,5,30,-940,4555,0,1265,3635,0,35,-380,488,403
1993:Q1,1495,183,6300,-111,-1320,4700,190,1275,3195,0,40,500,53,717,717,0,0,0,-270,5,168,2358,5295,0,-115,5115,0,-1,296,308,97
1993:Q2,1462,188,4700,-859,-1036,1775,-344,1316,971,0,-168,4500,54,483,483,0,0,0,3963,25,214,81,3748,0,-77,3477,0,79,269,322,127
1993:Q3,1427,190,3000,-645,-2093,1013,-417,-511,1855,0,86,3800,55,239,239,0,0,0,3506,4,-297,1218,1952,0,927,673,0,84,268,189,473
1993:Q4,1400,198,3300,209,-635,2076,-167,532,979,0,732,3300,54,505,505,0,0,0,2741,5,-291,-1364,2588,0,959,1641,0,26,-38,490,429
1994:Q1,1458,213,9000,-2561,4704,4256,-501,1102,3702,0,-47,1500,221,1330,1330,0,0,0,-51,7,-463,1557,8312,0,291,8009,0,24,-12,558,71
1994:Q2,1460,216,3800,-2372,-2519,1395,431,557,790,0,-383,7800,224,976,976,0,0,0,6600,9,-304,-209,3169,0,781,1919,0,41,428,613,182
1994:Q3,1385,220,500,-106,-1322,-552,-59,-1714,483,0,738,7800,226,1414,1414,0,0,0,6160,14,-468,-4866,-369,0,369,-1469,0,117,614,297,68
1994:Q4,1273,230,-1000,-3898,-3125,-1145,44,-432,-773,0,16,7000,226,1523,1523,0,0,0,5251,15,-331,484,-1197,0,595,-2595,0,41,762,846,65
1995:Q1,1411,230,5200,283,2994,-1356,-481,-885,-97,0,107,2700,97,1566,1566,0,0,0,1037,-2,-27,608,4297,0,605,5195,0,-78,-1425,278,5685
1995:Q2,1351,233,5900,9,-668,1482,-369,-968,1621,0,1198,5400,99,239,239,0,0,0,5062,19,4,-346,4845,0,760,4240,0,-33,-122,64,6318
1995:Q3,1398,234,3000,816,-636,-1427,-593,-326,-275,0,-233,4900,99,1316,1316,0,0,0,3485,15,-130,-538,2255,0,340,1860,0,23,32,419,-6168
1995:Q4,1479,238,3400,188,-1525,839,-139,-1576,1600,0,954,3700,99,840,840,0,0,0,2761,25,-32,205,2439,0,390,2010,0,5,34,280,-4175
1996:Q1,1792,302,13300,2575,3996,2901,-219,997,1949,0,174,1101,148,1381,1381,0,0,0,-428,-8,-68,2803,12561,0,110,12290,0,-22,183,751,525
1996:Q2,1969,309,4000,-1561,-3225,1955,-83,-245,1953,0,330,7900,90,3266,3266,0,0,0,4544,8,-29,-1048,3387,0,1601,1499,0,-56,343,1047,440
1996:Q3,1955,319,-1600,-1117,-4627,-884,-78,-817,-1025,0,1036,6623,83,1660,1660,0,0,0,4880,11,-218,-1388,-2250,0,-62,-2438,0,74,176,986,342
1996:Q4,1745,327,4300,-517,-1087,-182,114,-827,-9,0,540,6049,82,2754,2754,0,0,0,3213,5,-293,325,3249,0,-63,3363,0,72,-123,367,1141
1997:Q1,1353,381,11892,2484,11517,3288,-31,818,1860,0,641,1251,3,1447,1447,0,0,0,-199,7,170,-6825,5175,0,1723,9177,461,-43,-6143,-5745,973
1997:Q2,1039,388,6285,-1171,-4509,2173,127,76,1885,0,85,6868,103,3074,2765,68,231,10,3691,11,-284,3197,5588,0,1122,3878,288,49,251,-46,373
1997:Q3,885,407,-151,-2463,-1490,-2097,-190,-2166,-29,0,288,6245,71,3798,3416,84,285,13,2376,205,-176,-375,-563,0,1423,-1523,-363,42,-142,67,31
1997:Q4,907,407,4600,2535,-548,-2954,127,-102,-1788,0,-1191,4001,61,1594,1433,36,120,5,2346,-180,-89,1835,4132,0,-144,4644,-268,84,-184,32,1572
1998:Q1,1227,466,16541,1848,7885,2495,598,-681,1855,0,723,-12,19,1598,1437,35,120,6,-1629,2,160,4163,13416,0,4000,9000,-84,122,378,-2364,78
1998:Q2,1236,480,5294,1247,-1221,2598,-312,-553,1009,0,2454,5804,56,4081,3670,91,307,13,1667,31,351,-3516,5129,0,-1862,7062,-671,61,539,591,1969
1998:Q3,1248,485,3391,126,-3746,666,187,-1164,-426,0,2069,4544,63,2542,2286,56,191,9,1939,41,269,1491,2026,0,-1050,3250,-274,262,-162,-602,581
1998:Q4,1263,499,15928,4367,497,2535,511,-498,1931,0,591,3509,295,2147,1932,47,161,7,1067,15,100,4905,13112,0,5349,7851,12,108,-208,-2052,1476
