1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,1035,15,-362,1519,1323,78,31,87,-259,122,2261,8363,1413,933,480,-4916,-2097,-153,317,-525,-567,-1,4,39,16,7,42,0,0,0,-30,8,0,12,0,0,-349,-1226
1958:Q4,10817,-52,1229,9838,9600,30,18,190,-40,-158,7755,4411,1899,1749,150,-240,550,1014,113,630,465,18,1,146,8,149,46,0,-1,0,46,1,0,22,0,0,121,3062
1959:Q1,-3979,-22,-1116,-2624,-2924,181,3,116,-83,-134,-1202,1839,-3090,-2925,-165,-584,1100,-585,-23,-486,-593,19,-3,91,3,-148,48,0,-3,0,-42,47,0,19,0,0,118,-2777
1959:Q2,6176,-26,391,5270,4893,260,-14,131,40,501,5554,3021,368,860,-492,1386,233,766,420,217,228,33,-9,-35,0,-12,51,0,-7,0,37,48,0,12,0,0,-220,622
1959:Q3,2926,-22,-360,3650,3299,262,-15,104,-206,-136,3652,5815,-1136,-574,-562,1395,-819,-1242,-597,-691,-621,19,-9,-80,-3,-48,53,0,-7,0,-8,56,0,3,0,0,-361,-726
1959:Q4,6316,-42,1003,5439,5698,-477,-3,221,19,-103,3547,2093,955,1335,-380,-1503,747,1461,874,298,242,-40,-8,104,-8,151,52,0,-6,0,45,60,0,-5,0,0,-206,2769
1960:Q1,-6584,-27,-1587,-4888,-5154,148,11,107,-55,-27,-3754,155,-3170,-2911,-259,-328,760,-747,-399,-173,-222,10,1,38,-3,-182,48,0,2,0,-55,16,0,-1,0,0,-424,-2830
1960:Q2,6926,-44,293,6340,6044,153,19,124,202,135,6432,1855,652,845,-193,2968,372,-243,-527,109,147,48,4,-90,-1,61,46,0,6,0,44,17,0,2,0,0,828,494
1960:Q3,7651,-23,404,7192,6927,160,24,81,1,77,8795,6708,373,512,-139,300,-62,1027,419,565,599,20,6,-60,0,-5,49,0,7,0,-42,25,0,9,0,0,449,-1144
1960:Q4,9524,-6,-170,9448,9022,175,23,228,201,51,5793,5008,2015,2117,-102,-1795,295,-78,318,-701,-910,60,6,143,-1,147,60,0,7,0,48,30,0,14,0,0,348,3731
