1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q3,1121012,228,281518,144608,38444,384677,-26666,-207385,-57400,-11056,-4078,6636,56908,-53580,11166,8008,346034,30420,166006,6524,2150587,22648,525612,316344,14812,506,-101000,4996,-9332,-826,-20328,63508,62641,16968,406541,87906,43255,4280,35120,8428,-59030,12412,708117,21836,164,-14992,-1029575
2006:Q4,691521,656,-72559,144608,146171,378249,68392,-345954,-28908,-4920,-1953,-23196,-3536,12200,161155,17192,87488,71820,92108,-7492,1371672,8711,261562,316572,5436,-3036,-316737,-16696,-732,7691,-70984,72222,68148,109708,416473,166993,-97244,10628,-32708,16880,105685,15588,240185,114448,-112,-27008,-680151
2007:Q1,2751177,2144,536872,93888,13473,404655,-40059,173917,75120,-3652,7896,48248,131376,-23112,-60871,-9608,1396895,-39384,19788,23592,3391627,43941,721700,281256,16600,-1018,141192,14764,1744,-52659,17884,10332,50393,8248,407303,-27589,-56144,8056,35520,9936,-53055,-16080,1816924,2176,68,10136,-640451
2007:Q2,1743302,120,349333,93888,121734,-217705,-48267,336767,26100,-1292,-10528,28196,63096,35996,64408,-7952,841225,37140,-1113,32156,1421351,29944,585308,281088,-27828,2466,-94085,13920,9144,39583,-34440,65832,64068,82741,-172413,-243573,-180634,1208,67216,17316,-6743,-5908,802260,113652,-44,11272,321951
2007:Q3,202695,1864,268560,93884,52095,459440,-18945,-112327,15968,-7596,-31290,45032,125744,5188,-102589,11964,-719774,82216,-1615,34876,1189720,69266,550474,282040,26684,-2694,48302,33164,-380,60271,-19624,8517,53489,18401,492356,116925,-12854,15008,-19476,11344,15461,7296,-634730,41652,-136,28964,-987026
2007:Q4,-462481,0,246283,93888,95538,155395,100751,-142848,-17880,-33776,11295,-74980,-2700,11300,133995,6748,-900119,139212,-321907,37324,368978,21597,468504,281992,-912,-964,-48098,-28452,13960,-5955,-13240,119691,40856,80689,147619,254845,288721,11968,24916,1068,99681,-2356,-1516697,52892,232,76420,-831459
2008:Q1,434728,5344,-7685,114288,24488,-10699,-18912,306047,66864,2572,24345,55544,41076,92804,34908,4168,-364624,19136,58396,-13332,264378,78324,-631590,37648,-12140,-858,463502,63028,2764,-85121,164480,36160,76884,22584,-60987,-117216,79446,14932,-57244,-4932,983,6516,20611,151196,452,14956,170350
2008:Q2,-1060101,1568,221458,114288,4352,27737,-52383,-401675,-104024,2004,-24150,9820,53088,-9737,-26158,-1080,-969707,272376,-166338,-11540,-1908814,43493,-806645,39392,-19848,-4264,-199320,-75844,3064,52731,14004,-15427,104759,-28781,34669,-222772,-94153,13136,3964,18920,41051,1748,-1220110,231956,-284,175748,848712
2008:Q3,-714662,-724,23326,114288,37519,241678,-23497,-111555,45208,-14988,-18901,107956,-335604,48114,-1703,9356,-573362,-35648,-207010,-19116,-826688,88749,-416604,38828,-16960,-1322,133110,43880,-2708,39912,163684,65521,66982,9042,165574,11929,-5579,7936,-82528,-47752,38563,356,-1011116,-56304,300,-60180,112026
2008:Q4,-1627607,6500,1067433,114284,105169,255843,88699,-145697,170220,-7436,25462,-90152,-57812,59548,62257,-1212,-2773950,423732,-1069833,139340,-2690482,18614,-283781,38260,-20072,1018,-269648,-18908,-7068,-31578,20644,260150,52813,63987,126379,213092,488883,6268,-34520,-30888,51111,9500,-4013113,429384,-484,239476,1062875
2009:Q1,12909,-1972,-11067,32648,41696,134349,-219,-283046,-109956,512,71883,46060,-58972,193072,-64445,632,192428,-348508,232401,-54588,-467479,19686,-121285,-58404,-24048,35566,53180,4080,-4260,-42746,96060,-11310,116071,61242,84933,92986,-93075,58352,42152,-42456,-43035,-16368,-179820,-372624,128,-122484,480388
2009:Q2,1144424,-6616,129268,32648,-4131,977035,-8382,-41419,-154052,-3980,-7111,-46468,42100,-53705,-186234,9576,252760,15368,176194,21572,1100452,25776,-144181,-61516,25388,87886,59536,-1868,-3784,43957,-143872,-79154,162424,-37159,1029127,-63432,-100227,20088,70284,-27460,-43262,-6528,431601,-137068,-56,-6048,43972
2009:Q3,1417597,-1528,192420,32648,36143,361082,-32564,-26350,29212,23644,-6572,18340,194000,75701,-193158,-14668,314328,96944,291796,26180,177119,54490,-423067,-61872,12264,53478,16108,-30936,-4212,-5617,-119116,14544,162816,7061,410606,26289,-128023,7356,-90256,-32920,-30131,3736,472780,-209760,68,71432,1240478
2009:Q4,336487,-9420,200107,32648,83896,184534,26973,541291,-106436,-7012,-2148,-63164,-62944,32399,-94103,-1664,-180584,-97592,-145795,5500,45717,20980,102540,-61796,-8468,32868,12429,10936,-5924,-36034,-81400,-89085,141693,36460,242174,-47456,-64563,27844,-17380,-27532,69295,-2592,-216805,5896,128,1508,290770
2010:Q1,917363,10008,315308,-70188,55430,334250,-6515,-392136,54432,-11168,-24896,51652,67580,-164373,-54200,14316,446072,-48708,352966,-12468,460384,-34325,35967,99520,508,12158,16182,-1224,3732,-97577,135164,38709,17228,58491,363214,-79280,-215764,-8652,40560,-8380,-102061,4812,437984,-226040,108,-30652,456979
2010:Q2,-339101,3584,295800,-49044,-80098,-10225,-23307,-248177,51440,15648,-5818,-65936,86972,-147864,179,-8396,-238444,100872,6964,-23252,99763,-6422,589453,99464,-15988,-3392,-28868,-2524,23260,50549,43144,58178,-23640,-112851,-35161,-4421,-30939,30776,-37444,-27104,57784,2364,-571310,-32916,-40,77812,-438864
2010:Q3,1380470,-11600,342067,-49044,26122,559298,-46243,141419,45028,-18212,-789,41236,-4904,29529,-104399,34220,205292,57424,159102,-25076,795730,17949,72502,98772,9700,-3840,-119691,-2724,-4744,7601,-59968,-72164,24811,-2736,607686,79098,-53627,-276,105396,-8728,-139369,15820,198991,86540,-16,-61252,584740
2010:Q4,-411678,8612,-315559,-49044,163638,350569,180368,-153585,-146864,-6256,-1117,-26860,23864,130980,-162603,-21784,-194153,-134048,-84939,27104,-144442,-23262,69690,99872,-2644,62734,-230696,-54804,-4304,139691,101740,-62203,16857,122684,415333,-84061,-78966,8756,8764,-12304,-171967,-18484,-268088,-175672,164,-3272,-267236
2011:Q1,1036871,1496,421551,-21048,54106,291489,-248781,-152566,2244,-4904,9717,36576,66692,-117711,-23067,13324,562119,79048,6788,59800,1525415,36909,26445,50248,-15296,38576,257868,54020,-560,-42828,-19216,46974,70107,44913,347177,93728,118197,4164,-159240,-500,-63446,3768,483380,63488,56,86484,-488544
2011:Q2,652384,1924,-142061,-21048,262406,188103,84765,-44626,50760,-6412,-5959,71576,48620,-91828,-24051,824,140189,-142020,145826,135396,850950,24862,-215480,49532,-13552,48364,9496,20900,4292,9212,71280,56836,63167,256384,200363,32198,300909,-4088,1472,-9344,-13109,15488,104076,11952,-32,-174228,-198566
2011:Q3,-374042,-5000,121927,-21052,-308411,157437,-136236,37230,117580,11992,-7231,42828,159276,39459,-13532,7828,-551827,-29552,-27047,30288,1475290,102654,904782,49236,8584,-4018,-238651,-11936,18956,-17905,143608,226494,60012,-362392,136961,-94698,928476,9136,179176,-20384,37816,21564,-525253,-91068,24,14116,-1849332
2011:Q4,921926,-280,657154,-21048,193775,580335,221940,-129130,5028,-21364,9105,41808,-19192,4507,54727,-11844,-263617,-181272,-105302,-93404,-1599545,68880,-1163438,49608,25368,87270,-254405,-2880,-19516,-4787,-80888,-9956,63836,134479,594255,85640,-797602,1284,-21968,1424,58566,-10652,-375499,22392,152,-51108,2521471
2012:Q1,1180937,7344,581608,51764,43412,160954,-149508,-62201,-37572,79912,12733,-28432,-83740,12017,-4286,58508,642553,-263532,178247,-18844,538123,-2415,27567,163044,5268,-3288,87523,22764,82376,-35988,-22480,-34648,47022,43630,138846,-38813,-420714,11468,6268,-5012,-41201,16108,666478,7528,-44,-183164,642814
2012:Q2,330697,7484,488303,51760,-87301,114595,99016,37228,-20588,4056,-8929,37028,23628,-72509,-24884,-16032,-258259,-41660,-12835,10596,1118521,61,1076615,163504,9084,4080,52118,-17288,25584,30515,48848,57256,38747,-119330,118415,-142237,139893,-2256,-56440,9824,-35412,20276,-48473,-268864,48,13952,-787824
2012:Q3,1423349,1640,281407,51764,-16391,443383,-157640,46435,54008,-436,-1738,104808,98284,22718,-87388,78896,230975,219124,71324,-17824,177048,24056,-262688,162540,26432,-3694,-138259,34800,-14212,13221,-50316,-3196,32947,-10080,457487,54868,-52608,14236,14720,4452,-79343,30700,39883,-126616,4,7712,1246301
2012:Q4,401089,-13804,35013,51764,265964,104418,232484,-158278,-89784,-2308,-1313,604,65660,16226,116402,-37904,-351233,177368,-5591,-4600,-605304,20753,-1023275,162404,2120,-132,-160702,-41476,-4824,9340,28860,65833,26447,271287,90526,56454,-2435,10376,51784,-11948,32535,21548,-549616,323136,496,15204,1006394
2013:Q1,1703246,3988,513396,41804,-47032,438298,-187631,67479,-4132,2332,22118,30116,2624,-17232,13523,-20540,639241,226536,-30046,8404,1553550,42314,-241214,189052,26144,6162,50372,35676,6004,-21479,-40796,46169,165467,-77219,445962,35379,-144507,-22904,61288,4040,-62882,1700,869765,176376,0,2680,149696
2013:Q2,145829,7608,83933,41804,254412,176077,105722,167898,-28320,480,-7983,17972,27800,-40241,22499,7384,-529475,-9224,-99662,-52856,237433,45165,-191485,187676,1688,6712,120824,57896,5420,24543,-8976,51411,153771,251956,166393,-111744,-23242,-53240,-756,-27596,15402,-39196,-355774,-18724,-268,-20424,-91604
2013:Q3,805472,-4020,461359,41808,127142,378920,-163625,-61031,-46092,-5656,-8608,18108,-26372,30604,-25022,-63516,16091,36600,42491,56292,755334,69313,371725,187416,11232,-2362,-83038,-14908,10580,308,-45232,-33322,144594,147741,376112,-18912,6896,-7524,-3496,-4800,-52359,-57708,-149321,-90536,40,-7104,50139
2013:Q4,595233,4436,155039,41804,-327494,388376,244142,-26606,-45764,-3304,-211,-6212,2460,-122,-9760,-13424,25651,-51808,-22689,240720,213381,61136,-79874,188104,23396,7730,-148574,5744,-3704,18677,-27416,18052,134490,-369126,396036,38853,-52294,-26848,-4828,-7732,27470,1648,-9791,15220,-440,7452,381852
2014:Q1,995391,3920,101042,77908,20279,337729,-240151,88468,-4912,7188,10897,126716,57456,-33729,77292,15468,292378,-12680,92398,-22276,2172958,28971,41057,262540,16424,2504,104197,23116,-4040,-19323,102444,113843,61383,17861,327221,162307,282428,-128,-54072,-12260,-7744,27164,718986,-35228,0,13308,-1177567
2014:Q2,819711,5496,230557,77908,-85910,143088,141238,38960,-9664,-19084,1784,-32140,11824,-30626,22444,4828,202496,22060,68623,25828,374695,37840,-8880,263244,4952,5694,-16863,3180,696,21940,-92960,25675,62670,-117762,137112,-157633,14715,-3716,-2716,15688,22088,11740,6674,142136,0,-820,445015
2014:Q3,204694,-2636,356978,77908,16943,71887,-177017,162574,39524,-9540,-5064,66872,19400,32920,-23849,-7580,-183585,-109048,-23300,-98692,1008253,19773,604251,263208,-7264,-1234,57027,8652,-6588,1776,54548,44298,63661,19110,53299,57594,140179,696,-8624,11884,60295,492,-248871,-173016,0,-6892,-803559
2014:Q4,1919310,-1880,1296054,77908,174644,290481,278230,225274,-8960,472,-2352,-41592,58196,18007,4366,-4808,-270005,-15484,-141880,-17360,251807,-14804,-233366,263676,32584,4564,-182904,-12320,47380,18779,-58548,175813,65563,153183,294073,-96000,38598,-1412,21544,15284,13645,676,-213957,-82184,36,1904,1667503
2015:Q1,1118955,4440,457560,20684,138117,202574,-240527,79632,57300,-3068,14054,30204,104476,-31753,47289,-7308,199377,-45076,57108,33872,2430184,28850,866453,278996,29456,-6394,146946,20500,-4700,-29374,20860,170299,63471,155075,208322,108687,-54528,17648,40184,12176,41256,3896,286260,44808,0,-18964,-1311229
2015:Q2,474609,3460,927029,20680,153405,24532,112048,-126326,-97372,8844,-2260,31504,-128204,-43979,24918,1028,-212924,-75100,-101061,-45612,1198855,25538,1526674,279428,-1396,2556,-21836,-23032,29968,17801,67940,-46689,58690,145519,12128,-68011,-238634,-8760,6196,-3280,-70212,-9816,-542845,90904,0,-29976,-724246
2015:Q3,932289,-880,1247216,20684,187091,40127,-154182,-109303,29292,-25928,-12387,29013,89618,38325,-4843,30004,-209593,-211864,-8536,-41564,1987389,68582,1602103,279720,-1756,-2984,47718,-35360,-25696,13386,85416,-44127,53733,183797,33159,36496,179503,-1532,-48376,-15788,-48061,6044,-102392,-202536,-4,-73656,-1055101
