1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2015:Q1,322568,1110,117779,5171,61539,50644,5162,20551,14325,-767,303,7551,26119,-1064,8629,-1827,14415,-11269,-4271,8468,616682,2860,266213,69749,7364,-1599,11145,5125,-1175,3178,5215,43632,15868,70131,52081,-7498,-5701,4412,10046,3044,12988,974,42169,11202,0,-4741,-294114
2015:Q2,142358,865,218268,5170,86072,6133,-407,-25895,-24343,2211,913,7876,-32051,-5209,-2363,257,-55793,-18775,-9167,-11403,292564,5104,308891,69857,-349,639,3902,-5758,7492,565,16985,-14214,14673,85381,3032,20546,-76045,-2190,1549,-820,-25580,-2454,-133874,22726,0,-7494,-150206
2015:Q3,278350,-220,293617,5171,41885,10032,-1187,1113,7323,-6482,-998,7253,22404,2655,3965,7501,-59453,-52966,7127,-10391,397005,14383,346105,69930,-439,-746,869,-8840,-6424,1172,21354,-9081,13433,43824,8290,-794,22937,-383,-12094,-3947,-9927,1511,-25079,-50634,-1,-18414,-118655
2015:Q4,-36292,-31,102813,5171,-172216,105840,-503,-43243,-4103,19352,181,-12759,-36312,-1711,-2286,-11269,-24285,60,48172,-9163,-139826,17195,-139283,69937,7780,898,8999,-8897,18319,-1918,-9939,-52304,12293,-192983,108750,17259,40237,585,-6005,4603,20061,-3608,-44844,-10021,338,2723,103533
2016:Q1,295692,1184,-29753,50341,28444,58353,-606,37360,19272,6300,-647,22787,45685,235,14804,5423,-27957,-4720,78545,-9358,488473,11061,62008,57565,4023,-967,16369,11755,12453,6531,22615,32781,26259,34637,58065,-16023,25160,9249,7971,-847,21318,4931,58182,22260,1,1116,-192781
2016:Q2,495510,820,222520,50341,22651,55658,-505,33968,13679,-1470,1471,12497,33836,-2433,-18719,3080,18353,-2686,56111,-3662,378284,15852,200439,57317,4841,259,24547,6596,-4596,1629,10867,18579,26424,18858,68440,-3212,-38813,6599,7898,1747,-11265,3727,-18099,-13860,85,-6575,117226
2016:Q3,246621,-965,154342,50342,54,76046,-284,-1729,-28100,-21604,-229,25126,-2055,259,-2711,-4268,5747,-106750,91434,11966,206862,11401,8100,57380,8639,-1108,-6557,-6650,-22082,-3732,1878,-9081,26538,1614,86421,34429,-68767,1966,7518,367,-20084,1709,-52465,145178,-36,4286,39759
2016:Q4,296025,-1362,286298,50341,-39517,54711,2084,-13422,-15860,-2387,757,-1146,-16987,3318,-9054,2293,-64870,-4555,42386,22998,13510,18875,108517,57664,1589,2013,1563,-1040,3237,859,-13475,-16672,26408,-62121,88936,-12891,-67370,-6674,-20829,5406,-10940,8547,-81498,-11528,-130,-4936,282515
2017:Q1,110916,1374,-98481,26097,48137,74110,-755,7416,-1410,431,-1476,29433,4436,-8613,-2821,-1279,26523,-25637,18436,14995,235866,3765,22813,103902,6371,-2525,1467,-7799,149,1103,28007,1375,6136,61482,88458,-14896,-16910,566,-26295,2558,-9871,-10917,76562,-87504,54,7815,-124949
2017:Q2,229007,422,-55116,26097,94157,40525,-387,8605,3615,-2005,720,35999,20632,-1038,4811,1466,35806,19006,-12495,8187,293513,8980,-22414,103872,4803,691,-6617,10605,-2743,527,5952,-3518,5550,90186,55853,-2596,-13246,2018,7817,3782,-5661,2208,54601,-9023,6,1879,-64505
