1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,9759,995,8474,290,9759,592,1248,35,1520,0,5459,0,0,1,234,110,289,0,271,0,0,0,0,0,0,0,0,0
1962:Q1,10457,1294,8851,312,10457,567,1238,38,1534,0,5848,0,0,1,368,121,333,0,325,0,0,0,0,0,0,0,84,0
1962:Q2,10871,1347,9188,336,10871,410,1184,8,1617,0,6159,0,0,1,511,115,354,0,343,0,0,0,0,0,0,0,169,0
1962:Q3,10861,748,9740,373,10861,286,1308,5,1708,0,5893,0,0,1,534,142,351,0,380,0,0,0,0,0,0,0,253,0
1962:Q4,11939,1538,9988,413,11939,235,1275,0,1867,0,6967,0,0,1,433,105,324,0,395,0,0,0,0,0,0,0,337,0
1963:Q1,11315,1739,9123,453,11315,9,930,10,1570,0,6967,0,0,2,586,100,333,0,387,0,0,0,0,0,0,0,421,0
1963:Q2,12012,1489,10028,495,12012,0,1314,59,1625,0,7032,0,0,3,609,118,335,0,381,0,0,32,0,0,0,0,504,0
1963:Q3,12145,936,10700,509,12145,0,1399,41,1450,0,7264,0,0,4,512,121,377,0,351,0,0,38,0,0,0,0,588,0
1963:Q4,13416,1367,11524,525,13416,0,1608,29,2402,0,7401,0,0,6,397,139,370,0,347,0,0,45,0,0,0,0,672,0
1964:Q1,12740,1236,10953,551,12740,0,1325,21,2282,0,6898,0,0,8,548,121,386,0,341,0,0,54,0,0,0,0,756,0
1964:Q2,13630,1364,11685,581,13630,0,1364,14,2576,0,7159,0,0,10,719,136,373,0,375,0,0,64,0,0,0,0,840,0
1964:Q3,13574,1177,11795,602,13574,0,1152,20,2748,0,7202,0,0,13,571,139,362,0,369,0,0,74,0,0,0,0,924,0
1964:Q4,14783,2222,11937,624,14783,245,1000,12,2932,0,8044,0,0,16,454,129,477,0,381,0,0,85,0,0,0,0,1008,0
1965:Q1,15040,2308,12056,676,15040,21,1078,18,2998,0,8299,0,0,19,512,136,403,0,376,0,0,88,0,0,0,0,1092,0
1965:Q2,15930,1966,13234,730,15930,618,1059,25,3078,0,8229,0,0,20,692,151,404,0,381,0,0,97,0,0,0,0,1176,0
1965:Q3,16790,2268,13725,797,16790,909,1254,47,3039,0,8427,0,0,24,637,179,431,0,485,0,0,98,0,0,0,0,1260,0
1965:Q4,17385,2670,13846,869,17385,1132,1238,45,3100,0,8678,0,0,35,602,167,454,0,492,0,0,98,0,0,0,0,1344,0
1966:Q1,18869,3110,14810,949,18869,1843,1216,67,3098,0,9020,0,0,55,863,191,465,0,502,0,0,121,0,0,0,0,1428,0
1966:Q2,23042,4629,17380,1033,23042,4946,1382,106,2863,0,9546,0,0,84,1123,232,475,0,622,0,0,151,0,0,0,0,1512,0
1966:Q3,23200,3922,18111,1167,23200,5724,1107,547,2607,0,8786,0,0,115,1212,241,442,0,671,0,0,152,0,0,0,0,1596,0
1966:Q4,24243,4025,18904,1314,24243,5850,1027,1355,2361,0,9073,0,0,140,1276,236,446,0,652,0,0,147,0,0,0,0,1680,0
1967:Q1,25227,5489,18258,1480,25227,5837,793,1769,2074,0,9819,0,0,161,1512,237,432,0,669,0,0,160,0,0,0,0,1764,0
1967:Q2,26373,7100,17613,1660,26373,5716,686,1737,2126,1,10977,0,0,179,1552,242,390,0,744,0,0,175,0,0,0,0,1848,0
1967:Q3,26150,6919,17410,1821,26150,5625,684,1345,2306,0,11219,0,0,197,1304,238,362,0,759,0,0,179,0,0,0,0,1932,0
1967:Q4,28518,8180,18350,1988,28518,6265,1005,1267,2751,0,12302,0,0,218,1177,230,337,0,785,0,0,165,0,0,0,0,2016,0
1968:Q1,30168,8537,19462,2169,30168,5670,1184,1251,3842,0,13107,0,0,248,1215,266,358,0,758,0,0,169,0,0,0,0,2100,0
1968:Q2,32673,9458,20856,2359,32673,6475,1333,1658,4478,0,13050,0,0,283,1371,252,379,0,1028,0,0,182,0,0,0,0,2184,0
1968:Q3,33932,10477,21011,2444,33932,5982,1364,1641,5396,0,13586,0,0,320,1391,263,401,0,1138,0,0,182,0,0,0,0,2268,0
1968:Q4,35445,11340,21579,2526,35445,6120,1434,1401,6157,0,13920,0,0,355,1420,294,397,0,1410,0,0,185,0,0,0,0,2352,0
1969:Q1,36896,11552,22728,2616,36896,5981,1770,1102,7206,5,14118,0,0,388,1511,317,433,0,1437,0,0,192,0,0,0,0,2436,0
1969:Q2,38803,11043,25059,2701,38803,7983,1601,472,7608,0,14464,0,0,417,1267,345,468,0,1465,0,0,193,0,0,0,0,2520,0
1969:Q3,40084,9379,27756,2949,40084,9209,1569,354,7607,36,13944,0,0,451,1643,382,550,0,1552,0,0,183,0,0,0,0,2604,0
1969:Q4,42885,9036,30645,3204,42885,11305,1676,104,7508,0,14741,0,0,501,1615,390,608,0,1566,0,0,183,0,0,0,0,2688,0
1970:Q1,46361,8584,34278,3499,46361,14195,1476,120,7055,43,15638,0,0,568,1684,448,578,0,1592,0,0,182,0,0,0,0,2782,0
1970:Q2,47633,8098,35822,3713,47633,14982,1486,117,6633,0,16209,0,0,653,1783,445,660,0,1609,0,0,180,0,0,0,0,2876,0
1970:Q3,49546,7999,37415,4132,49546,15735,1164,113,6158,80,17789,0,0,740,1638,488,916,0,1576,0,0,187,0,0,0,0,2962,0
1970:Q4,51712,8078,38879,4755,51712,15943,1209,7,5176,0,20809,0,0,813,1628,532,904,0,1491,0,0,188,0,0,0,0,3012,0
1971:Q1,51176,7371,37848,5957,51176,14951,1049,7,4033,185,22329,0,0,868,1704,539,759,0,1414,0,0,198,0,0,0,0,3140,0
1971:Q2,51632,7136,36924,7572,51632,13112,929,0,3301,0,25733,0,0,902,1824,539,593,0,1400,0,0,208,0,0,0,0,3091,0
1971:Q3,53699,6695,38635,8369,53699,13937,902,0,3150,99,26810,0,0,944,1881,613,590,0,1448,0,0,207,0,0,0,0,3118,0
1971:Q4,56565,7028,40021,9516,56565,14615,911,25,3004,485,28569,0,0,1023,1897,627,606,0,1544,0,0,208,0,0,0,0,3051,0
1972:Q1,58107,7114,40451,10542,58107,12831,823,4,3235,758,30672,70,0,1140,2050,716,858,0,1668,0,0,213,0,0,0,0,3069,0
1972:Q2,60732,7099,41885,11748,60732,11668,808,3,4197,1066,32147,140,0,1298,2254,699,1207,0,1800,0,0,221,0,0,0,0,3224,0
1972:Q3,62929,7561,42553,12815,62929,10943,975,3,4885,1021,33164,210,0,1460,2415,750,1741,0,1944,0,0,229,0,0,0,0,3189,0
1972:Q4,65873,7927,43542,14404,65873,8898,1036,8,6325,1311,35791,271,0,1590,2288,735,2078,0,2105,0,0,241,0,0,0,0,3196,0
1973:Q1,68894,8188,45546,15160,68894,8537,1097,13,7691,1319,36767,355,0,1588,2451,764,2598,0,2284,0,0,242,0,0,0,0,3188,0
1973:Q2,74970,7771,50584,16615,74970,8472,1256,6,9409,1419,40218,403,0,1663,2479,815,2788,0,2480,0,0,310,0,0,0,0,3252,0
1973:Q3,81941,8213,56671,17057,81941,9481,1659,4,11195,1635,42948,477,0,1733,2392,909,2968,0,2840,0,0,313,0,0,0,0,3387,0
1973:Q4,86234,8357,59837,18040,86234,8332,2035,6,12958,1937,45406,462,0,1808,2310,884,3192,0,3334,0,0,322,0,0,0,0,3248,0
1974:Q1,88300,8714,59877,19709,88300,5738,2330,8,14593,1947,47033,571,0,1879,2452,932,3252,0,3817,0,0,313,0,0,0,0,3435,0
1974:Q2,94208,8685,65391,20132,94208,6970,2607,0,15834,2828,48418,602,0,1936,2781,937,3264,0,4145,0,0,312,0,0,0,0,3574,0
1974:Q3,102062,8477,73048,20537,102062,11510,3080,0,16412,3834,48986,557,0,2008,2940,989,3511,0,4401,0,0,310,0,0,0,0,3524,0
1974:Q4,106124,8227,76439,21458,106124,13669,2953,0,16044,4702,50166,602,0,2125,2680,1065,4305,0,4583,0,0,449,0,0,0,0,2781,0
1975:Q1,108426,7934,76072,24420,108426,11529,3999,0,16327,5044,52087,379,0,2289,2963,1110,4673,0,4719,0,0,384,0,0,0,0,2923,0
1975:Q2,109510,7885,76022,25603,109510,8769,3555,0,17610,4846,54866,331,0,2504,2914,1179,4900,0,4836,0,0,399,0,0,0,0,2801,0
1975:Q3,111617,7876,76956,26785,111617,7681,3484,0,18506,5615,56424,277,0,2726,2829,1282,4981,0,5045,0,0,399,0,0,0,0,2368,0
1975:Q4,115166,7874,78781,28511,115166,7584,3264,0,18206,6072,57912,331,0,2911,3302,1419,5466,0,5254,0,0,424,0,0,0,330,2691,0
1976:Q1,118587,8406,79029,31152,118587,6963,3088,0,18389,6607,59977,316,0,3055,3574,1642,5951,0,5536,0,0,370,0,0,0,352,2767,0
1976:Q2,122020,8448,79556,34016,122020,7584,3029,0,18729,6805,60783,371,0,3173,3887,1648,6326,0,5855,0,0,378,0,0,0,374,3078,0
1976:Q3,126588,8733,80871,36984,126588,6993,3018,0,19745,6729,63718,302,0,3278,4021,2090,6517,0,6275,0,0,356,0,0,0,396,3150,0
