date,FA893150005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA263150005.Q,FA893150005.Q,FA153050005.Q,FA543050005.Q,FA543151905.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,52236,2296,21788,18360,9792,0,52236,52236,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,53420,1532,23092,18580,10216,0,53420,53420,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,56720,3140,24164,18780,10636,0,56720,56720,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,59764,2668,26296,19824,10976,0,59764,59764,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,62084,3068,27632,20024,11360,0,62084,62084,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,65500,3116,29324,21308,11752,0,65500,65500,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,67100,3628,30644,20692,12136,0,67100,67100,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,57912,2612,18852,23788,12660,0,57912,57912,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,58900,2604,18484,24708,13104,0,58900,58900,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,60788,2876,18088,26280,13544,0,60788,60788,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,62412,3440,17964,27020,13988,0,62412,62412,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,63396,4200,16772,27492,14932,0,63396,63396,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,64920,4748,16760,27836,15576,0,64920,64920,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q3,66788,4900,16820,28848,16220,0,66788,66788,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q4,68188,4632,16980,29712,16864,0,68188,68188,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q1,74504,4332,22972,29464,17736,0,74504,74504,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q2,79060,3976,26960,29656,18468,0,79060,79060,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q3,82556,4220,28428,30704,19204,0,82556,82556,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q4,81640,5032,26116,30552,19940,0,81640,81640,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q1,80300,4916,24364,30652,20368,0,80300,80300,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q2,79216,5420,22040,30776,20980,0,79216,79216,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q3,81024,5996,21996,31436,21596,0,81024,81024,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q4,82864,6648,22428,31580,22208,0,82864,82864,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q1,84100,5264,24396,31620,22820,0,84100,84100,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q2,87120,6172,25620,31896,23432,0,87120,87120,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q3,91132,6436,28792,31856,24048,0,91132,91132,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q4,92476,6060,30052,31704,24660,0,92476,92476,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q1,94988,8336,28992,32168,25492,0,94988,94988,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q2,97824,7440,32244,31948,26192,0,97824,97824,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q3,101544,8224,34440,31988,26892,0,101544,101544,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q4,98692,10652,28764,31684,27592,0,98692,98692,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q1,101844,12880,27884,33436,27644,0,101844,101844,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q2,99564,15024,22828,33624,28088,0,99564,99564,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q3,109160,16024,31452,33156,28528,0,109160,109160,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q4,113764,15876,35120,33800,28968,0,113764,113764,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q1,119564,15512,39140,34680,30232,0,119564,119564,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q2,113088,16188,30064,35832,31004,0,113088,113088,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q3,123940,17280,38204,36684,31772,0,123940,123940,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q4,115624,18308,28364,36408,32544,0,115624,115624,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q1,131668,18396,40048,40128,33096,0,131668,131668,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q2,122676,19232,27896,41772,33776,0,122676,122676,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q3,132240,19552,35904,42324,34460,0,132240,132240,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q4,138112,19352,39528,44092,35140,0,138112,138112,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q1,135796,19124,37828,42624,36220,0,135796,135796,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q2,138476,18848,39224,43340,37064,0,138476,138476,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q3,138028,19248,36976,43900,37904,0,138028,138028,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q4,145080,20324,41480,44528,38748,0,145080,145080,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q1,183364,20980,78280,43620,40484,0,183364,183364,0,0,ND,ND,ND,ND,ND,ND,ND
