1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3,3,134,34,0,21,13,0,0,48,10,23,0,6,9,52,52,0,0,0,0,142,149,175,175,0,-27,-7,0,-1,9,0,-7,-7,0,8,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3,4,323,69,0,48,21,0,1,116,14,74,0,11,17,137,135,2,0,0,0,333,337,251,245,6,53,23,2,3,5,0,-4,-4,0,9,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4,5,285,58,0,42,16,0,0,92,10,62,0,8,12,135,110,25,0,0,0,309,323,192,185,7,69,20,1,25,16,0,-14,-14,0,23,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4,5,400,85,0,63,22,0,1,131,18,75,0,15,23,183,164,19,0,0,0,426,432,315,311,4,75,15,0,19,8,0,-6,-6,0,25,ND
1952:Q1,1,1,219,51,0,36,15,0,1,55,14,31,0,4,6,79,85,-6,0,1,32,218,218,172,169,3,40,10,0,-6,0,2,0,0,0,-1,ND
1952:Q2,1,1,189,40,0,27,13,0,1,61,5,38,0,7,11,71,80,-9,0,0,16,191,188,139,138,1,34,14,0,-9,0,10,3,3,0,2,ND
1952:Q3,1,1,-198,-51,0,-41,-10,0,-1,-82,-26,-46,0,-4,-6,-55,-63,8,0,0,-9,-198,-200,-185,-181,-4,-38,14,-1,8,1,1,2,2,0,0,ND
1952:Q4,1,1,104,31,0,25,6,0,1,50,20,20,0,4,6,33,26,7,0,0,-11,109,100,74,72,2,16,14,0,7,-1,-10,9,9,0,5,ND
1953:Q1,1,2,152,23,0,25,-2,0,-1,-40,-10,-30,0,0,0,-20,-13,-7,0,0,190,225,223,-60,-58,-2,294,13,0,-7,1,-18,2,2,0,72,ND
1953:Q2,1,2,-210,-26,0,-30,4,0,0,27,-3,8,0,9,13,27,32,-5,0,0,-238,-209,-212,32,32,0,-277,14,0,-6,1,24,3,3,0,0,ND
1953:Q3,1,2,-9,-12,0,-11,-1,0,1,-9,-15,-7,0,5,8,26,9,17,0,1,-16,-8,-12,-25,-25,0,-16,12,0,18,0,-1,4,4,0,0,ND
1953:Q4,1,2,110,38,0,30,8,0,0,58,21,19,0,7,11,40,28,12,0,0,-26,111,105,76,74,2,20,11,0,12,-2,-12,6,6,0,0,ND
1954:Q1,2,2,13,-4,0,-4,0,0,0,-29,-7,-12,0,-4,-6,12,11,1,0,0,34,15,12,-8,-8,0,7,14,0,1,1,-3,3,3,0,2,ND
1954:Q2,2,2,72,13,0,9,4,0,0,-1,-2,17,0,-6,-10,37,35,2,0,1,22,73,70,40,40,0,17,13,0,2,0,-2,3,3,0,1,ND
1954:Q3,2,2,49,2,0,-1,3,0,1,-12,-11,9,0,-4,-6,37,33,4,0,1,20,52,50,26,24,2,11,13,1,4,1,-6,2,2,0,2,ND
1954:Q4,2,2,205,53,0,41,12,0,0,82,25,41,0,6,10,102,49,53,0,0,-32,208,205,159,155,4,41,9,0,53,0,-57,3,3,0,2,ND
1955:Q1,2,3,-67,-22,0,-17,-5,0,0,-17,-13,-34,0,12,18,-45,-31,-14,0,0,17,-65,-67,-56,-54,-2,-10,0,0,-13,1,11,2,2,0,1,ND
1955:Q2,2,3,126,23,0,15,8,0,1,95,-2,19,0,31,47,14,44,-30,0,1,-8,129,126,112,110,2,27,-5,0,-31,1,22,3,3,0,2,ND
1955:Q3,2,3,-68,-23,0,-20,-3,0,0,27,-20,-14,0,24,37,-22,-25,3,0,0,-50,-66,-70,-49,-49,0,-9,-5,0,4,0,-11,4,4,0,1,ND
1955:Q4,2,3,53,17,0,15,2,0,0,60,15,4,0,16,25,-14,-8,-6,0,0,-10,56,53,47,47,0,11,-2,0,-6,1,2,3,3,0,2,ND
1956:Q1,2,3,64,9,0,6,3,0,0,-69,-6,-12,0,-20,-31,19,15,4,0,0,105,67,63,33,33,0,11,11,0,3,0,5,4,4,0,3,ND
1956:Q2,2,3,183,35,0,24,11,0,1,-6,2,28,0,-14,-22,64,59,5,0,0,89,186,184,126,121,5,29,19,1,5,1,3,2,2,0,2,ND
