1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q3,10773159,6568093,3308042,1851657,520359,888035,4205066,145376,84043,13578,31041,1635,96531,14318,42221,3350,36642,0,118397,61154,57243,35902,327479,649858,166,13606,995877,1691577,9239853,5256804,1308215,107016,115277,1085922,1280716,557083,425172,298462,101449,616179,31379,1918866,3983049,3538025,445024,5516355,72.2043570076632,64.99873446225695,46.93191828159102,8718904,4513838,1733448,1447577,452350,880463,3462100,25844,1440170
1991:Q4,10752506,6493751,3209584,1864110,525147,894910,4258755,164495,77581,16435,32331,1620,108051,14695,43426,5112,44818,0,125559,62571,62988,35554,353898,707348,175,14828,961380,1659500,9765820,5234956,1313573,98477,113984,1101112,1242872,546966,405643,290263,98120,649415,28892,1902084,4530864,4000417,530447,5517550,82.11731307248742,56.42291387826695,46.33298083403641,8798433,4539678,1748688,1462539,461694,866757,3563477,26085,1456007
1992:Q1,10829399,6452966,3145431,1885525,529379,892630,4376433,154598,74167,14978,37900,3211,97079,13853,42011,7872,33322,21,118789,62757,56032,41861,334622,715287,171,16197,977573,1790000,9967991,5510077,1345889,110434,114334,1121121,1232427,541871,405603,284953,96259,627620,34543,2173339,4457914,3914314,543600,5319322,83.80606251391728,57.836830516715935,48.47077033890734,8978750,4602317,1761185,1476704,470546,893882,3468673,26321,1471124
1992:Q2,10809240,6426159,3090628,1896030,538891,900610,4383081,153585,73250,14987,40597,3872,120387,14122,57611,7727,40878,49,120157,63284,56873,42279,330317,726010,162,17119,1019494,1720865,9945794,5520973,1366738,111996,115097,1139645,1214014,530641,403709,279664,98492,646811,31419,2163499,4424821,3876608,548213,5288267,83.67242744666248,58.324445597497466,48.8014794262342,9031401,4648320,1780667,1494271,479248,894134,3510428,26547,1486127
1992:Q3,10779852,6385876,3021883,1909304,548139,906550,4393976,151780,74612,15639,44253,3194,115587,14757,52292,8462,39984,92,121215,63372,57843,41093,329952,736376,170,18891,1031412,1709802,10073460,5550951,1379380,108216,116104,1155060,1198019,522740,404866,270413,97055,655379,35418,2185700,4522509,3973482,549027,5228901,86.49062568975994,56.990456168836644,49.29140212387521,9100165,4706189,1797856,1512897,487726,907710,3549214,26755,1501478
1992:Q4,10687119,6343988,2955057,1918294,560211,910426,4343131,158671,75991,15791,47346,5057,132173,17044,60589,8585,45813,142,129577,63836,65741,42164,335563,661560,172,21148,988942,1728976,10484436,5555784,1394296,107106,118285,1168905,1180053,517439,411957,250657,100117,682817,35344,2163157,4928652,4369261,559391,5131335,96.05008700744581,52.23230971199213,50.16917892436701,9089257,4746126,1813895,1532990,496707,902534,3533473,26973,1517581
1993:Q1,10792530,6360806,2935170,1937929,564930,922777,4431724,152194,82120,13489,47510,3905,118615,15860,42943,15167,44494,151,125173,61822,63351,34864,359409,675320,176,23483,1025995,1769471,10677532,5617174,1460069,113900,119327,1226842,1158934,511445,405744,241745,103766,666438,41686,2186281,5060358,4493617,566741,5175356,97.77796843115989,51.75528226172885,50.60526355133093,9249592,4817868,1828861,1553830,505757,929420,3632418,27183,1533786
1993:Q2,10902225,6389685,2927616,1956270,573822,931977,4512540,158090,85412,13667,45896,3071,124767,18076,47830,11620,47081,160,124374,59821,64553,41650,370027,683125,181,25215,1057388,1779677,10767302,5684950,1517140,124025,120705,1272410,1143392,511136,398592,233664,109112,668865,38333,2208108,5082352,4515232,567120,5217275,97.41392620246732,52.34843533373934,50.99466616415517,9388323,4875783,1854348,1576555,514953,929927,3703373,27392,1549900
1993:Q3,11012150,6424560,2935616,1973564,579773,935607,4587590,154034,81130,15278,44699,1963,143305,16698,53078,17224,56150,155,124449,57841,66608,39106,388666,700580,184,27899,1082549,1783748,10927291,5720936,1562042,123232,122697,1316113,1126564,504252,390574,231738,113751,678048,41382,2199149,5206355,4646190,560165,5291214,98.39623131515992,51.64085478766699,50.812654929998644,9523776,4936186,1869993,1599064,523866,943263,3802840,27618,1566212
1993:Q4,11315601,6481670,2947191,1997112,594465,942902,4833931,178018,91982,14502,44812,2506,142181,19411,48839,19059,54708,164,133060,55831,77229,49516,406967,841182,188,29776,1035046,1864195,11222693,5786032,1593863,117829,124864,1351170,1128234,509967,384664,233603,118993,719258,40725,2184959,5436661,4865339,571322,5529569,98.3197943651151,50.06928643085246,49.22801945889461,9821714,4987783,1889627,1624809,532709,940638,4035682,27879,1583280
1994:Q1,11436537,6573939,2987485,2031537,602900,952017,4862598,175081,87310,15730,47195,2579,148719,16511,57537,22414,52060,197,129120,57415,71705,62335,381249,856702,191,29526,1064540,1862321,11122970,5876737,1643978,129885,126947,1387146,1156913,517285,409189,230439,118179,701141,45468,2211058,5246233,4658750,587483,5559800,94.36010309042372,53.38862053601815,50.377557376341855,9923619,5061021,1907626,1652170,541311,959914,4046882,28165,1598720
