1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q4,460819,110149,27819,688,12729,20608,0,0,0,213698,143648,63185,6865,0,26429,24664,24036,5171276,7153,22994,0,3100822,3074079,26743,877003,6,876997,876997,28890,85408,1049006,11051,8018,1023135,0,6802
1995:Q1,486708,117223,16328,1126,15576,25320,0,0,0,212505,143546,62085,6874,0,26741,25058,46832,5253181,7646,23226,0,3174056,3147620,26436,860760,6,860754,860754,28940,83866,1074687,11053,8018,1049026,0,6590
1995:Q2,495818,115448,59027,1054,18883,26432,0,0,0,207609,142912,58486,6211,0,27018,23833,16514,5296677,7686,23490,0,3199533,3172695,26838,870884,6,870878,870878,29371,83125,1082588,11054,8018,1056763,0,6753
1995:Q3,478996,114314,38689,1053,20598,25193,0,0,0,206176,142720,56290,7166,0,27421,22561,22992,5336070,7380,23760,0,3226573,3199633,26940,878457,6,878451,878451,29445,82747,1087708,11051,10168,1059871,0,6618
1995:Q4,446821,112316,22173,940,20456,24548,0,0,0,193015,130369,53464,9182,0,27947,23073,22353,5394283,7283,24003,0,3276051,3247828,28223,875942,6,875936,867022,29909,80945,1100150,11050,10168,1072271,0,6661
1996:Q1,484228,117831,24179,1035,21199,23431,0,0,0,200037,138466,50035,11536,0,28385,23879,44253,5483714,7159,24269,0,3354456,3326813,27643,873609,6,873603,873603,30001,81286,1112934,11053,10168,1085113,0,6600
1996:Q2,473205,113478,42763,4336,21010,23039,0,0,0,201437,138797,49601,13039,0,28762,22697,15684,5480912,7072,24520,0,3330959,3302754,28205,885448,5,885443,885443,30609,82725,1119579,11050,10168,1091035,0,7326
1996:Q3,476670,112020,47479,3313,17527,19431,0,0,0,201427,137693,48205,15529,0,29195,23291,22988,5537886,7052,24744,0,3372129,3344692,27437,896683,4,896679,896679,30648,83470,1123160,11050,9718,1095218,0,7174
1996:Q4,465929,107010,38314,2376,17536,19147,0,0,0,198632,133118,47843,17671,0,29781,23992,29141,5602367,7045,24966,0,3413731,3387118,26613,929352,2,929350,929350,30526,82046,1114701,11048,9718,1086666,0,7269
1997:Q1,486951,104708,39963,2426,14362,16224,0,0,0,203688,137359,45817,20512,0,30208,24778,50595,5665817,6795,25157,0,3459351,3433093,26258,921900,0,921900,921900,31236,80463,1140915,11050,9200,1114112,0,6553
1997:Q2,470687,100265,57758,3270,14556,16468,0,0,0,204469,135977,45607,22885,0,30619,25403,17880,5613905,6801,25274,0,3388304,3361985,26319,933253,0,933253,933253,31787,79485,1149001,11050,9200,1122052,0,6699
1997:Q3,537219,100266,49307,2757,14762,16030,0,0,0,210946,140540,44792,25614,0,31034,21918,90200,5636697,6689,25402,0,3395621,3369532,26089,952116,0,952116,952116,31763,76869,1148237,11050,9200,1123795,0,4192
1997:Q4,515650,85956,41582,3395,18591,15405,0,0,0,211817,139168,45014,27635,0,31370,20752,86783,5687054,6611,25543,0,3414544,3388018,26526,991948,0,991948,991948,32263,73769,1142376,11047,9200,1115494,0,6635
1998:Q1,545791,91035,37857,2985,18554,15110,0,0,0,215622,139561,44664,31397,0,31755,22456,110417,5729225,6545,25664,0,3425246,3399328,25918,995917,0,995917,995917,32443,72104,1171306,11049,9200,1144452,0,6605
1998:Q2,560469,89972,82928,3230,19367,15584,0,0,0,218417,140281,44550,33586,0,32199,22279,76493,5665863,6524,25786,0,3327903,3302345,25558,1022521,0,1022521,1022521,33096,70734,1179299,11047,9200,1152479,0,6573
1998:Q3,538592,89914,47053,3550,21700,16441,0,0,0,220117,138807,44318,36992,0,32612,24305,82900,5654937,6719,25991,0,3290540,3265085,25455,1045835,0,1045835,1045835,33099,70163,1182590,11044,9200,1155646,0,6700
1998:Q4,505782,85894,23186,4714,24357,18001,0,0,0,217921,136872,44533,36516,0,32950,22254,76506,5701768,6899,26270,0,3320550,3292049,28501,1074536,0,1074536,1074536,33555,66198,1173760,11046,9200,1146814,0,6700
1999:Q1,539158,85140,29145,3858,25422,15199,0,0,0,221104,136234,44234,40636,0,33344,23847,102100,5727361,6653,26638,0,3326607,3298489,28118,1065578,0,1065578,1065578,33724,66671,1201490,11049,8200,1175544,0,6697
1999:Q2,542677,80617,61206,4065,23676,14731,0,0,0,223412,136361,44264,42787,0,33800,24520,76650,5641198,6545,27004,0,3215299,3187031,28268,1079063,0,1079063,1079063,34398,69107,1209782,11046,8200,1183879,0,6657
1999:Q3,596727,90684,62916,4582,22311,16053,0,0,0,261186,137128,77601,46457,0,34129,25668,79199,5642576,6799,27457,0,3201235,3172959,28276,1089529,0,1089529,1089529,34455,70564,1212537,11047,7200,1187589,0,6701
