1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q1,2597683,1010,20395,15578,1682,0,3135,979222,12272,1584784,2597683
2009:Q2,2623517,1213,18836,13627,1819,0,3390,985639,13270,1604559,2623517
2009:Q3,2649867,1415,19828,15044,1458,0,3326,1001599,14227,1612798,2649867
2009:Q4,2674892,1216,19947,15091,1480,0,3376,1065300,14442,1573987,2674892
2010:Q1,2724176,1016,20256,15213,1537,0,3506,1048643,15000,1639261,2724176
2010:Q2,2771273,816,17956,13287,1423,0,3246,1054569,13885,1684047,2771273
2010:Q3,2821788,617,17851,13215,1257,0,3379,1071245,16066,1716009,2821788
2010:Q4,2871326,600,18183,13345,1311,0,3527,1132674,16765,1703104,2871326
2011:Q1,2893432,583,18291,13387,1329,0,3575,1118550,16996,1739012,2893432
2011:Q2,2914757,566,16410,11557,1315,0,3538,1033700,16820,1847261,2914757
2011:Q3,2932501,549,15849,10934,1010,0,3905,1140890,13343,1761870,2932501
2011:Q4,2954463,532,16072,11009,1041,0,4022,1205233,13744,1718882,2954463
2012:Q1,2977206,515,16458,11139,1093,0,4226,1188783,14441,1757009,2977206
2012:Q2,2997645,499,14675,9657,1031,0,3987,1196412,13622,1772437,2997645
2012:Q3,3019852,482,14150,9284,803,74,3989,1216144,14621,1774455,3019852
2012:Q4,3041339,497,14219,9305,811,75,4028,1246971,14764,1764888,3041339
2013:Q1,3063259,513,14397,9360,832,77,4128,1258426,15132,1774791,3063259
2013:Q2,3084135,529,12855,7905,817,75,4058,1172656,14875,1883220,3084135
2013:Q3,3106033,544,12893,7880,782,69,4162,1155848,15690,1921058,3106033
2013:Q4,3127881,635,22465,17266,811,72,4316,1337319,16271,1751191,3127881
2014:Q1,3139489,726,22451,17262,809,72,4308,1324746,16241,1775325,3139489
2014:Q2,3151567,816,21194,15914,823,73,4384,1328942,16526,1784089,3151567
2014:Q3,3162200,907,20918,15990,599,64,4265,1348217,16027,1776131,3162200
2014:Q4,3172811,902,20801,15952,589,63,4197,1407513,15774,1727821,3172811
2015:Q1,3193103,896,20773,15943,587,63,4180,1358679,15709,1797046,3193103
2015:Q2,3212936,891,19390,14618,580,62,4130,1295329,15519,1881807,3212936
2015:Q3,3231254,886,19508,14314,632,62,4500,1271898,13663,1925299,3231254
2015:Q4,3251013,861,22261,17018,638,62,4543,1481824,13795,1732272,3251013
2016:Q1,3266371,836,22219,17006,634,62,4517,1466952,13714,1762650,3266371
2016:Q2,3281665,812,20261,15035,636,62,4528,1469277,13748,1777567,3281665
2016:Q3,3297767,787,20632,15041,841,84,4666,1486849,13942,1775557,3297767
2016:Q4,3313036,846,20602,15033,838,84,4647,1567575,13883,1710130,3313036
2017:Q1,3327159,906,20720,15064,851,85,4720,1525362,14101,1766070,3327159
2017:Q2,3340758,965,19272,13529,864,86,4793,1455300,14320,1850901,3340758
2017:Q3,3354542,1025,18917,13449,840,75,4553,1576923,15267,1742410,3354542
2017:Q4,3368190,975,19040,13482,854,77,4627,1637623,15515,1695037,3368190
2018:Q1,3390325,924,18897,13444,838,75,4540,1644207,15224,1711073,3390325
2018:Q2,3412478,874,17753,12319,835,75,4524,1645828,15169,1732854,3412478
2018:Q3,3434741,824,17662,12075,1015,53,4519,1679099,15497,1721659,3434741
2018:Q4,3454630,784,17013,11921,925,49,4118,1763875,14124,1658834,3454630
2019:Q1,3482186,745,17341,11999,971,51,4320,1723530,14816,1725754,3482186
2019:Q2,3509100,706,15940,10499,989,52,4400,1647913,15090,1829451,3509100
2019:Q3,3535175,666,15956,10369,1034,49,4504,1781536,14853,1722164,3535175
2019:Q4,3562012,706,16206,10424,1070,51,4661,1877231,15370,1652499,3562012
2020:Q1,3577958,745,14916,10142,884,42,3848,1866961,12691,1682645,3577958
2020:Q2,3598684,784,13842,8699,952,45,4146,1857793,13674,1712591,3598684
2020:Q3,3619225,823,13496,8412,798,39,4247,1894245,14796,1695865,3619225
2020:Q4,3640916,952,13923,8491,852,42,4538,1980799,15810,1629432,3640916
2021:Q1,3661558,1081,14230,8548,892,43,4747,1974579,16541,1655127,3661558
2021:Q2,3681305,1210,13281,7387,925,45,4924,1987580,17155,1662079,3681305
2021:Q3,3701489,1339,11760,7188,518,33,4021,1976340,19227,1692823,3701489
2021:Q4,3720828,1112,11924,7221,533,34,4136,2148961,19777,1539054,3720828
2022:Q1,3737226,885,11644,7165,508,33,3938,2153072,18829,1552796,3737226
2022:Q2,3751573,658,9835,5839,453,29,3514,2175999,16803,1548278,3751573
