1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q3,11314,6996,-23839,68786,3103,2550,501,-16753,-14155,-678,-8334,-3565,153,-1731,79493,30342,1000,30286,17865,183,495,960,714,-303,0,11998,92625,80170,-10240,-755,65823,-9823,1465,1119,346,8431,16,745,24508,-1128,25636,12455,721,626,4528,6580,28156,0,ND
1996:Q4,7061,6137,-28595,110402,32175,6959,2668,21353,-2736,2376,-15029,15349,1535,-6967,61254,20584,287,23836,16547,361,813,645,426,91,0,-13607,138997,127093,41966,2916,54360,13754,2902,265,2637,7310,-462,2926,1421,3506,-2085,11904,823,1595,4449,5037,29519,0,ND
1997:Q1,12564,7663,1154,132074,37079,-8035,-2785,24962,38342,-613,21515,17046,-369,763,32603,39482,450,14026,-21355,35,142,1020,800,-104,0,8016,130919,103759,28941,-33326,71245,18191,1732,633,1099,-5214,496,3493,18201,3094,15107,27160,159,886,11225,14890,3747,0,ND
1997:Q2,12277,6964,-1468,120775,19381,1256,-2203,-4708,2250,1,-16437,17311,402,973,93689,39748,1092,41676,11173,59,-43,1241,755,306,0,8792,122243,111861,11431,19408,49584,-350,2946,1169,1777,15725,651,-702,13169,631,12538,10382,887,2671,11894,-5070,6781,0,ND
1997:Q3,11513,7433,-29700,39203,-24519,124,2287,5005,5442,-168,-7164,10924,1883,-33,45557,8155,-1137,36513,2026,2,-146,653,346,21,0,4430,68902,47601,-35172,-36211,68958,21741,-348,-1395,1047,9337,144,6172,12980,18,12962,21301,443,1571,10680,8607,33780,0,ND
1997:Q4,12855,8275,-27906,227564,67556,6473,2701,11460,44666,-307,6206,30790,538,7439,69725,47076,-3184,19401,6432,26,804,-83,679,-178,0,23735,255470,256679,71794,29116,61675,31234,3772,-3120,6892,15519,1132,1093,41344,3052,38292,-1209,1687,142,1054,-4092,32486,0,ND
1998:Q1,10949,7092,-18320,-27074,-58494,-7220,4305,28442,33963,415,9709,18073,-1277,7043,28759,22618,-3737,32499,-22621,252,709,1259,1342,-1055,0,-59336,-8754,-30956,-67130,-35779,95410,31391,-137,-3820,3683,8172,96,5644,-68623,3118,-71741,22202,106,-121,13488,8729,22178,0,ND
1998:Q2,10837,9049,-17779,66832,9270,629,-715,735,-4071,-269,-16889,-3499,2793,13793,58651,48910,-2627,9971,2397,563,716,309,617,280,0,-152,84610,79144,32511,31396,3690,-22640,-1471,-2735,1264,19151,191,-1215,17532,-1202,18734,5466,1381,9,12313,-8237,19567,0,ND
1998:Q3,10774,8446,-33356,144457,29952,785,1184,37915,928,10,-45911,27696,3422,15711,58646,30575,-68,18048,10091,-206,1147,-831,915,1649,0,12373,177813,151207,49897,-44478,36677,52091,1338,-87,1425,20152,692,5210,29627,5282,24345,26606,635,3907,11891,10173,35683,0,ND
1998:Q4,10559,10627,18956,215931,14133,2859,2074,1719,72843,666,-7117,41392,3627,34275,98703,32918,-2832,53304,15313,-1062,251,1702,1605,616,0,20488,196975,184792,20524,20939,81214,5243,1173,-2720,3893,42030,1037,423,12209,-511,12720,12183,1690,-353,9755,1091,-19024,0,ND
