1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q3,181,214,4304,-2080,-792,-648,796,-144,-796,6276,-1440,756,6960,900,4656,-4800,10232,-776,319,296
2005:Q4,183,218,7632,-936,-3036,2400,-4824,744,-1356,11796,16216,-16580,12160,-192,7444,768,5368,1308,-223,-2892
2006:Q1,188,247,6020,-1388,-372,396,-424,532,-876,4512,1928,-2164,4748,3268,6588,1292,7696,-2400,509,772
2006:Q2,190,253,868,-268,-7428,-1232,-4864,436,-1768,-788,-13460,9424,3248,9352,1532,-676,1484,724,601,-1368
2006:Q3,193,260,-13276,-684,-5540,-1712,-4904,1092,-16,2280,5792,-4332,820,-9332,-14792,-3452,-284,-11056,-1583,-5840
2006:Q4,195,264,1572,1808,-8900,1556,-12824,1260,1108,9396,4564,760,4072,-732,1628,5532,1016,-4920,-13,2228
2007:Q1,68,82,-5616,-840,-2120,-2160,0,156,-116,-4400,-3700,-2140,1440,1744,-6680,-3532,504,-3652,-1078,-2956
2007:Q2,70,85,5996,-2232,-1004,56,-520,-972,432,88,-4308,3036,1360,9144,6916,1748,6460,-1292,905,3356
2007:Q3,70,87,2004,3056,-7216,-3800,-5708,1008,1284,6544,2232,1420,2892,-380,1116,-1044,9756,-7596,-905,5892
2007:Q4,71,89,-4772,-1216,-4612,-1508,-4444,2552,-1212,-12904,-11104,14828,-16628,13960,-32056,9644,-7924,-33776,-27302,-5784
2008:Q1,151,188,2444,184,-3364,-1716,-2416,-8,776,2860,84,2152,624,2764,-1200,-1664,-2108,2572,-3681,40320
2008:Q2,151,190,10324,276,8084,-792,8376,708,-208,-1100,-1464,44,320,3064,9288,2100,5184,2004,-1075,688
2008:Q3,153,190,-4696,-340,-2188,-60,-1676,256,-708,540,-676,1288,-72,-2708,-5424,-1136,10700,-14988,-765,1172
2008:Q4,155,182,-17264,2388,-10784,-8,-12084,1032,276,-1800,-4660,2032,828,-7068,-16196,-3644,-5116,-7436,1041,-44572
2009:Q1,144,160,-6784,4312,-7140,-1372,-6320,1824,-1272,304,20,464,-180,-4260,-9628,1360,-11500,512,-2860,52
2009:Q2,144,153,-6832,-4068,5180,-316,2728,-2364,5132,-4160,-4416,-316,572,-3784,-6724,2544,-5288,-3980,99,4
2009:Q3,143,149,-372,-1936,884,-316,-6708,4440,3468,4892,4412,48,432,-4212,23112,712,-1244,23644,23478,-14648
2009:Q4,143,150,-11464,5532,-7524,-772,-5280,-124,-1348,-3548,-1256,-1324,-968,-5924,-11040,1160,-5188,-7012,417,-36
2010:Q1,108,94,-14924,-1256,-10608,1632,-8404,-1520,-2316,-6792,-3960,-1476,-1356,3732,-12476,656,-1964,-11168,2462,14012
2010:Q2,108,98,-16896,6052,-15196,1520,-8820,-4388,-3508,-31012,-10744,-5752,-14516,23260,-18884,2108,-36640,15648,-1978,-5596
2010:Q3,108,99,-16996,-512,-10640,-664,-12856,2928,-48,-1100,524,-1436,-188,-4744,-16536,668,1008,-18212,469,728
2010:Q4,108,101,-13724,-7720,-1408,-224,-644,-740,200,-292,784,-1316,240,-4304,-11360,-1308,-3796,-6256,2371,-2780
2011:Q1,105,90,-2568,3128,-1140,4,-23476,1188,21144,-3996,-80,-5384,1468,-560,-2048,2220,636,-4904,535,6032
2011:Q2,107,92,-4120,1160,-5560,2096,-3740,-1340,-2576,-4012,-332,-2220,-1460,4292,-4104,3932,-1624,-6412,31,1620
2011:Q3,107,98,14724,1852,-6592,-2608,-2560,1384,-2808,508,2708,-1144,-1056,18956,11404,-468,-120,11992,-3311,3832
2011:Q4,108,101,-19468,-1240,-768,384,-2100,2352,-1404,2056,1904,-684,836,-19516,-17684,5488,-1808,-21364,1791,-1480
2012:Q1,113,105,78312,-1372,68,-1604,1240,-56,488,-2760,156,-1764,-1152,82376,77496,1536,-3952,79912,-808,-2212
2012:Q2,113,108,20884,516,-3436,1824,-1500,-2656,-1104,-1780,284,-1012,-1052,25584,21608,10716,6836,4056,729,5184
2012:Q3,114,108,-14888,2964,-3376,-1452,-3412,-148,1636,-264,2060,-660,-1664,-14212,-14180,-6912,-6832,-436,714,-1980
2012:Q4,116,109,3184,-1324,-4060,-1980,-5444,1064,2300,13392,2336,11532,-476,-4824,3984,3868,2424,-2308,807,-392
2013:Q1,118,106,4696,-700,1428,-128,-660,340,1876,-2036,196,-264,-1968,6004,5428,784,2312,2332,744,4436
2013:Q2,120,105,4796,1648,-120,-420,-840,240,900,-2152,1256,-3444,36,5420,2280,3428,-1628,480,-2501,5196
2013:Q3,121,107,5224,-1060,2200,796,-896,1920,380,-6496,432,-36,-6892,10580,8512,5672,8496,-5656,3302,4732
2013:Q4,122,111,1432,-1076,2896,2112,-296,364,716,3316,-188,-524,4028,-3704,-4912,1348,-2956,-3304,-6333,-1392
2014:Q1,116,104,-2288,3020,1148,552,-464,-992,2052,-2416,-624,-2196,404,-4040,-1792,-3484,-5496,7188,508,-2556
2014:Q2,119,106,-8840,1528,-5904,-1960,40,-3024,-960,-5160,-4340,-208,-612,696,-8192,5224,5668,-19084,661,1456
2014:Q3,119,108,-15996,-2488,-756,1752,8,-576,-1940,-6164,-2832,-2704,-628,-6588,-16504,-3260,-3704,-9540,-497,-544
2014:Q4,121,110,44356,532,-1212,352,-252,200,-1512,-2344,-816,-632,-896,47380,44092,23172,20448,472,-253,11008
2015:Q1,121,146,-21048,1596,-536,508,-1060,-56,72,-17408,-6244,-4036,-7128,-4700,-20348,-2320,-14960,-3068,675,-1652
2015:Q2,122,146,31208,1916,2720,1544,1444,-780,512,-3396,-540,-792,-2064,29968,29816,11196,9776,8844,-1416,6772
2015:Q3,123,147,-31328,-2988,-84,1376,-12,-1136,-312,-2560,-1632,-760,-168,-25696,-31900,-1632,-4340,-25928,-596,-648
2015:Q4,125,147,73348,-1312,2348,868,44,-508,1944,-964,-112,-904,52,73276,73296,-1400,-2712,77408,-74,-1376
2016:Q1,135,168,47572,2592,-1780,80,-1280,-928,348,-3052,-3076,-632,656,49812,49144,13472,10472,25200,1539,8256
2016:Q2,137,169,-18548,516,2016,1228,-164,-208,1160,-2696,-1208,-880,-608,-18384,-17676,-3832,-7964,-5880,840,-132
2016:Q3,139,172,-85432,5336,-1024,-608,-64,-492,140,-1416,-928,-572,84,-88328,-85684,4200,-3468,-86416,-285,6480
2016:Q4,140,173,13020,-4876,6436,3524,320,24,2568,-1488,-536,-704,-248,12948,10584,9112,11020,-9548,-2469,2388
2017:Q1,134,172,4652,3076,3356,3036,24,-216,512,-2376,-960,-876,-540,596,4744,4644,-1624,1724,54,5476
2017:Q2,137,176,-7268,3856,228,1288,-660,-288,-112,-380,736,-672,-444,-10972,-7060,4404,-3444,-8020,169,2724
2017:Q3,138,178,-19796,6720,-2940,-1524,224,-1392,-248,-1840,-2168,-452,780,-21736,-20276,-15256,-14392,9372,-520,-4544
2017:Q4,140,182,2492,-1616,5708,4808,380,-8,528,3952,668,3236,48,-5552,2232,7328,884,-5980,-302,844
2018:Q1,149,203,7880,6936,5956,5036,940,60,-80,-2408,-252,-1448,-708,-2604,5700,5868,4440,-4608,-2234,7292
2018:Q2,152,206,12408,6224,2756,1936,1068,-36,-212,-772,812,-1080,-504,4200,11852,11384,1028,-560,-610,6364
2018:Q3,154,209,8568,-15644,10928,11908,-736,-276,32,-1244,412,-1196,-460,14528,7668,-2664,-4144,14476,-955,3776
2018:Q4,157,210,-15680,-3200,660,2316,-1584,-72,0,-552,928,-1068,-412,-12588,-15156,-516,212,-14852,471,-1764
2019:Q1,168,277,-4308,1948,3968,3568,248,136,16,2892,4528,-1220,-416,-13116,-1744,464,-3256,1048,2455,1532
2019:Q2,172,283,26760,-5540,30144,11388,160,-84,18680,5616,6708,-656,-436,-3460,29120,9348,3188,16584,2249,8848
2019:Q3,174,286,27088,9132,7464,-2568,-2524,-304,12860,-4088,-1848,-984,-1256,14580,28412,13604,7112,7696,1212,10940
2019:Q4,176,285,-2484,-11008,11144,11156,872,4,-888,9644,10716,-832,-240,-12264,-156,-4136,-1564,5544,2219,-4060
2020:Q1,174,229,28476,15840,-3484,-13216,-4280,96,13916,7628,8020,-656,264,8492,34524,3336,6732,24456,5993,2880
2020:Q2,176,214,42244,21500,16092,12176,7972,-100,-3956,8516,6584,1492,440,-3864,44212,31380,4792,8040,1930,23944
2020:Q3,177,222,-19420,8688,2996,-9352,13196,-628,-220,-5740,-6164,1368,-944,-25364,-16740,8256,2840,-27836,2635,14000
2020:Q4,180,229,-9024,-5956,8960,-4152,11396,-3696,5412,-6788,-6184,-928,324,-5240,-10364,1052,-2100,-9316,-1389,1056
2021:Q1,177,202,35100,-628,16932,9224,7696,4,8,-4708,-2796,-1384,-528,23504,27204,23100,18012,-13908,-7921,13968
2021:Q2,181,206,26900,34840,-7928,-24,1688,-4,-9588,-3680,-1408,-1796,-476,3668,31148,27140,3256,752,4223,28916
2021:Q3,186,208,-35164,-3176,20516,11744,280,-44,8536,-5572,-5360,-1416,1204,-46932,-36900,-13664,-19852,-3384,-1758,-3748
2021:Q4,190,213,-20336,-2344,2016,5216,-2040,0,-1160,-3504,-1912,-1432,-160,-16504,-21560,-7288,-10152,-4120,-1247,-5452
2022:Q1,190,232,-12160,-34108,13124,4704,4700,20,3700,0,436,-1204,768,8824,-23236,-25084,-3388,5236,-11118,-23240
2022:Q2,193,240,9340,-5976,22100,17164,1560,16,3360,1472,1500,-756,728,-8256,724,5796,-4940,-132,-8663,5756
2022:Q3,197,248,39044,-22064,22916,19664,1080,-36,2208,3752,2172,-384,1964,34440,26872,10260,10972,5640,-12223,2944
2022:Q4,198,253,-29884,-1260,-16316,-13448,-1660,-4,-1204,1520,1412,120,-12,-13828,-25104,-15592,-10652,1140,4725,-16984
2023:Q1,216,249,5384,2316,-8420,-4744,-2236,-8,-1432,552,504,-344,392,10936,9660,1024,8892,-256,4243,980
2023:Q2,217,255,7128,10524,1084,1228,-420,-4,280,2844,3056,-32,-180,-7324,3628,4148,-2616,2096,-3538,12048
2023:Q3,218,256,97156,-11104,83216,2084,904,0,80228,6020,4868,620,532,19024,90396,-2580,3244,89732,-6798,-176
2023:Q4,222,260,17108,420,1752,-8088,-2588,124,12304,9064,6488,1000,1576,5872,31568,9680,-9400,31288,14422,3520
2024:Q1,224,263,-26140,-4524,6264,7008,-1120,32,344,2216,1428,260,528,-30096,-28928,-20040,-18492,9604,-2827,-6572
2024:Q2,228,269,9284,244,12364,1904,-688,0,11148,4096,3760,376,-40,-7420,7540,3232,-2572,6880,-1785,3168
2024:Q3,233,275,5756,260,-11800,-11708,-2344,-48,2300,3028,1740,452,836,14268,19104,-5444,-852,25400,13306,-3464
2024:Q4,236,274,25044,2368,19132,8028,236,8,10860,5192,3596,776,820,-1648,13768,8192,1756,3820,-11314,7264
2025:Q1,239,284,-10480,16,816,1628,-2500,88,1600,-8380,-4068,-1888,-2424,-2932,-3960,-7140,-4488,7668,6475,-2512
