1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q3,-219,-4714,0,0,0,-3954,-3954,0,0,0,0,0,-760,0,-4495,-4495,-760,-1368,608,0,0,0,0,-3735,-3660,-75,0,0,0,0,0
1983:Q4,-289,54852,0,0,0,41712,41712,0,0,0,0,0,13140,0,55141,55141,13140,14120,-980,0,0,0,0,42001,11116,30885,0,0,0,0,0
1984:Q1,-402,11472,0,0,0,8756,8756,0,0,0,0,0,2716,0,11874,11874,960,-2236,3196,0,0,0,0,10914,2228,8686,0,0,0,0,0
1984:Q2,-457,30915,0,0,0,54715,54715,0,0,0,0,0,-23800,0,31372,31372,-28360,-27924,-436,0,0,0,0,59732,-9708,69440,0,0,0,0,0
1984:Q3,-505,9695,0,0,0,-18897,-18897,0,0,0,0,0,28592,0,10200,10200,29996,29428,568,0,0,0,0,-19796,7628,-27424,0,0,0,0,0
1984:Q4,-502,-20175,0,0,0,-17319,-17319,0,0,0,0,0,-2856,0,-19673,-19673,2056,2520,-464,0,0,0,0,-21729,596,-22325,0,0,0,0,0
1985:Q1,-531,105493,0,0,0,93277,93277,0,0,0,0,0,12216,0,106024,106024,6220,3444,2776,0,0,0,0,99804,-5128,104932,0,0,0,0,0
1985:Q2,-689,-31364,0,0,0,-32484,-32484,0,0,0,0,0,1120,0,-30675,-30675,-5944,-8860,2916,0,0,0,0,-24731,6420,-31151,0,0,0,0,0
1985:Q3,-577,123783,0,0,0,102667,102667,0,0,0,0,0,21116,0,124360,124360,27476,24552,2924,0,0,0,0,96884,-4832,101716,0,0,0,0,0
1985:Q4,-541,45436,0,0,0,37040,37040,0,0,0,0,0,8396,0,45977,45977,15096,15136,-40,0,0,0,0,30881,9492,21389,0,0,0,0,0
1986:Q1,-289,12320,0,0,0,-4584,-4584,0,0,0,0,0,16904,0,12609,5429,9724,6536,3188,0,0,0,0,-4295,3424,-7719,7180,0,7180,0,0
1986:Q2,-93,11019,0,0,0,-1109,-1109,0,0,0,0,0,12128,0,11112,10424,12544,8328,4216,0,0,0,0,-2120,16700,-18820,688,0,688,0,0
1986:Q3,-96,43457,0,0,0,40369,40369,0,0,0,0,0,3088,0,43553,50633,2072,-1344,3416,0,0,0,0,48561,-2392,50953,-7080,0,-7080,0,0
1986:Q4,-224,-20312,0,-0,0,-18320,-18320,0,0,0,0,0,-1992,0,-20088,-1508,8952,14052,-5100,0,0,0,0,-10460,2836,-13296,-18580,0,-18580,0,0
