1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,3594,4425,1695,1695,2730,46250,-964,2224,132,392,0,-652,7312,648,-7540,3132,3228,7844,13352,184,1548,9784,1836,4,5368,188,0,0,0,164,18730,43520,42004,-4372,-6412,13520,416,0,-2660,2140,620,864,656,2000,1320,680,-60,728,2684,23976,40,900,9104,1516,1380,136,-831
1958:Q1,3466,3199,1666,1666,1533,52757,-3120,-1756,148,1244,0,2024,33412,2884,16428,3340,4460,6300,3408,-5748,1204,9016,-1064,12,2568,296,0,0,0,156,14365,51224,50976,-6080,9760,23508,1284,0,2268,3824,3176,-472,1120,-2268,76,-2344,4,1304,2856,21960,0,508,-7952,248,0,248,267
1958:Q2,3505,4406,1605,1605,2801,74589,1352,776,148,544,0,-564,31860,960,18144,-2064,6816,8004,16748,4860,1676,10380,-168,0,3424,160,0,0,0,148,19993,71788,72376,-636,14328,20544,576,0,4,-2164,-1352,-404,-408,6496,5216,1280,0,1812,3056,21040,0,-1280,8600,-588,-644,56,-901
1958:Q3,3543,3994,1585,1585,2409,20137,1368,36,152,-1216,0,-252,10172,-628,3576,1256,2996,2972,10464,-5568,2496,13924,-388,0,1880,144,0,0,0,144,-2755,17728,18636,6224,-14396,10352,-1036,0,1320,-1672,-1228,884,-1328,-6508,-7192,684,0,1488,3112,22112,40,584,-2984,-908,-980,72,-451
1958:Q4,3778,3831,1642,1642,2189,65981,-48,1564,152,68,0,-3164,13088,-1924,6408,1448,1964,5192,32964,10920,4492,15444,2108,8,3776,172,0,0,0,144,17257,63792,64696,-2068,12992,13044,-160,0,-3584,-1176,-1592,368,48,6400,4924,1476,36,1028,3044,21776,0,440,12924,-904,-960,56,-53
1959:Q1,4308,2419,1737,1737,682,48126,692,-864,204,-328,0,3332,3536,1068,-1484,-1244,2900,2296,18848,-1312,2088,13452,4620,4,3968,376,0,0,0,160,18198,47444,46780,2420,5688,9816,-332,0,4352,2740,1608,484,648,-1324,-1044,-280,0,1724,3076,23676,40,-616,-4480,664,352,312,1889
1959:Q2,4415,4905,1795,1795,3110,61514,816,1152,208,160,0,-312,-4856,84,-11264,-936,2388,4872,40400,13292,4620,15812,6676,0,4896,200,0,0,0,176,18674,58404,58600,728,1332,11956,160,0,1020,5340,1036,3500,804,3992,2980,1012,8,1224,3084,23844,0,-1240,7152,-196,-344,148,-490
1959:Q3,4663,2628,1862,1862,766,47758,-1640,-868,224,-1380,0,-1224,3504,628,-3464,496,2048,3796,38228,9008,3988,17360,7872,4,5996,148,0,0,0,192,4574,46992,45880,1876,4360,5972,-824,0,-2212,3912,-624,3252,1284,3408,2752,656,8,1484,3332,26072,40,544,-2092,1112,1008,104,2035
1959:Q4,4753,3234,1864,1864,1370,53038,2156,312,236,520,0,-1920,-5528,-2316,-11072,-8,1792,6076,38820,12656,4816,16104,5244,8,5848,180,0,0,0,204,12202,51668,51544,-1476,-4536,8476,76,0,-2756,3420,600,1596,1224,5128,8912,-3784,-12,1244,3756,25300,0,68,12856,124,-56,180,1519
1960:Q1,4751,4054,2047,2047,2007,43131,-1448,472,196,-196,0,4272,-2200,4996,-12916,1872,1392,2456,22332,-160,2152,13928,6412,4,4868,492,0,0,0,192,14147,41124,39508,-256,2112,8716,-220,0,6928,10036,5616,-652,5072,-7168,-3632,-3536,8,1272,3672,23968,40,-4,-9596,1616,1156,460,697
