1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,12190,12190,12190,21784,18868,2916,-9594,1572,-96,0,0,0,0,0,-1396,0,-1396,20,2748,296,296,0,0,11166,9061,7081,116,1585,5380,0,1980,0,0,2105,4,2101
1963:Q2,12280,12280,12280,21075,19964,1111,-8795,-744,-204,0,0,0,0,0,848,0,848,0,-1788,400,400,0,0,8051,7586,9426,1232,22,8172,0,-1840,0,0,465,4,461
1963:Q3,12381,12381,12381,21190,20431,759,-8809,440,-196,0,0,0,0,0,184,0,184,76,-20,396,396,0,0,9249,7179,8547,812,563,7172,4,-1372,0,0,2070,4,2066
1963:Q4,12498,12498,12498,22602,21053,1549,-10104,-1428,-84,0,0,0,0,0,1316,0,1316,16,-2944,268,268,0,0,8676,5295,9623,2468,1127,6028,0,-4328,0,0,3381,8,3373
1964:Q1,12628,12628,12628,22379,21771,608,-9751,1704,4,0,0,0,0,0,-1148,0,-1148,20,2452,376,376,0,0,11455,8837,6745,516,1357,4872,4,2088,0,0,2618,4,2614
1964:Q2,12780,12780,12780,21744,21705,39,-8964,592,116,0,0,0,0,0,552,0,552,4,-480,400,400,0,0,9556,9513,9593,852,485,8256,0,-80,0,0,43,8,35
1964:Q3,12938,12938,12938,21428,21769,-341,-8490,1616,156,0,0,0,0,0,132,0,132,84,828,416,416,0,0,10106,9120,9152,944,728,7480,4,-36,0,0,986,4,982
1964:Q4,13116,13116,13116,22031,21780,251,-8915,-280,132,0,0,0,0,0,1368,0,1368,32,-2220,408,408,0,0,8635,3498,7694,676,794,6224,0,-4196,0,0,5136,8,5128
1965:Q1,13310,13310,13310,24922,22264,2658,-11612,1476,104,0,0,0,0,0,-1136,0,-1136,32,2084,392,392,0,0,13088,10068,7736,1704,1224,4808,4,2328,0,0,3020,4,3016
1965:Q2,13522,13522,13522,25403,22763,2640,-11881,-192,120,0,0,0,0,0,668,0,668,80,-1444,384,384,0,0,11689,10179,10711,1472,439,8800,0,-532,0,0,1510,8,1502
1965:Q3,13750,13750,13750,25654,23133,2521,-11904,1484,108,0,0,0,0,0,32,0,32,64,884,396,396,0,0,13388,10156,9748,1312,532,7904,4,404,0,0,3232,8,3224
1965:Q4,14002,14002,14002,26170,23842,2328,-12168,-200,84,0,0,0,0,0,1480,0,1480,28,-2228,436,436,0,0,11968,5598,9110,1788,962,6360,0,-3512,0,0,6370,12,6358
1966:Q1,14272,14272,14272,26685,24088,2597,-12413,1956,12,0,0,0,0,0,-1356,0,-1356,48,2788,464,464,0,0,14369,13425,12777,2164,2253,8360,4,644,0,0,944,0,944
1966:Q2,14534,14534,14534,24416,23902,514,-9882,-428,-28,0,0,0,0,0,516,0,516,56,-1468,496,496,0,0,9454,8235,10907,2804,123,7980,0,-2672,0,0,1219,4,1215
1966:Q3,14789,14789,14789,25044,23714,1330,-10255,2760,-32,0,0,0,0,0,-420,0,-420,72,2620,520,520,0,0,13015,7799,7247,672,675,5900,0,552,0,0,5217,4,5213
1966:Q4,15037,15037,15037,25137,23005,2132,-10100,-84,8,0,0,0,0,0,1052,0,1052,32,-1696,520,520,0,0,10016,4470,7806,3360,654,3792,0,-3336,0,0,5546,4,5542
1967:Q1,15282,15282,15282,25866,22303,3563,-10584,2004,92,0,0,0,0,0,-1336,0,-1336,48,2636,564,564,0,0,12588,6180,6396,392,1688,4316,4,-220,0,0,6408,12,6396
1967:Q2,15531,15531,15531,25461,22830,2631,-9930,432,120,0,0,0,0,0,304,0,304,96,-672,584,584,0,0,10362,11737,11809,1992,505,9312,4,-76,0,0,-1375,16,-1391
