1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q4,957496,363860,1119,293222,69519,0,54168,178299,2259,80714,49722,0,45604,333791,292125,9443,32223,3,27375,1024943,916695,383511,295114,88397,7998,343485,92451,9643,6073,73534,108248,43780,64468,ND
1997:Q1,1007969,390471,653,323724,66094,0,53133,196478,543,93987,54772,0,47176,338948,298869,9314,30765,3,28936,1079988,955964,397985,305845,92140,8001,356733,93225,9738,6569,83713,124024,44666,79358,ND
1997:Q2,1048321,416968,1019,346997,68952,0,65712,190341,486,85764,57467,0,46624,348288,310120,9891,28277,3,27009,1116822,995197,405190,314735,90455,8857,374018,107555,10347,7220,82010,121625,47337,74288,ND
1997:Q3,1032613,409931,590,343964,65377,0,59102,198330,428,90508,60320,0,47074,339607,302981,9015,27611,0,25643,1119826,988023,393367,313616,79751,8255,388440,100983,9249,7364,80365,131803,48908,82895,ND
1997:Q4,1091920,437397,2910,367963,66524,0,72344,206101,382,95073,62196,0,48450,347524,314516,6911,26097,0,28554,1191974,1044636,429522,350394,79128,8817,390135,114423,7215,8436,86088,147338,68535,78803,ND
1998:Q1,1059726,409607,876,351802,56929,0,65103,216923,289,99679,67245,0,49710,341524,312324,5243,23957,0,26569,1163978,1008032,372544,301530,71014,8303,400822,128227,5511,8532,84093,155946,68414,87532,ND
1998:Q2,1084252,411964,1693,356613,53658,0,78040,221390,375,103805,70462,0,46748,341832,314945,3861,23026,0,31026,1183973,1036255,390657,323863,66794,8842,392054,142392,3996,8723,89591,147718,68423,79295,ND
1998:Q3,1135600,460646,772,405365,54509,0,94582,200652,247,86352,65883,0,48170,344239,318009,3390,22840,0,35481,1251414,1089616,434039,373988,60051,8323,385713,163371,3541,9415,85214,161798,72330,89468,ND
1998:Q4,1104998,451508,998,400196,50314,0,79432,205051,283,84795,67436,0,52537,334214,311574,2244,20396,0,34793,1237640,1048329,457699,403385,54314,8584,359149,126988,2406,10453,83050,189311,98752,90559,ND
1999:Q1,1063441,433185,543,383726,48916,0,78993,203073,245,85984,70019,0,46825,315326,294969,1995,18362,0,32864,1203334,1015822,428570,368324,60246,8882,352891,135878,2132,11191,76278,187512,97722,89790,ND
1999:Q2,1057140,457957,1208,408443,48306,0,76080,194213,251,83161,64669,0,46132,298539,279822,1570,17147,0,30351,1220887,1021472,436738,378469,58269,7865,352834,134250,2100,12502,75183,199415,110942,88473,ND
1999:Q3,1079404,467795,493,412465,54837,0,71830,206474,417,92495,69718,0,43844,301310,283041,1398,16871,0,31995,1256462,1043272,445602,381272,64330,8148,358851,125953,1821,13176,89721,213190,110711,102479,ND
1999:Q4,1123900,501964,1436,429396,71132,0,64236,214576,636,94503,72350,0,47087,305981,288411,1630,15940,0,37143,1332355,1099782,467588,389838,77750,9138,409651,106181,2003,15045,90176,232573,139542,93031,ND
2000:Q1,1150653,521216,457,462785,57974,0,84121,209897,767,89739,71690,0,47701,302412,284116,1644,16652,0,33007,1329958,1075047,406799,339739,67060,8250,430248,119386,1959,15233,93172,254911,140344,114567,ND
2000:Q2,1144206,513767,617,451120,62030,0,92410,202625,785,84355,70440,0,47045,304880,285946,1730,17204,0,30524,1355255,1100222,412179,340580,71599,9321,431088,139890,2029,15339,90376,255033,140491,114542,ND
