1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267,28267,0,0,28267,6757,0,0,625,50,16872,0,28,225,3497,16,11,0,0,0,186,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422,33422,0,0,33422,7274,0,0,710,100,19821,0,54,302,4943,25,16,0,0,0,177,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,171352,171352,0,0,171352,12882,0,0,4453,1668,117371,0,145,1327,26538,890,1235,2517,0,0,2326,0,ND,ND,ND,ND,ND,ND
1963:Q2,175801,175801,0,0,175801,13427,0,0,4123,1674,121487,0,154,1321,26707,925,1281,2127,0,0,2575,0,ND,ND,ND,ND,ND,ND
1963:Q3,180662,180662,0,0,180662,13594,0,0,4078,1677,125602,0,162,1395,26902,962,1329,2070,0,0,2891,0,ND,ND,ND,ND,ND,ND
1963:Q4,185106,185106,0,0,185106,13780,0,0,4124,1681,129063,0,171,1482,27331,1006,1379,2040,0,0,3049,0,ND,ND,ND,ND,ND,ND
1964:Q1,188776,188776,0,0,188776,14285,0,0,4097,1686,131984,0,181,1486,27574,1067,1433,2023,0,0,2960,0,ND,ND,ND,ND,ND,ND
1964:Q2,193368,193368,0,0,193368,14550,0,0,3997,1690,135852,0,192,1428,27810,1133,1487,2010,0,0,3219,0,ND,ND,ND,ND,ND,ND
1964:Q3,198076,198076,0,0,198076,14978,0,0,4004,1693,139617,0,204,1485,28038,1192,1544,1972,0,0,3349,0,ND,ND,ND,ND,ND,ND
1964:Q4,202335,202335,0,0,202335,15436,0,0,4023,1696,142777,0,217,1450,28525,1250,1609,1986,0,0,3366,0,ND,ND,ND,ND,ND,ND
1965:Q1,205891,205891,0,0,205891,15725,0,0,3996,1698,145365,0,233,1589,28853,1312,1686,2019,0,0,3415,0,ND,ND,ND,ND,ND,ND
1965:Q2,210329,210329,0,0,210329,16165,0,0,3900,1699,148886,0,252,1586,29020,1425,1772,2049,0,0,3575,0,ND,ND,ND,ND,ND,ND
1965:Q3,215042,215042,0,0,215042,16265,0,0,3888,1700,152807,0,271,1505,29207,1479,1863,2154,23,0,3880,0,ND,ND,ND,ND,ND,ND
1965:Q4,219449,219449,0,0,219449,16683,0,0,3900,1705,156007,0,286,1426,29589,1516,1954,2510,50,0,3823,0,ND,ND,ND,ND,ND,ND
1966:Q1,223358,223358,0,0,223358,16655,0,0,3995,1714,158458,0,297,1672,29849,1567,2047,3261,84,0,3759,0,ND,ND,ND,ND,ND,ND
1966:Q2,227232,227232,0,0,227232,17142,0,0,4121,1728,161030,0,304,1623,30026,1598,2147,3699,122,0,3692,0,ND,ND,ND,ND,ND,ND
1966:Q3,230272,230272,0,0,230272,17508,0,0,4329,1741,163016,0,310,1502,30083,1645,2244,4068,188,0,3638,0,ND,ND,ND,ND,ND,ND
1966:Q4,232742,232742,0,0,232742,18097,0,0,4537,1749,164334,0,319,1434,30233,1730,2327,4386,266,0,3330,0,ND,ND,ND,ND,ND,ND
1967:Q1,234221,234221,0,0,234221,18410,0,0,4687,1751,164959,0,333,1435,30243,1761,2405,4592,356,0,3289,0,ND,ND,ND,ND,ND,ND
1967:Q2,237076,237076,0,0,237076,18632,0,0,4775,1748,167173,0,351,1428,30072,1750,2484,4582,458,0,3623,0,ND,ND,ND,ND,ND,ND
1967:Q3,241547,241547,0,0,241547,18969,0,0,5000,1744,170627,0,369,1425,29847,1784,2522,4983,551,0,3726,0,ND,ND,ND,ND,ND,ND
1967:Q4,245974,245974,0,0,245974,19505,0,0,5253,1741,173770,0,382,1384,29763,1793,2560,5513,652,0,3658,0,ND,ND,ND,ND,ND,ND
1968:Q1,249378,249378,0,0,249378,20133,0,0,5521,1742,175777,0,393,1319,29644,1794,2630,6154,761,0,3510,0,ND,ND,ND,ND,ND,ND
1968:Q2,253675,253675,0,0,253675,20552,0,0,5760,1743,178728,0,401,1311,29450,1773,2688,6612,878,0,3769,10,ND,ND,ND,ND,ND,ND
1968:Q3,258183,258183,0,0,258183,21158,1,0,5994,1746,182228,0,408,1279,29198,1780,2686,6830,936,0,3914,25,ND,ND,ND,ND,ND,ND
1968:Q4,262934,262934,0,0,262934,21622,1,0,6155,1751,185804,0,417,1276,29030,1774,2724,7151,994,0,4201,34,ND,ND,ND,ND,ND,ND
1969:Q1,264857,264857,0,0,264857,19531,1,0,6263,1758,188662,0,425,1259,28929,1778,2755,7671,1052,0,4724,49,ND,ND,ND,ND,ND,ND
1969:Q2,269738,269738,0,0,269738,19350,2,0,6290,1767,192498,0,433,1182,28746,1772,2762,8155,1108,0,5591,82,ND,ND,ND,ND,ND,ND
