1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,23904,11029,2838,13171,11532,825,10707,1808,-169,-10333,6092,1046,-25,6,0,0,2694,-28,2662,50,10,0,1200,3,1197,-15,0,-406,6,0,641,945,16425,14624,1302,-9,0,1311,3485,1920,446,1119,-32,3720,3182,2967,1800,750,-117,1167,8190
1956:Q1,23527,10897,-7432,13153,11721,831,10890,1600,-168,-20585,-3227,-3105,0,-34,0,0,-2149,-46,-2403,25,275,0,-1154,2,-1156,22,0,544,5,0,2127,517,17358,16608,422,0,0,422,2582,1478,360,744,23,-836,-3297,17714,750,522,86,142,18329
1956:Q2,23876,11019,19707,12745,12019,837,11182,896,-170,6962,171,856,0,46,0,0,-3193,154,-3211,25,-161,0,506,1,505,25,0,650,6,0,1237,38,-6791,-6112,887,-73,0,960,2946,1947,34,965,20,1977,-2958,-8984,-679,234,78,-991,-8687
1956:Q3,23437,11455,16695,13113,12392,827,11566,892,-172,3582,5205,335,0,-22,0,0,-59,46,-92,25,-38,0,66,1,65,33,0,805,7,0,3972,68,1623,1325,1179,112,0,1067,1596,1072,-190,714,16,2201,2084,-5751,298,573,69,-344,-5240
1956:Q4,24211,11489,-12934,12907,12519,798,11721,561,-173,-25841,4558,1793,0,19,0,0,1149,-66,1143,25,47,0,1172,3,1169,-8,0,-211,6,0,-510,1148,30399,28453,1004,-23,0,1027,2221,1130,393,698,-8,1699,2495,21042,1946,921,-93,1118,24423
1957:Q1,24366,11948,26038,13181,12813,866,11947,541,-172,12857,-1117,-2468,0,60,0,0,-325,50,-552,100,77,0,-1405,4,-1409,24,0,588,9,0,2083,317,-13974,-14999,1445,-25,0,1470,1455,65,670,720,8,-714,-2536,-14657,1025,760,35,230,-14090
1957:Q2,23958,12005,-7588,13320,12830,846,11984,664,-174,-20908,262,837,0,-22,0,0,-1861,-6,-1939,100,-16,0,664,5,659,47,0,1198,12,0,-630,17,21170,20645,1432,-33,0,1465,2451,1616,112,723,11,-336,-2261,19348,525,903,47,-425,19593
1957:Q3,23935,12006,38920,13686,13161,841,12320,702,-177,25234,3906,789,0,-23,0,0,749,-4,546,100,107,0,-114,5,-119,18,0,427,6,0,1782,272,-21328,-21676,1557,44,0,1513,679,-238,167,750,2,1197,1554,-26665,348,299,9,40,-26914
1957:Q4,22679,11674,5366,11650,12961,838,12122,-1130,-181,-6284,1780,1542,0,-22,0,0,975,90,816,100,-31,0,937,4,933,2,0,33,8,0,-2281,586,8064,7128,1642,58,0,1584,1459,234,344,881,19,1725,1110,1173,936,479,6,451,6308
1958:Q1,21768,11098,-4238,10876,12067,976,11092,-1002,-189,-15114,-2143,-2668,550,29,0,0,-1246,311,-1195,-100,-262,0,-1630,4,-1634,10,0,309,6,0,2353,144,12971,11997,2159,294,0,1865,29,-1286,669,646,18,-2798,-3126,15715,973,221,69,683,15335
