1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q2,15024,198,-144,292,-395,8606,498,1483,1749,4876,5187,-11009,2294,9995,-8223,1039,13835,3344,15033
2006:Q3,14639,198,-145,293,-396,8606,498,1483,1749,4876,5187,-11009,2294,9611,-8263,1038,13493,3343,14649
2006:Q4,14254,198,-145,293,-395,8606,498,1483,1749,4876,5187,-11009,2294,9225,-7900,1039,12743,3343,14264
2007:Q1,15199,191,853,108,59,7234,973,197,3837,2227,428,3795,248,2283,515,616,-1716,2868,15215
2007:Q2,15348,191,853,107,60,7234,973,197,3837,2227,428,3795,248,2432,594,617,-1647,2868,15365
2007:Q3,15497,191,853,108,60,7234,973,197,3837,2227,428,3795,248,2580,545,617,-1449,2867,15515
2007:Q4,15645,190,853,108,60,7233,972,197,3837,2227,428,3795,248,2730,430,617,-1185,2868,15664
2008:Q1,14743,-1052,-1365,-3787,-243,-17447,-1987,-3980,-1273,-10207,-1916,-5148,12126,33575,725,4177,26123,2550,14770
2008:Q2,14475,-1052,-1365,-3787,-243,-17447,-1987,-3980,-1273,-10207,-1915,-5148,12126,33306,910,4177,25670,2549,14502
2008:Q3,14207,-1053,-1365,-3787,-242,-17447,-1987,-3980,-1273,-10207,-1915,-5148,12126,33038,692,4177,25619,2550,14234
2008:Q4,13940,-1052,-1365,-3787,-243,-17446,-1986,-3980,-1273,-10207,-1916,-5148,12126,32771,592,4178,25451,2550,13966
2009:Q1,14327,-657,849,91,39,10880,791,1821,-10784,19052,-488,-10451,-96,14160,-1001,-1337,9803,6695,14348
2009:Q2,14321,-656,850,90,39,10881,792,1821,-10784,19052,-488,-10451,-96,14152,-662,-1336,9455,6695,14340
2009:Q3,14313,-657,849,91,38,10881,792,1821,-10784,19052,-488,-10451,-96,14146,-682,-1336,9468,6696,14332
2009:Q4,14305,-656,849,90,39,10881,792,1821,-10784,19052,-488,-10451,-96,14137,-777,-1336,9555,6695,14324
2010:Q1,12776,666,-55,-1287,-59,12308,-247,4437,2879,5239,293,3230,-1699,-621,-1967,3340,-4316,2322,12803
2010:Q2,12162,665,-55,-1287,-59,12308,-247,4437,2879,5239,293,3230,-1699,-1234,-2150,3341,-4747,2322,12190
2010:Q3,11547,666,-55,-1287,-59,12308,-247,4437,2879,5239,293,3230,-1699,-1850,-1886,3341,-5626,2321,11576
2010:Q4,10933,665,-55,-1288,-59,12308,-247,4437,2879,5239,293,3230,-1699,-2462,-1956,3340,-6168,2322,10963
2011:Q1,11710,443,302,-85,9,17111,265,8008,1008,7830,-607,-18170,4789,7918,3168,418,-978,5310,11740
2011:Q2,11650,442,303,-85,9,17112,266,8008,1008,7830,-608,-18170,4789,7858,3102,418,-972,5310,11682
2011:Q3,11590,443,302,-85,9,17111,265,8008,1008,7830,-607,-18170,4789,7798,2915,418,-844,5309,11625
2011:Q4,11531,443,302,-85,9,17111,265,8008,1008,7830,-607,-18170,4789,7739,3215,418,-1204,5310,11568
2012:Q1,7827,-261,-833,-997,-79,17552,-908,6949,-5372,16883,-29,-2748,-9301,4523,-2361,-3096,4831,5149,7897
2012:Q2,6321,-261,-834,-997,-78,17552,-908,6949,-5372,16883,-28,-2748,-9301,3016,-2517,-3096,3481,5148,6394
2012:Q3,4819,-260,-834,-996,-79,17552,-908,6949,-5372,16883,-28,-2748,-9301,1513,-2499,-3096,1959,5149,4891
2012:Q4,3315,-261,-833,-997,-78,17551,-909,6949,-5372,16883,-28,-2748,-9301,10,-2527,-3095,484,5148,3389
2013:Q1,-730,70,1115,1334,105,11759,1216,47,-930,11426,-269,-46522,-1592,33270,-709,-1034,35104,-91,-753
2013:Q2,-3287,71,1116,1334,105,11758,1215,47,-930,11426,-269,-46522,-1592,30712,-805,-1033,32642,-92,-3312
2013:Q3,-5846,70,1116,1334,105,11759,1216,47,-930,11426,-269,-46522,-1592,28154,-729,-1033,30007,-91,-5870
2013:Q4,-8404,70,1115,1334,105,11759,1216,47,-930,11426,-269,-46522,-1592,25597,-717,-1033,27439,-92,-8428
2014:Q1,-3358,537,491,587,47,16897,534,1583,1112,13668,26,-35383,245,13195,-808,-971,9875,5099,-3372
2014:Q2,-2872,537,491,586,46,16898,535,1583,1112,13668,26,-35383,245,13683,-818,-971,10373,5099,-2885
2014:Q3,-2384,537,491,587,46,16898,535,1583,1112,13668,26,-35383,245,14169,-837,-970,10877,5099,-2397
2014:Q4,-1896,537,491,587,46,16897,534,1583,1112,13668,26,-35383,245,14658,-805,-971,11335,5099,-1910
2015:Q1,-5546,-188,-862,-1030,-81,-4957,-938,-2122,-225,-1672,-186,-8437,-8068,18263,-567,3317,16599,-1086,-5539
2015:Q2,-6705,-189,-862,-1030,-81,-4958,-939,-2122,-225,-1672,-186,-8437,-8068,17107,-566,3318,15440,-1085,-6698
2015:Q3,-7864,-188,-861,-1031,-81,-4958,-939,-2122,-225,-1672,-186,-8437,-8068,15946,-565,3317,14280,-1086,-7857
2015:Q4,-9023,-189,-862,-1030,-82,-4958,-939,-2122,-225,-1672,-186,-8437,-8068,14789,-567,3318,13124,-1086,-9016
2016:Q1,-6900,-132,-214,-255,-20,4562,-233,1867,874,2054,48,-23728,-6329,19168,-598,2102,13708,3956,-6877
2016:Q2,-6741,-132,-213,-256,-20,4563,-232,1867,874,2054,48,-23728,-6329,19326,-579,2101,13848,3956,-6717
2016:Q3,-6581,-132,-214,-255,-20,4562,-233,1867,874,2054,48,-23728,-6329,19487,-576,2102,14005,3956,-6556
2016:Q4,-6422,-132,-214,-256,-20,4562,-233,1867,874,2054,47,-23728,-6329,19648,-631,2102,14221,3956,-6396
2017:Q1,-7971,56,929,1110,87,27693,1012,8717,4732,13232,419,-22319,-6853,-9093,379,4315,-16010,2223,-7948
2017:Q2,-8497,55,928,1111,88,27693,1012,8717,4732,13232,418,-22319,-6853,-9618,364,4314,-16520,2224,-8473
2017:Q3,-9021,55,929,1110,88,27692,1011,8717,4732,13232,418,-22319,-6853,-10141,367,4314,-17045,2223,-8997
2017:Q4,-9548,55,929,1110,87,27693,1012,8717,4732,13232,418,-22319,-6853,-10668,367,4315,-17574,2224,-9522
2018:Q1,-8084,-226,-1302,-1557,-123,15663,-1419,3567,1762,11753,-384,-18959,-9747,8551,677,-9132,18577,-1571,-8143
2018:Q2,-7847,-226,-1303,-1557,-122,15663,-1419,3567,1762,11753,-384,-18959,-9747,8789,693,-9132,18798,-1570,-7906
2018:Q3,-7609,-225,-1302,-1557,-123,15664,-1418,3567,1762,11753,-383,-18959,-9747,9024,696,-9132,19031,-1571,-7669
2018:Q4,-7372,-226,-1302,-1557,-123,15663,-1419,3567,1762,11753,-384,-18959,-9747,9264,663,-9132,19303,-1570,-7433
2019:Q1,-8480,0,-3949,2669,3332,7210,-819,8676,424,-1071,-40,-33741,-11752,27792,-2158,-1350,18757,12543,-8509
2019:Q2,-8768,0,-3949,2668,3331,7211,-818,8676,424,-1071,-39,-33741,-11752,27504,-2170,-1349,18481,12542,-8798
2019:Q3,-9056,-1,-3948,2669,3332,7211,-818,8676,424,-1071,-40,-33741,-11752,27215,-2173,-1350,18195,12543,-9086
2019:Q4,-9343,0,-3949,2668,3332,7210,-819,8676,424,-1071,-39,-33741,-11752,26928,-2166,-1350,17901,12543,-9374
2020:Q1,-8886,817,420,1720,649,8701,1032,-3378,24,11023,103,-21572,77,199,-259,-956,-1663,3077,-8903
2020:Q2,-8869,816,421,1720,650,8701,1032,-3378,24,11023,103,-21572,77,215,-324,-955,-1583,3077,-8888
2020:Q3,-8854,817,420,1719,650,8701,1032,-3378,24,11023,103,-21572,77,231,-296,-956,-1594,3077,-8873
2020:Q4,-8840,816,420,1720,649,8701,1032,-3378,24,11023,103,-21572,77,246,-315,-956,-1560,3077,-8858
2021:Q1,-12317,-121,54,218,83,26341,131,9227,3600,13383,281,-56963,-10086,27876,-1522,-2414,31070,742,-11958
2021:Q2,-13562,-121,53,218,82,26340,130,9227,3600,13383,280,-56963,-10086,26636,-1547,-2415,29856,742,-13189
2021:Q3,-14797,-121,53,218,83,26341,131,9227,3600,13383,281,-56963,-10086,25397,-1513,-2414,28582,742,-14421
2021:Q4,-16038,-122,53,218,82,26341,131,9227,3600,13383,280,-56963,-10086,24159,-1536,-2414,27366,743,-15652
2022:Q1,-12833,269,-690,-2826,-1068,-24440,-1696,-5850,-4487,-12407,-797,-6651,-5890,29261,-164,-136,37698,-8137,-12456
2022:Q2,-4760,268,-691,-2825,-1067,-24439,-1695,-5850,-4487,-12407,-798,-6651,-5890,37333,-69,-136,45675,-8137,-11917
2022:Q3,-11794,268,-691,-2826,-1068,-24440,-1696,-5850,-4487,-12407,-797,-6651,-5890,30301,-111,-136,38685,-8137,-11377
2022:Q4,-11269,268,-691,-2826,-1067,-24439,-1695,-5850,-4487,-12407,-797,-6651,-5890,30825,-303,-137,39402,-8137,-10838
2023:Q1,22863,164,-485,-1985,-750,-11292,-1191,-2001,-2370,-5730,-508,-18490,-6672,62881,-497,-679,69747,-5690,-12715
2023:Q2,-9579,125,-369,-1509,-570,-8580,-905,-1520,-1801,-4354,-385,-14049,-5070,20828,-379,-515,26045,-4323,-13143
2023:Q3,-8096,107,-316,-1293,-488,-7357,-777,-1303,-1544,-3733,-331,-12046,-4347,17976,-334,-442,22459,-3707,-13570
2023:Q4,-14446,102,-301,-1229,-465,-6989,-737,-1238,-1467,-3547,-314,-11443,-4129,10322,-304,-420,14567,-3521,-13997
2024:Q1,-14455,78,-231,-948,-358,-5392,-569,-955,-1132,-2736,-242,-8827,-3185,4651,-238,-324,7929,-2716,-13997
2024:Q2,-14460,82,-241,-984,-371,-5594,-590,-991,-1174,-2839,-252,-9160,-3306,5366,-250,-336,8771,-2819,-13997
2024:Q3,-14464,172,-510,-2085,-788,-11861,-1251,-2101,-2490,-6019,-533,-19420,-7008,27569,-528,-713,34786,-5976,-13997
2024:Q4,-14462,168,-494,-2024,-765,-11513,-1214,-2040,-2417,-5842,-517,-18850,-6802,26335,-516,-692,33343,-5800,-13997
2025:Q1,-14476,148,-439,-1792,-677,-10196,-1076,-1806,-2140,-5174,-458,-16693,-6024,21655,-459,-613,27864,-5137,-13997
