date,FL892150005.Q,FL712151003.Q,FL762150005.Q,FL762152005.Q,FL762151005.Q,FL752150005.Q,FL752152005.Q,FL752151005.Q,FL472150053.Q,FL512151003.Q,FL542151073.Q,FL402150005.Q,FL642151073.Q,FL662151003.Q,FL732151003.Q,FL262151005.Q,FL892050005.Q,FL102051003.Q,FL313011545.Q,FL212051003.Q,FL712051005.Q,FL762050005.Q,FL762052005.Q,FL762051005.Q,FL752050005.Q,FL752052005.Q,FL752051005.Q,FL472050053.Q,FL472052053.Q,FL472051055.Q,FL512051005.Q,FL542051075.Q,FL572051005.Q,FL222051043.Q,FL632051000.Q,FL652051003.Q,FL402050005.Q,FL402052033.Q,FL662051003.Q,FL732051003.Q,FL502051005.Q,FL262051005.Q,FL902050005.Q,FL072052006.Q,FL712151103.Q,FL632051103.Q,FL792051115.Q
2006:Q2,4135933,29164,722252,ND,ND,246473,76199,170274,4857,1259,23999,2397,93613,2484115,10630,517174,3707755,12154,2107,141386,33357,293712,ND,ND,192637,24731,167906,9602,3809,5793,1734,2035,5282,2879,358816,46550,111372,73449,1481833,10965,1790,999545,428178,4.99,0,0,0
2006:Q3,4509059,31155,780153,ND,ND,288228,90188,198040,5812,1340,20843,2200,98359,2713889,13032,554048,3977011,12668,2109,148890,23609,376849,ND,ND,208261,28818,179443,7773,2033,5740,2992,2261,4382,3073,376385,48472,118792,77300,1560711,13701,1790,1064294,532048,5.25,0,0,0
2006:Q4,4437684,29615,680932,ND,ND,309811,86347,223464,4892,1198,21769,2900,97890,2707099,10253,571325,3890049,15533,2213,152337,42963,377384,ND,ND,228440,23112,205328,6119,1067,5052,1977,2859,3484,3314,403457,45383,119622,77056,1426501,9719,1900,1046845,547635,5.24,0,0,0
2007:Q1,4873565,37283,703874,ND,ND,320046,107176,212870,394,572,18291,3400,104036,3031200,10609,643860,4276958,13914,2263,160869,35513,416783,ND,ND,229605,16835,212770,12445,2927,9518,2941,2240,3543,3334,396303,44765,154513,98214,1588288,10221,1900,1197518,596607,5.26,0,0,0
2007:Q2,4960018,32349,717884,ND,ND,329344,112124,217220,1593,819,18843,3112,106330,3040040,8804,700900,4351990,8695,2313,149448,27563,392304,ND,ND,243771,33486,210285,8774,3575,5199,3688,3130,3603,3789,435374,42772,148511,100372,1631506,8314,1900,1236536,608028,5.25,0,0,0
2007:Q3,5018188,35689,720940,ND,ND,295731,82643,213088,3052,627,19618,3045,85612,3132240,7645,713989,4473055,7643,2454,162735,47204,470237,ND,ND,253065,33728,219337,9093,1946,7147,4180,3239,3663,3131,539867,44483,125863,98195,1621607,6976,1900,1165716,545133,4.94,0,0,0
2007:Q4,4853847,43985,736917,ND,ND,288352,70748,217604,2945,515,20663,2269,91702,2972596,7735,686168,4539932,8050,2547,163574,49047,520177,ND,ND,245611,21032,224579,4215,1358,2857,3710,3107,3723,3114,618354,46014,144128,85818,1593897,6999,4195,1119471,313915,4.24,0,0,0
2008:Q1,5173050,44101,725096,ND,ND,309096,111465,197631,1671,2208,21862,1911,89859,3109008,5721,862517,4698365,7100,2786,159258,78786,537692,ND,ND,204552,31889,172663,5577,1532,4045,1988,3463,3480,3539,603934,45908,133015,92601,1687891,5164,4195,1210037,474685,2.61,0,0,0
2008:Q2,4810961,43822,740906,ND,ND,268010,94175,173835,1537,2425,24066,1643,91623,2878762,5993,752174,4508649,8056,3339,151304,117839,549897,ND,ND,166198,22631,143567,3406,1551,1855,3038,3633,3237,3491,528965,51905,143254,89354,1693690,5609,4195,1067593,302312,2,0,0,0
2008:Q3,4849703,77937,765083,ND,ND,230100,90894,139206,2693,1847,21975,3079,89575,2936749,4912,715753,4516002,5300,3651,144606,86651,579694,ND,ND,165386,34099,131287,317,102,215,2820,4175,2995,3027,605118,46523,139677,94331,1778442,5083,4195,938343,333701,1.81,0,0,0
2008:Q4,3562437,88352,727173,ND,ND,131673,32564,99109,723,2369,13202,1277,79364,2107189,713,410402,3481683,7178,4075,136344,84075,575071,ND,ND,68081,6444,61637,288,145,143,4554,8731,2752,3474,554862,35257,115791,40299,1288380,326,8140,584304,80754,0.16,0,0,0
2009:Q1,3529213,70590,691166,ND,ND,170788,47491,123297,204,774,13538,1212,79258,1972935,696,528052,3496490,7469,3896,126059,3896,489739,ND,ND,92945,11631,81314,165,130,35,4546,13572,2791,3645,578141,24354,160574,63402,1353304,28727,8240,594427,32723,0.18,0,0,0
2009:Q2,3490459,72669,684613,ND,ND,216105,57929,158176,223,717,11141,1200,81975,1934789,813,486214,3223762,7904,4127,139527,4127,403761,ND,ND,88623,9853,78770,139,106,33,5478,11768,2830,3248,499161,29459,103428,57731,1306277,34627,13540,565739,266697,0.21,0,0,0
2009:Q3,3533320,68913,651872,ND,ND,212742,45897,166845,66,683,14622,1312,89127,1958487,621,534875,3201623,8997,2643,146880,2643,333784,ND,ND,74723,4170,70553,163,130,33,6284,12612,2868,3397,505468,37039,117586,64814,1348320,39794,11601,546822,331697,0.15,0,0,0
2009:Q4,3181070,77732,532141,ND,ND,195196,109743,85453,0,632,12760,1200,90480,1810403,553,459973,2920923,7852,2591,144184,2591,266888,ND,ND,68175,4097,64078,199,199,0,4678,11220,2907,3140,489612,43372,123336,54597,1185046,48455,6162,510516,260147,0.12,0,0,0
2010:Q1,3521085,57766,557452,ND,ND,222046,45491,176555,0,472,9389,1380,88913,2029430,1002,553235,3218785,8996,2465,145946,2465,255946,ND,ND,73649,6022,67627,149,149,0,8419,12527,2848,3049,448018,42183,177803,78966,1409995,52654,6163,565511,302300,0.16,0,0,0
2010:Q2,3599863,67223,521214,ND,ND,245035,47219,197816,0,649,10105,1342,94388,2029815,1264,628828,3284160,9221,2266,139473,2266,255110,ND,ND,81954,3515,78439,178,178,0,6200,12206,2789,3039,472781,31337,165174,69982,1494231,59999,6164,539772,315703,0.18,0,0,0
2010:Q3,3630192,63810,532772,ND,ND,258088,31022,227066,0,528,11260,1385,102040,1972256,2324,685729,3357378,11547,2503,145989,2503,264024,ND,ND,102852,3046,99806,106,106,0,6006,12239,2730,2997,503691,35737,165135,75162,1419807,69328,6165,604019,272814,0.19,0,0,0
2010:Q4,3603102,59703,484036,ND,ND,250010,34006,216004,0,1455,10532,1252,120385,2006272,795,668662,3352720,22034,2467,146336,2467,267630,ND,ND,88440,2258,86182,2,2,0,3920,12335,2671,3398,530301,32307,151208,75855,1428487,49966,5883,602868,250382,0.18,0,0,0
