1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,2827,2827,2827,3537,3897,-360,-710,-1247,-380,0,0,0,0,0,481,0,481,5,-1414,61,61,0,0,-537,-775,633,64,-116,685,-1,-1407,0,0,238,4,234
1960:Q1,2833,2833,2833,4654,3867,787,-1821,755,-259,0,0,0,0,0,-561,0,-561,6,1521,48,48,0,0,2576,2729,1175,121,216,838,1,1553,0,0,-153,0,-153
1960:Q2,2851,2851,2851,4088,3736,353,-1237,-737,-193,0,0,0,0,0,161,0,161,-1,-745,41,41,0,0,500,1423,1782,386,179,1217,0,-359,0,0,-923,1,-924
1960:Q3,2866,2866,2866,4084,3646,438,-1218,51,-139,0,0,0,0,0,-98,0,-98,12,236,40,40,0,0,1269,1424,1171,32,11,1128,0,253,0,0,-155,1,-156
1960:Q4,2877,2877,2877,3315,3711,-396,-438,-468,-102,0,0,0,0,0,275,0,275,4,-692,47,47,0,0,-30,-216,648,-24,-87,759,1,-865,0,0,186,1,185
1961:Q1,2886,2886,2886,3737,3780,-43,-851,601,-27,0,0,0,0,0,-608,0,-608,5,1177,54,54,0,0,1452,2874,1881,113,285,1483,0,993,0,0,-1422,2,-1424
1961:Q2,2899,2899,2899,4121,3907,215,-1222,-31,48,0,0,0,0,0,169,0,169,1,-310,61,61,0,0,1191,1442,1802,243,80,1479,1,-361,0,0,-251,2,-253
1961:Q3,2916,2916,2916,4611,4053,558,-1695,410,68,0,0,0,0,0,35,0,35,15,234,58,58,0,0,2105,1865,1905,181,103,1621,0,-40,0,0,240,3,237
1961:Q4,2938,2938,2938,4818,4212,606,-1880,-339,29,0,0,0,0,0,332,0,332,4,-751,47,47,0,0,1541,39,1106,64,-112,1154,1,-1068,0,0,1502,2,1500
1962:Q1,2963,2963,2963,5172,4362,810,-2209,525,15,0,0,0,0,0,-353,0,-353,5,820,38,38,0,0,2734,2498,1798,158,323,1317,0,700,0,0,235,1,234
