1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q2,430299,6312,210448,73931,11354,15341,24756,8357,14123,56889,-15,-922,1591,82065,79979,0,2086,465748,404614,227971,3340,75248,22760,52488,1150,8424,658,87823,60604,8023,19196,61134,11084,3870,7056,18716,20408,75249,0,30208,0,0,7435,18536,19070
1987:Q3,471418,5968,240369,71182,12846,11097,24681,7971,14587,59395,-11,272,1590,92653,90707,0,1946,505686,444845,251798,4022,78408,25253,53155,1351,8892,550,99824,69844,16775,13205,60841,11533,4009,7278,19499,18522,81804,0,32839,0,0,8082,20151,20732
1987:Q4,451702,7448,264626,81965,14150,18535,29946,8286,11048,41797,-9,-10109,3472,62512,64265,0,-1753,482149,425133,269097,3248,60204,19116,41088,650,6828,394,84712,49128,19954,15630,57016,7573,2066,5877,19754,21746,84413,0,33887,0,0,8340,20794,21392
1988:Q1,480741,9656,282706,90431,14564,22510,34736,6006,12615,40625,10,-12000,3089,66224,68878,0,-2654,515246,452428,295387,3498,63682,20744,42938,754,8300,459,80348,51490,32330,-3472,62818,9161,2606,6345,19348,25358,95378,0,38289,0,0,9423,23495,24171
1988:Q2,497066,10951,289479,85957,17381,14929,32788,7375,13484,41231,16,-14395,2886,80941,86147,0,-5206,532293,468012,293874,5327,64324,18955,45369,374,9413,489,94211,63400,34124,-3313,64281,9180,1305,6500,20373,26923,103398,0,41508,0,0,10216,25470,26204
1988:Q3,517410,10172,323899,86903,14158,15885,34839,6967,15054,42131,16,-14347,2798,65838,71996,0,-6158,555481,487876,324621,5511,63275,18193,45082,781,9012,507,84169,55689,35028,-6548,67605,8449,2655,6664,20602,29235,106473,0,42743,0,0,10520,26228,26982
1988:Q4,502446,9390,312062,77595,14773,6404,30488,7480,18450,43506,50,-14422,3561,70704,77687,0,-6983,540336,473249,300811,7517,64156,19084,45072,970,8548,543,90704,54514,39227,-3037,67087,8131,3383,6578,20493,28502,108207,0,43439,0,0,10691,26655,27422
1989:Q1,553902,8812,347904,97004,15336,16411,40088,4891,20278,39338,71,-16825,3588,74010,82434,0,-8424,594823,524630,346500,9649,66072,19626,46446,979,8463,412,92555,62072,37062,-6579,70193,8822,2942,6649,20940,30840,119316,0,47898,0,0,11788,29391,30239
1989:Q2,641187,9731,387628,123720,15736,31531,48805,7017,20631,44641,74,-14200,3336,86257,92755,0,-6498,683502,611529,416032,10865,74415,22052,52363,1097,8532,543,100045,66459,40186,-6600,71973,9792,3249,6188,21031,31713,112137,0,45016,0,0,11079,27623,28419
1989:Q3,621352,8749,350241,124814,14202,33840,50557,5786,20429,44294,83,-13168,3328,103011,108057,0,-5046,664766,590780,399576,10128,67212,23002,44210,1043,8216,703,103902,83963,44638,-24699,73986,10539,3234,6475,21620,32118,110619,0,44407,0,0,10929,27249,28034
1989:Q4,615811,9758,317274,159092,17811,50376,61890,7097,21918,42540,115,-13232,3296,96968,101238,0,-4270,655810,586163,396611,13783,76276,21011,55265,1428,8005,606,89454,61977,47224,-19747,69647,9363,5400,5788,20747,28349,110866,0,44506,0,0,10954,27310,28096
1990:Q1,596622,10145,327226,128637,17097,35455,53971,6162,15952,41977,124,-17603,3396,102720,109747,0,-7027,638276,567676,377772,12289,70833,20113,50720,1429,6095,645,98613,64467,44724,-10578,70600,9080,5437,5725,20497,29861,111587,0,44795,0,0,11025,27487,28280
1990:Q2,585681,8726,317861,128021,14484,32661,55315,6726,18835,40022,122,-16709,3419,104219,116918,0,-12699,629986,556446,365215,10825,71568,19180,52388,1461,5866,696,100815,63704,42219,-5108,73540,9304,5550,5497,20285,32904,120049,0,48192,0,0,11861,29572,30424
1990:Q3,584625,10879,329569,117964,14150,24957,54083,7389,17385,36722,145,-24320,3501,110165,122664,3930,-16429,625724,556741,372039,14312,73855,18495,55360,1454,5720,688,88673,55579,35471,-2377,68983,6662,5619,5225,20686,30791,135147,0,54253,0,0,13353,33291,34250
1990:Q4,611464,10248,297813,166025,18393,53444,69164,7894,17130,38809,112,-19795,2867,115385,122921,2920,-10456,650301,584797,396720,15289,80736,15885,64851,808,6103,664,84477,51518,34284,-1325,65504,6737,2882,4524,17571,33790,119149,0,47831,0,0,11772,29350,30196
1991:Q1,636614,10168,326912,158875,17322,48945,70076,6636,15896,36867,121,-20385,2918,121138,131467,3226,-13555,680246,608137,410411,16421,80004,16642,63362,1037,5774,568,93922,59446,35091,-615,72109,10536,3970,5004,17383,35216,134567,0,54021,0,0,13295,33148,34103
1991:Q2,676860,10594,344404,170789,14620,52942,74245,9149,19833,37562,103,-22042,3036,132414,142190,3154,-12930,723342,647964,442715,18154,80159,19038,61121,1179,6469,605,98683,62696,31794,4193,75378,11559,4225,5186,17303,37105,139919,0,56169,0,0,13824,34466,35460
