date,FU893111305.Q,FU313111303.Q,FU313011303.Q,FU893011105.Q,FU313011105.Q,FU313011203.Q,FU313011303.Q,FU263011105.Q,FU263011205.Q,FU313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q4,0,0,0,0,0,0,0,0,-0,0
1973:Q1,0,0,0,0,0,0,0,0,-0,0
1973:Q2,-9,0,-9,-9,-9,0,-9,0,-0,0
1973:Q3,0,0,0,0,0,0,0,0,-0,0
1973:Q4,0,0,0,0,0,0,0,0,-0,0
1974:Q1,0,0,0,0,0,0,0,0,-0,0
1974:Q2,29,0,29,29,29,0,29,0,-0,0
1974:Q3,123,0,123,123,123,0,123,0,-0,0
1974:Q4,20,0,20,20,20,0,20,0,-0,0
1975:Q1,4,0,4,4,4,0,4,0,-0,0
1975:Q2,16,0,16,16,16,0,16,0,-0,0
1975:Q3,25,0,25,25,25,0,25,0,-0,0
1975:Q4,21,0,21,21,21,0,21,0,-0,0
1976:Q1,45,0,45,45,45,0,45,0,-0,0
1976:Q2,-14,0,-14,-14,-15,-1,-14,1,1,0
1976:Q3,18,0,18,18,18,0,18,0,-0,0
1976:Q4,29,0,29,29,29,0,29,0,-0,0
1977:Q1,0,0,0,0,60,60,0,-60,-60,0
1977:Q2,83,0,83,83,83,0,83,0,-0,0
1977:Q3,9,0,9,9,9,0,9,0,-0,0
1977:Q4,29,0,29,29,90,61,29,-61,-61,0
1978:Q1,16,0,16,16,15,-1,16,1,1,0
1978:Q2,104,0,104,104,104,0,104,0,-0,0
1978:Q3,43,0,43,43,43,0,43,0,-0,0
1978:Q4,-1412,0,-1412,-1412,-1347,65,-1412,-65,-65,0
1979:Q1,2281,1139,1142,2281,1142,0,1142,1139,-0,1139
1979:Q2,-6,0,-6,-6,-6,0,-6,0,-0,0
1979:Q3,0,0,0,0,0,0,0,0,-0,0
1979:Q4,-1,0,-1,-1,64,65,-1,-65,-65,0
1980:Q1,2304,1152,1152,2304,1152,0,1152,1152,-0,1152
1980:Q2,-112,0,-112,-112,-112,0,-112,0,-0,0
1980:Q3,261,0,261,261,261,0,261,0,-0,0
1980:Q4,-1285,0,-1285,-1285,-1285,0,-1285,0,-0,0
1981:Q1,2534,1093,1441,2534,1341,-100,1441,1193,100,1093
1981:Q2,23,0,23,23,23,0,23,0,-0,0
1981:Q3,225,0,225,225,223,-2,225,2,2,0
1981:Q4,134,0,134,134,133,-1,134,1,1,0
1982:Q1,400,0,400,400,399,-1,400,1,1,0
1982:Q2,241,0,241,241,240,-1,241,1,1,0
1982:Q3,434,0,434,434,433,-1,434,1,1,0
1982:Q4,297,0,297,297,297,0,297,0,-0,0
1983:Q1,98,0,98,98,98,0,98,0,-0,0
1983:Q2,303,0,303,303,303,0,303,0,-0,0
1983:Q3,209,0,209,209,209,0,209,0,-0,0
1983:Q4,-545,0,-545,-545,-545,0,-545,0,-0,0
1984:Q1,226,0,226,226,226,0,226,0,-0,0
1984:Q2,288,0,288,288,288,0,288,0,-0,0
1984:Q3,271,0,271,271,271,0,271,0,-0,0
1984:Q4,194,0,194,194,193,-1,194,1,1,0
1985:Q1,264,0,264,264,264,0,264,0,-0,0
1985:Q2,180,0,180,180,180,0,180,0,-0,0
1985:Q3,264,0,264,264,264,0,264,0,-0,0
1985:Q4,189,0,189,189,189,0,189,0,-0,0
1986:Q1,274,0,274,274,274,0,274,0,-0,0
1986:Q2,104,0,104,104,104,0,104,0,-0,0
1986:Q3,-163,0,-163,-163,-163,0,-163,0,-0,0
1986:Q4,31,0,31,31,31,0,31,0,-0,0
1987:Q1,-76,0,-76,-76,-76,0,-76,0,-0,0
1987:Q2,171,0,171,171,171,0,171,0,-0,0
1987:Q3,210,0,210,210,210,0,210,0,-0,0
1987:Q4,205,0,205,205,205,0,205,0,-0,0
1988:Q1,-155,0,-155,-155,-155,0,-155,0,-0,0
1988:Q2,-180,0,-180,-180,-180,0,-180,0,-0,0
1988:Q3,35,0,35,35,34,-1,35,1,1,0
1988:Q4,173,0,173,173,173,0,173,0,-0,0
1989:Q1,188,0,188,188,188,0,188,0,-0,0
1989:Q2,-68,0,-68,-68,-66,2,-68,-2,-2,0
1989:Q3,211,0,211,211,213,2,211,-2,-2,0
