1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q1,6152870,214904,17147,67060,130697,35187,15054,218279,1281496,677,135207,769265,400491,0,120526,0,248248,114332,262015,20767,0,46510,0,194738,3937112,1168581,7061,2196631,564839,3863,18238,69665,35300,14894,0,308878,6186257,5642278,292292,-213,236,27738,264532,627602,3196339,532997,88040,7021,81019,398674,70171,436163,52351,383812,543979,81220,462759,0,ND
2000:Q2,6320895,236035,17230,71599,147206,36992,12870,203123,1274633,579,125514,770736,398352,0,119352,0,253032,114755,263049,21234,0,46993,0,194822,4080159,1213461,7267,2283247,576184,3827,18006,70876,35550,14689,0,334134,6356798,5805360,357251,-12,512,31310,325441,626142,3257131,531581,91550,7245,84305,431220,69278,441207,53919,387288,551438,81236,470202,0,ND
2000:Q3,6427347,234828,16634,67198,150996,34494,13577,195546,1286233,645,117379,760338,392301,0,108901,0,259136,115833,292038,20697,0,51019,0,220322,4160568,1223484,6802,2336519,593763,4206,19168,75190,35839,14859,0,352838,6478567,5888632,350526,372,372,20466,329316,589780,3346707,521254,94032,6784,87248,424334,78905,483095,54197,428898,589935,106113,483822,0,ND
2000:Q4,6566840,261498,17952,80088,163458,44391,17100,241781,1292950,933,96605,766919,406826,0,111033,0,249060,116603,311890,23095,0,56493,0,232302,4208387,1236638,5881,2350034,615834,4255,18568,72975,36522,16203,0,352210,6652206,6040887,373743,901,110,32578,340154,593984,3452287,520460,98616,5968,92648,432339,86072,483385,56052,427333,611319,116768,494551,0,ND
2001:Q1,6602726,253203,16758,66605,169840,36000,29883,273627,1273287,0,80160,763468,421148,0,114410,0,227910,116185,313474,28547,0,57497,0,227430,4235754,1227198,5972,2394607,607977,4360,17961,73510,37344,19971,0,347825,6722668,6106312,334296,180,22,34826,299268,572712,3548287,540498,101950,5982,95968,440100,84824,483645,56715,426930,616356,107856,508500,0,ND
2001:Q2,6657134,247462,17642,70762,159058,37171,26113,271118,1293014,0,77342,772460,440426,0,116413,0,215621,120035,323177,26856,0,54289,0,242032,4278129,1217682,5336,2439706,615405,4266,19281,74458,37896,19819,0,348406,6777867,6141856,341686,-374,150,31850,310059,592806,3582480,538305,100757,5422,95335,441028,80451,464343,55984,408359,636011,116638,519373,0,ND
2001:Q3,6831981,270548,23715,71124,175709,36657,29415,300244,1335242,0,71853,806464,464453,0,133950,0,208061,122050,334875,24151,0,53837,0,256887,4289482,1211100,3939,2459160,615283,4392,19371,74913,38619,20612,0,412486,7008806,6342643,348757,-549,88,27221,321996,597433,3656322,556923,101974,4086,97888,449132,102444,529659,57363,472296,666163,122587,543576,0,ND
2001:Q4,6908131,268780,16245,79761,172774,47330,25661,279383,1404278,0,67841,861653,466298,0,168209,0,227146,124528,350256,38490,0,59260,0,252506,4329699,1175754,3585,2510823,639537,4567,20542,63185,39515,24902,0,400287,7054222,6381511,390327,-23,34,36618,353698,681677,3704570,544232,101979,3676,98303,455603,88451,414671,55363,359308,672711,117130,555581,0,1234336
2002:Q1,6991671,280873,21134,92469,167270,34918,28432,284334,1456287,0,82696,898652,476544,0,166361,0,255747,123176,351763,31328,0,60654,0,259781,4299071,1154164,3501,2508549,632857,4771,20151,63814,40386,25486,0,453148,7034256,6349500,357681,-476,20,52836,305301,577779,3810356,548930,99295,3511,95784,446578,97231,411651,55347,356304,684756,122799,561957,0,1202963
2002:Q2,7111063,277915,20680,79015,178220,36549,26257,281609,1489173,0,87955,939927,535773,0,145570,0,258584,122984,338307,25505,0,56982,0,255820,4347767,1131110,3981,2577235,635441,4999,18844,64060,41155,23845,0,498890,7187867,6478164,356367,-238,184,41730,314691,590861,3844177,544653,100021,3992,96029,449505,113981,478599,54005,424594,709703,130427,579276,0,1236865
