1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,8238,330,4612,-29,1356,1969,8238,7303,0,1557,4390,1356,904,176,44,189,4,0,491,0,0,0,0,31,8238,2976,2366,749,0,1,-140,5382,111,3494,-36,3,4,233,671,379,0,406,0,-25,25,0,-132,0,0,0,160,0,89,-120
1957:Q4,5572,221,1174,1191,1177,1809,5572,4968,0,1642,2149,1177,543,89,22,213,3,0,216,0,0,0,0,61,5572,1534,745,975,0,-6,-180,3705,993,686,-26,1,3,278,512,332,0,338,0,14,27,0,6,0,0,0,535,0,6,333
1958:Q1,3657,1086,-1783,478,1460,2416,3657,2432,0,2159,-1187,1460,954,179,45,-120,2,0,848,0,0,0,0,271,3657,-1051,455,-1246,0,42,-302,5203,-608,3366,-32,8,4,-6,743,344,0,479,0,118,28,0,599,0,0,0,-134,0,294,-495
1958:Q2,4322,-279,3294,-1154,1143,1318,4322,4539,0,1155,2241,1143,-557,-142,-36,-103,2,0,-278,0,0,0,0,340,4322,-3764,-1738,-2080,0,-29,83,8720,2019,4355,35,12,4,123,667,360,0,242,0,180,29,0,-111,0,0,0,720,0,85,-634
1958:Q3,3293,-300,560,290,1541,1202,3293,3620,0,1450,629,1541,-415,-58,-14,215,6,0,-564,0,0,0,0,88,3293,-470,-1467,951,0,-19,65,2968,-495,2818,-38,11,4,303,853,385,0,379,0,-1,30,0,-134,0,0,0,-1165,0,18,795
1958:Q4,9850,-520,7182,399,1306,1483,9850,9910,0,1115,7489,1306,-279,-70,-18,85,7,0,-283,0,0,0,0,219,9850,4226,1172,2932,0,-4,126,5242,1617,1800,47,4,3,364,664,409,0,409,0,-24,29,0,-245,0,0,0,467,0,-302,382
1959:Q1,2751,391,22,-163,1578,923,2751,1902,0,586,-262,1578,680,-113,-28,116,5,0,700,0,0,0,0,169,2751,4682,2909,1580,0,-1,194,-2354,-859,-3136,-4,-1,3,136,768,260,0,407,0,75,79,0,205,0,0,0,-417,0,130,423
1959:Q2,3951,50,928,587,1258,1128,3951,2566,0,668,640,1258,1320,-58,-14,869,6,0,517,0,0,0,0,65,3951,2548,1019,1195,0,4,330,-518,564,-2720,5,-7,2,245,837,393,0,319,0,34,27,0,-129,0,0,0,-106,0,18,1921
1959:Q3,8104,-82,4502,726,1939,1019,8104,6991,0,637,4415,1939,983,-23,-6,812,1,0,199,0,0,0,0,130,8104,5634,3048,2371,0,9,206,1269,513,-1517,-8,-7,2,401,487,357,0,506,0,137,29,0,-11,0,0,0,163,0,217,1201
1959:Q4,6501,-47,3600,409,1067,1472,6501,5522,0,845,3610,1067,870,159,40,398,1,0,272,0,0,0,0,109,6501,5096,3347,1351,0,-13,411,767,137,-1053,33,-11,3,456,311,477,0,386,0,100,34,0,35,0,0,0,350,0,-491,638
