1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q2,5163527,21968,1247,45527,3248,711949,33944,148094,147962,967,380982,11964,1299017,145291,2923316,2847151,76165,5262986
2009:Q3,5208318,24171,1241,47062,3397,734152,35953,147530,146439,1137,403093,11988,1502218,154396,2729693,2654643,75050,5312585
2009:Q4,5257319,23633,1079,42989,3140,735603,33658,148707,146655,1307,405276,11273,1574956,163838,2700808,2616994,83814,5362184
2010:Q1,5368660,24218,980,41241,3049,753104,33098,155670,152653,1476,410207,11584,1616577,166675,2751232,2665409,85823,5471943
2010:Q2,5486923,25344,913,40590,3039,754333,33399,155945,151968,1646,411375,11787,1491813,160968,2998136,2910219,87917,5581702
2010:Q3,5590387,22747,750,39535,2997,764342,33360,151059,144394,1783,433746,12079,1619569,163555,2964813,2876372,88441,5691461
2010:Q4,5694416,23828,720,46244,3398,763146,36293,153738,144191,1921,427003,11416,1722987,172773,2949904,2854498,95406,5801220
2011:Q1,5735414,26194,736,54809,3954,769772,41118,157095,144649,2058,424852,11106,1772348,180303,2916192,2813523,102669,5846530
2011:Q2,5778977,26456,677,59982,4258,780985,43193,166981,151470,2196,417145,11247,1766572,181104,2947696,2841061,106635,5891840
2011:Q3,5831603,25234,839,56106,3795,720387,35838,152056,123686,1864,406943,13470,1625858,106940,3278974,3170031,108943,5937150
2011:Q4,5871136,23884,998,51967,3311,710796,28244,142217,100515,1532,438288,12678,1735762,90400,3241340,3131398,109942,5982460
2012:Q1,5909052,25982,1245,54866,3381,779166,27063,181555,121954,1200,447394,11143,1938328,55443,3039498,2936918,102580,6029124
2012:Q2,5955245,27367,1473,56307,3337,792507,24553,191115,116380,868,459591,10542,1881620,38342,3143750,3035607,108143,6075789
2012:Q3,5998843,28894,1990,60189,3486,786965,24268,182197,106818,1224,472458,10314,1935270,53810,3117925,3006590,111335,6122454
2012:Q4,6043634,29821,2475,63142,3561,795060,23137,185479,104685,1579,480180,10414,1962660,67305,3109196,3000237,108959,6169118
2013:Q1,6268910,30581,2951,65837,3616,801346,21770,196704,107388,1935,473549,9375,2053219,81978,3220007,3110100,109907,6398639
2013:Q2,6498607,28960,3299,64851,3380,789198,17049,192468,100677,2290,476714,8967,2055993,96217,3447742,3338112,109630,6628160
2013:Q3,6720187,30006,3422,68616,3520,792189,16658,187458,100379,2300,485394,7470,2146169,107578,3561217,3451421,109796,6857682
2013:Q4,6940755,33778,3855,74415,3977,812350,21942,181275,99466,2310,507357,6416,2246766,117814,3641384,3532704,108680,7087203
2014:Q1,7027530,32899,3760,73333,3892,830203,20956,184304,103373,2319,519251,7359,2226300,131076,3718708,3607696,111012,7178463
2014:Q2,7110139,31555,3610,71562,3752,878361,19342,198331,113032,2329,545327,9479,2293029,143707,3675084,3562459,112625,7269722
2014:Q3,7204666,32217,3176,69784,3612,883431,17721,198738,113110,2329,551533,7662,2268488,150935,3785361,3676129,109232,7360982
2014:Q4,7295861,36022,3101,74743,3845,884478,18418,199249,113248,2330,551233,8152,2283589,167065,3834866,3722050,112816,7452241
2015:Q1,7370986,36450,2640,72612,3677,874857,16476,176744,100268,2330,579039,8720,2339626,181085,3851319,3736573,114746,7527772
2015:Q2,7448372,41152,2667,76923,4017,874791,20405,185671,105202,2330,561183,9180,2338699,188718,3912225,3800555,111670,7603304
2015:Q3,7535243,38799,2450,74436,3821,853613,18138,170999,98102,2395,563979,9413,2199783,187848,4165080,4054188,110892,7678835
2015:Q4,7612815,38737,2381,74782,3848,854744,18454,174546,101326,2460,557958,8017,2249974,192377,4187955,4074645,113310,7754366
2016:Q1,7688642,36961,2201,71008,3708,877110,18838,170358,100166,2525,585223,8421,2253409,189138,4246686,4135555,111131,7826224
2016:Q2,7761965,40473,2364,75778,4085,884845,23184,184977,109663,2589,564432,9181,2242570,213484,4289185,4163910,125275,7898083
2016:Q3,7844970,38352,2490,75922,4254,888204,27138,203821,106204,2614,548427,18179,2301148,218654,4297767,4160569,137198,7969942
2016:Q4,7930249,40613,2871,83671,4865,870949,34200,218760,100431,2638,514920,14533,2321541,222220,4368986,4220806,148180,8041801
2017:Q1,8009612,34988,2792,81332,4680,885304,32068,239543,98121,2662,512910,10390,2414005,234757,4341364,4176938,164426,8111708
2017:Q2,8089700,30407,2774,80329,4601,900509,31154,262833,97299,2687,506536,8268,2491333,243268,4328211,4149901,178310,8181616
2017:Q3,8163038,31050,2713,82201,4749,912592,32860,266534,99841,3029,510328,4154,2594443,255365,4275771,4089617,186154,8251524
2017:Q4,8235587,30212,2517,81232,4673,933036,31977,289412,109483,3372,498792,6901,2706807,264039,4206170,4014681,191489,8321431
2018:Q1,8306927,30629,2435,82671,4786,954072,33288,300086,114607,3714,502377,7440,2668510,277381,4279003,4078757,200246,8386610
