1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,66,137,8664,7240,0,-4632,11872,0,-500,872,1484,-312,-276,24,-48,316,28,424,-136,-48,784,8212,8108,5036,4748,288,772,1488,264,424,24,100,104,104,0,-523,ND
1976:Q4,69,143,20028,17660,0,16496,1164,0,844,2288,624,1516,92,56,0,-28,-1100,1228,-156,-32,-704,23764,23488,12644,4572,8072,6448,1056,2344,1244,-44,-204,276,276,0,3662,ND
1977:Q1,95,182,-5596,-6656,0,-13264,6608,0,116,-656,712,-740,-268,-320,-40,2428,1700,720,8,104,-932,-5864,-5964,-5804,-4588,-1216,-3276,1104,-312,812,28,1484,100,100,0,-355,ND
1977:Q2,99,190,13996,9884,0,6400,3484,0,860,-1740,-1308,-404,-72,48,-4,5196,4624,528,44,-4,-200,14176,14068,10376,6468,3908,3676,1320,924,456,28,-2712,108,108,0,89,ND
1977:Q3,102,197,17668,10296,0,14944,-4648,0,2748,2532,1136,712,-32,548,168,2432,2032,484,-84,-12,-328,24828,24720,12156,4652,7504,9700,536,228,368,28,1704,108,108,0,7065,ND
1977:Q4,107,208,32552,27988,0,18496,9492,0,-588,644,-232,540,-84,-84,504,5388,4720,772,-104,36,-916,33620,33464,19912,15804,4108,1976,5904,2856,892,-20,1944,156,156,0,967,ND
1978:Q1,147,312,8224,-2408,800,6236,-9444,0,-324,1076,1136,-228,124,-136,180,7704,8328,-672,48,116,2060,7564,7456,5116,-1200,6316,-2104,3608,-408,-536,28,1752,108,108,0,-825,ND
1978:Q2,151,343,21932,5700,1156,2424,2120,0,1236,2332,1536,604,356,-228,64,11568,11408,84,76,-12,1108,21084,20948,10400,5776,4624,2936,2044,1948,-120,40,3700,136,136,0,-1040,ND
1978:Q3,158,358,35220,21744,-60,10648,11156,0,1436,944,720,44,44,-76,212,8840,10116,-1316,40,32,2224,40536,40396,25308,18292,7016,2172,7916,1088,-1584,36,5460,140,140,0,5116,ND
1978:Q4,164,374,48112,29196,416,22068,6712,0,1000,1396,484,624,268,-92,112,17348,16620,700,28,24,-852,53972,53728,26476,5428,21048,6832,12116,7984,1232,-28,-884,244,244,0,5650,ND
1979:Q1,234,548,18804,3540,156,256,3128,0,1488,208,568,-640,-160,-40,480,13480,12652,764,64,8,80,23060,22584,18892,24192,-5300,-68,952,-3276,944,120,5020,476,476,0,3942,ND
1979:Q2,246,555,43876,24236,732,24936,-1432,0,420,392,-684,944,-40,96,76,19024,17360,1596,68,-4,-192,37732,37260,26320,13924,12396,7920,6872,1872,1984,124,-7832,472,472,0,-6453,ND
1979:Q3,257,582,54988,21920,372,8880,12668,0,1468,4056,1500,528,140,76,1812,27120,22304,3500,1316,4,420,60240,59768,45040,17560,27480,-5172,9268,6432,3708,124,368,472,472,0,4927,ND
1979:Q4,271,589,12756,1048,-1308,-2408,4764,0,1968,720,1108,1180,144,132,-1844,9064,7320,180,1564,36,-80,19216,18608,16780,6204,10576,348,-2560,5232,644,-12,-1824,608,608,0,6142,ND
