1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,26860,16120,3852,5892,996,26860,16632,10024,4296,5728,204,26860,2440,16,0,108,-124,136,104,-8,232,18132,17796,0,60,276,-40,4928,328,348,164,-4,0,168,0,0,160,0,0,0,0,160,0,44,0
1963:Q1,22384,14544,2600,3768,1472,22384,15356,6928,1548,5380,100,22384,2716,8,0,-196,-432,260,36,-60,216,17324,16876,0,48,400,-12,2500,324,356,-980,-1272,0,292,0,0,160,0,0,0,0,160,0,-32,0
1963:Q2,27164,16148,3280,5376,2360,27164,16576,10480,2308,8172,108,27164,2100,0,0,-1372,-996,168,84,-628,192,22392,22380,0,36,-24,-12,3144,312,356,-1268,-1560,0,292,0,0,168,0,0,0,0,168,0,1152,0
1963:Q3,28732,18504,3168,5372,1688,28732,19008,9708,2536,7172,16,28732,480,0,0,-248,-452,156,88,-40,188,22536,22208,0,32,296,-8,3572,336,368,-12,-232,0,220,0,0,56,0,0,0,0,56,0,1464,0
1963:Q4,28992,18000,4120,5876,996,28992,18640,10328,4300,6028,24,28992,792,16,0,220,-192,140,40,232,192,20716,20316,0,52,348,-20,5352,404,400,108,-116,0,224,0,0,64,0,0,0,0,64,0,748,0
1964:Q1,25072,17268,3648,2108,2048,25072,17852,7232,2360,4872,-12,25072,3000,20,0,48,-156,208,-124,120,224,17124,17048,0,60,16,-4,3644,548,416,344,-72,0,416,0,0,104,0,0,0,0,104,0,-396,0
1964:Q2,27396,16460,4636,3364,2936,27396,17084,10336,2080,8256,-24,27396,-88,28,0,-228,-196,176,-152,-56,240,20588,20748,0,72,-232,0,4136,596,424,360,-52,0,412,0,0,120,0,0,0,0,120,0,1220,0
1964:Q3,29452,18004,4872,4704,1872,29452,18608,10772,3292,7480,72,29452,1516,28,0,-12,-212,140,-136,196,232,21588,21284,0,76,228,0,4140,536,460,252,-152,0,404,0,0,84,0,0,0,0,84,0,628,0
1964:Q4,29192,17184,5060,5324,1624,29192,17792,11316,5092,6224,84,29192,1852,20,0,-4,-236,116,-68,184,212,18860,18928,0,72,-140,0,6512,552,532,460,56,0,404,0,0,88,0,0,0,0,88,0,108,0
1965:Q1,25552,16988,3224,3212,2128,25552,17700,7756,2948,4808,96,25552,1988,8,0,-136,-340,216,8,-20,200,16388,15760,0,72,556,16,4660,564,604,812,132,0,680,0,0,208,0,0,0,0,208,0,240,0
1965:Q2,26988,15624,3664,4860,2840,26988,16372,10512,1712,8800,104,26988,-148,0,0,-452,-424,224,-80,-172,192,19792,19728,0,76,-12,24,4120,1024,672,800,120,0,680,0,0,216,0,0,0,0,216,0,748,0
1965:Q3,28872,18184,3772,4864,2052,28872,18908,10024,2120,7904,-60,28872,-540,0,0,124,-116,184,-12,68,180,21044,21292,0,76,-324,28,4264,492,712,868,420,0,448,0,0,268,0,0,0,0,268,0,1432,0
1965:Q4,28492,17660,3880,4992,1960,28492,18348,10208,3848,6360,-64,28492,752,8,0,388,4,180,76,128,184,17776,18024,0,68,-316,20,6400,348,716,1864,1420,0,444,0,0,288,0,0,0,0,288,0,-252,0
1966:Q1,28504,17184,3896,5384,2040,28504,17896,10668,2308,8360,-60,28504,332,20,0,860,176,128,324,232,180,17064,16016,0,64,984,-8,4876,492,760,3892,3004,0,888,0,0,320,0,0,0,0,320,0,-284,0
1966:Q2,26352,13188,3552,7116,2496,26352,13908,12504,4524,7980,-60,26352,1752,28,0,848,452,12,44,340,188,14592,14732,0,56,-196,0,5108,332,828,2640,1752,0,888,0,0,336,0,0,0,0,336,0,-300,0
1966:Q3,22104,11672,2532,6084,1816,22104,12408,9756,3856,5900,-60,22104,2212,32,0,1172,556,196,100,320,172,10776,11204,0,56,-484,0,4224,476,804,1940,1476,0,464,0,0,536,0,0,0,0,536,0,-240,0
1966:Q4,17748,9768,2268,4604,1108,17748,10392,7424,3632,3792,-68,17748,2328,24,0,1268,604,272,-32,424,160,7392,7604,0,60,-272,12,4176,804,688,1740,1272,0,468,0,0,588,0,0,0,0,588,0,-1432,0
1967:Q1,16680,9356,2772,3000,1552,16680,10128,6604,2288,4316,-52,16680,3656,4,0,648,540,-248,84,272,136,5792,5728,0,60,4,20,3440,320,660,1512,820,0,692,0,0,664,0,0,0,0,664,0,-172,0
1967:Q2,19940,9020,3332,5376,2212,19940,9212,10788,1476,9312,-60,19940,-80,-8,0,396,504,-136,-32,60,104,13332,13296,0,64,-28,20,2628,-60,664,652,-40,0,692,0,0,720,0,0,0,0,720,0,1572,0
1967:Q3,29004,17616,3788,5388,2212,29004,18408,10664,1180,9484,-68,29004,2240,-8,0,1252,712,228,28,284,108,19316,19264,0,64,-12,20,2084,332,312,2212,1604,0,608,0,0,644,0,0,0,0,644,0,492,0
1967:Q4,28892,17440,4268,5300,1884,28892,27628,1336,-6804,8140,-72,28892,2680,4,0,1408,928,100,128,252,112,17696,17804,0,56,-164,16,3476,96,312,2732,2120,0,612,0,0,668,0,0,0,0,668,0,-308,0
1968:Q1,26828,16580,2648,5176,2424,26828,8048,18852,13836,5016,-72,26828,4604,356,0,1604,1144,152,72,236,164,14084,14324,0,20,-260,12,1828,32,580,3308,2572,0,736,0,0,724,0,0,0,0,724,0,-692,224
