date,FA384104005.Q,FA154104005.Q,FA153165105.Q,FA153166000.Q,FA144104005.Q,FA104104005.Q,FA314104005.Q,FA214104005.Q,FA794104005.Q,FA264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-9240,6625,4394,2977,7166,5301,-23079,48,-447,2303
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,12721,8846,5167,3521,8653,6914,-6408,1630,15,4081
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,12435,8510,5155,3034,7407,6093,-4886,1404,2041,1212
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,15333,7850,3984,3042,2965,1583,3617,901,1316,353
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,26923,13572,7844,4573,9154,6048,-395,4592,2718,142
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,17179,14491,8180,3027,14872,12077,-16612,4428,2896,720
1957:Q3,35971,11163,8344,2971,11004,7827,9008,4796,4500,516
1957:Q4,19819,8651,8056,1355,10260,7593,-4532,5440,4140,2600
1958:Q1,29321,6453,8092,-1263,9632,7949,7768,5468,1556,1760
1958:Q2,39661,8481,7944,-1107,8308,4373,17296,5576,4332,1852
1958:Q3,25341,12709,10404,781,10948,6355,-3676,5360,-8180,1700
1958:Q4,60457,19533,12772,2681,15660,10673,19148,6116,5224,2168
1959:Q1,44643,19279,12972,6559,10520,4866,9068,5776,1416,472
1959:Q2,57771,22223,12884,6779,20344,12532,9012,6192,9332,1468
1959:Q3,54187,23455,13696,8139,13272,6563,10608,6852,7320,1228
1959:Q4,45559,23271,12588,9415,14464,10366,2536,5288,8548,176
1960:Q1,30612,14528,11872,3428,14908,10495,-4728,5904,2868,1536
1960:Q2,40940,20644,10096,6116,15916,10553,-1284,5664,6924,1724
1960:Q3,33296,17116,11704,3932,10104,5013,508,5568,4180,1348
1960:Q4,37852,17892,11444,2664,13964,9728,1072,4924,7568,2336
1961:Q1,30361,14269,11124,1685,9556,2396,956,5580,-7660,2412
1961:Q2,43497,17509,10612,-519,13404,7996,8180,4404,5764,-184
1961:Q3,53145,15969,13196,2157,14064,5948,16768,6344,3348,2676
1961:Q4,56341,24413,15664,5425,19328,13236,6512,6088,11472,3068
1962:Q1,46475,16327,12072,3551,12924,6175,10240,6984,-4092,3040
1962:Q2,54847,21159,13552,8067,20540,12619,7572,5576,5600,1880
1962:Q3,44755,24039,15376,5235,17244,9684,-1376,4848,6804,-208
1962:Q4,68875,25879,16120,6783,21548,13439,15036,6412,13308,2708
1963:Q1,51803,23123,14544,7859,15556,8475,7972,5152,-9308,3364
1963:Q2,64867,30063,16148,7279,18824,9398,8988,6992,14612,5132
1963:Q3,47263,29243,18504,9247,17376,8829,-3816,4460,10668,1128
1963:Q4,69307,31407,18000,9719,25900,16277,6712,5288,15148,2600
1964:Q1,54531,27803,17268,10739,16300,9555,5340,5088,-3792,2348
1964:Q2,66239,29879,16460,8855,23156,13563,6292,6912,18288,3304
1964:Q3,65475,26799,18004,10079,23024,13872,8664,6988,1704,2256
