1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q3,262330,68556,193774,262330,6487,1005,8551,1154,96640,216,2384,17321,0,127124,1448
2019:Q4,267900,70343,197557,267900,6785,1014,8864,1171,97900,217,2445,17800,0,130591,1113
2020:Q1,273047,71569,201478,273047,7310,1027,9173,1222,97627,234,2442,18148,0,134793,1071
2020:Q2,278193,73026,205167,278193,7427,1040,9567,1277,97353,203,2503,18496,0,139278,1049
2020:Q3,283397,74612,208785,283397,8099,1053,9896,1333,97077,109,2505,18848,0,143499,978
2020:Q4,288600,76368,212232,288600,8474,1067,10255,1392,96800,139,2572,19200,0,147762,939
2021:Q1,297427,79132,218295,297427,11278,1058,10515,1369,97786,87,2586,19718,0,152182,848
2021:Q2,306353,81798,224555,306353,13430,1049,10918,1346,98784,70,2615,20241,0,157025,875
2021:Q3,315376,84652,230724,315376,15734,1040,11229,1324,99792,204,2659,20771,0,161724,899
2021:Q4,324400,87030,237370,324400,17921,1032,11499,1302,100800,141,2737,21300,0,166414,1254
2022:Q1,326866,87973,238893,326866,16575,1043,11652,1301,102329,116,2791,21621,0,168193,1245
2022:Q2,329359,88836,240523,329359,14733,1055,11944,1299,103875,157,2868,21945,0,170234,1249
2022:Q3,331879,89559,242320,331879,13388,1066,12262,1298,105437,156,2976,22272,0,171780,1244
2022:Q4,334400,90410,243990,334400,11974,1077,12497,1297,107000,176,2969,22600,0,173609,1201
2023:Q1,336915,91351,245564,336915,13121,1089,12717,1256,107444,133,3010,22600,0,174354,1191
2023:Q2,339458,92225,247233,339458,13270,1095,13032,1217,107893,112,3015,22600,0,175415,1809
2023:Q3,342029,93154,248875,342029,14250,1098,13278,1179,108346,154,3058,22600,0,176274,1792
2023:Q4,344600,93733,250867,344600,14671,1103,13565,1142,108800,105,3135,22600,0,177623,1856
2024:Q1,348479,95048,253431,348479,14616,1109,13861,1149,110025,114,3131,22854,0,179729,1891
2024:Q2,352357,96237,256120,352357,14390,1115,14275,1155,111249,102,3205,23109,0,181824,1933
2024:Q3,356279,97422,258857,356279,13736,1122,14621,1162,112487,213,3223,23366,0,184363,1986
2024:Q4,360200,98635,261565,360200,13121,1131,15017,1168,113725,209,3275,23623,0,186795,2136
2025:Q1,363652,99670,263982,363652,12692,1138,15288,1174,114815,149,3324,23849,0,188931,2292
