1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,5568,4635,294,639,6701,5767,934,0,0,-1133,-1052,-0,-1052,-303,-26,-16,190,-154,0,0,-305,92,-411,0,0,14,0,-19,76,-73,0,0,0,24,0,749,1013,0,34,722,0,65,0,65,169,130,39,-8,0,0,31,0,-264,-78,-186,0,-81,1132,640,639,0,1133
1957:Q1,5911,5025,299,587,7300,6230,1070,0,0,-1389,-1422,-0,-1422,-399,-348,-93,-297,72,0,0,87,116,-61,0,0,32,0,11,107,43,0,0,0,19,0,1023,636,0,12,297,0,217,0,217,106,-7,113,25,0,0,-21,0,387,-223,610,0,33,1205,771,587,0,1389
1957:Q2,6031,5068,299,665,7233,6092,1140,0,0,-1202,-1512,-0,-1512,281,-326,2,626,-131,0,0,-86,-14,-84,0,0,12,0,13,72,52,0,0,0,59,0,1793,655,0,67,334,0,126,0,126,39,55,-16,49,0,0,40,0,1138,-84,1222,0,311,1025,842,665,0,1202
1957:Q3,5827,4941,307,579,7055,5940,1115,0,0,-1229,-1173,-0,-1173,-267,-27,-75,-84,1,0,0,-120,194,-336,0,0,22,0,4,6,14,0,0,0,14,0,906,473,0,-46,359,0,31,0,31,105,124,-19,18,0,0,6,0,433,-20,453,0,-56,999,808,579,0,1229
1957:Q4,5800,4909,309,582,6698,5756,943,0,0,-899,-504,-0,-504,227,-98,-25,104,-66,0,0,333,-13,322,0,0,24,0,4,-38,14,0,0,0,-1,0,731,742,0,24,-6,0,61,0,61,597,155,442,3,0,0,63,0,-11,-73,62,0,-395,847,634,582,0,899
1958:Q1,5736,4864,314,558,6105,5134,972,0,0,-369,-202,-0,-202,532,370,120,-433,940,0,0,-495,113,-642,0,0,34,0,19,-30,71,0,0,0,-30,0,734,555,0,-62,217,0,271,0,271,167,91,76,13,0,0,-51,0,179,-150,329,0,-167,270,658,558,0,369
1958:Q2,5898,5019,293,586,6103,5137,967,0,0,-205,-78,-0,-78,1110,1075,260,276,51,0,0,-634,-156,-477,0,0,-1,0,20,-18,78,0,0,0,2,0,1188,854,0,144,200,0,340,0,340,107,129,-22,25,0,0,38,0,334,-290,624,0,-127,118,674,586,0,205
1958:Q3,5846,4935,309,603,6109,5149,960,0,0,-262,105,-0,105,1026,483,-10,-349,10,0,0,795,-43,838,0,0,0,0,19,-8,73,0,0,0,13,0,921,562,0,29,93,0,88,0,88,340,166,174,15,0,0,-3,0,359,-18,377,0,-367,214,651,603,0,262
1958:Q4,6148,5206,325,617,6112,5141,971,0,0,36,566,-0,566,646,347,-169,410,-120,0,0,382,-25,386,0,0,21,0,-38,2,-144,0,0,0,-24,0,80,402,0,12,-170,0,219,0,219,338,68,270,-8,0,0,11,0,-322,-128,-194,0,-530,-65,646,617,0,-36
1959:Q1,6822,5349,345,1128,6469,5479,991,0,0,353,396,-0,396,855,96,144,-56,30,0,0,423,-90,507,0,0,6,0,27,35,102,0,0,0,54,0,459,-29,0,-19,-115,0,169,0,169,-55,-97,42,22,0,0,-31,0,488,-52,540,0,-44,130,646,1128,0,-353
