1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,48889,1690,1665,25,25,0,0,0,0,0,0,0,-59,340,24644,34,24610,12654,11956,0,0,0,0,0,0,0,0,0,0,22274,21949,0,325,48078,47752,19059,28421,1216,775,441,0,0,0,325,23619,3261,0,0,0,272,326,0,326,34,0,0
1957:Q1,46984,1399,807,592,592,0,0,0,0,0,0,0,-30,400,22689,23,22666,11667,10999,0,0,0,0,0,0,0,0,0,0,22526,22306,0,220,46042,45711,18350,27193,1301,811,490,0,0,0,352,22630,2910,0,0,0,168,331,0,331,23,0,0
1957:Q2,47713,1853,1029,824,824,0,0,0,0,0,0,0,-33,400,22658,23,22635,11621,11014,0,0,0,0,0,0,0,0,0,0,22835,22623,0,212,46754,46421,18628,27849,1256,758,498,0,0,0,462,23181,2950,0,0,0,-56,333,0,333,23,0,0
1957:Q3,47752,1761,985,776,776,0,0,0,0,0,0,0,-23,400,22769,17,22752,20511,2241,0,0,0,0,0,0,0,0,0,0,22845,22635,0,210,46855,46517,18594,27772,1385,780,605,0,0,0,380,22967,3040,0,0,0,151,338,0,338,17,0,0
1957:Q4,48838,1474,1424,50,50,0,0,0,0,0,0,0,-29,542,23762,43,23719,20918,2801,0,0,0,0,0,0,0,0,0,0,23089,22781,0,308,47976,47631,19034,28451,1242,761,481,0,0,0,365,23509,3335,0,0,0,146,345,0,345,43,0,0
1958:Q1,47000,822,704,118,118,0,0,0,0,0,0,0,-39,410,23154,29,23125,20839,2286,0,0,0,0,0,0,0,0,0,0,22653,22394,0,259,46075,45725,18426,27112,1353,730,623,0,0,0,262,22607,2890,0,0,0,187,350,0,350,29,0,0
1958:Q2,47975,924,796,128,128,0,0,0,0,0,0,0,-47,310,25173,35,25138,22649,2489,0,0,0,0,0,0,0,0,0,0,21615,21356,0,259,47041,46688,18568,27504,1102,692,410,0,0,0,277,23108,3017,0,0,0,616,353,0,353,35,0,0
1958:Q3,47200,1286,949,337,337,0,0,0,0,0,0,0,-92,210,24678,18,24660,22492,2168,0,0,0,0,0,0,0,0,0,0,21118,20874,0,244,46293,45936,18101,27609,1176,686,490,0,0,0,320,22973,3140,0,0,0,226,357,0,357,18,0,0
1958:Q4,48477,1342,1296,46,46,0,0,0,0,0,0,0,-35,101,26295,43,26252,20900,5352,0,0,0,0,0,0,0,0,0,0,20774,20534,0,240,47614,47251,18504,28435,1041,683,358,0,0,0,279,23866,3249,0,0,0,312,363,0,363,43,0,0
1959:Q1,47477,1318,746,572,572,0,0,0,0,0,0,0,-34,70,25436,12,25424,20146,5278,0,0,0,0,0,0,0,0,0,0,20687,20442,0,245,46638,46264,18194,27629,1231,714,517,0,0,0,315,22993,3090,0,0,0,441,374,0,374,12,0,0
1959:Q2,47758,1738,846,892,892,0,0,0,0,0,0,0,-34,70,26000,6,25994,20674,5320,0,0,0,0,0,0,0,0,0,0,19984,19705,0,279,46805,46425,18188,28026,929,394,535,0,0,0,306,23531,3260,0,0,0,211,380,0,380,6,0,0
