1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q4,1062820,221029,493116,-11772,1282007,212982,-6759,1838651,97292,1557142,1468189,89763,-810,-1459850,-447446,104219,53360,-22684,-36850,2732,91379,81467,8488,2676,-2152,900,933,-992,1925,37060,23376,416628,64,-14048,59825,-1163438,1012404,1170232,200830,28519,8259,164052,241752,177398,64044,310,78772,14210,-22488,657154,2960,-4816,659010,-157828,-323800,165972,1741359,-68527
2012:Q1,1300409,235009,487894,-31256,1115972,205714,-6527,1874463,845383,1601116,1527642,73721,-247,-755734,202568,-20698,-71952,-16148,-32959,13572,-72959,-55879,-12208,-5148,-156,432,17940,-3924,21864,73021,-26316,295642,424,-6128,21563,27567,958302,965330,339621,-7933,4810,342744,-125485,106489,-82750,-149223,17908,137210,14468,581608,-12320,19322,574606,-7028,-181884,174856,1029080,-67633
2012:Q2,1285581,245506,487918,18280,1129684,169821,-7810,1877752,2311192,1651125,1562685,88976,-536,660067,1225294,143313,-52700,-21424,-32545,-388,-11382,-5602,-4764,-1168,148,4,-27790,-2460,-25330,-27358,-25452,303130,-328,-6128,-92269,1076615,565227,756063,315609,29035,30422,256152,-34909,119289,-31573,-122624,22180,-49017,13897,488303,-12324,13923,486704,-190836,-383248,192412,-433440,-56806
2012:Q3,1281690,250974,505348,-24876,1144590,172812,-9160,1827054,1142331,1647516,1555916,92019,-419,-505185,295794,61073,21672,26284,-6530,-22164,3249,-715,4064,848,-744,-204,-5413,396,-5809,7846,-26920,301691,16,-6128,203804,-262688,800979,972839,416964,-35469,8393,444040,122455,60845,164773,-103162,29288,131193,-8469,281407,-12320,7835,285892,-171860,-295584,123724,684723,-6726
2012:Q4,1296368,251725,678403,-7944,1160443,196167,-44490,1759396,407975,1600603,1559022,39391,2190,-1192628,-438037,-8152,157904,15660,28362,-9552,16441,16309,1712,132,56,-1768,11147,5036,6111,7779,-26648,309832,-8,-6128,88602,-1023275,754591,758239,570161,70455,10402,489304,173205,129294,25570,18342,-58576,52902,-14468,35013,-12320,1935,45398,-3648,-261248,257600,1351421,37374
2013:Q1,1350307,264548,535452,22660,1155401,200624,-9645,1938637,1519658,1635686,1562563,72292,831,-116028,635639,266847,-7336,118268,15509,1152,-42902,-4666,-25696,-8708,-52,-3780,1008,-5588,6596,1286,9988,238528,288,2236,271982,-241214,751667,751363,215990,20061,11241,184688,-31878,-77753,105140,-59265,7744,54896,-8785,513396,-2476,140415,375457,304,-86012,86316,418979,-102327
2013:Q2,1329836,262470,519672,30700,1171091,180991,-5843,1936319,1277030,1625758,1561729,62156,1873,-348727,271072,-283813,-62260,62032,53929,-8908,3908,-34216,22792,7388,288,7656,-7812,17092,-24904,61031,10224,321264,-200,2236,310926,-191485,619799,700151,241333,-20119,2496,258956,305086,64393,161721,78971,8892,94929,-34022,83933,-2468,130567,-44166,-80352,-297864,217512,659289,-129570
2013:Q3,1333006,261871,630093,8120,1184801,274764,-4503,1913230,1713836,1701824,1592152,107135,2537,12012,1189122,65308,71904,3056,72357,39416,35630,35302,1352,96,-696,-424,-9939,-2592,-7347,-57788,10704,303581,-44,2236,280976,371725,1177110,1304850,563760,92001,-3133,474892,121608,98851,-31580,54338,20720,154646,-17242,461359,-2472,120026,343805,-127740,-333376,205636,199394,63358
2013:Q4,1349425,266935,515162,-5904,1197752,215987,-2856,1978019,1918425,1741423,1647043,94117,263,177001,815383,129126,154312,90844,-19475,-14180,-10576,-18932,8248,2332,-428,-1796,8155,6944,1211,-16330,11764,335856,132,2236,223393,-79874,638382,747686,212626,-35215,-2187,250028,251515,123553,112179,15784,10484,97617,20404,155039,-2472,109754,47757,-109304,-302964,193660,59594,-20609
2014:Q1,1318242,280166,627727,-53448,1230062,223383,-7386,1817732,1932409,1744314,1697315,46563,436,188095,346878,93494,-226340,-53208,2900,2172,30746,35062,-1144,-468,-1928,-776,41244,5980,35264,4933,35560,212629,616,23784,137292,41057,158783,870315,360975,74548,-3137,289564,147076,71930,127024,-51877,6984,254982,-744,101042,-2864,39499,64407,-711532,-379400,-332132,-114677,149965
