1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q4,489683,0,142,142,0,0,0,46515,0,443026,489683,489683,46657,443026,489683,0
1977:Q1,497878,0,152,152,0,0,0,45314,0,452412,497878,497878,45466,452412,497878,0
1977:Q2,507353,0,6,6,0,0,0,46922,0,460425,507353,507353,46928,460425,507353,0
1977:Q3,515508,0,38,38,0,0,0,53064,0,462406,515508,515508,53102,462406,515508,0
1977:Q4,523876,0,55,55,0,0,0,53177,0,470644,523876,523876,53232,470644,523876,0
1978:Q1,533932,0,66,66,0,0,0,51900,0,481966,533932,533932,51966,481966,533932,0
1978:Q2,545290,0,84,84,0,0,0,53341,0,491865,545290,545290,53425,491865,545290,0
1978:Q3,555049,0,117,117,0,0,0,59536,0,495396,555049,555049,59653,495396,555049,0
1978:Q4,565382,0,140,140,0,0,0,60119,0,505123,565382,565382,60259,505123,565382,0
1979:Q1,575627,0,156,156,0,0,0,58395,0,517076,575627,575627,58551,517076,575627,0
1979:Q2,587240,0,186,186,0,0,0,59860,0,527194,587240,587240,60046,527194,587240,0
1979:Q3,597479,0,226,226,0,0,0,67381,0,529872,597479,597479,67607,529872,597479,0
1979:Q4,608234,0,5,5,0,0,0,68254,0,539975,608234,608234,68259,539975,608234,0
1980:Q1,618716,0,27,27,0,0,0,66134,0,552555,618716,618716,66161,552555,618716,0
1980:Q2,630414,0,56,56,0,0,0,67302,0,563056,630414,630414,67358,563056,630414,0
1980:Q3,640793,0,78,78,0,0,0,76846,0,563869,640793,640793,76924,563869,640793,0
1980:Q4,651608,0,104,104,0,0,0,77079,0,574425,651608,651608,77183,574425,651608,0
1981:Q1,662423,0,138,138,0,0,0,74301,0,587984,662423,662423,74439,587984,662423,0
1981:Q2,674606,0,211,211,0,0,0,75442,0,598953,674606,674606,75653,598953,674606,0
1981:Q3,685301,0,0,0,0,0,0,86895,0,598406,685301,685301,86895,598406,685301,0
1981:Q4,696166,0,0,0,0,0,0,87179,0,608987,696166,696166,87179,608987,696166,0
1982:Q1,707713,0,0,0,0,0,0,84313,0,623400,707713,707713,84313,623400,707713,0
1982:Q2,720710,0,0,0,0,0,0,86345,0,634365,720710,720710,86345,634365,720710,0
1982:Q3,732210,0,0,0,0,0,0,98516,0,633694,732210,732210,98516,633694,732210,0
1982:Q4,743577,0,0,0,0,0,0,99245,0,644332,743577,743577,99245,644332,743577,0
1983:Q1,755838,0,0,0,0,0,0,96374,0,659464,755838,755838,96374,659464,755838,0
1983:Q2,769038,0,0,0,0,0,0,98735,0,670303,769038,769038,98735,670303,769038,0
1983:Q3,780817,0,0,0,0,0,0,111500,0,669317,780817,780817,111500,669317,780817,0
1983:Q4,793574,0,0,0,0,0,0,113787,0,679787,793574,793574,113787,679787,793574,0
