1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q1,-149683,-1731,-22621,1054,-23675,-1467,1387,-2854,0,604,8153,218,1458,-123215,-18,-11064,-129316,288,-1,5370,-1,-43445,-1321,-42124,469,-2002,2471,-9268,-9268,0,246,-3738,105,55,-76014,11026,42778,4031,-119648,-482,296,62647,-20367,0,0,0
2013:Q2,-158951,-10304,2659,-974,3633,-13524,-528,-12996,0,-1228,583,-198,-12310,-83659,-1,-40969,-156279,-2227,0,-4358,0,-21740,-3298,-18442,2333,874,1459,-219,-204,-15,-157,750,105,-236,-25925,-3205,-42333,3588,-39594,-2992,0,-16481,-2672,0,0,0
2013:Q3,-37337,62252,-24665,-5144,-19521,21107,-4365,25472,0,169,-384,-20,-21258,-91125,0,16587,-20312,9854,0,-565,0,-20320,-5096,-15224,18194,1039,17155,-120,-110,-10,-101,205,105,140,53548,465,-17854,-18746,-65041,2698,0,-1520,-17025,58157,54865,3292
2013:Q4,-144931,158519,-35869,-5982,-29887,-18405,874,-19279,0,-153,-1671,0,-32933,-141313,0,-73106,-99759,-3545,1,3783,1,-1737,-1357,-380,-22187,-1589,-20598,0,0,0,17,-3163,105,457,14663,-2236,18865,-3383,-92922,-2072,718,-10506,-45172,139598,108430,31168
2014:Q1,69144,25099,13892,6348,7544,43772,7546,36226,0,-355,32,25,-12128,-55959,-5,54771,35729,543,1,1116,1,-13653,2374,-16027,23186,474,22712,150,150,0,96,-218,47,-85,34009,1575,-25036,16016,-47695,-173,1514,60351,33415,44314,58689,-14375
2014:Q2,47166,115478,-11137,-69,-11068,9991,-2141,12132,0,116,2329,-25,9421,-35483,0,-43524,81559,4517,1,-2800,1,682,1412,-730,27920,227,27693,-150,-150,0,-150,-210,46,-140,60690,-1224,5397,-9971,-42999,1829,-4622,32771,-34393,97412,83547,13865
2014:Q3,-96606,-46370,-19298,-6814,-12484,8871,9474,-603,0,-144,-672,0,-402,-70833,0,32242,-81740,13842,0,-6600,0,-6420,-5260,-1160,-9442,-291,-9151,-20,0,-20,23,33,46,-140,-20556,-3678,-23357,4303,-9845,-1657,300,-14269,-14866,-39481,-11163,-28318
2014:Q4,5810,99706,-16619,-19118,2499,-4085,-6560,2475,0,-64,-660,50,13100,-58590,0,-27028,75420,8887,0,6280,0,-11018,-14947,3929,-614,-429,-185,0,0,0,97,422,46,233,72309,-5611,53339,12925,-67678,-4989,-2910,26627,-69610,96705,76859,19846
2015:Q1,79052,27022,-7739,-10180,2441,-1340,11354,-12694,16,91,258,37,-3245,-12447,17,76382,-18369,-529,0,4944,0,30005,-5225,35230,-18338,-205,-18133,10,0,10,-100,-177,-81,-168,-17669,-741,-4468,-10230,-13947,3036,-1888,1742,97421,-18215,-25955,7740
2015:Q2,-67272,21308,-2089,5723,-7812,4864,-15818,20682,0,0,314,-87,-13229,-54957,22,-23418,-63912,4196,0,-4486,0,-6110,-2927,-3183,10741,177,10564,0,0,0,-99,-264,-81,340,13415,-3044,-17137,-906,32407,2296,-9387,-86699,-3360,14112,26880,-12768
2015:Q3,149417,82914,-20303,-4461,-15842,565,4229,-3664,-1,158,-42,118,-19964,13420,25,92528,152822,6941,0,-4358,0,3389,-3177,6566,-12058,-507,-11551,0,0,0,-100,437,-81,-196,65644,-9912,7972,-10626,72427,-3717,3645,22789,-3405,57012,42263,14749
2015:Q4,-106778,71320,-9145,9637,-18782,31251,-27,31278,-1,128,-1037,-118,-9102,-125426,6,-64654,-127781,3551,-1,5065,-1,-2473,126,-2599,20037,151,19886,0,0,0,-100,-491,-82,27,5753,3664,33866,11369,-110371,-1854,-680,-83692,21003,24978,9576,15402
2016:Q1,-102869,-161855,-3073,294,-3367,1286,7613,-6327,0,-927,65,0,-211,-2217,-15,64078,-150759,-8069,0,685,0,-4237,2449,-6686,-12692,-56,-12636,0,0,0,-114,144,-20,-140,-120862,2354,-22998,7027,-17976,858,-6030,38338,47890,-170743,-156312,-14431
2016:Q2,147035,-6696,-9598,-11323,1725,21237,326,20911,-1,-25,44,0,-14626,56868,-7,99839,178376,-2456,0,1502,0,10025,-3359,13384,-2429,1,-2430,0,0,0,-52,-113,-20,377,36106,2814,4972,-3736,82112,236,-150,45452,-31341,-25040,-24895,-145
2016:Q3,140360,121195,-4012,4152,-8164,11609,4202,7407,-13,-24,58,0,2487,13147,3,-4090,287487,46227,0,5339,0,18794,1594,17200,1359,146,1213,0,0,0,190,-76,-20,169,224091,-15384,7388,12508,6859,-912,-415,-6122,-147127,133714,141564,-7850
2016:Q4,-89828,60165,-17524,462,-17986,32588,-5246,37834,12,-23,67,0,1792,-122979,-10,-43916,-196037,-10013,0,-2055,0,-15915,1173,-17088,-11678,-317,-11361,0,0,0,-82,-315,-20,611,-54731,5544,12770,-9546,-91584,-209,-360,-28000,106209,55832,19072,36760
2017:Q1,-60618,-124919,-4035,-2079,-1956,1392,8253,-6861,0,-12,50,0,6054,46788,-22,14086,16296,-8830,0,2736,0,-28533,3604,-32137,4040,-175,4215,12,0,12,-18,4,87,-185,15075,-898,22705,29780,-13767,1888,150,21830,-76914,-121502,-74627,-46875
2017:Q2,164919,49706,4410,2942,1468,33249,-2342,35591,0,-15,613,0,3463,82331,-15,-8823,218371,-26750,0,1083,0,34517,-8304,42821,12872,408,12464,50,0,50,-21,-130,88,-79,113669,484,-5393,-3791,65755,6606,-25,15645,-53452,52022,34022,18000
2017:Q3,-150108,-93205,3949,7497,-3548,30500,16116,14384,-1,31,-581,0,24856,-90798,36,-24895,-92795,-14879,0,1111,0,-36338,8439,-44777,30264,-342,30606,49,0,49,27,-68,88,148,2009,614,704,15022,-61091,-213,125,-15345,-57313,-82785,-64335,-18450
2017:Q4,72465,7166,3537,4805,-1268,14018,-27850,41868,-1,-22,-337,0,20510,41067,-8,-13465,115810,-270,0,5510,0,34319,-562,34881,27879,375,27504,-1,0,-1,60,-253,87,-76,43086,-12108,-7431,-24114,5448,-3630,1500,21690,-43345,3505,-10345,13850
2018:Q1,-341821,-290577,-13563,-2040,-11523,-26202,18415,-44617,0,-98,-618,0,285,-1607,116,-9557,-208577,-8568,0,-6486,0,18446,264,18182,-3718,85,-3803,100,0,100,-142,-74,-123,113,-191836,-13338,23149,27799,4714,-1000,-1630,-28184,-133244,-287234,-265514,-21720
2018:Q2,114625,68252,1128,90,1038,-23376,-14404,-8972,0,-71,92,0,-2490,64065,-1,7026,114533,-14486,0,4181,0,-11409,-3349,-8060,26063,121,25942,139,139,0,-101,-13,-122,4,137252,14636,-25990,-4652,22388,-1024,-125,-36860,92,64609,66189,-1580
2018:Q3,-48338,-62684,-1794,2954,-4748,-16444,-5287,-11157,-1,-34,2702,0,29470,30724,-114,-30163,-25236,-3379,0,5135,0,7748,-1068,8816,14733,54,14679,-198,3,-201,46,222,-123,-57,11774,-9548,2001,-15947,28686,496,25,-82797,-23102,-48540,-43865,-4675
2018:Q4,408264,25063,-13089,-6841,-6248,17132,-8755,25887,0,-18,555,0,16008,212700,-46,149959,464046,1461,0,-2100,0,145546,25,145521,13799,30,13769,2,2,0,148,28,-123,-221,72379,8344,-24110,-18514,150399,-2122,1915,98701,-55782,-6582,-5295,-1287
2019:Q1,27608,-48667,8932,8553,379,-15263,8482,-23745,-1,19,-510,0,30786,-9091,-5,61408,82222,-1699,0,2837,0,-23365,3836,-27201,45801,869,44932,397,198,199,363,1182,3332,206,-23538,-4097,30927,21141,3326,-218,254,46514,-54614,-41117,-38930,-2187
2019:Q2,200690,80027,1853,-3242,5095,22403,-5494,27897,0,-14,-383,0,30275,92111,0,-25582,216944,-748,0,2998,0,16948,-5098,22046,16855,-1675,18530,151,-49,200,83,1365,3331,-362,177050,-8221,7314,-530,44692,-172,597,-44937,-16254,43576,42890,686
2019:Q3,263931,-22004,26395,-1086,27481,15755,-1543,17298,0,-27,-2463,0,4205,92284,0,149786,302983,-1120,0,-1742,202500,-44038,2327,-46365,21240,1718,19522,60,100,-40,-80,1038,3332,8295,19696,-7553,-21778,-18883,103288,-87,411,19521,-39052,-37250,-36553,-697
2019:Q4,-156396,23281,-13272,-5883,-7389,23531,-158,23689,-1,7,-3334,0,6521,-118727,2,-74404,-2669,2372,0,-1924,53119,26149,2840,23309,-23881,-1799,-22082,17,-127,144,248,683,3332,-4846,11712,1776,8092,-4587,-70556,884,-786,-9060,-153727,57030,39833,17197
2020:Q1,355081,232433,24104,10397,13707,47113,6469,40644,0,46,8051,0,-119563,60940,-2,101959,391879,13529,0,-4824,7106,-27230,-2851,-24379,-51844,289,-52133,-36,51,-87,374,3285,649,-172,308623,-13865,-41242,22999,87028,48,324,110126,-36798,220821,238010,-17189
