1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,3395038,11164,183099,398147,6846,0,9625,164597,7206,67048,18739,50607,20997,174700,96140,62025,16535,2947,713254,72834,615192,46781,124080,623045,205387,4463,38878,3636588,2272638,0,6761,0,511581,5778,219837,9379,132054,144533,824170,118568,147742,432047,125813,1912,7239,179457,12507,729011,1363950,743955,7355,612640
1969:Q4,3410877,11859,192185,398210,6813,0,7301,172779,7628,70218,20593,52280,22060,182187,99791,64657,17739,3104,667553,76695,625898,46323,125359,638886,208397,5387,41942,3660851,2324708,0,6848,0,519711,5356,224726,9036,133518,147075,846578,125974,151462,439911,129231,2032,7252,188349,12628,741310,1336143,705075,7814,623254
1970:Q1,3432243,12823,186210,401818,7424,0,6747,181733,8156,76293,22846,52962,21476,178647,99075,63153,16419,3185,643710,78735,635120,46998,126700,659903,212431,6360,43698,3666936,2348274,867,6900,0,529061,7044,227467,8584,135658,150308,846005,121294,155068,442980,126663,2156,7321,186654,12846,756464,1318662,677754,8287,632621
1970:Q2,3339615,12846,193513,413538,7363,0,1825,175919,8432,67975,23218,53571,22723,180873,99566,64534,16773,3284,509430,81139,652952,37715,127975,675845,214690,286,50423,3596338,2395640,867,6986,0,531880,6895,221776,8098,138998,156113,865765,125873,159876,450595,129421,2203,7333,189832,10054,780719,1200699,541846,8469,650384
1970:Q3,3476086,12485,196866,434731,6813,0,1685,176378,8433,65550,23170,52763,26462,184923,100765,66899,17259,3346,593837,82711,648497,42581,129291,696323,217146,2193,46281,3719591,2431201,867,7074,0,547611,7361,229196,7999,141582,161473,877234,127622,157873,460315,131424,2278,7344,192348,10159,786286,1288390,633751,8765,645874
1970:Q4,3594644,11923,202733,453747,6713,0,-868,173931,9389,60700,22335,51703,29804,189812,103449,67872,18491,3523,650389,87083,657291,45146,130699,716279,215198,3339,47706,3843802,2477731,867,7149,0,565601,7133,237659,8078,145501,167230,892828,132438,157366,469364,133660,2345,7358,197329,9996,794258,1366072,702482,9017,654573
1971:Q1,3735613,12406,195967,482977,6719,0,-373,168143,9954,55218,20040,50885,32046,190783,103851,67808,19124,3468,713135,85682,677429,50974,132198,739207,218401,6588,51908,3969213,2510574,1584,7270,0,577533,8333,239296,7371,149746,172787,900700,128875,160569,477184,134072,2387,7375,197818,11698,804209,1458639,774797,9184,674658
1971:Q2,3801558,11754,206918,500315,6356,0,167,166080,9791,52749,17342,51381,34817,193224,104577,68926,19721,3556,708750,87863,692549,51230,133782,761039,220843,2943,54189,4043385,2565709,1584,7420,0,587584,6856,241212,7136,153986,178394,929189,134583,165560,490134,138912,2420,7393,199707,11110,819302,1477676,778662,9306,689708
1971:Q3,3864777,11304,209348,515034,5677,0,3089,171003,10510,53447,17989,51774,37283,193549,104992,68637,19920,3641,693927,90017,708085,50475,135412,782805,226587,6256,58568,4103460,2623655,1584,7547,0,603925,7434,249957,6695,157928,181911,950550,135792,167073,504220,143465,2354,7412,203661,12805,833818,1479804,765605,9060,705139
1971:Q4,4005238,11400,219139,534300,5683,0,354,170761,11275,52216,18555,51277,37438,197374,108251,68097,21026,3873,744009,95705,723931,53696,137050,805219,228335,7699,66710,4246684,2692649,1720,7627,0,622685,6247,261392,7028,161652,186366,976519,140233,169174,517869,149243,2369,7429,213304,14123,846873,1554035,824038,9114,720883
1972:Q1,4137391,11627,211696,558615,5730,0,2608,172081,12388,53008,16893,51988,37804,197173,108260,69495,19418,3755,786341,92802,745689,55785,138719,831637,235292,11443,76398,4360855,2737104,2491,7895,0,634308,7538,264601,7114,165807,189248,994638,139979,174249,531563,148847,2323,7459,212872,15798,859320,1623751,872231,8933,742587
1972:Q2,4206348,12448,214746,578903,5892,0,3340,169436,13219,48974,16676,52308,38259,200509,109456,71041,20012,3817,781995,94309,759736,54891,140425,858047,241024,5445,81386,4437011,2796161,2491,8066,0,635540,8126,257796,7099,169358,193161,1033122,147456,179257,550187,156222,2373,7498,216536,14020,876514,1640850,875195,9126,756529
1972:Q3,4320520,12445,220819,598045,5938,0,4579,171945,13513,49705,16806,53043,38878,201910,109445,72137,20328,3894,802070,96238,780021,54433,142160,884124,249363,8477,84060,4540664,2860771,2491,8200,0,646052,7761,261550,7561,172942,196238,1059741,147937,180909,569366,161529,2451,7540,226772,15950,891575,1679893,893709,9425,776759
1972:Q4,4588526,12445,234745,618293,6143,0,1857,175342,14235,52543,16267,53692,38605,207349,113068,72653,21628,4685,921839,115780,805479,57115,143924,911037,256023,10528,105943,4790628,2945885,2491,8313,0,661989,6968,272428,7927,175818,198848,1102114,157774,185797,589786,168757,2532,7581,241166,18010,901689,1844743,1032948,9737,802058
1973:Q1,4616134,12662,228835,649730,6809,0,6172,181391,13258,54843,17338,57090,38862,205963,112683,72963,20317,4067,853813,100509,833429,50967,145728,925340,267050,14877,128792,4828941,3018011,2767,8420,0,674243,5871,279503,8188,180262,200419,1137388,171166,189403,605291,171528,2731,7624,246082,20487,918268,1810930,970789,10509,829632
1973:Q2,4635541,12653,233868,667923,7122,0,6349,184059,13437,54178,19143,58624,38677,210024,115149,73522,21353,4173,786930,103102,867061,46044,147582,939629,279660,8856,130506,4873079,3094927,2767,8531,0,673694,6032,272356,7771,183929,203606,1185103,182856,193899,627950,180398,2975,7671,261678,18982,933526,1778152,903834,11444,862874
1973:Q3,4790226,12653,229437,683447,6815,0,11211,193855,13633,56430,22339,60811,40642,212366,115810,75206,21350,4243,833820,104878,908832,49855,149445,956898,293551,11307,127614,5025385,3155564,2767,8614,0,679241,6335,270401,8213,187988,206304,1222854,190258,196893,649008,186695,3078,7717,274699,21164,935430,1869822,953723,11842,904257
1973:Q4,4770758,13818,248177,694210,8063,0,11763,198890,14876,57856,23331,61236,41591,218023,119860,75570,22593,4679,694030,115623,942073,44470,151271,969401,300550,14110,141607,5010551,3251912,2767,8716,0,694224,8382,276350,8357,192693,208442,1255510,196794,199193,666543,192980,3101,7756,296865,23290,959683,1758639,809566,11924,937149
1974:Q1,4825282,13818,236750,720500,8858,263,15225,208704,16212,63126,22669,63242,43455,215218,116644,77318,21256,4636,664616,114556,961791,42275,153053,993426,315101,17022,139471,5063449,3309155,2767,8813,0,705982,9235,278582,8714,197202,212249,1277282,202603,202806,681413,190460,3481,7789,299717,26744,976580,1754294,784355,13389,956550
1974:Q2,4828458,13847,239823,740230,8265,570,10093,209162,15131,57414,25411,64905,46301,222200,120168,79534,22498,4707,592011,116340,982326,38351,154785,1015519,332592,11003,136633,5113543,3399655,2767,8924,0,709981,9967,271853,8685,201835,217641,1327464,219483,210450,700754,196777,3595,7816,313436,26144,999528,1713887,723428,13823,976636
1974:Q3,4793942,13934,241165,746835,8346,1386,12084,202913,16933,36716,31002,69522,48740,252862,147537,82567,22758,4870,440468,120347,1024526,29927,156539,1033711,341660,14271,148098,5077286,3503158,2723,9069,0,700625,12569,251769,8477,206004,221806,1382421,226678,237928,716574,201241,3928,7842,324950,30652,1040948,1574128,540503,15110,1018515
1974:Q4,4882686,14026,250453,761808,10443,2379,4229,212130,16520,38180,32666,69404,55360,260699,151466,85874,23359,4987,444884,123237,1055789,32629,158390,1060356,277914,16053,192281,5100519,3477751,2809,9252,0,718859,12513,261883,8227,207999,228237,1409745,235631,243762,728426,201926,4102,7871,242160,30061,1052891,1622769,557656,15781,1049332
1975:Q1,5185441,14043,241716,788026,7925,3620,2416,206235,6255,37814,31855,71394,58917,264789,154994,88224,21571,5135,548003,126873,1084826,38268,161437,1093315,295260,16547,287008,5559055,3780141,2862,9453,0,747812,14009,278231,7934,210167,237471,1409490,226736,249109,737733,195912,4125,9015,235338,28748,1333298,1778914,684995,15867,1078052
1975:Q2,5376204,14038,257156,808330,7473,3661,807,208313,6685,41524,29934,72823,57347,272762,158114,92286,22362,5287,626061,130649,1114751,43134,163786,1126810,302828,8828,281532,5749400,3833496,2836,9687,0,774094,11658,294758,7885,214248,245545,1433191,226360,257376,753522,195933,4283,9394,237759,24716,1337536,1915905,791700,16473,1107732
1975:Q3,5394203,13900,258934,825110,7492,3708,2883,225114,7267,52574,29671,73795,61807,275478,156939,95924,22615,5331,544805,131735,1133541,37706,165845,1152351,320114,13912,276244,5775758,3931341,2671,9934,0,804642,11780,319044,7876,216917,249025,1451485,223012,257552,769738,201183,4279,9433,250353,27300,1371244,1844416,701766,16457,1126193
1975:Q4,5545383,13934,266233,846097,8388,3645,-851,243241,8371,63313,29054,76624,65879,285037,162425,98732,23880,5484,584705,135561,1155273,39639,168615,1182138,307678,17609,282957,5931533,4011675,2685,10218,0,838850,9616,343752,7874,222956,254652,1481486,227080,261842,785568,206996,4551,10152,264561,28894,1370278,1919859,754897,17506,1147456
1976:Q1,5755845,13950,258478,877052,8969,3557,1878,249496,9324,68709,28440,79972,63051,290275,167448,100182,22645,5626,678278,139041,1175642,43531,170603,1206466,326171,24149,282684,6137274,4082506,2653,10403,0,872828,10926,365380,8406,227091,261025,1495809,218043,270466,802392,204908,4832,10053,259687,32477,1393764,2054769,868276,18588,1167905
1976:Q2,5912169,13914,274299,899173,9531,3341,2012,254455,9073,66180,29342,84348,65512,292051,168090,100264,23697,5700,696873,140857,1218921,43383,173063,1226453,342276,18333,297535,6290347,4172571,2629,10558,0,895694,11818,372629,8448,236798,266001,1543501,224025,283021,823307,213148,5016,10387,270829,30102,1403855,2117777,887750,19293,1210734
1976:Q3,6040267,13955,277425,919693,10040,3322,3053,260814,9486,65674,29756,86294,69604,299028,172563,102425,24040,5812,707211,143610,1247986,41921,175284,1247028,356253,20050,307783,6431351,4274562,2654,10685,0,921278,10889,388895,8733,241084,271677,1579233,222574,288211,847760,220688,5182,10440,280943,33486,1430661,2156789,897381,19929,1239479
1976:Q4,6263511,39339,286602,946060,8743,3099,-256,271053,10511,63771,34838,84428,77505,311829,182702,103146,25981,8244,731236,203740,1286596,42400,177810,1268980,342164,23583,312289,6600226,4360650,2665,10820,0,943428,11049,402836,8329,243876,277338,1627689,228113,300097,870518,228961,8992,10751,296656,35575,1424074,2239577,927412,34592,1277573
1977:Q1,6337333,43316,278054,983443,9594,2970,478,276689,10494,68834,34157,84555,78649,309731,181228,105121,23382,8303,673590,205216,1321764,38767,180110,1296706,365383,27103,316117,6674014,4469087,2659,10939,0,968718,12083,417402,8175,248344,282714,1662906,232242,309252,892257,229155,9153,10803,302047,37262,1464600,2204928,857111,35202,1312615
1977:Q2,6471588,41720,292863,1004929,10558,3091,1894,271043,9442,58821,35019,89290,78471,316887,184879,107817,24191,8437,691542,208534,1355413,41546,182542,1326184,379690,16422,318293,6828287,4564502,2674,11081,0,981358,12914,413050,8097,260914,286383,1728030,240713,318999,926270,242048,9321,10970,313239,31819,1476010,2263784,882073,35853,1345858
1977:Q3,6611942,44809,303040,1034178,10521,3086,2915,278678,8984,64750,36609,89246,79089,324844,189140,111293,24411,8520,661429,210540,1400071,41254,184977,1354319,398819,21123,328821,6970877,4698717,2669,11206,0,1010538,13175,429469,7599,267803,292492,1791499,243423,331930,963193,252953,9503,11069,321528,35421,1505284,2272160,845309,36548,1390303
1977:Q4,6764556,48410,308702,1063889,11469,3397,155,286737,9390,67145,37637,91107,81458,341029,200267,114404,26358,11302,631060,224410,1451523,41145,187791,1382302,391830,25304,354101,7133151,4832032,2787,11331,0,1040020,12808,445890,7556,273620,300146,1859597,250418,345074,999213,264892,10497,11422,339893,38005,1518480,2301119,819176,40372,1441571
1978:Q1,6920627,53125,294606,1097435,12654,4989,1034,298157,10332,71500,39764,96902,79659,347800,205782,117460,24558,11458,593037,228662,1513991,40138,190447,1415228,414734,29805,373327,7286454,4967677,2837,11441,0,1070267,13719,461467,7233,283342,304506,1908430,259856,354790,1026813,266971,10757,11475,345493,41101,1565876,2318777,773891,41372,1503514
1978:Q2,7134857,52744,317042,1117287,12581,6318,2314,306533,9330,68823,44738,104873,78769,358690,211129,122507,25054,11594,631241,231986,1571864,42331,193515,1451322,440826,19914,366755,7531483,5094174,2843,11565,0,1093640,14419,462538,7136,298639,310908,1990054,272213,366418,1066897,284526,11193,11781,360238,36205,1576655,2437309,833210,43053,1561046
1978:Q3,7394721,62603,329864,1143858,11517,7564,2530,317359,9061,76537,45748,110807,75206,375011,220716,128777,25518,11349,672220,233865,1626135,44298,196379,1488737,468936,25754,376742,7787501,5231825,2939,11683,0,1123372,14992,474270,6584,311442,316084,2066391,275382,383026,1109961,298022,11696,11848,370115,40066,1593715,2555676,895811,44985,1614880
1978:Q4,7592826,64029,339043,1168862,10909,9538,6854,324545,9512,69681,51925,116017,77410,400962,240389,132617,27956,13023,640186,259898,1684523,41698,199349,1521778,464783,31825,411021,7986703,5406732,2989,11831,0,1145842,15499,478139,6221,324876,321107,2147702,285074,400649,1150674,311305,13154,12112,398134,44006,1630962,2579971,856335,50592,1673044
1979:Q1,7847483,64709,320609,1193146,14090,16721,10413,344715,8896,80859,57784,120662,76514,402498,236764,139690,26044,13463,678959,265044,1760139,43156,201981,1563938,497627,38631,417645,8260363,5549564,4077,12158,0,1170572,17665,487732,5593,334127,325455,2200308,293263,407109,1186117,313819,13408,12094,405681,49457,1681809,2710799,910897,51565,1748337
1979:Q2,8079466,76290,342667,1200907,13569,24262,13985,364974,8604,90932,61234,127869,76335,414542,240287,147622,26633,13984,692231,271605,1826171,44052,204874,1602267,521804,26566,424716,8483562,5694824,4090,12525,0,1188742,20564,487581,5146,344686,330765,2284922,307292,418893,1231418,327319,13975,12357,424289,45212,1708712,2788738,921144,53754,1813840
1979:Q3,8404590,107227,362012,1227167,12140,32068,14875,365970,7732,91226,65154,131534,70324,429315,246561,155483,27271,14725,736242,277424,1894243,45776,207470,1641416,555485,30731,450304,8794330,5875699,4175,12825,0,1217950,23828,498750,5070,355757,334545,2373023,319630,432933,1278932,341528,14550,12359,445388,50597,1744832,2918631,981163,55964,1881504
1979:Q4,8717641,138200,368016,1242388,11723,42459,16801,407783,9586,112444,73562,134633,77558,447451,257314,160956,29181,16695,767919,306867,1954800,39448,210280,1684319,547585,35136,479772,9075868,6055269,4173,13091,0,1248131,24518,516104,4938,364182,338389,2443889,329392,442851,1317030,354616,16715,12630,470228,53781,1792631,3020598,1014783,64289,1941526
1980:Q1,8840232,138737,347126,1267535,11576,58282,19055,428441,10176,129421,80255,138395,70194,451166,249090,176753,25323,17655,707663,311833,2005110,40633,212738,1724349,581911,43010,473413,9245406,6229568,5058,13352,0,1291756,31052,540619,4874,370864,344347,2489027,336739,445012,1357614,349662,17255,12598,475541,59894,1865086,3015839,956911,66364,1992564
1980:Q2,9148965,178676,361075,1281221,11172,74360,23325,426111,9757,126701,76857,141589,71207,461706,250320,185401,25985,18631,810132,313827,2063179,45434,215426,1779887,581988,26526,476289,9507223,6310353,5353,13523,0,1331235,36334,553831,4685,380809,355576,2503055,326815,446907,1383696,345637,18296,12842,472524,54360,1899165,3196870,1076609,70375,2049886
1980:Q3,9551809,185482,387877,1312818,11926,75392,26773,438821,9264,140179,74680,143138,71560,480667,257670,195959,27038,19736,912398,316504,2127814,50550,217843,1833785,604283,31439,517701,9881877,6480458,5305,13653,0,1372863,32189,582379,4573,390860,362862,2567879,337544,458572,1421427,350336,19049,12860,483454,57579,1947816,3401419,1214006,73261,2114152
1980:Q4,9907856,158426,384517,1372097,14411,71359,25951,454685,9132,154436,75550,146082,69485,499286,266132,203603,29551,22308,1015634,353802,2199698,53567,220528,1884123,606153,36920,534392,10265609,6642275,5155,13832,0,1407659,28026,609679,4445,399440,366069,2646875,360665,470338,1457828,358044,23746,13195,514397,59192,1958224,3623335,1346523,91332,2185480
1981:Q1,10187005,143088,383297,1383628,13438,107959,26542,456175,8799,158739,71121,154400,63116,503314,262404,213077,27833,23286,1017637,355334,2251818,53900,222820,1933066,651277,42589,617838,10566068,6884020,6019,14004,0,1462905,31837,646299,4391,408226,372152,2672093,358961,474545,1484685,353902,24420,13163,537127,61994,2092295,3682047,1351007,93924,2237116
1981:Q2,10315122,118208,386585,1401419,14239,121479,24602,471730,8163,163097,75948,160352,64170,520477,264603,227049,28825,24193,996267,359895,2293946,54657,225469,1981972,670122,24832,625030,10707850,7015933,5637,14158,0,1486280,37819,646256,4232,418219,379754,2748820,375866,487778,1523566,361610,25332,13497,548366,56191,2117652,3691917,1315862,97441,2278614
1981:Q3,10375832,120926,397714,1426113,16431,153686,23854,503207,8021,183938,79060,169479,62709,530769,263954,237842,28973,26000,839800,359587,2322032,50240,227675,2026634,686828,20293,644042,10749841,7206140,5608,14313,0,1532487,44081,668124,4170,431847,384265,2822121,392157,502895,1555141,371928,26288,13473,547630,58274,2185947,3543700,1136139,101113,2306448
1981:Q4,10683877,109739,411781,1482959,18811,173026,20332,522847,8199,183037,82244,176393,72974,548715,271395,246973,30347,28894,909925,369351,2359241,54264,230103,2084376,660335,19343,679835,11030654,7342921,5703,14482,0,1587071,42722,705719,4104,443653,390873,2880658,406686,516586,1579504,377882,30927,13833,555174,53608,2201465,3687734,1225637,118949,2343148
1982:Q1,10736665,92994,401638,1535918,16717,184432,18277,540842,7908,196028,77715,187838,71353,553216,269892,255274,28050,30120,777953,197927,2393066,51863,232020,2139456,669436,18299,882491,11038061,7496582,5454,14637,0,1647561,49836,738577,3506,456863,398779,2903978,416262,513384,1600795,373537,32677,13868,547282,52994,2278130,3541479,1090438,74488,2376553
1982:Q2,10863727,89681,403035,1572241,18993,195311,20402,558893,8236,204859,77104,202854,65840,566401,275324,262175,28902,29497,748890,202781,2404485,52296,234054,2198867,679251,4863,883788,11158525,7621739,5351,14777,0,1683019,51741,749688,3485,474230,403875,2964613,437400,520659,1625667,380887,33904,14232,556252,47021,2302571,3536786,1073656,75495,2387635
1982:Q3,11193906,112883,434314,1605522,15817,221075,22321,596483,7731,222021,80996,215296,70439,568583,278482,260930,29171,27633,801754,206557,2399731,58355,235699,2271462,693096,18766,903855,11403043,7770434,5254,14912,0,1765960,49726,809587,3443,491353,411851,3009146,450957,535968,1635406,386815,34571,14242,563293,49204,2313852,3632609,1172793,77530,2382286
1982:Q4,11560384,125885,452087,1674087,21008,205743,23627,605448,7948,223500,76902,220977,76121,590632,288748,271097,30787,31897,973963,210743,2403809,68180,237912,2331384,669448,21373,913157,11772252,7910693,5405,15043,0,1839887,37614,869350,3351,508049,421523,3063517,460589,544920,1661290,396718,28211,14679,582602,50820,2310529,3861559,1386479,89590,2385490
1983:Q1,11879013,117235,447756,1749465,24635,181855,26096,634718,8071,240437,78731,234735,72744,585657,284681,272087,28889,28776,1065385,215580,2426662,79569,239825,2408221,684415,27687,935477,12047054,8014622,5285,15213,0,1918677,41187,925470,3387,520910,427723,3086890,458725,544226,1692029,391910,27879,14707,566032,57185,2322755,4032432,1533804,90902,2407726
1983:Q2,12257463,117375,477810,1796037,25002,165479,31248,673233,9343,260293,80394,254225,68978,602780,294457,277578,30745,27745,1187583,220261,2422258,95764,242193,2494575,709075,23579,945467,12408138,8176275,5234,15392,0,1990833,38849,966482,3344,543310,438848,3171876,459880,568514,1739644,403838,29738,15112,574492,53628,2319971,4231863,1736716,92259,2402888
1983:Q3,12454573,113812,491059,1850514,26824,163172,38098,710031,9943,276916,78361,267227,77584,612927,300175,280886,31866,27674,1154741,225710,2432061,99061,244236,2552166,738671,23645,950171,12613905,8398779,5178,15568,0,2057354,40547,1010312,3320,559704,443471,3274125,465953,591209,1796351,420612,31721,15164,575852,57706,2366111,4215126,1709522,93306,2412298
1983:Q4,12603700,105509,484031,1898225,33959,161097,39058,718563,12188,284574,78883,272975,69943,627562,305484,286713,35365,26988,1098874,262731,2463697,102541,246680,2614619,739510,26952,953106,12794706,8614019,5130,15732,0,2107456,36775,1044748,3311,575106,447516,3393194,490566,607105,1850645,444878,30913,15637,604917,55727,2385314,4180687,1630514,106890,2443283
1984:Q1,12792287,110192,486653,1959413,35934,175413,44117,734514,12632,309679,79540,287394,45269,632153,305182,293895,33076,25313,1034694,268766,2470610,105074,247938,2676848,779409,37248,967999,13013086,8925717,5214,15889,0,2184308,42518,1092278,3274,590092,456146,3476911,503805,616252,1904844,452010,31321,15723,618681,60422,2517248,4087369,1527807,109741,2449821
1984:Q2,13006471,106296,492802,2027536,36985,180036,49082,791561,11246,339061,83893,306320,51041,647441,309114,303761,34566,23535,969058,275475,2460419,105845,249458,2728682,815587,27394,1019279,13247553,9237906,5052,16113,0,2253907,53463,1121406,3262,610773,465003,3615137,527690,635216,1972432,479799,35442,16177,644298,56920,2594860,4009647,1456011,113963,2439673
1984:Q3,13361691,98773,505806,2079317,32797,182922,55213,824609,11189,354726,87832,320104,50758,665572,317306,313286,34980,22369,1019649,280585,2457057,119633,250814,2814425,843513,30546,1078092,13572073,9477206,4895,16237,0,2347172,60349,1172606,3255,631749,479213,3729246,533119,659561,2034727,501839,36253,16230,649644,57777,2619751,4094867,1543237,116234,2435396
1984:Q4,13573712,86843,525202,2151288,33612,210380,60369,824428,9742,349273,91771,322675,50967,686062,336359,311325,38378,24401,1022033,263661,2463340,126211,252717,2896256,822194,32527,1092188,13790682,9679766,4803,16418,0,2442365,58490,1232741,3244,650603,497287,3871100,561263,691262,2091991,526584,37203,16721,662556,60318,2568282,4110916,1553653,116169,2441094
1985:Q1,13995406,94638,502659,2205862,32719,217409,70150,901561,10202,369155,103535,345557,73112,709120,336195,337419,35506,23485,1083053,267804,2467415,144491,254827,2997273,856367,36997,1129577,14208620,9972675,4857,16588,0,2535167,62972,1277088,3230,675913,515964,3979414,571101,704042,2168248,536023,38624,16757,665566,61330,2654372,4235946,1671498,119952,2444496
1985:Q2,14302692,91065,536055,2225911,31598,221799,75145,947812,9798,365952,121222,366555,84285,742549,360442,345016,37091,20429,1145955,274917,2453285,172878,257670,3067437,871602,25730,1140856,14535288,10238867,4891,16783,0,2626542,68886,1310253,3221,705901,538281,4109159,582230,732454,2234883,559592,40318,17226,677296,57964,2688688,4296421,1744053,122482,2429886
1985:Q3,14484689,93655,553230,2259904,32702,217955,82744,966840,9326,370948,117615,379367,89584,760696,375637,346959,38100,21043,1066046,277439,2465813,189554,260483,3118680,884131,37565,1196211,14795274,10585683,5191,16924,0,2715715,69036,1348328,3215,737592,557544,4241830,588219,764698,2303008,585905,41305,17282,681307,61746,2804383,4209591,1642361,125211,2442019
1985:Q4,15210971,93127,587499,2291697,37160,220579,83930,1057302,10478,396049,118415,432210,100150,812257,422009,347743,42505,20675,1247222,370692,2527881,230241,264250,3184551,879375,39668,1262866,15451645,10876832,5382,17052,0,2941979,72207,1425915,3217,859484,581156,4405828,612080,814632,2368542,610574,41644,17829,726764,60605,2659749,4574814,1917631,153289,2503894
1986:Q1,15617762,95536,569988,2323479,38977,242444,84711,1062464,11646,380326,112762,432497,125233,818220,428540,349562,40118,24088,1408194,374288,2564179,287846,268176,3277172,867658,46540,1263803,15768574,10928193,5577,17207,0,3007490,69514,1461722,3163,855878,617213,4463564,617113,823157,2416495,606799,43407,17859,684423,62165,2626500,4840381,2137668,163080,2539633
1986:Q2,15964285,99897,618159,2343734,40431,254381,86152,1099249,10268,384472,108694,451392,144423,828626,434866,352160,41600,23470,1470836,380217,2585163,326440,272767,3353180,885504,37128,1258951,16138159,11165052,5770,17330,0,3100115,68654,1488154,3165,883232,656910,4605415,619784,865597,2492143,627891,45054,18355,683481,61722,2627809,4973107,2245424,168356,2559327
1986:Q3,16168098,121823,632362,2388546,38711,271678,93608,1096066,9378,396447,115975,437092,137174,841180,447315,351350,42515,23498,1336165,384997,2619707,352848,277335,3402400,907164,46955,1333055,16341046,11540214,5945,17438,0,3214166,72779,1553259,3559,898843,685726,4725145,618401,878758,2578098,649888,46226,18428,697368,63911,2751587,4800831,2032679,174766,2593386
1986:Q4,16829265,110823,707590,2430519,39857,267996,92711,1145226,10173,421768,116131,452102,145052,868499,470626,350856,47017,24955,1515499,492660,2646988,391419,282494,3496575,891154,49875,1374425,16881217,11817930,5993,17567,0,3307581,62865,1608685,3608,920383,712040,4919499,675451,922112,2655581,666355,51191,18871,736364,66053,2694811,5063287,2241896,200911,2620480
1987:Q1,17396314,121173,646085,2441061,37545,280892,95875,1162269,12384,409429,102673,474264,163519,874002,471161,358418,44423,26134,1791183,497641,2677146,469066,289559,3606001,928465,52931,1399287,17434358,11866233,6299,17735,0,3379368,63593,1624673,4594,949044,737464,4965466,656362,927152,2737635,644317,57103,18998,747191,67406,2606667,5568125,2709357,208891,2649877
1987:Q2,17681439,129862,699162,2472388,34497,278479,97674,1212829,13815,413799,108953,499307,176955,881919,476212,359136,46571,26169,1777247,505161,2696112,473532,295941,3687526,946685,46503,1419753,17749296,12078478,6262,17889,0,3441048,67916,1646764,4127,965157,757084,5112795,665927,956710,2829845,660313,59000,19487,746122,70408,2605466,5670818,2784821,217201,2668796
1987:Q3,18062461,130985,697108,2509310,35287,283903,103257,1270314,16972,418726,116763,525719,192134,882486,481227,353184,48075,26352,1860163,512466,2717034,473552,303247,3794033,970764,49756,1442444,18131181,12269766,6270,18006,0,3504874,68108,1663907,3901,989645,779313,5240952,679379,982463,2899473,679637,70075,20518,761646,71305,2576120,5861415,2945570,226600,2689245
1987:Q4,17990024,137931,702795,2573061,39086,294199,100815,1279476,15185,430087,128116,552649,153439,911814,503143,354643,54028,27104,1487244,538063,2754152,416930,313725,3801361,1020007,50749,1541512,18057415,12805462,6951,18177,0,3598702,73768,1711632,5144,1011975,796183,5380722,692952,1031166,2957964,698640,66999,20076,819994,71717,2822125,5251952,2287678,236818,2727456
1988:Q1,18442747,132468,692756,2640288,38576,319586,97589,1278054,12662,429147,119202,560833,156210,926144,512413,362818,50913,28833,1590534,538954,2798706,434207,319905,3899611,1060806,58429,1587302,18496989,13052494,6797,18339,0,3665335,73507,1743989,5021,1020754,822064,5477935,699720,1056994,3027489,693732,63962,20097,832129,73192,2894708,5444495,2420352,252797,2771346
1988:Q2,18806090,126534,728509,2667941,45401,300167,100673,1301396,15848,436063,124139,573625,151721,944040,520210,371000,52830,28138,1669081,543200,2834072,440321,327303,3985937,1101568,44884,1616926,18879549,13286532,6421,18501,0,3726787,77847,1755942,6952,1032495,853551,5623626,719392,1077764,3116342,710128,67012,20617,845475,71358,2906735,5593017,2516095,270675,2806247
1988:Q3,19094481,115260,730435,2718788,46364,297091,105479,1350874,14334,449890,140667,597903,148080,948070,515391,378892,53787,27990,1678217,550938,2864565,435222,333606,4051392,1117924,57204,1665063,19143774,13564115,6322,18637,0,3814432,80303,1786803,12176,1056583,878567,5741447,725711,1099543,3190355,725838,71103,20654,846599,71009,2973912,5579659,2460529,282989,2836141
1988:Q4,19781929,117071,747527,2762458,42347,306023,103557,1453021,14335,469754,174403,621965,172564,955739,507504,387478,60757,30781,1784568,615657,2899792,431110,341893,4131497,1130339,59662,1868889,19732743,13988344,6593,18799,0,3913363,85676,1824433,22578,1079962,900714,5890352,745295,1122773,3277078,745206,77855,21249,902530,71132,3086471,5744399,2559333,314053,2871013
