1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q2,75566,26312,20896,9736,98,11736,2490,4272,26,74250,45193,14836,4969,8907,345,1316,8791,378,-1181,10910,15101,15307,292,-498,-2379,317,1577,-1584,327,0,1337,353,0,524,-228,57,0,1091,334,0,757,0,55,0,684,-6514,-22,-1881,0,-90,0,-8925,-11956,-509,3540,1138,-25,1163,20,474,5502,-4191,-3035,-2537
1969:Q3,74192,26371,21182,8771,101,11151,2603,4085,-71,75863,44320,14807,4435,9287,3014,-1671,8938,-37,-1118,8423,6260,15868,263,-9871,4263,11,-40,-3170,289,0,3779,679,0,795,-119,3,0,1226,328,0,898,0,50,0,633,819,-13,14134,0,25,0,7288,6241,-1664,2711,311,-12,323,22,350,6138,2162,3399,13270
1969:Q4,76055,26769,21838,9107,100,11064,2721,4294,162,77198,46565,15253,4910,9862,608,-1143,9134,-259,-1127,9377,2923,14135,248,-11460,2941,695,1395,-441,531,0,-2802,888,0,1256,-349,-19,0,1394,471,0,923,0,57,0,332,924,-32,14401,0,87,0,6010,4889,-343,1464,704,-25,729,13,969,6618,6454,1236,12696
1970:Q1,73949,26009,21894,7239,96,11225,2856,4736,-106,79654,47465,16310,5126,10445,308,-5706,9338,-56,-1166,4855,5082,13669,215,-8803,5372,964,825,1683,232,0,-1005,491,0,956,-437,-28,0,1329,513,0,816,0,66,0,-185,973,-1,14175,867,52,0,4429,2741,-452,2140,-375,-17,-358,69,357,8776,-227,4485,13288
1970:Q2,77928,26336,22758,8127,95,12292,2959,5681,-320,84893,48712,18643,6231,10912,395,-6966,9546,533,-1163,3211,6476,15059,178,-8760,-3128,23,2362,2236,-181,0,-2421,64,0,403,-425,86,0,812,239,0,573,0,50,0,-1,-6074,2,5632,0,86,0,-2837,-5691,-486,3340,1621,-24,1645,12,-1,6751,-3266,-3491,5269
1970:Q3,76051,25597,23073,7790,92,11602,3010,5289,-402,86036,46900,18209,5879,11396,3652,-9985,9742,-185,-1141,1083,268,15972,253,-15958,2775,-361,-1707,2906,-464,0,1056,-975,0,-498,-479,2,0,952,214,0,738,0,48,0,5,1344,-29,18733,0,88,0,9905,7420,-99,2584,357,-26,383,11,441,7931,815,3077,19035
1970:Q4,76262,25128,23689,7706,91,11474,3032,5349,-207,86979,49706,19296,5924,11631,422,-10717,9953,-239,-1164,639,-5109,15096,183,-20388,1301,-562,1084,3432,54,0,-2724,-1928,0,-928,-1088,88,0,716,253,0,463,0,69,0,26,1146,-12,21689,0,75,0,12461,8463,79,3919,943,-8,951,14,352,7844,5748,2091,22479
1971:Q1,76801,24183,24255,7909,89,12049,3062,5703,-448,90591,51318,20572,6418,11826,457,-13790,10136,-184,-1195,-2275,-1614,13403,-211,-14806,1863,483,-2933,2971,-315,0,-593,-2094,0,-930,-1143,-21,0,1435,217,0,1218,0,35,0,-365,3249,-11,16669,717,121,0,5175,1637,-707,4245,1228,-14,1242,17,580,8831,-661,2721,17527
1971:Q2,82235,24949,24943,9149,91,13548,3093,6791,-328,95294,53052,22151,7546,11962,583,-13059,10279,488,-1226,-2042,680,14823,449,-14592,1355,-652,4559,79,-353,0,1852,-891,0,-120,-739,-32,0,1030,116,0,914,0,49,0,-722,-3645,49,15947,0,150,0,5901,1916,-235,4220,1779,-21,1800,18,203,7896,-2722,1575,16167
1971:Q3,81209,25734,25368,8494,91,12916,3121,6075,-589,94252,50871,21438,6729,12265,2949,-13043,10385,-316,-1328,-1015,-2284,15720,480,-18484,4152,-450,481,718,-853,0,1863,-239,0,-42,-151,-46,0,842,258,0,584,0,99,0,-13,1634,70,22636,0,127,0,12213,8745,-441,3909,1065,-18,1083,19,520,8692,1270,3991,22475
1971:Q4,84207,26840,25928,8831,96,12991,3182,6490,-151,96496,53718,22062,7461,12569,686,-12289,10492,-214,-1894,311,-5682,14564,472,-20717,5915,2,2377,3448,-10,0,-2760,465,0,739,-121,-153,0,578,108,0,470,0,64,0,325,1443,-17,26632,0,80,0,15459,11435,333,3691,1328,-19,1347,17,-32,9780,5993,5238,25955
1972:Q1,86349,28432,25936,8598,99,13622,3135,6799,-271,101035,55909,23728,7911,12843,644,-14686,10632,-229,-1885,-1939,-709,13820,479,-15008,4068,166,-3942,1416,-106,0,762,774,0,692,210,-128,0,1158,421,0,737,0,44,0,27,3744,25,19076,710,268,0,7410,3209,86,4115,933,-25,958,30,343,9382,-1231,3237,18245
1972:Q2,95410,30672,26880,9872,102,15307,3163,9630,-215,105625,57700,23447,10450,13166,862,-10215,10748,644,-1447,1337,6762,15546,476,-9261,-929,-7,2007,1282,-198,0,189,986,0,305,961,-280,0,526,358,0,168,0,69,0,213,-5998,2,8332,0,171,0,-3436,-6805,-15,3384,2611,-18,2629,39,188,8759,-5425,-651,8610
