1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2017:Q1,206,248,122291,-4391,826,-2640,-98,49083,-1177,32486,3796,12,13966,-43298,-40258,-3040,-47797,14531,156075,-3241,4792,119582,34942,122334,211472,68312,54022,89479,-341
2017:Q2,208,253,121200,-3349,886,-1227,9,41414,41,32050,4780,-14,4557,-69580,-68561,-1019,-10011,11468,151590,27,4791,114192,32580,121244,195455,66936,54308,75003,-792
2017:Q3,212,257,115568,1876,843,2233,236,48537,2660,16193,8996,316,20372,122826,125838,-3012,-20161,3857,-44679,3875,4791,-79885,26540,115613,156585,65992,49621,52405,-11433
2017:Q4,214,263,123919,285,709,-789,11,59390,72,36473,16460,342,6043,54997,51148,3849,-30551,12471,27396,7828,4792,-9255,24031,123969,347881,64864,59105,226066,-2154
2018:Q1,193,64,74583,-889,-1343,1251,-10,64175,-12,22393,9372,413,32009,12488,12661,-173,-16430,7372,7969,-3117,-8638,13614,6110,74454,94010,66970,7484,8701,10855
2018:Q2,196,66,84971,-1612,-1411,-327,-118,2719,-1280,14057,7677,336,-18071,13297,12025,1272,-45654,6843,111234,1344,-8639,111262,7267,84841,146982,66905,17936,57912,4229
2018:Q3,199,67,84115,-1666,-1288,-1030,-180,21166,-1982,4700,1654,-691,17485,44252,41847,2405,-66247,-25923,115031,7939,-8639,123259,-7528,83982,203730,66753,17229,129002,-9254
2018:Q4,202,68,45150,-2695,-1367,-2685,-344,49508,-3878,36454,6637,637,9658,91727,92652,-925,-55564,2016,-35447,-10987,-8639,-2388,-13433,45015,179666,66751,-21736,95354,39297
2019:Q1,159,79,113629,3114,-3757,7907,3538,3946,1850,15288,4216,-999,-16409,-38129,-38299,170,-21123,-14759,172892,5141,-1144,141824,27071,113551,157190,65898,47653,62164,-18525
2019:Q2,162,80,101870,6920,-2055,198,2969,-33943,-3203,31902,4272,0,-66914,-71609,-70744,-865,-139762,-35818,374970,-1438,-1143,178153,199398,101788,186281,65783,36005,76718,7775
2019:Q3,165,83,98195,7141,-3804,5739,11627,-42495,-5840,-37183,33020,-3,-32489,139786,139802,-16,23749,84989,-128537,-4861,-1145,-33558,-88973,98113,238464,65067,33046,119352,20999
2019:Q4,167,83,94913,-5642,-1484,9823,-1514,-17553,131,9993,-5888,2,-21791,78726,80005,-1279,-81956,-1887,116400,-883,-1144,3598,114829,94829,166317,64243,30586,86237,-14749
2020:Q1,144,96,86854,-1420,343,15533,477,22976,5405,-31465,5452,-8,43592,7138,6401,737,-32511,-4757,79075,1764,-685,90309,-12313,86806,379483,64697,22109,240167,52510
2020:Q2,145,91,112269,-2539,-919,4486,-1787,16278,-4709,-37872,16430,2,42427,851,1548,-697,-74186,-3591,173676,4980,-685,90034,79347,112215,173696,64101,48114,96523,-35042
2020:Q3,147,93,91448,342,249,7046,-612,56318,1366,31265,16787,-7,6907,45972,45396,576,35225,-3942,-49150,6909,-685,42999,-98373,91394,205528,64229,27165,108700,5434
2020:Q4,148,96,89982,6040,563,-2241,5704,69837,-343,43704,1623,2,24851,91836,92184,-348,-89537,28900,-21121,5867,-686,-6833,-19469,89930,67929,64386,25544,-37122,15121
2021:Q1,291,1118,66857,-2436,89,3270,10520,92187,6873,28847,10601,2,45864,-6032,-6681,649,-125912,-54339,149510,656,-1626,119402,31078,67683,42606,62561,5122,4282,-29359
2021:Q2,297,1152,63006,2009,202,-1030,5419,104558,2741,61840,3457,1,36519,15712,15751,-39,-108140,-48300,92576,2930,-1628,99782,-8508,63860,125912,60225,3635,104296,-42244
2021:Q3,305,1169,57946,7471,-272,9716,-8849,42051,1756,15183,13832,-11,11291,-9664,-9634,-30,-87173,-22921,127587,830,-1627,118629,9755,58810,176069,60351,-1541,93909,23350
2021:Q4,313,1199,60942,-2632,601,-1843,12903,98337,1493,43002,11561,1,42280,161941,161690,251,-93397,-120319,5351,3247,-1627,-66755,70486,61828,424842,58253,3575,369958,-6944
2022:Q1,558,2143,92106,-1356,-2915,-4810,-8419,22029,1296,-8595,1915,1,27412,29876,31607,-1731,-20548,-18396,96645,6168,593,112470,-22586,93691,338184,61603,32088,221050,23443
2022:Q2,8124,2253,81402,-1081,975,-6913,-405,-8431,-1226,-936,-9999,-2,3732,26976,28267,-1291,-46573,-16586,133440,4534,593,102273,26040,75530,203423,61647,13883,78934,48959
2022:Q3,582,2362,62178,-2621,-2443,-2245,12063,-14811,-11092,-14978,-13305,-3,24567,46241,47259,-1018,21226,-25031,29799,4332,593,71918,-47044,63958,254451,62239,1719,139104,51389
2022:Q4,587,2438,52616,-42,5596,-1846,12904,-32914,-5115,-16422,-10038,0,-1339,135463,138457,-2994,57667,-61838,-62374,3883,592,-38272,-28577,54467,258735,63118,-8651,198463,5805
2023:Q1,36769,2347,126145,-1637,-4081,-2141,5682,5362,-991,23639,-15018,0,-2268,-43761,-43086,-675,-81071,62842,184950,3466,-379,198064,-16201,91723,270908,60141,31582,151546,27639
2023:Q2,4774,2407,77314,3873,-3090,-6349,-37458,1648,-525,7722,16119,1,-21669,36067,38117,-2050,42005,-48061,88679,3217,337,68052,17073,74947,244646,58726,16221,138780,30919
2023:Q3,6691,2410,88232,543,2427,1624,35469,7425,728,31335,-15271,-5,-9362,40621,41769,-1148,-1311,-12013,13446,3156,193,60501,-50404,83951,8370,57156,26795,-84273,8692
2023:Q4,789,2463,87877,-5539,-813,-2044,3937,4960,-2352,12226,5292,0,-10206,216033,217329,-1296,-32587,10508,-106578,2540,-115,-121017,12014,89552,317511,56455,33097,249110,-21151
2024:Q1,799,2498,67241,10410,-652,7956,3969,51059,1711,27022,6660,1,15665,-10257,-8787,-1470,-17406,-51750,73912,6048,425,96136,-28697,68940,134398,56476,12464,40229,25229
2024:Q2,814,2524,67954,5313,-56,-2043,10134,79899,-892,38392,5111,0,37288,16295,17106,-811,-67885,-27493,53790,6395,483,73637,-26725,69665,301738,56652,13013,198187,33886
2024:Q3,830,2540,66707,5568,-2491,-3508,5358,49919,-4144,32278,3153,3,18629,49816,50925,-1109,-67744,-43904,73692,5924,148,70526,-2906,68416,188066,56537,11879,114924,4726
2024:Q4,844,2553,71218,1405,-482,-413,15043,34922,407,18203,4312,0,12000,182067,182431,-364,-33630,-19780,-107914,5905,15,-71816,-42018,72927,290262,56683,16244,172969,44366
2025:Q1,851,2587,64978,5682,-425,1013,15872,43620,-898,4956,7926,0,31636,-15546,-14509,-1037,-75396,-35179,125337,4861,200,146479,-26203,66714,ND,56552,10162,ND,ND
