date,FA893111305.Q,FA313111303.Q,FA313011303.Q,FA893011105.Q,FA313011105.Q,FA313011203.Q,FA313011303.Q,FA263011105.Q,FA263011205.Q,FA313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q2,416,0,416,416,416,0,416,0,-0,0
1986:Q3,-652,0,-652,-652,-652,0,-652,0,-0,0
1986:Q4,124,0,124,124,124,0,124,0,-0,0
1987:Q1,-304,0,-304,-304,-304,0,-304,0,-0,0
1987:Q2,684,0,684,684,684,0,684,0,-0,0
1987:Q3,840,0,840,840,840,0,840,0,-0,0
1987:Q4,820,0,820,820,820,0,820,0,-0,0
1988:Q1,-620,0,-620,-620,-620,0,-620,0,-0,0
1988:Q2,-720,0,-720,-720,-720,0,-720,0,-0,0
1988:Q3,140,0,140,140,136,-4,140,4,4,0
1988:Q4,692,0,692,692,692,0,692,0,-0,0
1989:Q1,752,0,752,752,752,0,752,0,-0,0
1989:Q2,-272,0,-272,-272,-264,8,-272,-8,-8,0
1989:Q3,844,0,844,844,852,8,844,-8,-8,0
1989:Q4,816,0,816,816,816,0,816,0,-0,0
1990:Q1,988,0,988,988,992,4,988,-4,-4,0
1990:Q2,864,0,864,864,884,20,864,-20,-20,0
1990:Q3,-1452,0,-1452,-1452,-1460,-8,-1452,8,8,0
1990:Q4,372,0,372,372,352,-20,372,20,20,0
1991:Q1,-124,0,-124,-124,-124,0,-124,0,-0,0
1991:Q2,760,0,760,760,776,16,760,-16,-16,0
1991:Q3,-24,0,-24,-24,-24,0,-24,0,-0,0
1991:Q4,92,0,92,92,72,-20,92,20,20,0
1992:Q1,688,0,688,688,688,0,688,0,-0,0
1992:Q2,672,0,672,672,680,8,672,-8,-8,0
1992:Q3,692,0,692,692,692,0,692,0,-0,0
1992:Q4,-11316,0,-11316,-11316,-11328,-12,-11316,12,12,0
1993:Q1,560,0,560,560,552,-8,560,8,8,0
1993:Q2,664,0,664,664,676,12,664,-12,-12,0
1993:Q3,472,0,472,472,472,0,472,0,-0,0
1993:Q4,452,0,452,452,436,-16,452,16,16,0
1994:Q1,404,0,404,404,400,-4,404,4,4,0
1994:Q2,432,0,432,432,432,0,432,0,-0,0
1994:Q3,444,0,444,444,452,8,444,-8,-8,0
1994:Q4,484,0,484,484,472,-12,484,12,12,0
1995:Q1,3468,0,3468,3468,3476,8,3468,-8,-8,0
