1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,25344,-204,14580,2000,6192,2776,25344,24040,0,3436,14412,6192,1036,488,108,1992,176,0,-1728,0,0,0,0,268,25344,-7768,-3956,-4648,0,96,740,30328,688,22904,372,4,20,1076,2680,1088,0,1672,0,496,-112,0,-292,0,0,0,568,0,-836,2784
1961:Q4,19560,744,4280,2124,5988,6424,19560,17468,0,6304,5176,5988,1644,844,156,1044,184,0,-584,0,0,0,0,448,19560,10244,5760,3636,0,-8,856,9008,4652,-216,-744,-16,24,1260,2172,1660,0,1332,0,1156,-88,0,-864,0,0,0,2072,0,-3392,308
1962:Q1,24108,3096,7252,2328,6644,4788,24108,17776,0,3148,7984,6644,5528,-600,-116,1508,88,0,4648,0,0,0,0,804,24108,-4860,-6512,1892,0,12,-252,28116,3204,9240,856,8,20,1372,3672,1096,0,2576,0,-116,140,0,2132,0,0,0,-764,0,4680,852
1962:Q2,19624,420,4796,2676,4932,6800,19624,17412,0,6452,6028,4932,952,-504,-108,1348,96,0,120,0,0,0,0,1260,19624,3928,7832,-4960,0,-120,1176,13928,888,4960,1132,8,16,1636,2900,1808,0,1672,0,-248,-168,0,-1432,0,0,0,464,0,292,1768
1962:Q3,7888,1984,-1520,896,4640,1888,7888,4432,0,2772,-2980,4640,3080,-196,-48,2208,148,0,968,0,0,0,0,376,7888,-3532,-1192,-3988,0,-12,1660,8780,-892,1896,-496,12,20,1604,2848,800,0,1692,0,968,-116,0,112,0,0,0,184,0,148,2640
1962:Q4,27644,-380,11664,2820,5588,7952,27644,23092,0,4172,13332,5588,3016,1192,244,992,160,0,428,0,0,0,0,1536,27644,3972,-748,2076,0,-20,2664,22000,3840,9460,-844,16,24,1292,1740,2012,0,1192,0,172,56,0,680,0,0,0,3800,0,-1440,1672
1963:Q1,18224,3976,4932,-2960,4908,7368,18224,13764,0,3584,5272,4908,2484,-196,-8,-3460,160,0,5988,0,0,0,0,1976,18224,-4428,-23032,16272,0,40,2292,22076,3220,9248,68,56,40,1000,2936,1520,0,1668,0,12,488,0,1760,0,0,0,-4164,0,4224,576
1963:Q2,23800,1452,5216,3804,6908,6420,23800,16092,0,3952,5232,6908,5680,348,100,3620,168,0,1444,0,0,0,0,2028,23800,6112,6480,-1712,0,196,1148,14684,3232,1608,-136,92,48,752,2236,1728,0,2524,0,-636,460,0,504,0,0,0,196,0,2076,3004
1963:Q3,4008,-924,-3768,1544,4052,3104,4008,988,0,1904,-4968,4052,2736,180,16,2688,56,0,-204,0,0,0,0,284,4008,-3456,-4168,-596,0,-72,1380,6112,2720,-3332,-932,84,48,668,2300,1788,0,1900,0,928,492,0,-1952,0,0,0,920,0,480,1352
1963:Q4,20056,-372,3448,3520,5092,8368,20056,13424,0,4724,3608,5092,6948,1376,88,3296,64,0,2124,0,0,0,0,-316,20056,13028,10412,1672,0,-48,992,7576,3316,-428,-276,36,44,732,1972,1300,0,1808,0,416,344,0,1336,0,0,0,-1124,0,-1900,-548
1964:Q1,18236,4620,5028,-3144,5104,6628,18236,11532,0,2364,4064,5104,7148,1432,200,-2284,104,0,7696,0,0,0,0,-444,18236,2012,-2244,4220,0,-32,68,17740,2256,7080,40,-4,32,768,2344,1788,0,2864,0,284,536,0,-792,0,0,0,-1768,0,2312,-1516
1964:Q2,23724,1808,2788,4564,6612,7952,23724,16140,0,5224,4304,6612,6976,604,56,2928,120,0,3268,0,0,0,0,608,23724,10020,11652,-2396,0,-28,792,13284,2176,-3360,-12,-36,24,748,2016,1484,0,2908,0,792,184,0,184,0,0,0,3112,0,3064,420
1964:Q3,19524,1076,6104,800,6596,4948,19524,15748,0,2772,6380,6596,3952,664,40,440,84,0,2724,0,0,0,0,-176,19524,-2972,-1972,-3028,0,24,2004,19804,4312,11060,564,-40,24,772,2068,1164,0,1976,0,332,124,0,-820,0,0,0,1228,0,-2960,2692
