1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,15878,15878,0,0,0,0,2711,2711,8473,0,8473,0,17503,0,6652,5858,4993,0,0,0,0,0,803,803,0,0,34964,148409,52805,34964,148409,52805
1963:Q2,15733,15733,0,0,0,0,2758,2758,8547,0,8547,0,17820,0,6764,5963,5093,0,0,0,0,0,834,834,0,0,33853,151016,53693,33853,151016,53693
1963:Q3,15582,15582,0,0,0,0,2806,2806,8616,0,8616,0,18120,0,6879,6050,5191,0,0,0,0,0,864,864,0,0,32782,153978,54736,32782,153978,54736
1963:Q4,15513,15513,0,0,0,0,2853,2853,8710,0,8710,0,18323,0,6960,6105,5258,0,0,0,0,0,895,895,0,0,31670,156959,55796,31670,156959,55796
1964:Q1,15461,15461,0,0,0,0,2898,2898,8821,0,8821,0,18618,0,7077,6189,5352,0,0,0,0,0,940,940,0,0,30220,160085,56843,30220,160085,56843
1964:Q2,15461,15461,0,0,0,0,2941,2941,8940,0,8940,0,18917,0,7198,6267,5452,0,0,0,0,0,978,978,0,0,29163,162914,57909,29163,162914,57909
1964:Q3,15463,15463,0,0,0,0,2986,2986,9072,0,9072,0,19238,0,7336,6346,5556,0,0,0,0,0,1014,1014,0,0,28201,166010,59199,28201,166010,59199
1964:Q4,15388,15388,0,0,0,0,3039,3039,9220,0,9220,0,19599,0,7507,6434,5658,0,0,0,0,0,1049,1049,0,0,27284,169185,60623,27284,169185,60623
1965:Q1,14563,14563,0,0,0,0,3097,3097,9386,0,9386,0,19961,0,7684,6521,5756,0,0,0,0,0,1081,1081,0,0,27109,172547,61959,27109,172547,61959
1965:Q2,13934,13934,0,0,0,0,3160,3160,9571,0,9571,0,20341,0,7865,6624,5852,0,0,0,0,0,1087,1087,0,0,28293,175484,63554,28293,175484,63554
1965:Q3,13858,13858,0,0,0,0,3228,3228,9766,0,9766,0,20736,0,8047,6738,5951,0,0,0,0,0,1157,1157,0,0,26073,178762,65093,26073,178762,65093
1965:Q4,13733,13733,0,0,0,0,3303,3303,9962,0,9962,0,21145,0,8226,6859,6060,0,0,0,0,0,1203,1203,0,0,25033,182186,66694,25033,182186,66694
1966:Q1,13634,13634,0,0,0,0,3385,3385,10162,0,10162,0,21569,0,8403,6990,6176,0,0,0,0,0,1226,1226,0,0,26183,185920,68508,26183,185920,68508
1966:Q2,13433,13433,0,0,0,0,3475,3475,10368,0,10368,0,22009,0,8577,7132,6300,0,0,0,0,0,1223,1223,0,0,28805,189199,70588,28805,189199,70588
1966:Q3,13258,13258,0,0,0,0,3568,3568,10579,0,10579,0,22463,0,8752,7281,6430,0,0,0,0,0,1189,1189,0,0,33061,192865,72516,33061,192865,72516
1966:Q4,13159,13159,0,0,0,0,3659,3659,10793,0,10793,0,22930,0,8935,7435,6560,0,0,0,0,0,1249,1249,0,0,32178,196625,74389,32178,196625,74389
1967:Q1,13107,13107,0,0,0,0,3736,3736,11206,0,11206,0,23427,0,9129,7597,6701,0,0,0,0,0,1353,1353,0,0,29279,200754,76061,29279,200754,76061
1967:Q2,13110,13110,0,0,0,0,3807,3807,11421,0,11421,0,23945,0,9329,7769,6847,0,0,0,0,0,1380,1380,0,0,30529,204365,77923,30529,204365,77923
1967:Q3,13006,13006,0,0,0,0,3876,3876,11637,0,11637,0,24482,0,9536,7946,7000,0,0,0,0,0,1451,1451,0,0,29416,208366,79630,29416,208366,79630
1967:Q4,11982,11982,0,0,0,0,3947,3947,11861,0,11861,0,25006,0,9738,8116,7152,0,0,0,0,0,1470,1470,0,0,31094,212225,81284,31094,212225,81284
1968:Q1,10484,10484,0,0,0,0,4031,4031,12101,0,12101,0,25578,0,9956,8306,7316,0,0,0,0,0,1443,1443,0,0,35743,216527,85600,35743,216527,85600
1968:Q2,10367,10367,0,0,0,0,4121,4121,12345,0,12345,0,26159,0,10180,8492,7487,0,0,0,0,0,1566,1566,0,0,32302,220300,88802,32302,220300,88802
1968:Q3,10367,10367,0,0,0,0,4213,4213,12595,0,12595,0,26780,0,10414,8692,7674,0,0,0,0,0,1621,1621,0,0,32571,224642,92361,32571,224642,92361
1968:Q4,10367,10367,0,0,0,0,4302,4302,12850,0,12850,0,27472,0,10667,8923,7882,0,0,0,0,0,1671,1671,0,0,33071,229017,95711,33071,229017,95711
