1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q3,482157,589,3559,0,0,133641,0,19999,18052,3921,91669,10597,41618,4168,287985,0,287932,53,483094,478926,190994,287932,477989,4168
1980:Q4,488113,603,3684,0,0,136284,0,20927,19083,4059,92215,10890,44300,4551,287801,0,287731,70,489123,484572,196841,287731,483562,4551
1981:Q1,505154,784,4107,0,0,139477,0,22432,20201,3920,92924,11166,45689,4781,299150,0,299062,88,506243,501462,202400,299062,500373,4781
1981:Q2,522005,716,3761,0,0,146259,0,24531,20948,3995,96785,11602,46506,4818,308343,0,308238,105,523170,518352,210114,308238,517187,4818
1981:Q3,538384,743,4296,0,0,149946,0,25215,22121,3859,98751,12200,43646,4379,323174,0,323051,123,539622,535243,212192,323051,534005,4379
1981:Q4,555574,624,3813,0,0,156449,0,27564,24250,3856,100779,12519,47800,4766,329603,0,329462,141,556899,552133,222671,329462,550808,4766
1982:Q1,571803,652,3972,0,0,162435,0,29545,27237,3651,102002,12990,45088,4509,342157,0,341986,171,573201,568692,226706,341986,567294,4509
1982:Q2,588331,760,4610,0,0,168574,0,32417,27893,3848,104416,13226,44136,4535,352490,0,352288,202,589785,585250,232962,352288,583796,4535
1982:Q3,605399,836,5083,0,0,174283,0,35849,31339,3550,103545,13667,50162,5089,356279,0,356046,233,606898,601809,245763,356046,600310,5089
1982:Q4,622933,981,5992,0,0,176919,0,36898,34310,3131,102580,13773,60200,6096,358972,0,358708,264,624464,618368,259660,358708,616837,6096
1983:Q1,635891,1202,7350,0,164,180066,164,39812,35339,2363,102388,13983,68737,6827,357562,0,357263,299,637503,630676,273413,357263,629064,6827
1983:Q2,648934,1226,7757,0,406,184530,406,43672,36156,2483,101813,14099,81807,7645,351464,0,351113,351,650630,642985,291872,351113,641289,7645
1983:Q3,661244,1161,7305,0,695,182817,695,46278,36406,2423,97015,14149,87559,7746,359812,0,359390,422,663040,655294,295904,359390,653498,7746
1983:Q4,673574,1400,8785,0,1000,184170,1000,48910,39252,2000,93008,14651,89641,7872,366055,0,365546,509,675474,667602,302056,365546,665702,7872
1984:Q1,687723,1623,10104,0,1321,190729,1321,54561,40192,2151,92504,14726,88715,7912,372593,0,372119,474,689763,681851,309732,372119,679811,7912
1984:Q2,701512,1790,11093,0,1657,201352,1657,59177,38801,2264,99453,14935,87637,7620,375428,0,374989,439,703720,696100,321111,374989,693892,7620
1984:Q3,716317,2003,12727,0,2040,209169,2040,64331,39492,2068,101238,14961,96406,8342,370669,0,370247,422,718691,710349,340102,370247,707975,8342
1984:Q4,730645,1999,11960,0,2500,217912,2500,67914,43308,1534,102656,15255,96514,8592,375913,0,375544,369,733190,724598,349054,375544,722053,8592
1985:Q1,747039,2339,14085,0,3039,217234,3039,73822,43495,1550,95328,15319,105957,9352,379714,0,379328,386,749793,740441,361113,379328,737687,9352
1985:Q2,763280,2886,14614,0,3656,222794,3656,77190,40841,1278,99829,15345,111742,9947,382296,0,381892,404,766231,756284,374392,381892,753333,9947
1985:Q3,778674,2496,14149,0,4320,231312,4320,79910,41556,1225,104301,15321,105134,9701,396241,0,395801,440,781827,772126,376325,395801,768973,9701
1985:Q4,795940,2351,13327,1427,5000,237054,5000,85383,38124,1128,107419,15309,120071,18105,383296,0,382806,490,799301,787969,405163,382806,784608,11332
1986:Q1,816584,2300,14072,1494,5714,243096,5714,95028,34901,938,106515,15400,135544,20984,377980,0,377391,589,820166,806535,429144,377391,802953,13631
1986:Q2,835580,2200,14183,1480,6480,250530,6480,98507,36024,1196,108323,15197,147760,21068,376682,0,376002,680,839371,825102,449100,376002,821311,14269
1986:Q3,853307,2499,11595,1587,7355,263318,7355,104604,37905,1035,112419,15364,140408,19428,391753,0,391082,671,857293,843668,452586,391082,839682,13625
1986:Q4,872281,3082,9891,1725,8270,281535,8270,115329,38147,709,119080,15550,150215,19776,382237,0,381535,702,876465,862234,480699,381535,858050,14231
