1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q3,14329,4752,40319,3056,4511,-94,597,28,112,457,-2248,0,0,26624,0,7873,6687,1186,15079,16650,-203,-28157,1689,-29846,1,0,45009,43982,1027,-1571,-1682,111,-15663
2000:Q4,14628,4809,34900,3415,4542,1830,-713,-266,-280,-167,-118,0,0,18434,0,7510,6903,607,8017,11586,664,7470,1580,5890,-2,0,3454,3390,64,-3569,-3267,-302,-17064
2001:Q1,14705,4524,57491,-11330,5184,-931,750,-3,462,291,1076,0,0,38752,0,23990,18557,5433,22012,24832,-204,23457,7636,15821,-4,0,1583,2676,-1093,-2820,-2888,68,-25299
2001:Q2,14947,4444,25018,-3606,5700,-20,-651,97,-198,-550,-73,0,0,18862,0,4806,6062,-1256,3124,6910,99,-12574,-702,-11872,-10,0,19395,18082,1313,-3786,-3334,-452,-11391
2001:Q3,16856,4385,33999,6559,-4700,195,-334,-86,-72,-176,-21,0,0,24488,0,7812,4658,3154,8304,14480,378,1919,-250,2169,-1,0,12184,11646,538,-6176,-5628,-548,-13224
2001:Q4,17664,4223,-9045,-960,2659,899,4093,358,1219,2516,-691,0,0,5371,0,-20416,-19557,-859,-9458,-5346,-1239,-6725,-11796,5071,8,0,2610,878,1732,-4112,-3456,-656,13028
2002:Q1,16279,5206,15840,2263,589,-2184,2841,76,3997,-1232,138,0,0,6848,0,5345,2020,3325,8231,9213,35,-6479,5854,-12333,-3,0,15660,15791,-131,-982,-1144,162,3464
2002:Q2,17329,5179,16328,3946,-1763,1320,531,460,1317,-1246,3,0,0,18547,0,-6256,-8726,2470,-8152,-1839,1346,-1130,-13018,11888,-6,0,-2049,-3870,1821,-6313,-5691,-622,-12330
2002:Q3,18826,5201,17835,3328,-4206,-1205,-437,-327,-582,472,38,0,0,15410,0,4907,2465,2442,112,6244,-949,4325,3146,1179,-12,0,2880,1753,1127,-6132,-6297,165,-4098
2002:Q4,17331,5053,36388,-1956,6745,1414,-768,-122,-185,-461,745,0,0,23672,0,6536,3792,2744,17164,18715,1315,14867,1720,13147,2,0,2531,-3292,5823,-1551,-2053,502,-6946
2003:Q1,18302,4646,39238,12873,-9560,1147,5463,-133,823,4773,-262,0,0,17004,0,12573,9085,3488,16509,18521,6144,14916,-3756,18672,-2,0,-2537,-609,-1928,-2012,-1835,-177,-9073
2003:Q2,18183,4737,51322,-3883,4593,1113,5864,1201,-609,5272,4053,0,0,25423,0,14159,13836,323,23486,23558,3716,18872,-4974,23846,84,0,886,3087,-2201,-72,-121,49,-14390
2003:Q3,17313,4893,6847,-1589,-1409,-1094,-6891,641,1263,-8795,183,0,0,8664,0,8983,4040,4943,-1080,631,-7688,4709,1317,3392,31,0,3579,-3795,7374,-1711,-2296,585,4493
