1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,93719,43001,-14252,47835,44187,3419,40768,4295,-647,-62087,30604,1284,-100,-16,0,0,7812,-312,7324,200,600,0,1493,16,1477,56,0,1396,16,0,9859,8804,92691,94435,1672,-224,0,1896,10040,5380,908,3752,72,14912,4560,63179,-1744,1112,-172,-2684,57253
1955:Q4,95616,44115,25210,52684,46127,3299,42828,7233,-676,-27474,23788,-176,-100,24,0,0,10776,-112,10648,200,40,0,685,12,673,-60,0,-1624,24,0,10447,3792,51262,44033,5252,8,0,5244,12140,5908,1756,4476,-128,8716,6312,11741,7229,3000,836,3393,18905
1956:Q1,94108,43589,-44992,52612,46885,3325,43560,6398,-671,-97604,-9548,-3272,0,-136,0,0,-8804,-392,-9612,100,1100,0,1749,8,1741,88,0,2176,20,0,4791,-6160,88056,85095,1648,-40,0,1688,11032,7608,448,2976,92,4752,-5284,72855,2961,2088,224,649,88581
1956:Q2,95505,44077,67907,50980,48076,3348,44728,3585,-681,16927,-2588,-40,0,184,0,0,-12808,580,-12844,100,-644,0,-1099,4,-1103,100,0,2600,24,0,7799,652,-19515,-18245,3724,-116,0,3840,11388,7612,-84,3860,80,8872,-5192,-37117,-1270,936,328,-2534,-23830
1956:Q3,93747,45819,77715,52452,49569,3306,46263,3569,-686,25263,21512,508,0,-88,0,0,-52,368,-368,100,-152,0,1261,4,1257,132,0,3220,28,0,9015,7488,-3751,-4897,4508,240,0,4268,8016,4552,608,2856,64,5608,304,-23397,1146,2292,340,-1486,-31896
1956:Q4,96842,45954,-36501,51628,50074,3190,46884,2244,-690,-88129,17452,2320,0,76,0,0,4656,-204,4572,100,188,0,449,12,437,-32,0,-844,24,0,5699,5104,105581,99156,4088,-20,0,4108,6944,2736,1416,2792,-32,932,3468,83756,6425,3684,-332,3073,82455
1957:Q1,97462,47793,90540,52723,51250,3462,47788,2162,-689,37817,-500,-344,0,240,0,0,-1624,-124,-2208,400,308,0,1019,16,1003,96,0,2352,36,0,4369,-6644,-38317,-42513,5744,-136,0,5880,6600,2144,1576,2880,32,4476,-2796,-56569,4197,3040,140,1017,-42747
1957:Q2,95830,48018,-41261,53278,51318,3384,47934,2657,-697,-94539,-2492,-368,0,-88,0,0,-7440,-20,-7756,400,-64,0,-645,20,-665,188,0,4792,48,0,117,904,92047,88377,5856,-4,0,5860,9016,5992,132,2892,44,28,-2860,76293,3670,3612,188,-130,89279
1957:Q3,95740,48023,164863,54742,52643,3363,49280,2808,-709,110121,16140,2920,0,-92,0,0,3260,248,2184,400,428,0,419,20,399,72,0,1708,24,0,1233,6596,-93981,-95197,5976,-76,0,6052,5028,-296,2324,3000,8,1844,-1036,-107017,1216,1196,36,-16,-116840
1957:Q4,90715,46697,36796,46599,51842,3353,48489,-4518,-725,-9803,6176,592,0,-88,0,0,3956,416,3264,400,-124,0,-465,16,-481,8,0,132,32,0,-1903,3912,15979,13729,6728,392,0,6336,3532,-1132,1140,3524,76,1140,-1840,4093,2250,1916,24,310,9901
1958:Q1,87073,44391,-29298,43504,48269,3903,44366,-4009,-756,-72802,-4012,-664,2200,116,0,0,-5328,900,-4780,-400,-1048,0,-183,16,-199,40,0,1236,24,0,5987,-7440,68790,64735,8520,1060,0,7460,1112,-2964,1492,2584,72,-4204,-5996,65231,4055,884,276,2895,73689
1958:Q2,87941,45581,-38623,41987,46993,4008,42985,-4235,-771,-80610,3580,3228,2200,-112,0,0,-8392,-1236,-8216,-800,1860,0,-923,16,-939,100,0,2404,0,0,2271,2804,84190,78659,4772,452,0,4320,3536,844,-1316,4008,80,7292,-4640,67619,5531,3432,308,1791,84204
1958:Q3,92515,48053,-75375,47761,46998,4341,42657,1547,-784,-123136,33176,6020,-400,160,0,0,4028,-700,3340,200,1188,0,1185,16,1169,60,0,1412,44,0,15111,5556,156312,150961,5512,-272,0,5784,5436,404,36,4996,76,11424,-784,129297,5351,1940,288,3123,123428
