1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q4,321764,62792,183041,-4100,349823,54420,3855,472219,360107,440702,464072,-23032,-338,-80595,186580,36324,20728,1428,-20028,-10013,-24419,-28746,3795,983,-688,237,-3751,-5007,1256,-792,17497,24101,27,-1440,38400,108517,267174,306798,-1942,4515,1959,-8416,-38731,-27759,-20291,9319,11285,47892,1996,286298,2206,14221,269870,-39624,-83364,43740,112112,22903
2017:Q1,340856,50781,190608,-12048,357648,62475,-583,508125,494523,473825,469068,5072,-314,20698,19367,-58438,-7302,-9924,-34,-8830,201,3459,-2523,-859,-690,814,2924,4380,-1456,3818,-21277,101710,127,1880,-8301,22813,-1330,-18592,140643,14729,1016,124898,-30394,-16676,16256,-29974,1458,-55711,23893,-98481,4792,-16010,-87263,17261,-80027,97288,13602,28176
2017:Q2,337610,52390,199157,-9002,362078,59809,-383,499330,518345,472771,474783,-1628,-385,45575,132547,38908,-9617,15273,6020,-26750,13265,9299,3335,1100,-621,152,416,507,-91,-23088,-21823,92962,-71,1880,67586,-22414,86972,78104,86737,-846,9895,77688,43634,-12678,58393,-2081,-5145,23555,-15561,-55116,4791,-16520,-43388,8868,-61783,70651,-19015,33249
2017:Q3,334024,55035,177731,-11260,366430,49572,-14749,520749,678428,526839,481097,44427,1315,151589,425540,12222,4109,125256,32520,-14879,-18161,-17834,11,-28,-755,445,783,879,-96,7436,-22687,91168,146,1880,68191,137556,273951,315649,82940,11397,-5220,76763,-23404,-22160,21836,-23080,-2669,63250,-4855,200387,4791,-17045,212641,-41698,-114467,72769,-157679,55662
2017:Q4,292100,55610,202084,-15278,429927,74304,216538,306821,554083,477877,494853,-16527,-450,76207,1393,-37089,5084,-11642,30190,-270,35511,-3727,29312,9774,-413,565,8525,8839,-314,-20729,-24076,57567,74,1880,35881,-79513,-74813,-60839,57761,607,12750,44404,55344,4244,21495,29605,-2191,50250,216964,-438968,4792,-17574,-426185,-13974,-71710,57736,-247263,245360
2018:Q1,315513,50778,-33619,-14597,416324,-151795,-319,548605,608620,542490,511507,31551,-568,66130,296769,-2701,-1282,-5692,-30635,-8568,1279,4072,-2855,-1138,452,748,-2792,-1737,-1055,82994,-9964,-132430,165,-2125,89875,318645,230639,296939,101229,35340,-2746,68635,12185,5230,-5937,12892,-15544,17123,7582,174364,-8638,18577,164425,-66300,-112903,46603,-60014,-157910
2018:Q2,341525,54407,63397,-21846,420038,-79458,-297,542751,616125,503788,520935,-16671,-476,112337,192310,48038,-577,11391,-15457,-14486,-319,6109,-6232,-2062,480,1386,-537,-756,219,3196,-10256,-56767,-94,-2125,158150,72152,79972,284241,8646,-1173,3412,6407,37463,19750,-27955,45668,-44082,116286,-27730,193657,-8639,18798,183499,-204268,-229937,25669,-73374,-118421
2018:Q3,334659,53930,167099,-9644,425391,-6808,-1480,524050,305270,571340,523913,47994,-567,-266070,172785,150144,8810,-89256,-12595,-3379,-621,7855,-7306,-2630,421,1039,828,592,236,-3346,-10995,48270,-48,-2125,159168,-72070,438855,418646,47093,-17257,-5277,69627,29812,-11184,37053,3943,-1903,150029,8815,184800,-8639,19031,174408,20210,-67057,87267,218781,40482
2018:Q4,326414,53829,85529,-4925,432392,-85770,-4099,532852,538882,514546,523842,-9885,588,24337,193210,55485,-1109,-26703,6910,1461,21944,20363,802,375,381,23,-989,-1833,844,-1140,-9458,-75346,46,-2125,-10895,235129,168873,310391,11420,-27113,2236,36297,131199,92362,7693,31143,-11362,37254,36,141844,-8639,19303,131181,-141517,-217888,76371,-6031,-104076
2019:Q1,304947,46716,160429,-2760,440694,6424,-263,542423,338531,584128,526581,56872,674,-245596,371125,-95441,17184,4428,9525,-1699,16499,6730,7071,2399,1073,-774,-964,334,-1298,-74756,2411,39999,91,-2251,158158,297941,616722,694063,144429,44637,3090,96702,108844,24977,48836,35031,-15032,19429,26565,409827,-1144,18757,392215,-77341,-152854,75513,203892,48129
