1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,328,291,-4020,536,0,-1516,0,-60,0,-208,-1248,-2284,0,-756,36,-36,0,0,-36,-4244,-4232,0,0,-4904,-2544,-2360,0,40,200,432,0,0,432,-12,0,-12,0,0,0,-187,0,0,0,0,0,0,0,0
1968:Q2,418,292,5292,600,0,-816,0,-252,0,860,-1424,7684,0,-2176,32,-32,0,0,-32,5008,5000,0,0,5772,-2840,8612,0,80,-28,-824,0,0,-824,8,0,8,0,0,0,-158,0,0,0,0,0,0,0,0
1968:Q3,409,301,10080,496,0,7624,0,6552,0,-24,1096,980,4,980,32,-36,0,0,-36,9820,9788,0,0,9764,4040,5724,8,80,124,-188,0,0,-188,32,0,32,0,0,0,-152,0,0,0,0,0,0,0,0
1968:Q4,383,315,3324,268,0,-2708,0,-3108,0,-460,860,4984,-4,780,40,-36,0,0,-36,2996,3004,0,0,3184,4284,-1100,-4,40,-104,-112,0,0,-112,-8,0,-8,0,0,0,-260,0,0,0,0,0,0,0,0
1969:Q1,352,353,-15344,88,0,-6844,0,-4132,0,-812,-1900,-6936,0,-1652,40,-40,0,0,-40,-15556,-15560,0,0,-15864,-2284,-13580,0,40,40,224,0,0,224,4,0,4,0,0,0,-213,0,0,0,0,0,0,0,0
1969:Q2,235,367,5068,-68,0,4112,0,1548,0,-36,2600,-1720,4,2744,32,-36,0,0,-36,4992,4980,0,0,5104,-2048,7152,4,80,-260,52,0,0,52,12,0,12,0,0,0,-208,0,0,0,0,0,0,0,0
1969:Q3,24,388,-11464,-172,0,-3056,0,-1016,0,56,-2096,-6500,0,-1736,36,-36,0,0,-36,-11328,-11340,0,0,-11784,448,-12232,0,80,76,288,0,0,288,12,0,12,0,0,0,-228,0,0,0,0,0,0,0,0
1969:Q4,-143,400,10072,-164,0,6332,0,3448,0,44,2840,1040,0,2864,40,-40,0,0,-40,10464,10384,0,0,10440,688,9752,-56,80,-64,-16,0,0,-16,80,0,80,0,0,0,-151,0,0,0,0,0,0,0,0
1970:Q1,-183,469,-9096,-256,0,-936,0,1708,0,784,-3428,-4712,0,-3192,36,-36,0,0,-36,-8844,-8844,0,0,-8964,-4288,-4676,0,40,-112,192,0,0,192,0,0,0,0,0,0,-400,0,0,0,0,0,0,0,0
1970:Q2,-85,480,-4492,-388,0,-4340,0,-6140,0,-668,2468,-3064,0,3300,40,-40,0,0,-40,-4328,-4320,0,0,-5104,-4592,-512,0,40,-44,788,0,0,788,-8,0,-8,0,0,0,-401,0,0,0,0,0,0,0,0
1970:Q3,-19,483,5164,-376,0,5996,0,5548,0,888,-440,1052,4,-1508,36,-40,0,0,-40,5256,5264,0,0,6224,4592,1632,0,0,108,-1068,0,0,-1068,-8,0,-8,0,0,0,-410,0,0,0,0,0,0,0,0
1970:Q4,62,468,11284,-232,0,8612,0,5564,0,1212,1836,1572,-4,1332,40,-36,0,0,-36,11328,11316,0,0,11764,4556,7208,-20,40,60,-528,0,0,-528,12,0,12,0,0,0,-362,0,0,0,0,0,0,0,0
1971:Q1,155,533,-6344,-132,0,-5932,0,-5896,0,-100,64,456,0,-736,40,-40,0,0,-40,-6456,-6472,0,0,-5700,-1356,-4344,4,40,40,-856,0,0,-856,16,0,16,0,0,0,-490,0,0,0,0,0,0,0,0
1971:Q2,287,550,-1956,76,0,-4504,0,-1788,0,-1604,-1112,3428,4,-956,40,-44,0,0,-44,-2192,-2216,0,0,-2208,-1412,-796,4,40,-160,108,0,0,108,24,0,24,0,0,0,-499,0,0,0,0,0,0,0,0
1971:Q3,327,563,572,112,0,740,0,1628,0,1828,-2716,2504,0,-2784,40,-40,0,0,-40,316,296,0,0,324,3412,-3088,8,80,40,-156,0,0,-156,20,0,20,0,0,0,-492,0,0,0,0,0,0,0,0
1971:Q4,291,587,12356,40,0,4252,0,-340,0,328,4264,3916,-4,4148,44,-40,0,0,-40,12120,12108,0,0,12168,3808,8360,28,80,40,-208,0,0,-208,12,0,12,0,0,0,-532,0,0,0,0,0,0,0,0
