1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,3343,2571,92,604,76,3343,2645,698,512,186,0,3343,351,3,0,13,-31,6,10,28,31,1743,1741,0,5,-3,0,877,34,24,349,297,0,52,0,0,6,0,0,0,0,6,0,-88,0
1957:Q1,2843,2106,21,518,198,2843,2123,720,502,218,0,2843,544,4,0,51,-20,23,9,39,41,1208,1118,0,5,85,0,690,33,30,445,382,0,63,0,0,8,0,0,0,0,8,0,-211,0
1957:Q2,2956,2188,97,473,198,2956,2233,723,69,654,0,2956,462,5,0,42,-22,-7,9,62,52,1623,1610,0,5,8,0,502,32,35,282,218,0,64,0,0,9,0,0,0,0,9,0,-88,0
1957:Q3,3356,2358,197,684,117,3356,2558,750,108,642,48,3356,510,5,0,76,-19,23,9,63,57,1895,1925,0,5,-35,0,514,33,39,221,196,0,25,0,0,4,0,0,0,0,4,0,2,0
1957:Q4,3039,1977,232,781,49,3039,2110,881,631,250,48,3039,440,4,0,112,0,14,9,89,52,1623,1677,0,5,-59,0,541,36,41,215,191,0,24,0,0,3,0,0,0,0,3,0,-28,0
1958:Q1,2695,1601,414,553,127,2695,1923,646,275,371,126,2695,467,4,0,68,17,1,3,47,52,1334,1250,0,10,74,0,457,36,44,117,82,0,35,0,0,2,0,0,0,0,2,0,114,0
1958:Q2,3573,2167,492,684,230,3573,2446,1002,224,778,125,3573,789,4,0,57,5,14,3,35,51,2426,2448,0,13,-35,0,336,36,47,-289,-324,0,35,0,0,2,0,0,0,0,2,0,114,0
1958:Q3,4307,2893,503,708,203,4307,2966,1249,276,973,92,4307,629,4,0,53,-1,14,3,37,53,2960,2913,0,13,34,0,409,40,50,-11,-61,0,50,0,0,6,0,0,0,0,6,0,114,0
1958:Q4,4857,3142,545,1018,152,4857,3084,1680,974,706,93,4857,719,3,0,232,160,19,10,43,56,2902,2941,0,7,-46,-1,624,47,55,98,48,0,50,0,0,7,0,0,0,0,7,0,115,0
1959:Q1,4156,2788,567,553,248,4156,3032,1075,36,1039,49,4156,487,-13,0,424,356,15,6,47,61,2400,2294,0,2,104,0,399,54,56,169,83,0,86,0,0,5,0,0,0,0,5,0,114,0
1959:Q2,5177,3439,547,804,387,5177,3601,1525,41,1484,51,5177,649,-12,0,424,342,13,4,65,67,3402,3397,0,-2,7,-2,388,60,55,197,110,0,87,0,0,6,0,0,0,0,6,0,-57,0
1959:Q3,5224,3716,533,771,204,5224,3818,1299,13,1286,107,5224,471,-41,0,298,220,18,8,52,66,3380,3333,0,-3,50,-3,564,65,64,253,203,0,50,0,0,1,0,0,0,0,1,0,106,0
1959:Q4,4678,3092,488,945,153,4678,3083,1487,802,685,108,4678,487,0,0,124,57,5,26,36,61,2684,2715,0,-3,-28,-9,784,68,81,313,263,0,50,0,0,1,0,0,0,0,1,0,84,0
1960:Q1,3821,2481,499,671,170,3821,2920,801,-37,838,100,3821,541,1,0,-76,-129,13,3,37,52,1995,1816,0,1,178,-1,708,74,99,394,330,0,64,0,0,1,0,0,0,0,1,0,33,0
1960:Q2,4346,2786,503,769,288,4346,2919,1325,108,1217,102,4346,768,1,0,44,14,3,7,20,43,2473,2495,0,2,-24,0,613,82,118,293,230,0,63,0,0,2,0,0,0,0,2,0,-91,0
1960:Q3,4808,3216,591,863,138,4808,3354,1353,225,1128,101,4808,710,1,0,98,13,18,15,52,44,2862,2890,0,3,-31,2,558,82,124,245,207,0,38,0,0,-2,0,0,0,0,-2,0,84,0
1960:Q4,4306,2796,493,876,141,4306,2924,1280,521,759,102,4306,755,0,0,129,9,14,30,76,53,2411,2431,0,2,-22,2,695,74,117,135,96,0,39,0,0,-3,0,0,0,0,-3,0,-62,0
1961:Q1,3844,2267,638,714,225,3844,2388,1402,-81,1483,54,3844,850,2,0,85,-13,15,25,58,61,2164,2019,0,5,140,4,550,68,114,-51,-133,0,82,0,0,0,0,0,0,0,0,0,-3,0
1961:Q2,4903,2958,519,1052,374,4903,3083,1766,287,1479,54,4903,828,2,0,92,-10,27,15,60,69,3202,3264,0,5,-67,3,620,61,116,-166,-248,0,82,0,0,-1,0,0,0,0,-1,0,77,0
1961:Q3,5635,3576,847,912,300,5635,3722,1856,235,1621,57,5635,757,2,0,131,-10,65,25,51,71,3613,3517,0,7,89,1,440,61,113,134,84,0,50,0,0,44,0,0,0,0,44,0,268,0
1961:Q4,6178,3848,832,1318,180,6178,3991,2130,976,1154,57,6178,824,3,0,141,-17,55,25,78,66,3497,3419,0,10,68,-2,822,69,103,316,266,0,50,0,0,46,0,0,0,0,46,0,293,0
1962:Q1,4333,2461,596,971,305,4333,2602,1651,334,1317,80,4333,543,5,0,51,-18,-5,19,55,65,2932,2866,0,15,51,-1,403,74,94,221,151,0,70,0,0,22,0,0,0,0,22,0,-76,0
1962:Q2,6130,3749,719,1210,452,6130,3915,2134,416,1718,81,6130,598,6,0,-5,-47,-8,33,17,65,4598,4618,0,19,-39,-4,513,79,84,-82,-152,0,70,0,0,24,0,0,0,0,24,0,254,0
1962:Q3,6359,4108,832,1149,270,6359,4269,2042,496,1546,48,6359,431,6,0,-1,-64,61,16,-14,63,4835,4753,0,19,63,-6,551,81,81,19,-23,0,42,0,0,37,0,0,0,0,37,0,262,0
1962:Q4,6647,3962,963,1473,249,6647,4090,2506,1074,1432,51,6647,600,4,0,27,-31,34,26,-2,58,4475,4391,0,15,69,-10,1232,82,87,41,-1,0,42,0,0,40,0,0,0,0,40,0,11,0
1963:Q1,5005,3045,650,942,368,5005,3248,1732,387,1345,25,5005,318,2,0,-49,-108,65,9,-15,54,4101,3989,0,12,100,-3,625,81,89,-245,-318,0,73,0,0,40,0,0,0,0,40,0,-8,0
