1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,205896,472,20780,181988,140368,35396,1600,4624,2456,200,196622,102280,8280,1092,7188,3030,9924,39376,1360,23252,2400,21744,300,-1192,1592,-428,4028,0,1700,3920,-200,164,0,788,3200,0,33732,9274
1978:Q4,197864,592,-14148,160016,108192,45424,1472,4928,2328,49076,272928,69672,53052,44792,8260,-11900,5012,127332,10404,103680,75684,29196,356,-1556,1532,2716,4864,0,-464,1452,344,160,0,-296,2940,0,29760,-75064
1979:Q1,85992,1308,21748,84768,58372,19776,1268,5352,1932,-23764,107930,116728,19524,10592,8932,-21546,3012,-43848,-9520,-47060,-51928,3540,380,948,-1908,-3952,4360,0,1868,11084,-132,156,0,596,660,0,34060,-21938
1979:Q2,191772,1468,-9716,176420,127844,41112,1268,6196,5036,18564,191224,77964,-10836,-19656,8820,21148,-3044,61996,680,41408,12204,24236,328,4640,1312,1372,3728,0,468,11248,220,152,0,608,800,0,43996,548
1979:Q3,300668,1200,15132,234292,175864,49136,2932,6360,1292,48752,288570,113812,21904,13404,8500,4814,516,89836,-6688,72608,48528,21920,1340,820,512,-1480,3960,0,864,17412,56,152,0,1640,800,0,57688,12098
1979:Q4,177032,1064,6928,152028,134624,14568,3100,-264,3932,13080,166094,42076,44144,35872,8272,-6646,-5348,84892,17668,41056,40120,1048,1404,-1516,1084,5012,4372,0,1940,10808,544,144,0,1076,1188,0,6976,10938
1980:Q1,86400,1044,17092,73748,85080,-3048,1160,-9444,1720,-7204,92268,104852,-2656,-6760,4104,-18140,-1616,-7220,-8152,-16656,-4648,-6572,360,-5796,1012,-4128,3200,0,644,13440,-96,136,0,1768,1612,0,17048,-5868
1980:Q2,170772,684,23148,72976,58020,8908,476,5572,1768,72196,178026,84140,2564,-2212,4776,4110,-3688,104920,-7220,92700,59072,21680,360,11588,-316,2680,2684,0,140,11924,-64,136,0,256,2000,0,-14020,-7254
1980:Q3,241268,520,-22268,220880,155100,49196,532,16052,-2512,44648,288588,196176,15076,8628,6448,-1844,-5020,74496,-864,54928,31088,17200,360,6280,-164,-2148,2188,0,-288,18336,-400,132,0,776,2000,0,9704,-47320
1980:Q4,370712,716,11092,295116,222512,66488,1332,4784,2280,61508,336264,163840,23428,15588,7840,10712,1080,103940,8332,82892,53156,31412,356,-2032,-152,5788,4088,0,556,-204,668,128,0,368,1476,0,33264,34448
1981:Q1,103584,688,7168,85792,85004,-3152,2220,1720,-1496,11432,109422,62928,17700,13992,3708,22578,-3228,45736,-9380,-36,14876,-13488,-184,-1240,116,-3512,3460,0,2416,50808,-596,124,0,-188,2524,0,-36292,-5838
1981:Q2,349484,616,2140,298788,195824,98512,3164,1288,396,47544,335504,122264,-13048,-16412,3364,-28452,-1432,198164,-1600,169576,92152,78584,84,-1244,108,876,2452,0,-1656,21928,0,120,0,-920,7280,0,58008,13980
1981:Q3,264312,620,4984,198368,143720,49088,3084,2476,8032,52308,329088,138372,-11660,-15300,3640,-5880,2156,145228,7136,74628,57900,17520,232,-1024,64,2292,4256,0,2248,45424,264,120,0,1676,7120,0,60872,-64776
1981:Q4,227929,676,12996,102142,131126,-37060,1960,6116,452,111663,211706,244471,-11220,-15668,4448,21920,6164,-49069,-7732,-76653,-55961,-26224,268,5264,-148,2416,5484,0,-2408,22796,1040,112,0,-1180,7204,0,-560,16223
1982:Q1,414011,620,15676,260580,219752,36796,936,3096,2704,134431,400133,247382,-9076,-12400,3324,16144,8548,146043,4656,124775,90727,25832,396,7820,460,-9468,10428,0,748,4088,-756,100,0,2216,8796,0,-8908,13878
