1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,-4196,2640,-6940,-3596,1300,-4896,-780,1980,116,-440,-2436,-2564,-2564,0,384,168,216,216,0,0,-280,-104,480,-656,0,0,-1760,-3596,1300,-4896,0,0,2344,2640,168,-464,-244,420,-640,2164,0,1980,184,140,60,-16,116,0,116,-440,0,-440,-2348,-2348,0,-2436
1970:Q3,-2320,4100,-8208,1096,-996,2092,-4468,88,120,1060,-5736,-4836,-4836,0,-60,-276,216,216,0,0,1848,572,100,1176,0,0,3416,1096,-996,2092,0,0,4716,4100,-276,892,100,36,756,1044,0,88,956,472,64,420,120,0,120,1060,0,1060,-4620,-4620,0,-5736
1970:Q4,-6392,2180,-9764,5720,7792,-2072,-3648,-112,92,1880,-5508,-11836,-11836,0,1072,816,256,256,0,0,120,496,252,-628,0,0,-884,5720,7792,-2072,0,0,2644,2180,816,-352,236,204,-792,360,0,-112,472,260,48,164,92,0,92,1880,0,1880,-11580,-11580,0,-5508
1971:Q1,3028,4032,1036,-6620,-6844,224,20420,1700,84,1088,17548,-12764,-12764,0,-820,-948,128,128,0,0,-1220,-328,296,-1188,0,0,-14520,-6620,-6844,224,0,0,1616,4032,-948,-1468,-616,256,-1108,1948,0,1700,248,288,40,-80,84,0,84,1088,0,1088,-12636,-12636,0,17548
1971:Q2,-7408,-196,-8224,216,-4,220,-2892,4204,140,532,-7768,-5548,-5548,0,944,356,588,588,0,0,68,396,-40,-288,0,0,360,216,-4,220,0,0,-296,-196,356,-456,-144,-72,-240,4728,0,4204,524,540,32,-48,140,0,140,532,0,532,-4960,-4960,0,-7768
1971:Q3,1264,1504,-5316,-344,-88,-256,-6212,316,256,1496,-8280,1240,1240,0,2368,1208,1160,1160,0,0,2708,332,276,2100,0,0,9544,-344,-88,-256,0,0,4828,1504,1208,2116,-92,244,1964,908,0,316,592,424,32,136,256,0,256,1496,0,1496,2400,2400,0,-8280
1971:Q4,9036,9212,-8472,5892,7264,-1372,-11692,-2908,28,1000,-9812,-2672,-2672,0,4800,3816,984,984,0,0,3496,316,308,2872,0,0,18848,5892,7264,-1372,0,0,16636,9212,3816,3608,632,272,2704,-3020,0,-2908,-112,-316,36,168,28,0,28,1000,0,1000,-1688,-1688,0,-9812
1972:Q1,-3356,-1532,-12488,-2716,-6680,3964,-9092,-4108,188,-416,-4756,-680,-680,0,9252,10148,-896,-896,0,0,1412,432,524,456,0,0,1400,-2716,-6680,3964,0,0,9336,-1532,10148,720,-52,488,284,-3416,0,-4108,692,484,36,172,188,0,188,-416,0,-416,-1576,-1576,0,-4756
1972:Q2,5236,-268,-1908,-1096,2504,-3600,-1352,4360,248,-1260,-4700,540,540,0,7800,5992,1808,1808,0,0,-388,820,-92,-1116,0,0,9936,-1096,2504,-3600,0,0,4488,-268,5992,-1236,-8,-120,-1108,5208,0,4360,848,828,28,-8,248,0,248,-1260,0,-1260,2348,2348,0,-4700
1972:Q3,-3064,-16160,1132,4620,1772,2848,-3316,2120,212,3456,-9104,-172,-172,0,7508,5792,1716,1716,0,0,4456,1120,-12,3348,0,0,6040,4620,1772,2848,0,0,-7028,-16160,5792,3340,332,-56,3064,3236,0,2120,1116,788,44,284,212,0,212,3456,0,3456,1544,1544,0,-9104
1972:Q4,-5304,9396,-2292,5484,928,4556,-7340,-2972,28,832,-5228,-436,-436,0,-15124,-14324,-800,-800,0,0,2716,520,680,1516,0,0,-76,5484,928,4556,0,0,-1556,9396,-14324,3372,1084,604,1684,-3628,0,-2972,-656,-564,76,-168,28,0,28,832,0,832,-1236,-1236,0,-5228
1973:Q1,5036,32,-1696,-7224,-7412,188,6076,-744,20,-1176,7976,-548,-548,0,2608,8484,-5876,-5876,0,0,4092,1064,432,2596,0,0,-2940,-7224,-7412,188,0,0,10824,32,8484,2308,848,-284,1744,1040,0,-744,1784,216,716,852,20,0,20,-1176,0,-1176,-6424,-6424,0,7976
1973:Q2,4380,-4180,-6668,-1324,-292,-1032,-6740,9368,24,-40,-16092,1396,1396,0,11648,6712,4936,4936,0,0,3580,1400,412,1768,0,0,20472,-1324,-292,-1032,0,0,3552,-4180,6712,1020,-816,476,1360,11928,0,9368,2560,2216,-64,408,24,0,24,-40,0,-40,6332,6332,0,-16092
1973:Q3,32684,11668,22324,14960,3952,11008,8996,-7844,552,80,16208,-1632,-1632,0,-1068,-1004,-64,-64,0,0,-240,1200,-664,-776,0,0,16476,14960,3952,11008,0,0,10240,11668,-1004,-424,700,-612,-512,-7660,0,-7844,184,500,-52,-264,552,0,552,80,0,80,-1696,-1696,0,16208
1973:Q4,-4764,-1868,-14008,-12804,252,-13056,-1080,4460,548,-496,-5592,-124,-124,0,3316,3336,-20,-20,0,0,7796,3832,1152,2812,0,0,828,-12804,252,-13056,0,0,4780,-1868,3336,3312,1848,576,888,8944,0,4460,4484,1984,576,1924,548,0,548,-496,0,-496,-144,-144,0,-5592
1974:Q1,31640,-544,14624,-408,-3508,3100,1232,2224,-476,780,-1296,13800,13800,0,10740,1104,9636,9636,0,0,6820,2692,-1040,5168,0,0,32936,-408,-3508,3100,0,0,8356,-544,1104,7796,3148,-556,5204,1248,0,2224,-976,-456,-484,-36,-476,0,-476,780,0,780,23436,23436,0,-1296
1974:Q2,76868,11760,25616,5008,300,4708,25320,15972,-480,1108,8720,-4712,-4712,0,15288,12652,2636,2636,0,0,24204,13112,2908,8184,0,0,68148,5008,300,4708,0,0,34500,11760,12652,10088,4236,1864,3988,30088,0,15972,14116,8876,1044,4196,-480,0,-480,1108,0,1108,-2076,-2076,0,8720
1974:Q3,-5644,324,-1668,13624,5696,7928,-13148,-16972,-220,-684,4728,-2144,-2144,0,-2980,-6940,3960,3960,0,0,-1320,3124,-592,-3852,0,0,-10372,13624,5696,7928,0,0,-1948,324,-6940,4668,6280,-148,-1464,-22960,0,-16972,-5988,-3156,-444,-2388,-220,0,-220,-684,0,-684,1816,1816,0,4728
1974:Q4,-11928,-16408,-21492,-26452,-6880,-19572,1592,4684,448,1256,-4796,3368,3368,0,14004,12280,1724,1724,0,0,11968,6792,2212,2964,0,0,-7132,-26452,-6880,-19572,0,0,-112,-16408,12280,4016,3004,1424,-412,12636,0,4684,7952,3788,788,3376,448,0,448,1256,0,1256,5092,5092,0,-4796
1975:Q1,-3816,11992,-12592,2704,648,2056,-8012,-6820,32,1904,-3128,-7284,-7284,0,-9328,-7088,-2240,-2240,0,0,6112,11176,1008,-6072,0,0,-688,2704,648,2056,0,0,14844,11992,-7088,9940,12528,612,-3200,-10648,0,-6820,-3828,-1352,396,-2872,32,0,32,1904,0,1904,-9524,-9524,0,-3128
1975:Q2,2300,-12776,-10220,-2496,-1488,-1008,-6528,11584,32,2580,-20724,-1196,-1196,0,4384,3980,404,404,0,0,20912,13772,1956,5184,0,0,23024,-2496,-1488,-1008,0,0,8668,-12776,3980,17464,13368,1400,2696,15032,0,11584,3448,404,556,2488,32,0,32,2580,0,2580,-792,-792,0,-20724
1975:Q3,12620,4000,13312,5824,2460,3364,3792,-9532,188,-2376,15512,3696,3696,0,-2328,-8784,6456,6456,0,0,-2364,-2840,-3468,3944,0,0,-2892,5824,2460,3364,0,0,-8028,4000,-8784,-3244,-5028,-2616,4400,-8652,0,-9532,880,2188,-852,-456,188,0,188,-2376,0,-2376,10152,10152,0,15512
1975:Q4,23896,-2380,-204,436,5128,-4692,-2228,8660,196,-568,-10516,1588,1588,0,7104,8292,-1188,-1188,0,0,19376,10160,7908,1308,0,0,34412,436,5128,-4692,0,0,15932,-2380,8292,10020,4492,5704,-176,18016,0,8660,9356,5668,2204,1484,196,0,196,-568,0,-568,400,400,0,-10516
1976:Q1,1196,1940,-6728,-7012,-6312,-700,844,-1456,-96,-152,2548,-560,-560,0,-204,-1320,1116,1116,0,0,6188,10236,-7076,3028,0,0,-1352,-7012,-6312,-700,0,0,7652,1940,-1320,7032,12584,-4932,-620,-2300,0,-1456,-844,-2348,-2144,3648,-96,0,-96,-152,0,-152,556,556,0,2548
1976:Q2,33852,2488,-32,6908,5868,1040,-5928,-1256,-44,-820,-3808,-1012,-1012,0,7020,1564,5456,5456,0,0,24376,9708,9600,5068,0,0,37660,6908,5868,1040,0,0,20312,2488,1564,16260,4828,9000,2432,6860,0,-1256,8116,4880,600,2636,-44,0,-44,-820,0,-820,4444,4444,0,-3808
1976:Q3,17652,3092,15004,-3016,-3064,48,18120,11872,-256,-1656,8160,-100,-100,0,5036,288,4748,4748,0,0,-5480,5852,-8932,-2400,0,0,9492,-3016,-3064,48,0,0,2532,3092,288,-848,10032,-8424,-2456,7240,0,11872,-4632,-4180,-508,56,-256,0,-256,-1656,0,-1656,4648,4648,0,8160
1976:Q4,29988,-11096,-5196,-2044,-840,-1204,-7456,1164,-224,1660,-10056,4304,4304,0,12644,8072,4572,4572,0,0,33636,8860,13676,11100,0,0,40044,-2044,-840,-1204,0,0,14116,-11096,8072,17140,3052,12032,2056,17660,0,1164,16496,5808,1644,9044,-224,0,-224,1660,0,1660,8876,8876,0,-10056
1977:Q1,-20428,1484,-5572,1744,1248,496,-4512,6608,624,980,-12724,-2804,-2804,0,-5804,-1216,-4588,-4588,0,0,-10536,-2504,-612,-7420,0,0,-7704,1744,1248,496,0,0,2996,1484,-1216,2728,4976,-252,-1996,-6656,0,6608,-13264,-7480,-360,-5424,624,0,624,980,0,980,-7392,-7392,0,-12724
1977:Q2,29732,-5264,13168,3208,2764,444,10000,3484,772,-272,6016,-40,-40,0,10376,3908,6468,6468,0,0,11452,11328,-1796,1920,0,0,23716,3208,2764,444,0,0,3696,-5264,3908,5052,7216,-2648,484,9884,0,3484,6400,4112,852,1436,772,0,772,-272,0,-272,6428,6428,0,6016
1977:Q3,17476,-3288,3308,-2464,-6592,4128,-12704,-4648,316,644,-9016,18476,18476,0,12156,7504,4652,4652,0,0,5300,-7004,5936,6368,0,0,26492,-2464,-6592,4128,0,0,-5428,-3288,7504,-9644,-10992,1020,328,10296,0,-4648,14944,3988,4916,6040,316,0,316,644,0,644,23128,23128,0,-9016
1977:Q4,80248,13916,2488,3308,7416,-4108,880,9492,320,2560,-11492,-1700,-1700,0,19912,4108,15804,15804,0,0,43932,29620,4580,9732,0,0,91740,3308,7416,-4108,0,0,43460,13916,4108,25436,17876,3512,4048,27988,0,9492,18496,11744,1068,5684,320,0,320,2560,0,2560,14104,14104,0,-11492
1978:Q1,15308,-248,-4096,-4044,-4312,268,4340,-9444,320,1720,11744,-4392,-4392,0,5116,6316,-1200,-1200,0,0,14536,15108,-3120,2548,0,0,3564,-4044,-4312,268,0,0,13568,-1048,6316,8300,12432,-2196,-1936,-2408,800,-9444,6236,2676,-924,4484,320,0,320,1720,0,1720,-5592,-5592,0,11744
1978:Q2,5524,3896,2352,6728,2344,4384,-4544,2120,328,-4328,-2664,168,168,0,10400,4624,5776,5776,0,0,-11124,-10776,-2704,2356,0,0,8188,6728,2344,4384,0,0,-6184,2740,4624,-13548,-9804,-3180,-564,5700,1156,2120,2424,-972,476,2920,328,0,328,-4328,0,-4328,5944,5944,0,-2664
1978:Q3,54160,-2252,27720,1352,1604,-252,10596,11156,300,-1192,332,15772,15772,0,25308,7016,18292,18292,0,0,3384,-3452,-1164,8000,0,0,53828,1352,1604,-252,0,0,-2440,-2192,7016,-7264,-9076,-1164,2976,21744,-60,11156,10648,5624,0,5024,300,0,300,-1192,0,-1192,34064,34064,0,332
1978:Q4,109236,16016,11424,10416,11188,-772,-4864,6712,356,-1556,-10376,5872,5872,0,26476,21048,5428,5428,0,0,55320,25032,5100,25188,0,0,119612,10416,11188,-772,0,0,69900,15600,21048,33252,19008,3128,11116,29196,416,6712,22068,6024,1972,14072,356,0,356,-1556,0,-1556,11300,11300,0,-10376
1979:Q1,-23712,-1384,3996,-9552,-8716,-836,-4464,3128,380,948,-8920,18012,18012,0,18892,-5300,24192,24192,0,0,-45216,-31448,1224,-14992,0,0,-14792,-9552,-8716,-836,0,0,-52312,-1540,-5300,-45472,-32480,-2800,-10192,3540,156,3128,256,1032,4024,-4800,380,0,380,948,0,948,42204,42204,0,-8920
1979:Q2,71364,-912,26148,728,-1652,2380,4112,-1432,328,4640,576,21308,21308,0,26320,12396,13924,13924,0,0,19808,9996,3924,5888,0,0,70788,728,-1652,2380,0,0,5624,-1644,12396,-5128,-2500,-176,-2452,24236,732,-1432,24936,12496,4100,8340,328,0,328,4640,0,4640,35232,35232,0,576
1979:Q3,99596,-1428,28448,-6688,-5080,-1608,5976,12668,1340,820,-8852,29160,29160,0,45040,27480,17560,17560,0,0,27536,16352,3360,7824,0,0,108448,-6688,-5080,-1608,0,0,44336,-1800,27480,18656,11312,5608,1736,21920,372,12668,8880,5040,-2248,6088,1340,0,1340,820,0,820,46720,46720,0,-8852
1979:Q4,37912,-2000,8412,17644,16452,1192,6792,4764,1404,-1516,2140,-16024,-16024,0,16780,10576,6204,6204,0,0,14720,39044,-9264,-15060,0,0,35772,17644,16452,1192,0,0,27012,-692,10576,17128,18784,-3292,1636,1048,-1308,4764,-2408,20260,-5972,-16696,1404,0,1404,-1516,0,-1516,-9820,-9820,0,2140
1980:Q1,-5204,8416,-10368,-8148,-12340,4192,-11416,-5592,360,-5796,-388,9196,9196,0,16064,6440,9624,9624,0,0,-19316,-5720,-5048,-8548,0,0,-4816,-8148,-12340,4192,0,0,-3480,7616,6440,-17536,-14876,164,-2824,-6572,800,-5592,-1780,9156,-5212,-5724,360,0,360,-5796,0,-5796,18820,18820,0,-388
1980:Q2,29668,15464,-65428,-7208,1940,-9148,-19584,-8272,360,11588,-23260,-38636,-38636,0,14568,11572,2996,2996,0,0,65064,45292,13968,5804,0,0,52928,-7208,1940,-9148,0,0,62224,15376,11572,35276,30300,3984,992,21604,88,-8272,29788,14992,9984,4812,360,0,360,11588,0,11588,-35640,-35640,0,-23260
1980:Q3,55592,-27852,-804,-832,-3900,3068,-4452,9536,360,6280,-20628,4480,4480,0,31312,9736,21576,21576,0,0,52936,40940,1836,10160,0,0,76220,-832,-3900,3068,0,0,27160,-26748,9736,44172,38204,2928,3040,17196,-1104,9536,8764,2736,-1092,7120,360,0,360,6280,0,6280,26056,26056,0,-20628
1980:Q4,116360,-5372,22500,8408,5100,3308,12024,1408,356,-2032,12292,2068,2068,0,50384,30756,19628,19628,0,0,48848,26660,10892,11296,0,0,104068,8408,5100,3308,0,0,44232,-6200,30756,19676,4372,6536,8768,31408,828,1408,29172,22288,4356,2528,356,0,356,-2032,0,-2032,21696,21696,0,12292
1981:Q1,-36840,-7016,-7752,-9436,-4824,-4612,7928,12680,-184,-1240,-3328,-6244,-6244,0,-5208,14268,-19476,-19476,0,0,-16864,1116,-4104,-13876,0,0,-33512,-9436,-4824,-4612,0,0,16556,-7768,14268,10056,8728,3200,-1872,-13488,752,12680,-26920,-7612,-7304,-12004,-184,0,-184,-1240,0,-1240,-25720,-25720,0,-3328
1981:Q2,210572,-144,74092,-1604,-3020,1416,53016,57396,84,-1244,-3220,22680,22680,0,97700,76260,21440,21440,0,0,38924,29592,5948,3384,0,0,213792,-1604,-3020,1416,0,0,93860,-1092,76260,18692,14604,4964,-876,78576,948,57396,20232,14988,984,4260,84,0,84,-1244,0,-1244,44120,44120,0,-3220
1981:Q3,114644,8604,18624,7124,1220,5904,-20344,-3176,232,-1024,-16376,31844,31844,0,40844,10992,29852,29852,0,0,46572,31316,7856,7400,0,0,131020,7124,1220,5904,0,0,45468,7512,10992,26964,17020,5912,4032,17524,1092,-3176,19608,14296,1944,3368,232,0,232,-1024,0,-1024,61696,61696,0,-16376
1981:Q4,-63038,-10356,-79785,-7736,-4196,-3540,-74581,-93320,268,5264,13207,2532,2532,0,-76228,-75444,-784,-784,0,0,103331,38212,23611,41508,0,0,-76245,-7736,-4196,-3540,0,0,-49565,-9952,-75444,35831,14508,8719,12604,-26224,-404,-93320,67500,23704,14892,28904,268,0,268,5264,0,5264,1748,1748,0,13207
1982:Q1,127605,2212,30022,4660,480,4180,17350,-700,396,7820,9834,8012,8012,0,-15168,-6924,-8244,-8244,0,0,110539,38380,47074,25084,0,0,117771,4660,480,4180,0,0,79303,1904,-6924,84323,41000,29234,14088,25824,308,-700,26216,-2620,17840,10996,396,0,396,7820,0,7820,-232,-232,0,9834
1982:Q2,121753,-11580,15685,-1380,2652,-4032,17121,6764,584,2968,6805,-56,-56,0,16932,9212,7720,7720,0,0,100716,40600,44545,15571,0,0,114948,-1380,2652,-4032,0,0,75740,-11256,9212,77784,41000,27925,8859,29372,-324,6764,22932,-400,16620,6712,584,0,584,2968,0,2968,7664,7664,0,6805
1982:Q3,103912,-7956,14552,-10040,-7980,-2060,30184,20920,596,9572,-904,-5592,-5592,0,35744,42092,-6348,-6348,0,0,61572,40600,16844,4128,0,0,104816,-10040,-7980,-2060,0,0,75652,-8896,42092,42456,41000,5488,-4032,40976,940,20920,19116,-400,11356,8160,596,0,596,9572,0,9572,-11940,-11940,0,-904
1982:Q4,54498,22368,673,7116,8740,-1624,2837,-4896,424,10124,-2815,-9280,-9280,0,-10068,-6220,-3848,-3848,0,0,41525,12216,12121,17188,0,0,57313,7116,8740,-1624,0,0,41521,21904,-6220,25837,12616,7577,5644,11256,464,-4896,15688,-400,4544,11544,424,0,424,10124,0,10124,-13128,-13128,0,-2815
1983:Q1,49190,-14584,-7875,-632,-8996,8364,-8727,9704,280,16712,-35423,1484,1484,0,36496,20676,15820,15820,0,0,35153,31972,2841,340,0,0,84613,-632,-8996,8364,0,0,40701,-15240,20676,35265,32372,561,2332,10248,656,9704,-112,-400,2280,-1992,280,0,280,16712,0,16712,17304,17304,0,-35423
1983:Q2,-3545,-12136,14739,5344,2136,3208,17811,2608,132,-1792,16863,-8416,-8416,0,-15108,-8160,-6948,-6948,0,0,8960,-10072,16475,2557,0,0,-20408,5344,2136,3208,0,0,-12468,-9792,-8160,5484,-9672,11771,3385,3740,-2344,2608,3476,-400,4704,-828,132,0,132,-1792,0,-1792,-15364,-15364,0,16863
1983:Q3,34341,3784,8160,-12260,-4320,-7940,16216,14376,132,-9504,11212,4204,4204,0,33384,30552,2832,2832,0,0,-10987,-20748,5988,3773,0,0,23129,-12260,-4320,-7940,0,0,16225,4996,30552,-19323,-20348,-2324,3349,21500,-1212,14376,8336,-400,8312,424,132,0,132,-9504,0,-9504,7036,7036,0,11212
1983:Q4,-69716,2764,-12243,3664,6492,-2828,-56515,-3788,256,2768,-55751,40608,40608,0,19940,-3836,23776,23776,0,0,-80177,932,-40431,-40678,0,0,-13965,3664,6492,-2828,0,0,-76345,2528,-3836,-75037,1332,-38707,-37662,-8692,236,-3788,-5140,-400,-1724,-3016,256,0,256,2768,0,2768,64384,64384,0,-55751
1984:Q1,101044,-712,67518,-3192,-3104,-88,67146,24212,396,-992,43530,3564,3564,0,-8732,13548,-22280,-22280,0,0,42970,2404,25222,15344,0,0,57514,-3192,-3104,-88,0,0,38486,-324,13548,25262,2804,13394,9064,41532,-388,24212,17708,-400,11828,6280,396,0,396,-992,0,-992,-18716,-18716,0,43530
1984:Q2,113597,2152,57329,9688,-5768,15456,21853,11268,504,1832,8249,25788,25788,0,29604,8228,21376,21376,0,0,24512,5972,21713,-3173,0,0,105348,9688,-5768,15456,0,0,13516,1752,8228,3536,6372,585,-3421,32644,400,11268,20976,-400,21128,248,504,0,504,1832,0,1832,47164,47164,0,8249
1984:Q3,22260,8948,16611,11268,3776,7492,20039,14072,532,-972,6407,-14696,-14696,0,-6112,-10528,4416,4416,0,0,2813,-6088,5575,3327,0,0,15853,11268,3776,7492,0,0,7633,8548,-10528,9613,-5688,5691,9611,7672,400,14072,-6800,-400,-116,-6284,532,0,532,-972,0,-972,-10280,-10280,0,6407
1984:Q4,35906,-8896,-2337,-9960,2264,-12224,14819,-1116,468,-3036,18503,-7196,-7196,0,8004,568,7436,7436,0,0,39135,11832,15263,12040,0,0,17403,-9960,2264,-12224,0,0,16023,-9696,568,25151,12232,6307,6612,13668,800,-1116,13984,-400,8956,5428,468,0,468,-3036,0,-3036,240,240,0,18503
1985:Q1,58532,24884,29861,-6208,-2228,-3980,17425,15184,476,3164,-1399,18644,18644,0,6476,14656,-8180,-8180,0,0,-2689,-15136,5033,7414,0,0,59931,-6208,-2228,-3980,0,0,27547,24284,14656,-11393,-14736,2545,798,24488,600,15184,8704,-400,2488,6616,476,0,476,3164,0,3164,10464,10464,0,-1399
1985:Q2,38619,12360,12025,-5120,-144,-4976,793,-1904,524,5184,-3011,16352,16352,0,9060,2680,6380,6380,0,0,5173,26276,-16403,-4700,0,0,41629,-5120,-144,-4976,0,0,31121,11760,2680,16681,26676,-8323,-1672,-12812,600,-1904,-11508,-400,-8080,-3028,524,0,524,5184,0,5184,22732,22732,0,-3011
1985:Q3,51306,-8348,13286,3956,-772,4728,6558,12284,452,6740,-12918,2772,2772,0,29464,14208,15256,15256,0,0,16905,2468,5798,8639,0,0,64225,3956,-772,4728,0,0,12613,-8748,14208,7153,2868,1378,2907,22436,400,12284,9752,-400,4420,5732,452,0,452,6740,0,6740,18028,18028,0,-12918
1985:Q4,16249,-1648,7277,5836,3676,2160,-16371,-9420,248,7600,-14799,17812,15232,2580,9892,-42008,51900,43824,8076,0,728,13676,-11975,-973,0,0,31047,5836,3676,2160,0,0,-56920,-2904,-42008,-12008,2152,-9455,-4705,4572,1256,-9420,12736,11524,-2520,3732,248,0,248,7600,0,7600,69712,59056,10656,-14799
1986:Q1,11225,24348,-47691,-10680,-1712,-8968,-22191,8584,116,7432,-38323,-14820,-17092,2272,46376,-3244,49620,42948,6672,0,-11808,-5524,913,-7198,0,0,49547,-10680,-1712,-8968,0,0,-9892,24996,-3244,-31644,-24476,-3423,-3746,27772,-648,8584,19836,18952,4336,-3452,116,0,116,7432,0,7432,34800,25856,8944,-38323
1986:Q2,57798,12280,-15342,-572,-1108,536,13959,19460,16,9912,-15429,-28730,-27708,-1022,42344,10272,32072,32836,-764,0,18516,16420,2375,-279,0,0,73226,-572,-1108,536,0,0,13956,9424,10272,-5740,-584,-4949,-207,46572,2856,19460,24256,17004,7324,-72,16,0,16,9912,0,9912,3342,5128,-1786,-15429
1986:Q3,238164,9420,65077,1972,2264,-292,34459,24980,-140,12012,-2393,28645,28484,161,73916,35604,38312,31264,7048,0,89751,62648,31587,-4484,0,0,240557,1972,2264,-292,0,0,69155,11824,35604,21727,24144,4071,-6488,90600,-2404,24980,68024,38504,27516,2004,-140,0,-140,12012,0,12012,66957,59748,7209,-2393
1986:Q4,300576,31856,8142,4392,1648,2744,18167,21528,-368,1648,-4641,-14417,-15808,1391,151696,40104,111592,99860,11732,0,108883,89912,-3193,22164,0,0,305218,4392,1648,2744,0,0,72155,29292,40104,2759,-4284,-361,7404,130216,2564,21528,106124,94196,-2832,14760,-368,0,-368,1648,0,1648,97175,84052,13123,-4641
1987:Q1,-113287,-16040,31592,16008,15920,88,19167,-4996,-632,4072,20723,-3582,-1424,-2158,-33532,2096,-35628,-32196,-3432,0,-95307,-78724,-2069,-14514,0,0,-134010,16008,15920,88,0,0,-76803,-14552,2096,-64347,-53284,-2481,-8582,-37444,-1488,-4996,-30960,-25440,412,-5932,-632,0,-632,4072,0,4072,-39210,-33620,-5590,20723
1987:Q2,142025,-20604,28948,-17108,-14648,-2460,13440,17880,-984,8048,-11504,32616,31232,1384,46444,30488,15956,7656,8300,0,87237,43564,35880,7793,0,0,153529,-17108,-14648,-2460,0,0,5609,-22852,30488,-2027,2948,-1388,-3587,109392,2248,17880,89264,40616,37268,11380,-984,0,-984,8048,0,8048,48572,38888,9684,-11504
1987:Q3,164335,7668,87729,-1448,-5324,3876,39972,12356,-1004,-9888,38508,49205,48592,613,53856,9832,44024,37608,6416,0,15081,15332,-4052,3801,0,0,125826,-1448,-5324,3876,0,0,25429,8048,9832,7549,12152,-5756,1153,19508,-380,12356,7532,3180,1704,2648,-1004,0,-1004,-9888,0,-9888,93229,86200,7029,38508
1987:Q4,125360,3684,-38675,9748,2252,7496,-32373,3992,-720,-628,-35017,-16050,-18396,2346,103284,344,102940,89368,13572,0,57068,48196,2919,5953,0,0,160377,9748,2252,7496,0,0,-8552,5728,344,-14624,-25124,7119,3381,73640,-2044,3992,71692,73320,-4200,2572,-720,0,-720,-628,0,-628,86890,70972,15918,-35017
1988:Q1,-93648,-8424,-45900,-8068,-2052,-6016,-13706,-10420,-664,7272,-9894,-24126,-22200,-1926,-29400,-13400,-16000,-4580,-11420,0,-9924,6180,-11458,-4646,0,0,-83754,-8068,-2052,-6016,0,0,-43484,-8184,-13400,-21900,-13284,-6258,-2358,1316,-240,-10420,11976,19464,-5200,-2288,-664,0,-664,7272,0,7272,-40126,-26780,-13346,-9894
1988:Q2,152136,-10436,46211,456,-156,612,18473,13196,-592,-6468,12337,27281,28896,-1615,68716,12248,56468,65124,-8656,0,47646,22680,30049,-5084,0,0,139799,456,-156,612,0,0,-1954,-7076,12248,-7126,-22576,14121,1328,64608,-3360,13196,54772,45256,15928,-6412,-592,0,-592,-6468,0,-6468,83749,94020,-10271,12337
1988:Q3,203442,13076,54552,2520,3760,-1240,23475,26324,-536,-7548,5235,28557,28492,65,51120,38424,12696,10152,2544,0,84694,88132,10319,-13757,0,0,198207,2520,3760,-1240,0,0,78778,12792,38424,27562,30232,1219,-3889,83740,284,26324,57132,57900,9100,-9868,-536,0,-536,-7548,0,-7548,41253,38644,2609,5235
1988:Q4,55629,-3964,-9502,412,348,64,-27590,-11156,-504,-6284,-9646,17677,18148,-471,33308,-14848,48156,42112,6044,0,35787,22924,13182,-319,0,0,65275,412,348,64,0,0,13095,-2816,-14848,30759,43636,-6026,-6851,-7276,-1148,-11156,5028,-20712,19208,6532,-504,0,-504,-6284,0,-6284,65833,60260,5573,-9646
1989:Q1,93124,-3281,2457,-1780,-2916,1136,15972,4440,-436,-6174,18142,-11735,-11812,77,12624,-416,13040,12648,392,0,81325,63548,14468,3309,0,0,74982,-1780,-2916,1136,0,0,4503,-3065,-416,7985,6072,1060,853,77564,-216,4440,73340,57476,13408,2456,-436,0,-436,-6174,0,-6174,1305,836,469,18142
1989:Q2,-208898,5609,-44773,-9492,-3040,-6452,-12468,25904,-388,-5384,-32600,-22813,-23664,851,-52080,26112,-78192,-83536,5344,0,-117655,-92912,-8968,-15775,0,0,-176298,-9492,-3040,-6452,0,0,-19530,4157,26112,-49799,-43052,-4800,-1947,-40500,1452,25904,-67856,-49860,-4168,-13828,-388,0,-388,-5384,0,-5384,-101005,-107200,6195,-32600
