1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,97033,758,1812,0,734,22261,0,1728,348,20185,3911,31574,414,35569,0,1249,32178,2142,97722
1967:Q1,99609,824,1876,0,767,22466,0,1611,337,20518,3991,36398,435,32852,0,1353,29279,2220,100314
1967:Q2,102178,839,1951,0,803,22448,0,1499,304,20645,3976,37456,459,34246,0,1380,30529,2337,102907
1967:Q3,104748,882,2029,0,838,22737,0,1475,283,20979,4059,40415,485,33303,0,1451,29416,2436,105500
1967:Q4,107312,894,2127,0,870,22837,0,1490,263,21084,4083,40883,510,35108,0,1470,31094,2544,108092
1968:Q1,110386,871,2192,0,900,23325,0,1655,280,21390,4091,38624,535,39848,0,1443,35743,2662,111212
1968:Q2,113467,950,2281,0,928,23338,0,1636,296,21406,4050,44779,561,36580,0,1566,32302,2712,114332
1968:Q3,116535,983,2377,0,954,23490,0,1590,313,21587,4071,47095,587,36978,0,1621,32571,2786,117453
1968:Q4,119602,1015,2480,0,980,23679,0,1769,310,21600,4067,49165,614,37602,0,1671,33071,2860,120573
1969:Q1,124039,1005,2543,0,1006,23652,0,1845,338,21469,4079,48650,639,42465,0,1667,37845,2953,125017
1969:Q2,128480,1009,2671,0,1030,23538,0,1643,365,21530,4069,48740,664,46759,0,1674,42049,3036,129460
1969:Q3,132915,1004,2767,0,1053,24009,0,1619,429,21961,4134,47805,689,51454,0,1672,46659,3123,133904
1969:Q4,137354,1024,2877,0,1079,24202,0,1637,475,22090,4216,49140,715,54101,0,1710,49192,3199,138348
1970:Q1,141304,1029,2992,0,1105,24410,0,1561,451,22398,4230,46004,737,60797,0,1720,55786,3291,142314
1970:Q2,145237,918,3109,0,1133,24508,0,1488,515,22505,4213,37589,752,73015,0,1560,68003,3452,146279
1970:Q3,149166,1028,3232,0,1161,25232,0,1614,715,22903,4193,44935,774,68611,0,1730,63395,3486,150244
1970:Q4,153106,1106,3347,0,1190,25852,0,1593,705,23554,4171,50315,817,66308,0,1858,60909,3541,154210
1971:Q1,156499,1199,3481,0,1221,25288,0,1694,592,23002,4080,57645,882,62703,0,2004,57106,3593,157681
1971:Q2,159886,1205,3585,0,1252,24648,0,1501,463,22684,3914,59203,968,65111,0,2029,59386,3696,161152
1971:Q3,163274,1242,3727,0,1286,24306,0,1533,460,22313,3768,62474,1062,65409,0,2097,59523,3789,164623
1971:Q4,166653,1305,3853,0,1321,24958,0,1594,473,22891,3658,66488,1150,63920,0,2199,57844,3877,168094
1972:Q1,170678,1413,3982,0,1474,25553,185,1905,670,22793,3332,72173,1237,61514,0,2350,54798,4366,172276
1972:Q2,174762,1471,4145,0,1707,26757,476,1838,942,23501,3133,72812,1330,63407,0,2426,55807,5174,176459
1972:Q3,178843,1577,4322,0,1948,28605,793,1967,1358,24487,2865,74524,1419,63583,0,2537,55047,5999,180642
1972:Q4,182947,1790,4511,0,2130,29693,1053,2536,1621,24483,2728,80863,1494,59738,0,2722,50438,6578,184824
1973:Q1,187120,1889,4712,0,2260,31330,1262,2794,2027,25247,2514,76694,1555,66166,0,2695,56413,7058,189100
1973:Q2,191255,2016,4893,0,2348,32246,1429,3008,2175,25634,2439,71699,1603,74011,0,2634,63977,7400,193375
1973:Q3,195373,2340,5130,0,2427,33836,1606,3533,2315,26382,2361,78584,1647,69048,0,2826,58614,7608,197650
1973:Q4,199490,2455,5314,0,2530,34557,1847,4034,2490,26186,2376,70168,1695,80395,0,2697,69671,8027,201926
1974:Q1,204528,2604,5535,0,2645,35406,2132,4582,2537,26155,2393,72647,1734,81564,0,2791,70367,8406,207092
1974:Q2,209529,2840,5763,0,2765,36489,2441,5184,2546,26318,2377,66424,1751,91120,0,2718,79538,8864,212258
1974:Q3,214477,3093,6005,0,2894,38713,2802,6176,2739,26996,2368,49709,1790,109905,0,2459,98010,9436,217423
