1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2020:Q4,76552,13376,-5016,77300,5956,10840,10096,1876,48532,6712,0,6712,-25126,-88654,0,-1940,0,99900,79112,8852,70928,-548,-120
2021:Q1,-125828,-10440,-3908,18864,1952,4100,-26204,-1408,40424,712,0,712,-68198,-114334,0,-164,60,51580,-128980,-27256,-114048,4,12320
2021:Q2,-323060,-3512,-5872,-20824,4652,-380,-20224,-36,-4836,8912,0,8912,-119287,-211667,0,-164,64,29290,-326832,-54008,-277948,20,5104
2021:Q3,-12628,-972,-2336,78588,6200,8184,-11092,2216,73080,13128,0,13128,-84471,-124918,0,-164,60,108457,-16016,-12384,-22876,0,19244
2021:Q4,-44236,536,-1420,107728,7660,10684,-5376,2220,92540,16812,0,16812,-95851,-101912,0,-160,64,29967,-46828,-16724,-51240,12,21124
2022:Q1,-37244,8792,15184,58136,-9240,4152,14020,4960,44244,13868,0,13868,8191,-123613,0,20,-56,-17766,-39224,42740,-5192,32,-76804
2022:Q2,-80772,5356,11324,41324,-10300,-4756,-704,2280,54804,8676,0,8676,14082,-104940,0,32,-56,-56570,-92260,29712,-54796,-12,-67164
2022:Q3,18020,9780,2552,59784,-8408,3008,12476,4100,48608,15340,0,15340,-6677,-76095,0,28,-56,13365,12900,42128,34080,4,-63312
2022:Q4,-91428,4224,2436,36520,-9652,-14400,-10512,-2024,73108,6912,0,6912,-35023,-47595,0,4,-52,-58854,-72024,31708,-30460,96,-73368
2023:Q1,-45188,4216,-3196,34128,1368,-6200,-252,836,38376,15408,0,15408,-64028,-127079,0,-320,4,95680,-46472,-23436,-74160,-56,51180
2023:Q2,33756,2036,2004,83508,940,-792,4008,1704,77648,12928,0,12928,-51644,-110780,0,-316,0,96020,34616,-12172,-5112,-80,51980
2023:Q3,-88804,-5900,2300,32708,-808,-5800,-10148,1220,48244,436,0,436,-58284,-112435,0,-296,0,52666,-99336,-30860,-114892,-172,46588
2023:Q4,-45860,3112,4612,1308,1256,-12888,-7400,-2320,22660,16216,0,16216,-83433,-79346,0,-328,4,91995,-63276,-30856,-111208,-40,78828
2024:Q1,-50756,5492,-5008,73064,1024,5164,1140,-1268,67004,12920,0,12920,48558,-134334,0,-340,12,-51120,-56640,51096,-28020,-592,-79124
2024:Q2,-50760,4240,2472,53420,732,2200,-3556,-2140,56184,10748,0,10748,48052,-140747,0,-332,4,-28617,-48360,52268,-22868,-648,-77112
2024:Q3,-93064,12164,3984,38272,2516,1624,920,-1244,34456,25096,0,25096,-36678,-145024,0,-340,12,9451,-77796,50016,-44224,-608,-82980
2024:Q4,-43032,112,2168,70244,-204,4632,-4132,-2708,72656,3400,0,3400,23279,-91227,0,-324,4,-50688,-34972,55320,-11040,-660,-78592
2025:Q1,-161588,3036,11396,4832,680,-1516,784,1480,3404,5536,0,5536,-56109,-171343,0,-40,4,41100,-167224,-26632,-129748,4,-10848
